Date,size30std
2010/07/17,953.437
2010/07/18,955.804
2010/07/19,960.147
2010/07/20,969.852
2010/07/21,966.765
2010/07/22,963.379
2010/07/23,958.99
2010/07/24,1007
2010/07/25,1355
2010/07/26,1346
2010/07/27,1335
2010/07/28,1623
2010/07/29,1706
2010/07/30,1708
2010/07/31,1703
2010/08/01,1710
2010/08/02,1706
2010/08/03,1698
2010/08/04,1693
2010/08/05,1675
2010/08/06,1664
2010/08/07,1652
2010/08/08,1642
2010/08/09,1634
2010/08/10,1635
2010/08/11,1646
2010/08/12,1649
2010/08/13,1506
2010/08/14,1516
2010/08/15,1524
2010/08/16,1522
2010/08/17,1525
2010/08/18,1570
2010/08/19,1575
2010/08/20,1576
2010/08/21,1577
2010/08/22,1580
2010/08/23,1575
2010/08/24,1327
2010/08/25,1335
2010/08/26,1338
2010/08/27,935.188
2010/08/28,684.739
2010/08/29,690.861
2010/08/30,687.017
2010/08/31,689.34
2010/09/01,686.402
2010/09/02,685.842
2010/09/03,685.13
2010/09/04,687.431
2010/09/05,688.564
2010/09/06,691.179
2010/09/07,693.211
2010/09/08,608.982
2010/09/09,606.648
2010/09/10,605.007
2010/09/11,603.347
2010/09/12,599.592
2010/09/13,598.761
2010/09/14,592.036
2010/09/15,575.627
2010/09/16,576.598
2010/09/17,281.777
2010/09/18,286.729
2010/09/19,288.438
2010/09/20,289.795
2010/09/21,445.59
2010/09/22,492.429
2010/09/23,492.311
2010/09/24,484.245
2010/09/25,484.204
2010/09/26,479.743
2010/09/27,489.272
2010/09/28,513.946
2010/09/29,739.574
2010/09/30,735.477
2010/10/01,744.443
2010/10/02,831.439
2010/10/03,825.075
2010/10/04,811.213
2010/10/05,805.78
2010/10/06,797.307
2010/10/07,787.321
2010/10/08,779.073
2010/10/09,776.772
2010/10/10,773.324
2010/10/11,765.289
2010/10/12,765.345
2010/10/13,764.226
2010/10/14,765.819
2010/10/15,775.588
2010/10/16,774.615
2010/10/17,785.835
2010/10/18,771.891
2010/10/19,764.968
2010/10/20,760.921
2010/10/21,723.324
2010/10/22,724.557
2010/10/23,724.188
2010/10/24,717.699
2010/10/25,721.821
2010/10/26,719.126
2010/10/27,718.834
2010/10/28,711.178
2010/10/29,517.954
2010/10/30,533.124
2010/10/31,532.13
2010/11/01,383.524
2010/11/02,394.163
2010/11/03,397.541
2010/11/04,392.711
2010/11/05,392.731
2010/11/06,398.333
2010/11/07,399.812
2010/11/08,396.337
2010/11/09,399.489
2010/11/10,402.865
2010/11/11,408.301
2010/11/12,410.097
2010/11/13,416.707
2010/11/14,415.529
2010/11/15,2941
2010/11/16,4635
2010/11/17,4640
2010/11/18,4640
2010/11/19,6649
2010/11/20,9087
2010/11/21,10384
2010/11/22,10391
2010/11/23,10392
2010/11/24,10401
2010/11/25,10617
2010/11/26,10593
2010/11/27,10593
2010/11/28,10593
2010/11/29,10586
2010/11/30,10582
2010/12/01,10572
2010/12/02,10564
2010/12/03,10558
2010/12/04,10556
2010/12/05,10563
2010/12/06,10564
2010/12/07,10556
2010/12/08,10564
2010/12/09,10560
2010/12/10,10555
2010/12/11,10540
2010/12/12,10520
2010/12/13,10481
2010/12/14,10465
2010/12/15,10312
2010/12/16,9931
2010/12/17,9917
2010/12/18,9929
2010/12/19,8941
2010/12/20,6465
2010/12/21,3529
2010/12/22,3520
2010/12/23,3514
2010/12/24,3160
2010/12/25,682.222
2010/12/26,582.121
2010/12/27,583.82
2010/12/28,583.561
2010/12/29,577.417
2010/12/30,568.765
2010/12/31,568.03
2011/01/01,562.793
2011/01/02,553.517
2011/01/03,756.529
2011/01/04,773.082
2011/01/05,887.972
2011/01/06,886.503
2011/01/07,880.074
2011/01/08,934.995
2011/01/09,962.901
2011/01/10,1015
2011/01/11,1064
2011/01/12,1073
2011/01/13,1087
2011/01/14,1091
2011/01/15,1079
2011/01/16,1064
2011/01/17,1038
2011/01/18,1026
2011/01/19,1026
2011/01/20,999.709
2011/01/21,1013
2011/01/22,1134
2011/01/23,1119
2011/01/24,1104
2011/01/25,1080
2011/01/26,1051
2011/01/27,1019
2011/01/28,971.7
2011/01/29,1006
2011/01/30,1854
2011/01/31,1843
2011/02/01,1797
2011/02/02,1798
2011/02/03,1809
2011/02/04,1823
2011/02/05,1822
2011/02/06,1819
2011/02/07,1844
2011/02/08,1856
2011/02/09,1856
2011/02/10,1938
2011/02/11,2027
2011/02/12,2047
2011/02/13,2053
2011/02/14,2115
2011/02/15,2112
2011/02/16,2076
2011/02/17,2072
2011/02/18,2073
2011/02/19,2041
2011/02/20,2038
2011/02/21,2031
2011/02/22,2038
2011/02/23,2036
2011/02/24,2012
2011/02/25,1977
2011/02/26,1960
2011/02/27,1946
2011/02/28,1976
2011/03/01,2063
2011/03/02,2094
2011/03/03,2238
2011/03/04,2206
2011/03/05,2141
2011/03/06,2084
2011/03/07,2012
2011/03/08,2008
2011/03/09,1904
2011/03/10,1888
2011/03/11,1879
2011/03/12,2106
2011/03/13,2406
2011/03/14,2781
2011/03/15,3175
2011/03/16,3349
2011/03/17,3448
2011/03/18,3466
2011/03/19,3674
2011/03/20,4178
2011/03/21,4652
2011/03/22,4598
2011/03/23,4749
2011/03/24,4685
2011/03/25,4609
2011/03/26,4633
2011/03/27,4530
2011/03/28,4346
2011/03/29,4210
2011/03/30,4186
2011/03/31,4236
2011/04/01,4258
2011/04/02,4329
2011/04/03,4299
