Date,difficulty90var
2011/05/13,821956413
2011/05/14,865067456
2011/05/15,903914097
2011/05/16,938496336
2011/05/17,968814173
2011/05/18,1003559429
2011/05/19,1257274894
2011/05/20,1502886567
2011/05/21,1737851424
2011/05/22,1962169466
2011/05/23,2175840693
2011/05/24,2378865104
2011/05/25,2571242699
2011/05/26,2871105997
2011/05/27,4031167436
2011/05/28,5165192591
2011/05/29,6277229727
2011/05/30,7353746115
2011/05/31,8394741756
2011/06/01,9400216649
2011/06/02,10370170794
2011/06/03,11304604191
2011/06/04,12203516841
2011/06/05,13066908743
2011/06/06,14235546267
2011/06/07,16057695541
2011/06/08,17844430404
2011/06/09,19571620445
2011/06/10,21239265663
2011/06/11,22847366058
2011/06/12,24395921631
2011/06/13,25884932380
2011/06/14,27314398307
2011/06/15,29835494453
2011/06/16,34673065541
2011/06/17,39352310807
2011/06/18,43873230251
2011/06/19,48235823873
2011/06/20,52440091673
2011/06/21,56486033651
2011/06/22,60373649807
2011/06/23,64073861269
2011/06/24,70536796679
2011/06/25,83178549912
2011/06/26,95396435973
2011/06/27,107190454862
2011/06/28,118560606580
2011/06/29,129506891125
2011/06/30,140029308500
2011/07/01,150127858702
2011/07/02,159802541733
2011/07/03,169053357592
2011/07/04,177887996631
2011/07/05,186400415255
2011/07/06,195057446038
2011/07/07,206809313280
2011/07/08,218019842195
2011/07/09,228689032781
2011/07/10,238816885040
2011/07/11,248403398972
2011/07/12,257448574575
2011/07/13,265952411851
2011/07/14,273914910799
2011/07/15,281336071419
2011/07/16,288215893711
2011/07/17,294641475956
2011/07/18,300567295642
2011/07/19,306374384459
2011/07/20,313892191024
2011/07/21,320779045394
2011/07/22,327034947571
2011/07/23,332659897553
2011/07/24,337653895341
2011/07/25,342016940935
2011/07/26,345749034334
2011/07/27,348850175540
2011/07/28,351320364551
2011/07/29,353414241920
2011/07/30,354923133335
2011/07/31,355814672992
2011/08/01,358278955824
2011/08/02,361710174210
2011/08/03,364359847960
2011/08/04,366227977074
2011/08/05,367314561551
2011/08/06,367619601392
2011/08/07,367260068997
2011/08/08,366966980714
2011/08/09,365933733634
2011/08/10,364160327757
2011/08/11,361646763082
2011/08/12,358393039611
2011/08/13,354399157343
2011/08/14,349665116278
2011/08/15,344170502061
2011/08/16,336867643813
2011/08/17,330724980277
2011/08/18,323980203612
2011/08/19,316633313818
2011/08/20,308684310896
2011/08/21,300133194846
2011/08/22,290979965668
2011/08/23,281224623361
2011/08/24,271664767028
2011/08/25,264993260182
2011/08/26,257857763739
2011/08/27,250258277700
2011/08/28,242194802065
2011/08/29,233667336833
2011/08/30,224489562070
2011/08/31,214822165912
2011/09/01,204709492341
2011/09/02,194151541356
2011/09/03,183148312958
2011/09/04,172839595873
2011/09/05,163933634283
2011/09/06,154665864733
2011/09/07,145036287222
2011/09/08,135044901752
2011/09/09,124691708322
2011/09/10,113976706931
2011/09/11,102899897581
2011/09/12,91461280270
2011/09/13,82277851601
2011/09/14,76321252632
2011/09/15,70174107738
2011/09/16,63836416920
2011/09/17,57308180178
2011/09/18,50589397511
2011/09/19,43680068920
2011/09/20,36580194404
2011/09/21,29289773965
2011/09/22,24905788582
2011/09/23,23760798468
2011/09/24,22580857416
2011/09/25,21365965428
2011/09/26,20116122503
2011/09/27,18829942839
2011/09/28,17516962730
2011/09/29,16180232465
2011/09/30,14819752044
2011/10/01,13435521466
2011/10/02,12027540733
2011/10/03,10595809843
2011/10/04,9352405048
2011/10/05,9011685610
2011/10/06,8667027083
2011/10/07,8318429468
2011/10/08,7965892764
2011/10/09,7609416972
2011/10/10,7249002091
2011/10/11,6884648121
2011/10/12,6516355063
2011/10/13,6144122916
2011/10/14,6586513424
2011/10/15,7097412168
2011/10/16,7606090365
2011/10/17,8196271409
2011/10/18,9059341522
2011/10/19,9910165842
2011/10/20,10748744371
2011/10/21,11575077107
2011/10/22,12389164052
2011/10/23,13191005204
2011/10/24,13980600565
2011/10/25,14757950134
2011/10/26,15523053910
2011/10/27,16275911895
2011/10/28,17016524088
2011/10/29,17744890489
2011/10/30,18391988804
2011/10/31,20652786471
2011/11/01,23158512150
2011/11/02,25548269915
2011/11/03,27822059766
2011/11/04,29979881702
2011/11/05,32021735724
2011/11/06,33947621832
2011/11/07,35757540025
2011/11/08,37451490305
2011/11/09,39029472670
2011/11/10,40491487120
2011/11/11,41837533657
2011/11/12,43067612279
2011/11/13,44189528148
2011/11/14,45696599986
2011/11/15,47143843509
2011/11/16,48498243075
2011/11/17,49759798685
2011/11/18,50928510338
2011/11/19,52004378034
2011/11/20,52987401773
2011/11/21,53877581556
2011/11/22,54674917382
2011/11/23,55379409251
2011/11/24,55991057164
2011/11/25,56509861119
2011/11/26,56935821118
2011/11/27,57268937160
2011/11/28,57650132705
2011/11/29,58296882136
2011/11/30,59343277834
2011/12/01,60273118027
2011/12/02,61086402714
2011/12/03,61783131895
2011/12/04,62363305571
2011/12/05,62826923742
2011/12/06,63173986407
2011/12/07,63404493567
2011/12/08,63518445221
2011/12/09,63515841369
2011/12/10,63396682012
2011/12/11,63160967149
2011/12/12,62836929654
2011/12/13,62157109506
2011/12/14,61388285769
2011/12/15,60530458443
2011/12/16,59583627529
2011/12/17,58547793027
2011/12/18,57422954936
2011/12/19,56209113257
2011/12/20,54906267989
2011/12/21,53514419132
2011/12/22,52033566688
2011/12/23,50463710654
2011/12/24,48804851032
2011/12/25,47056987822
