Date,transactionfees14rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,57.669
2010/08/01,54.805
2010/08/02,51.871
2010/08/03,48.525
2010/08/04,48.525
2010/08/05,48.525
2010/08/06,48.525
2010/08/07,76.956
2010/08/08,48.254
2010/08/09,63.484
2010/08/10,48.205
2010/08/11,48.205
2010/08/12,48.205
2010/08/13,48.205
2010/08/14,48.205
2010/08/15,48.205
2010/08/16,50.361
2010/08/17,48.2
2010/08/18,54.748
2010/08/19,48.188
2010/08/20,48.188
2010/08/21,48.188
2010/08/22,48.188
2010/08/23,48.188
2010/08/24,53.931
2010/08/25,48.18
2010/08/26,48.18
2010/08/27,48.18
2010/08/28,48.18
2010/08/29,51.496
2010/08/30,50.997
2010/08/31,49.056
2010/09/01,48.424
2010/09/02,47.85
2010/09/03,47.85
2010/09/04,47.85
2010/09/05,47.996
2010/09/06,47.852
2010/09/07,47.852
2010/09/08,47.852
2010/09/09,49.442
2010/09/10,47.87
2010/09/11,47.87
2010/09/12,50.238
2010/09/13,47.895
2010/09/14,48.048
2010/09/15,47.896
2010/09/16,47.896
2010/09/17,47.896
2010/09/18,52.527
2010/09/19,47.939
2010/09/20,47.939
2010/09/21,47.939
2010/09/22,47.939
2010/09/23,47.939
2010/09/24,47.939
2010/09/25,47.939
2010/09/26,47.939
2010/09/27,48.346
2010/09/28,71.322
2010/09/29,48.059
2010/09/30,48.059
2010/10/01,52.585
2010/10/02,48.135
2010/10/03,48.175
2010/10/04,48.064
2010/10/05,48.064
2010/10/06,48.064
2010/10/07,48.064
2010/10/08,48.064
2010/10/09,48.064
2010/10/10,48.064
2010/10/11,48.064
2010/10/12,48.064
2010/10/13,63.932
2010/10/14,48.104
2010/10/15,48.104
2010/10/16,48.104
2010/10/17,48.104
2010/10/18,48.684
2010/10/19,48.105
2010/10/20,48.105
2010/10/21,48.353
2010/10/22,48.106
2010/10/23,50.088
