Date,top100cap90wma
2010/07/17,24.672
2010/07/18,24.72
2010/07/19,24.765
2010/07/20,24.806
2010/07/21,24.848
2010/07/22,24.887
2010/07/23,24.922
2010/07/24,24.957
2010/07/25,24.99
2010/07/26,25.04
2010/07/27,25.089
2010/07/28,25.137
2010/07/29,25.184
2010/07/30,25.229
2010/07/31,25.271
2010/08/01,25.312
2010/08/02,25.35
2010/08/03,25.388
2010/08/04,25.422
2010/08/05,25.456
2010/08/06,25.488
2010/08/07,25.519
2010/08/08,25.548
2010/08/09,25.58
2010/08/10,25.61
2010/08/11,25.643
2010/08/12,25.672
2010/08/13,25.701
2010/08/14,25.729
2010/08/15,25.755
2010/08/16,25.783
2010/08/17,25.812
2010/08/18,25.841
2010/08/19,25.868
2010/08/20,25.895
2010/08/21,25.92
2010/08/22,25.945
2010/08/23,25.969
2010/08/24,25.993
2010/08/25,26.014
2010/08/26,26.035
2010/08/27,26.056
2010/08/28,26.074
2010/08/29,26.09
2010/08/30,26.104
2010/08/31,26.119
2010/09/01,26.133
2010/09/02,26.146
2010/09/03,26.157
2010/09/04,26.169
2010/09/05,26.182
2010/09/06,26.193
2010/09/07,26.203
2010/09/08,26.211
2010/09/09,26.218
2010/09/10,26.224
2010/09/11,26.228
2010/09/12,26.234
2010/09/13,26.236
2010/09/14,26.236
2010/09/15,26.235
2010/09/16,26.235
2010/09/17,26.248
2010/09/18,26.262
2010/09/19,26.278
2010/09/20,26.295
2010/09/21,26.311
2010/09/22,26.325
2010/09/23,26.344
2010/09/24,26.363
2010/09/25,26.385
2010/09/26,26.407
2010/09/27,26.438
2010/09/28,26.493
2010/09/29,26.546
2010/09/30,26.598
2010/10/01,26.648
2010/10/02,26.709
2010/10/03,26.769
2010/10/04,26.823
2010/10/05,26.877
2010/10/06,26.93
2010/10/07,26.993
2010/10/08,27.059
2010/10/09,27.131
2010/10/10,27.205
2010/10/11,27.277
2010/10/12,27.347
2010/10/13,27.42
2010/10/14,27.495
2010/10/15,27.566
2010/10/16,27.641
2010/10/17,27.715
2010/10/18,27.792
2010/10/19,27.864
2010/10/20,27.935
2010/10/21,28.005
2010/10/22,28.074
2010/10/23,28.142
2010/10/24,28.209
2010/10/25,28.275
2010/10/26,28.343
2010/10/27,28.412
2010/10/28,28.478
2010/10/29,28.541
2010/10/30,28.602
2010/10/31,28.663
2010/11/01,28.724
2010/11/02,28.784
2010/11/03,28.841
2010/11/04,28.898
2010/11/05,28.954
2010/11/06,29.011
2010/11/07,29.065
2010/11/08,29.133
2010/11/09,29.199
2010/11/10,29.26
2010/11/11,29.318
2010/11/12,29.374
2010/11/13,29.427
2010/11/14,29.48
2010/11/15,29.532
2010/11/16,29.581
2010/11/17,29.631
2010/11/18,29.678
2010/11/19,29.724
2010/11/20,29.771
2010/11/21,29.817
2010/11/22,29.862
2010/11/23,29.907
2010/11/24,29.953
2010/11/25,30
2010/11/26,30.046
2010/11/27,30.09
2010/11/28,30.133
2010/11/29,30.174
2010/11/30,30.216
2010/12/01,30.262
2010/12/02,30.311
2010/12/03,30.365
2010/12/04,30.419
2010/12/05,30.471
2010/12/06,30.518
2010/12/07,30.562
2010/12/08,30.604
2010/12/09,30.644
2010/12/10,30.683
2010/12/11,30.721
2010/12/12,30.757
2010/12/13,30.797
2010/12/14,30.835
2010/12/15,30.871
2010/12/16,30.903
2010/12/17,30.935
2010/12/18,30.964
2010/12/19,30.988
2010/12/20,31.012
2010/12/21,31.03
2010/12/22,31.047
2010/12/23,31.063
2010/12/24,31.077
