Date,transactions90trx
2010/07/17,1.791
2010/07/18,1.942
2010/07/19,2.078
2010/07/20,2.2
2010/07/21,2.306
2010/07/22,2.395
2010/07/23,2.469
2010/07/24,2.54
2010/07/25,2.628
2010/07/26,2.698
2010/07/27,2.753
2010/07/28,2.827
2010/07/29,2.913
2010/07/30,2.978
2010/07/31,3.021
2010/08/01,3.048
2010/08/02,3.06
2010/08/03,3.064
2010/08/04,3.057
2010/08/05,3.042
2010/08/06,3.019
2010/08/07,2.988
2010/08/08,2.951
2010/08/09,2.91
2010/08/10,2.865
2010/08/11,2.816
2010/08/12,2.764
2010/08/13,2.712
2010/08/14,2.658
2010/08/15,2.602
2010/08/16,2.546
2010/08/17,2.49
2010/08/18,2.434
2010/08/19,2.379
2010/08/20,2.324
2010/08/21,2.268
2010/08/22,2.213
2010/08/23,2.158
2010/08/24,2.104
2010/08/25,2.05
2010/08/26,1.997
2010/08/27,1.944
2010/08/28,1.892
2010/08/29,1.841
2010/08/30,1.79
2010/08/31,1.742
2010/09/01,1.695
2010/09/02,1.649
2010/09/03,1.603
2010/09/04,1.559
2010/09/05,1.514
2010/09/06,1.471
2010/09/07,1.428
2010/09/08,1.387
2010/09/09,1.347
2010/09/10,1.308
2010/09/11,1.269
2010/09/12,1.232
2010/09/13,1.197
2010/09/14,1.163
2010/09/15,1.13
2010/09/16,1.099
2010/09/17,1.067
2010/09/18,1.037
2010/09/19,1.007
2010/09/20,0.979
2010/09/21,0.954
2010/09/22,0.931
2010/09/23,0.911
2010/09/24,0.891
2010/09/25,0.872
2010/09/26,0.853
2010/09/27,0.836
2010/09/28,0.819
2010/09/29,0.806
2010/09/30,0.792
2010/10/01,0.78
2010/10/02,0.769
2010/10/03,0.758
2010/10/04,0.746
2010/10/05,0.735
2010/10/06,0.723
2010/10/07,0.711
2010/10/08,0.699
2010/10/09,0.687
2010/10/10,0.675
2010/10/11,0.662
2010/10/12,0.649
2010/10/13,0.636
2010/10/14,0.623
2010/10/15,0.609
2010/10/16,0.596
2010/10/17,0.582
2010/10/18,0.569
2010/10/19,0.559
2010/10/20,0.55
2010/10/21,0.542
2010/10/22,0.534
2010/10/23,0.527
2010/10/24,0.521
2010/10/25,0.514
2010/10/26,0.507
2010/10/27,0.5
2010/10/28,0.494
2010/10/29,0.487
2010/10/30,0.48
2010/10/31,0.472
2010/11/01,0.464
2010/11/02,0.455
2010/11/03,0.445
2010/11/04,0.436
2010/11/05,0.426
2010/11/06,0.416
2010/11/07,0.406
2010/11/08,0.397
2010/11/09,0.387
2010/11/10,0.377
2010/11/11,0.367
2010/11/12,0.357
2010/11/13,0.347
2010/11/14,0.336
2010/11/15,0.347
2010/11/16,0.399
2010/11/17,0.445
2010/11/18,0.493
2010/11/19,0.579
2010/11/20,0.702
2010/11/21,0.859
2010/11/22,1
2010/11/23,1.126
2010/11/24,1.254
2010/11/25,1.386
2010/11/26,1.506
2010/11/27,1.61
2010/11/28,1.698
2010/11/29,1.772
2010/11/30,1.832
2010/12/01,1.881
2010/12/02,1.919
2010/12/03,1.946
2010/12/04,1.964
2010/12/05,1.974
2010/12/06,1.976
2010/12/07,1.973
2010/12/08,1.963
2010/12/09,1.949
2010/12/10,1.931
2010/12/11,1.909
2010/12/12,1.884
2010/12/13,1.858
2010/12/14,1.829
2010/12/15,1.799
2010/12/16,1.768
2010/12/17,1.734
2010/12/18,1.7
2010/12/19,1.665
2010/12/20,1.63
2010/12/21,1.595
2010/12/22,1.56
2010/12/23,1.524
2010/12/24,1.488
2010/12/25,1.453
2010/12/26,1.417
2010/12/27,1.382
2010/12/28,1.346
2010/12/29,1.311
2010/12/30,1.277
2010/12/31,1.243
2011/01/01,1.209
2011/01/02,1.176
2011/01/03,1.144
2011/01/04,1.114
2011/01/05,1.086
2011/01/06,1.058
2011/01/07,1.031
2011/01/08,1.007
2011/01/09,0.983
2011/01/10,0.962
2011/01/11,0.941
2011/01/12,0.922
2011/01/13,0.904
2011/01/14,0.886
2011/01/15,0.869
2011/01/16,0.853
2011/01/17,0.836
2011/01/18,0.819
2011/01/19,0.803
2011/01/20,0.787
2011/01/21,0.772
2011/01/22,0.757
2011/01/23,0.744
2011/01/24,0.731
2011/01/25,0.718
2011/01/26,0.706
2011/01/27,0.693
2011/01/28,0.681
2011/01/29,0.669
2011/01/30,0.661
2011/01/31,0.654
2011/02/01,0.646
2011/02/02,0.638
2011/02/03,0.63
2011/02/04,0.621
2011/02/05,0.612
2011/02/06,0.603
2011/02/07,0.594
2011/02/08,0.584
2011/02/09,0.575
2011/02/10,0.568
2011/02/11,0.563
2011/02/12,0.56
2011/02/13,0.557
2011/02/14,0.555
2011/02/15,0.555
2011/02/16,0.556
2011/02/17,0.559
2011/02/18,0.562
2011/02/19,0.565
2011/02/20,0.569
2011/02/21,0.573
2011/02/22,0.578
2011/02/23,0.584
2011/02/24,0.59
2011/02/25,0.596
2011/02/26,0.603
2011/02/27,0.61
2011/02/28,0.616
2011/03/01,0.624
2011/03/02,0.632
2011/03/03,0.642
2011/03/04,0.652
2011/03/05,0.661
2011/03/06,0.669
2011/03/07,0.677
2011/03/08,0.686
2011/03/09,0.694
2011/03/10,0.701
2011/03/11,0.708
2011/03/12,0.716
2011/03/13,0.724
2011/03/14,0.733
2011/03/15,0.743
2011/03/16,0.753
2011/03/17,0.765
2011/03/18,0.776
2011/03/19,0.788
2011/03/20,0.801
2011/03/21,0.819
2011/03/22,0.835
2011/03/23,0.853
2011/03/24,0.869
2011/03/25,0.884
2011/03/26,0.898
2011/03/27,0.911
2011/03/28,0.924
2011/03/29,0.935
2011/03/30,0.945
2011/03/31,0.953
2011/04/01,0.959
2011/04/02,0.963
2011/04/03,0.966
2011/04/04,0.968
2011/04/05,0.969
2011/04/06,0.968
2011/04/07,0.967
2011/04/08,0.964
2011/04/09,0.96
2011/04/10,0.956
2011/04/11,0.95
2011/04/12,0.945
2011/04/13,0.939
2011/04/14,0.933
2011/04/15,0.927
2011/04/16,0.921
2011/04/17,0.914
2011/04/18,0.908
2011/04/19,0.904
2011/04/20,0.899
2011/04/21,0.894
2011/04/22,0.889
2011/04/23,0.883
2011/04/24,0.877
2011/04/25,0.871
2011/04/26,0.865
2011/04/27,0.862
2011/04/28,0.859
2011/04/29,0.857
2011/04/30,0.856
2011/05/01,0.856
2011/05/02,0.855
2011/05/03,0.855
2011/05/04,0.854
2011/05/05,0.853
2011/05/06,0.853
2011/05/07,0.852
2011/05/08,0.852
2011/05/09,0.851
2011/05/10,0.851
2011/05/11,0.85
2011/05/12,0.849
2011/05/13,0.849
2011/05/14,0.849
2011/05/15,0.85
2011/05/16,0.851
2011/05/17,0.853
2011/05/18,0.856
2011/05/19,0.859
2011/05/20,0.863
2011/05/21,0.868
2011/05/22,0.873
2011/05/23,0.879
2011/05/24,0.887
2011/05/25,0.895
2011/05/26,0.904
2011/05/27,0.913
2011/05/28,0.923
2011/05/29,0.931
2011/05/30,0.94
2011/05/31,0.949
2011/06/01,0.959
2011/06/02,0.969
2011/06/03,0.982
2011/06/04,0.996
2011/06/05,1.011
2011/06/06,1.028
2011/06/07,1.046
2011/06/08,1.067
2011/06/09,1.091
2011/06/10,1.115
2011/06/11,1.141
2011/06/12,1.169
2011/06/13,1.197
2011/06/14,1.227
2011/06/15,1.258
2011/06/16,1.29
2011/06/17,1.32
2011/06/18,1.351
2011/06/19,1.38
2011/06/20,1.408
2011/06/21,1.435
2011/06/22,1.46
2011/06/23,1.483
2011/06/24,1.505
2011/06/25,1.525
2011/06/26,1.543
2011/06/27,1.56
2011/06/28,1.575
2011/06/29,1.589
2011/06/30,1.6
2011/07/01,1.61
2011/07/02,1.618
2011/07/03,1.623
2011/07/04,1.626
2011/07/05,1.628
2011/07/06,1.629
2011/07/07,1.628
2011/07/08,1.626
2011/07/09,1.621
2011/07/10,1.616
2011/07/11,1.61
2011/07/12,1.602
2011/07/13,1.594
2011/07/14,1.584
2011/07/15,1.574
2011/07/16,1.562
2011/07/17,1.55
2011/07/18,1.538
2011/07/19,1.525
2011/07/20,1.511
2011/07/21,1.497
2011/07/22,1.482
2011/07/23,1.467
2011/07/24,1.451
2011/07/25,1.436
2011/07/26,1.42
2011/07/27,1.403
2011/07/28,1.387
2011/07/29,1.369
2011/07/30,1.351
2011/07/31,1.333
2011/08/01,1.315
2011/08/02,1.297
2011/08/03,1.279
2011/08/04,1.262
2011/08/05,1.244
2011/08/06,1.225
2011/08/07,1.207
2011/08/08,1.188
2011/08/09,1.17
2011/08/10,1.152
2011/08/11,1.134
2011/08/12,1.116
2011/08/13,1.099
2011/08/14,1.081
2011/08/15,1.064
2011/08/16,1.047
2011/08/17,1.03
2011/08/18,1.014
2011/08/19,0.998
2011/08/20,0.981
2011/08/21,0.965
2011/08/22,0.949
2011/08/23,0.933
2011/08/24,0.918
2011/08/25,0.902
2011/08/26,0.886
2011/08/27,0.871
2011/08/28,0.855
2011/08/29,0.84
2011/08/30,0.825
2011/08/31,0.81
2011/09/01,0.795
2011/09/02,0.781
2011/09/03,0.766
2011/09/04,0.751
2011/09/05,0.737
2011/09/06,0.723
2011/09/07,0.71
2011/09/08,0.696
2011/09/09,0.683
2011/09/10,0.669
2011/09/11,0.656
2011/09/12,0.643
2011/09/13,0.629
2011/09/14,0.616
2011/09/15,0.603
2011/09/16,0.591
2011/09/17,0.578
2011/09/18,0.565
2011/09/19,0.552
2011/09/20,0.54
2011/09/21,0.529
2011/09/22,0.517
2011/09/23,0.505
2011/09/24,0.494
2011/09/25,0.482
2011/09/26,0.471
2011/09/27,0.46
2011/09/28,0.448
2011/09/29,0.437
2011/09/30,0.426
2011/10/01,0.415
2011/10/02,0.404
2011/10/03,0.393
2011/10/04,0.383
2011/10/05,0.372
2011/10/06,0.362
2011/10/07,0.351
2011/10/08,0.341
2011/10/09,0.331
2011/10/10,0.321
2011/10/11,0.311
2011/10/12,0.301
2011/10/13,0.292
2011/10/14,0.282
2011/10/15,0.273
2011/10/16,0.264
2011/10/17,0.255
2011/10/18,0.246
2011/10/19,0.237
2011/10/20,0.228
2011/10/21,0.219
2011/10/22,0.21
2011/10/23,0.201
2011/10/24,0.193
2011/10/25,0.184
2011/10/26,0.176
2011/10/27,0.168
2011/10/28,0.16
2011/10/29,0.152
2011/10/30,0.144
2011/10/31,0.136
2011/11/01,0.129
2011/11/02,0.122
2011/11/03,0.115
2011/11/04,0.108
2011/11/05,0.102
2011/11/06,0.095
2011/11/07,0.089
2011/11/08,0.083
2011/11/09,0.077
2011/11/10,0.072
2011/11/11,0.066
2011/11/12,0.061
2011/11/13,0.055
2011/11/14,0.05
2011/11/15,0.045
2011/11/16,0.04
2011/11/17,0.036
2011/11/18,0.031
2011/11/19,0.026
2011/11/20,0.021
2011/11/21,0.017
2011/11/22,0.012
2011/11/23,0.007
2011/11/24,0.003
2011/11/25,-0.001
2011/11/26,-0.006
2011/11/27,-0.01
2011/11/28,-0.014
2011/11/29,-0.018
2011/11/30,-0.021
2011/12/01,-0.025
2011/12/02,-0.028
2011/12/03,-0.031
2011/12/04,-0.034
2011/12/05,-0.036
2011/12/06,-0.039
2011/12/07,-0.041
2011/12/08,-0.043
2011/12/09,-0.045
2011/12/10,-0.047
2011/12/11,-0.049
2011/12/12,-0.051
2011/12/13,-0.053
2011/12/14,-0.055
2011/12/15,-0.057
2011/12/16,-0.059
2011/12/17,-0.061
2011/12/18,-0.063
2011/12/19,-0.065
2011/12/20,-0.067
2011/12/21,-0.069
2011/12/22,-0.07
2011/12/23,-0.072
2011/12/24,-0.074
2011/12/25,-0.075
2011/12/26,-0.077
2011/12/27,-0.079
2011/12/28,-0.08
2011/12/29,-0.082
2011/12/30,-0.083
2011/12/31,-0.085
2012/01/01,-0.087
2012/01/02,-0.088
2012/01/03,-0.09
2012/01/04,-0.091
2012/01/05,-0.092
2012/01/06,-0.093
2012/01/07,-0.094
2012/01/08,-0.094
2012/01/09,-0.095
2012/01/10,-0.095
2012/01/11,-0.095
2012/01/12,-0.095
2012/01/13,-0.094
2012/01/14,-0.094
2012/01/15,-0.093
2012/01/16,-0.092
2012/01/17,-0.091
2012/01/18,-0.09
2012/01/19,-0.088
2012/01/20,-0.087
2012/01/21,-0.085
2012/01/22,-0.084
2012/01/23,-0.083
2012/01/24,-0.081
2012/01/25,-0.079
2012/01/26,-0.077
2012/01/27,-0.075
2012/01/28,-0.073
2012/01/29,-0.072
2012/01/30,-0.07
2012/01/31,-0.068
2012/02/01,-0.066
2012/02/02,-0.064
2012/02/03,-0.061
2012/02/04,-0.059
2012/02/05,-0.057
2012/02/06,-0.055
2012/02/07,-0.052
2012/02/08,-0.05
2012/02/09,-0.047
2012/02/10,-0.044
2012/02/11,-0.041
2012/02/12,-0.038
2012/02/13,-0.035
2012/02/14,-0.031
2012/02/15,-0.027
2012/02/16,-0.023
2012/02/17,-0.019
2012/02/18,-0.015
2012/02/19,-0.011
2012/02/20,-0.007
2012/02/21,-0.004
2012/02/22,-0.001
2012/02/23,0.003
2012/02/24,0.006
2012/02/25,0.009
2012/02/26,0.012
2012/02/27,0.015
2012/02/28,0.018
2012/02/29,0.02
2012/03/01,0.023
2012/03/02,0.025
2012/03/03,0.027
2012/03/04,0.03
2012/03/05,0.032
2012/03/06,0.033
2012/03/07,0.035
2012/03/08,0.037
2012/03/09,0.039
2012/03/10,0.04
2012/03/11,0.041
2012/03/12,0.042
2012/03/13,0.042
2012/03/14,0.043
2012/03/15,0.044
2012/03/16,0.045
2012/03/17,0.046
2012/03/18,0.046
2012/03/19,0.047
2012/03/20,0.048
2012/03/21,0.048
2012/03/22,0.049
2012/03/23,0.049
2012/03/24,0.05
2012/03/25,0.05
2012/03/26,0.05
2012/03/27,0.051
2012/03/28,0.051
2012/03/29,0.051
2012/03/30,0.052
2012/03/31,0.052
2012/04/01,0.052
2012/04/02,0.052
2012/04/03,0.052
2012/04/04,0.053
2012/04/05,0.053
2012/04/06,0.053
2012/04/07,0.054
2012/04/08,0.054
2012/04/09,0.054
2012/04/10,0.054
2012/04/11,0.054
2012/04/12,0.055
2012/04/13,0.056
2012/04/14,0.057
2012/04/15,0.058
2012/04/16,0.059
2012/04/17,0.06
2012/04/18,0.062
2012/04/19,0.063
2012/04/20,0.065
2012/04/21,0.067
2012/04/22,0.068
2012/04/23,0.069
2012/04/24,0.071
2012/04/25,0.072
2012/04/26,0.074
2012/04/27,0.076
2012/04/28,0.078
2012/04/29,0.079
2012/04/30,0.081
2012/05/01,0.084
2012/05/02,0.086
2012/05/03,0.09
2012/05/04,0.095
2012/05/05,0.1
2012/05/06,0.106
2012/05/07,0.113
2012/05/08,0.121
2012/05/09,0.131
2012/05/10,0.14
2012/05/11,0.151
2012/05/12,0.163
2012/05/13,0.175
2012/05/14,0.189
2012/05/15,0.205
2012/05/16,0.222
2012/05/17,0.239
2012/05/18,0.257
2012/05/19,0.278
2012/05/20,0.301
2012/05/21,0.327
2012/05/22,0.352
2012/05/23,0.379
2012/05/24,0.406
2012/05/25,0.434
2012/05/26,0.462
2012/05/27,0.491
2012/05/28,0.519
2012/05/29,0.549
2012/05/30,0.578
2012/05/31,0.605
2012/06/01,0.633
2012/06/02,0.658
2012/06/03,0.684
2012/06/04,0.712
2012/06/05,0.743
2012/06/06,0.77
2012/06/07,0.798
2012/06/08,0.824
2012/06/09,0.85
2012/06/10,0.877
2012/06/11,0.904
2012/06/12,0.928
2012/06/13,0.954
2012/06/14,0.984
2012/06/15,1.016
2012/06/16,1.048
2012/06/17,1.079
2012/06/18,1.109
2012/06/19,1.138
2012/06/20,1.164
2012/06/21,1.188
2012/06/22,1.208
2012/06/23,1.226
2012/06/24,1.241
2012/06/25,1.254
2012/06/26,1.265
2012/06/27,1.275
2012/06/28,1.283
2012/06/29,1.289
2012/06/30,1.293
2012/07/01,1.294
2012/07/02,1.294
2012/07/03,1.293
2012/07/04,1.29
2012/07/05,1.285
2012/07/06,1.28
2012/07/07,1.273
2012/07/08,1.266
2012/07/09,1.258
2012/07/10,1.25
2012/07/11,1.242
2012/07/12,1.233
2012/07/13,1.224
2012/07/14,1.214
2012/07/15,1.203
2012/07/16,1.193
2012/07/17,1.183
2012/07/18,1.174
2012/07/19,1.164
2012/07/20,1.155
2012/07/21,1.146
2012/07/22,1.138
2012/07/23,1.13
2012/07/24,1.121
2012/07/25,1.112
2012/07/26,1.103
2012/07/27,1.094
2012/07/28,1.084
2012/07/29,1.076
2012/07/30,1.067
2012/07/31,1.059
2012/08/01,1.051
2012/08/02,1.043
2012/08/03,1.034
2012/08/04,1.026
2012/08/05,1.017
2012/08/06,1.008
2012/08/07,1
2012/08/08,0.992
2012/08/09,0.983
2012/08/10,0.975
2012/08/11,0.966
2012/08/12,0.958
2012/08/13,0.95
2012/08/14,0.943
2012/08/15,0.937
2012/08/16,0.932
2012/08/17,0.927
2012/08/18,0.922
2012/08/19,0.917
2012/08/20,0.912
2012/08/21,0.907
2012/08/22,0.902
2012/08/23,0.897
2012/08/24,0.891
2012/08/25,0.885
2012/08/26,0.878
2012/08/27,0.872
2012/08/28,0.865
2012/08/29,0.857
2012/08/30,0.85
2012/08/31,0.843
2012/09/01,0.836
2012/09/02,0.83
2012/09/03,0.823
2012/09/04,0.816
2012/09/05,0.81
2012/09/06,0.804
2012/09/07,0.798
