Date,mediantransactionvalue14wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0.978
2010/07/31,1
2010/08/01,1.239
2010/08/02,1.454
2010/08/03,1.354
2010/08/04,1.573
2010/08/05,1.801
2010/08/06,1.647
2010/08/07,1.656
2010/08/08,1.484
2010/08/09,1.77
2010/08/10,2.032
2010/08/11,2.227
2010/08/12,2.427
2010/08/13,2.572
2010/08/14,2.699
2010/08/15,2.806
2010/08/16,3.084
2010/08/17,3.184
2010/08/18,3.27
2010/08/19,3.339
2010/08/20,3.397
2010/08/21,3.425
2010/08/22,3.432
2010/08/23,3.409
2010/08/24,3.386
2010/08/25,3.369
2010/08/26,2.956
2010/08/27,2.96
2010/08/28,2.621
2010/08/29,2.268
2010/08/30,1.929
2010/08/31,2.013
2010/09/01,1.777
2010/09/02,1.892
2010/09/03,2.414
2010/09/04,2.911
2010/09/05,2.971
2010/09/06,3.034
2010/09/07,3.092
2010/09/08,2.758
2010/09/09,2.848
2010/09/10,2.544
2010/09/11,2.261
2010/09/12,1.958
2010/09/13,1.748
2010/09/14,1.846
2010/09/15,1.817
2010/09/16,1.901
2010/09/17,1.973
2010/09/18,2.074
2010/09/19,2.475
2010/09/20,2.288
2010/09/21,2.045
2010/09/22,1.813
2010/09/23,1.719
2010/09/24,1.663
2010/09/25,1.445
2010/09/26,1.253
2010/09/27,1.047
2010/09/28,1.154
2010/09/29,1.801
2010/09/30,1.708
2010/10/01,1.575
2010/10/02,1.377
2010/10/03,1.884
2010/10/04,4.018
2010/10/05,5.648
2010/10/06,5.575
2010/10/07,6.754
2010/10/08,7.804
2010/10/09,8.689
2010/10/10,9.121
2010/10/11,9.019
2010/10/12,8.568
2010/10/13,8.21
2010/10/14,19.599
2010/10/15,26.03
2010/10/16,39.375
2010/10/17,39.187
2010/10/18,37.46
2010/10/19,34.224
2010/10/20,31.229
2010/10/21,28.233
2010/10/22,24.779
2010/10/23,21.574
