Date,transactions90roc
2010/07/17,-92.434
2010/07/18,463.636
2010/07/19,831.579
2010/07/20,1191
2010/07/21,540
2010/07/22,342
2010/07/23,538.235
2010/07/24,1400
2010/07/25,3287
2010/07/26,322.642
2010/07/27,453.191
2010/07/28,5330
2010/07/29,6388
2010/07/30,429.63
2010/07/31,268
2010/08/01,331.034
2010/08/02,280.488
2010/08/03,1584
2010/08/04,600
2010/08/05,1042
2010/08/06,657.143
2010/08/07,195
2010/08/08,562.069
2010/08/09,1132
2010/08/10,365.625
2010/08/11,358.974
2010/08/12,483.333
2010/08/13,1268
2010/08/14,665
2010/08/15,208.571
2010/08/16,456.364
2010/08/17,339.535
2010/08/18,617.647
2010/08/19,222.034
2010/08/20,641.935
2010/08/21,72.449
2010/08/22,148.387
2010/08/23,254.545
2010/08/24,156.25
2010/08/25,98.667
2010/08/26,192.593
2010/08/27,123.636
2010/08/28,231.373
2010/08/29,88.462
2010/08/30,275
2010/08/31,446.809
2010/09/01,168.675
2010/09/02,243.75
2010/09/03,244.444
2010/09/04,78.846
2010/09/05,180.769
2010/09/06,90.476
2010/09/07,134.615
2010/09/08,205.263
2010/09/09,139.241
2010/09/10,134.615
2010/09/11,116.418
2010/09/12,110.417
2010/09/13,211.765
2010/09/14,342
2010/09/15,350
2010/09/16,409.302
2010/09/17,139.062
2010/09/18,276.744
2010/09/19,65.909
2010/09/20,269.014
2010/09/21,811.429
2010/09/22,602.817
2010/09/23,601.667
2010/09/24,550
2010/09/25,480.357
2010/09/26,150
2010/09/27,293.684
2010/09/28,206.593
2010/09/29,1011
2010/09/30,195.946
2010/10/01,481.081
2010/10/02,591.379
2010/10/03,249.315
2010/10/04,551.282
2010/10/05,295.161
2010/10/06,227.778
2010/10/07,160.87
2010/10/08,397.619
2010/10/09,39.655
2010/10/10,-88.726
2010/10/11,-76.747
2010/10/12,-96.453
2010/10/13,-73.371
2010/10/14,-76.036
2010/10/15,-35.745
2010/10/16,-26.21
2010/10/17,-47.175
2010/10/18,-20.097
2010/10/19,160.937
2010/10/20,103.167
2010/10/21,68.664
2010/10/22,-36.454
2010/10/23,-78.518
2010/10/24,54.911
2010/10/25,-20.385
2010/10/26,-84.542
2010/10/27,-78.957
2010/10/28,86.713
2010/10/29,165.217
2010/10/30,39.2
2010/10/31,-17.949
2010/11/01,-58.67
2010/11/02,-43.878
2010/11/03,-47.138
2010/11/04,-33.491
2010/11/05,88.983
2010/11/06,-8.333
2010/11/07,-10.256
2010/11/08,61.074
2010/11/09,7.263
2010/11/10,10.857
2010/11/11,-41.528
2010/11/12,-23.529
2010/11/13,11.111
2010/11/14,-47.712
2010/11/15,2371
2010/11/16,3551
2010/11/17,-1.053
2010/11/18,437.826
2010/11/19,5511
2010/11/20,6144
2010/11/21,6249
2010/11/22,9.756
2010/11/23,34.899
2010/11/24,2279
2010/11/25,3804
2010/11/26,562.722
2010/11/27,170.408
2010/11/28,56.667
2010/11/29,-4.669
2010/11/30,13.004
2010/12/01,96.364
2010/12/02,75.484
2010/12/03,109.677
2010/12/04,29.452
