Date,difficulty14ema
2010/07/17,53.217
2010/07/18,70.327
2010/07/19,85.156
2010/07/20,98.007
2010/07/21,109.145
2010/07/22,118.799
2010/07/23,127.164
2010/07/24,134.415
2010/07/25,140.699
2010/07/26,146.145
2010/07/27,158.566
2010/07/28,169.986
2010/07/29,179.883
2010/07/30,188.46
2010/07/31,195.894
2010/08/01,202.336
2010/08/02,207.92
2010/08/03,212.759
2010/08/04,216.953
2010/08/05,222.568
2010/08/06,239.847
2010/08/07,254.823
2010/08/08,267.801
2010/08/09,279.049
2010/08/10,288.797
2010/08/11,297.246
2010/08/12,304.568
2010/08/13,310.914
2010/08/14,316.413
2010/08/15,326.217
2010/08/16,350.958
2010/08/17,372.4
2010/08/18,390.983
2010/08/19,407.089
2010/08/20,421.047
2010/08/21,433.144
2010/08/22,443.628
2010/08/23,452.714
2010/08/24,460.588
2010/08/25,467.413
2010/08/26,473.966
2010/08/27,493.888
2010/08/28,511.155
2010/08/29,526.119
2010/08/30,539.088
2010/08/31,550.328
2010/09/01,560.069
2010/09/02,568.512
2010/09/03,575.828
2010/09/04,582.169
2010/09/05,587.665
2010/09/06,592.428
2010/09/07,596.556
2010/09/08,609.897
2010/09/09,623.629
2010/09/10,635.529
2010/09/11,645.843
2010/09/12,654.782
2010/09/13,662.529
2010/09/14,669.243
2010/09/15,675.062
2010/09/16,680.105
2010/09/17,684.476
2010/09/18,688.264
2010/09/19,715.604
2010/09/20,742.568
2010/09/21,765.936
2010/09/22,786.189
2010/09/23,803.741
2010/09/24,818.953
2010/09/25,832.137
2010/09/26,843.562
2010/09/27,853.465
2010/09/28,870.114
2010/09/29,929.922
2010/09/30,981.755
2010/10/01,1027
2010/10/02,1066
2010/10/03,1099
2010/10/04,1129
2010/10/05,1154
2010/10/06,1176
2010/10/07,1195
2010/10/08,1211
2010/10/09,1226
2010/10/10,1238
2010/10/11,1249
2010/10/12,1264
2010/10/13,1279
2010/10/14,1292
2010/10/15,1304
2010/10/16,1314
2010/10/17,1322
2010/10/18,1330
2010/10/19,1336
2010/10/20,1342
2010/10/21,1425
2010/10/22,1521
2010/10/23,1605
2010/10/24,1677
2010/10/25,1740
2010/10/26,1795
2010/10/27,1842
2010/10/28,1883
2010/10/29,1918
2010/10/30,1954
2010/10/31,2106
2010/11/01,2237
2010/11/02,2351
2010/11/03,2450
2010/11/04,2536
2010/11/05,2610
2010/11/06,2674
2010/11/07,2730
2010/11/08,2778
2010/11/09,2897
2010/11/10,3116
2010/11/11,3305
2010/11/12,3469
2010/11/13,3611
2010/11/14,3735
2010/11/15,3842
2010/11/16,3934
2010/11/17,4015
2010/11/18,4135
2010/11/19,4499
2010/11/20,4815
2010/11/21,5088
2010/11/22,5326
2010/11/23,5531
2010/11/24,5709
2010/11/25,5864
2010/11/26,5997
2010/11/27,6113
2010/11/28,6214
2010/11/29,6301
2010/11/30,6416
2010/12/01,6638
2010/12/02,6830
2010/12/03,6996
2010/12/04,7141
2010/12/05,7266
2010/12/06,7374
2010/12/07,7468
2010/12/08,7549
2010/12/09,7640
2010/12/10,8255
2010/12/11,8788
2010/12/12,9250
2010/12/13,9650
2010/12/14,9997
2010/12/15,10298
2010/12/16,10558
2010/12/17,10784
2010/12/18,10980
2010/12/19,11149
2010/12/20,11296
2010/12/21,11471
2010/12/22,11873
2010/12/23,12221
2010/12/24,12523
2010/12/25,12784
2010/12/26,13011
2010/12/27,13207
2010/12/28,13378
2010/12/29,13525
2010/12/30,13653
2010/12/31,13764
2011/01/01,13860
2011/01/02,13943
2011/01/03,14205
2011/01/04,14486
2011/01/05,14729
2011/01/06,14939
2011/01/07,15122
2011/01/08,15280
2011/01/09,15417
2011/01/10,15535
2011/01/11,15638
2011/01/12,15728
2011/01/13,15805
2011/01/14,15872
2011/01/15,16049
2011/01/16,16368
2011/01/17,16644
2011/01/18,16883
2011/01/19,17090
2011/01/20,17270
2011/01/21,17426
2011/01/22,17561
2011/01/23,17677
2011/01/24,17779
2011/01/25,17867
2011/01/26,17943
2011/01/27,18289
2011/01/28,18785
2011/01/29,19216
2011/01/30,19588
2011/01/31,19912
2011/02/01,20192
2011/02/02,20435
2011/02/03,20645
2011/02/04,20827
2011/02/05,20985
2011/02/06,21122
2011/02/07,21241
2011/02/08,21742
2011/02/09,22310
2011/02/10,22801
2011/02/11,23228
2011/02/12,23597
2011/02/13,23917
2011/02/14,24195
2011/02/15,24435
2011/02/16,24643
2011/02/17,24824
2011/02/18,26060
2011/02/19,27446
2011/02/20,28648
2011/02/21,29690
2011/02/22,30592
2011/02/23,31375
2011/02/24,32053
2011/02/25,32640
2011/02/26,33150
2011/02/27,34710
2011/02/28,37494
2011/03/01,39906
2011/03/02,41997
2011/03/03,43810
2011/03/04,45380
2011/03/05,46742
2011/03/06,47921
2011/03/07,48944
2011/03/08,49830
2011/03/09,51542
2011/03/10,54829
2011/03/11,57677
2011/03/12,60146
2011/03/13,62286
2011/03/14,64140
2011/03/15,65747
2011/03/16,67140
2011/03/17,68347
2011/03/18,69393
2011/03/19,70299
2011/03/20,71085
2011/03/21,71766
2011/03/22,72356
2011/03/23,72868
2011/03/24,73311
2011/03/25,72817
2011/03/26,72305
2011/03/27,71861
2011/03/28,71477
2011/03/29,71144
2011/03/30,70855
2011/03/31,70605
2011/04/01,70388
2011/04/02,70200
2011/04/03,70037
2011/04/04,69896
2011/04/05,69902
2011/04/06,71561
2011/04/07,72999
2011/04/08,74245
2011/04/09,75325
2011/04/10,76261
2011/04/11,77073
2011/04/12,77776
2011/04/13,78385
2011/04/14,78913
2011/04/15,79371
2011/04/16,79767
2011/04/17,80111
2011/04/18,81355
2011/04/19,82821
2011/04/20,84091
2011/04/21,85192
2011/04/22,86146
2011/04/23,86973
2011/04/24,87690
2011/04/25,88311
2011/04/26,88849
2011/04/27,89315
2011/04/28,89720
2011/04/29,90070
2011/04/30,92415
2011/05/01,94715
2011/05/02,96709
2011/05/03,98437
2011/05/04,99935
2011/05/05,101233
2011/05/06,102358
2011/05/07,103333
2011/05/08,104178
2011/05/09,105683
2011/05/10,112581
2011/05/11,118559
2011/05/12,123740
2011/05/13,128230
2011/05/14,132121
2011/05/15,135494
2011/05/16,138417
2011/05/17,140950
2011/05/18,143828
2011/05/19,157199
2011/05/20,168788
2011/05/21,178831
2011/05/22,187535
2011/05/23,195079
2011/05/24,201617
2011/05/25,207283
2011/05/26,216662
2011/05/27,245757
2011/05/28,270973
2011/05/29,292827
2011/05/30,311767
2011/05/31,328182
2011/06/01,342408
2011/06/02,354737
2011/06/03,365422
2011/06/04,374683
2011/06/05,382709
2011/06/06,396256
2011/06/07,419058
2011/06/08,438819
2011/06/09,455946
2011/06/10,470789
2011/06/11,483653
2011/06/12,494802
2011/06/13,504464
2011/06/14,512838
2011/06/15,536228
2011/06/16,581658
2011/06/17,621031
2011/06/18,655154
2011/06/19,684727
2011/06/20,710358
2011/06/21,732571
2011/06/22,751822
2011/06/23,768506
2011/06/24,808388
2011/06/25,884495
2011/06/26,950455
2011/06/27,1007620
2011/06/28,1057163
2011/06/29,1100100
2011/06/30,1137312
2011/07/01,1169563
2011/07/02,1197514
2011/07/03,1221737
2011/07/04,1242731
2011/07/05,1260926
2011/07/06,1280286
2011/07/07,1317985
2011/07/08,1350657
2011/07/09,1378973
2011/07/10,1403514
2011/07/11,1424782
2011/07/12,1443215
2011/07/13,1459190
2011/07/14,1473035
2011/07/15,1485034
2011/07/16,1495433
2011/07/17,1504446
2011/07/18,1512257
2011/07/19,1521788
2011/07/20,1544336
2011/07/21,1563877
2011/07/22,1580813
2011/07/23,1595491
2011/07/24,1608211
2011/07/25,1619236
2011/07/26,1628791
2011/07/27,1637071
2011/07/28,1644248
2011/07/29,1650468
2011/07/30,1655858
2011/07/31,1660530
2011/08/01,1680090
2011/08/02,1707916
2011/08/03,1732032
2011/08/04,1752933
2011/08/05,1771047
2011/08/06,1786745
2011/08/07,1800351
2011/08/08,1812142
2011/08/09,1822362
2011/08/10,1831218
2011/08/11,1838894
2011/08/12,1845546
2011/08/13,1851312
2011/08/14,1856308
2011/08/15,1860467
2011/08/16,1853165
2011/08/17,1846836
2011/08/18,1841352
2011/08/19,1836598
2011/08/20,1832479
2011/08/21,1828908
2011/08/22,1825814
2011/08/23,1823132
2011/08/24,1820808
2011/08/25,1818794
2011/08/26,1817048
2011/08/27,1815535
2011/08/28,1814224
2011/08/29,1813087
2011/08/30,1809093
2011/08/31,1804917
2011/09/01,1801298
2011/09/02,1798162
2011/09/03,1795443
2011/09/04,1793088
2011/09/05,1791046
2011/09/06,1789276
2011/09/07,1787743
2011/09/08,1786414
2011/09/09,1785262
2011/09/10,1784263
2011/09/11,1783398
2011/09/12,1782648
2011/09/13,1780320
2011/09/14,1777000
2011/09/15,1774124
2011/09/16,1771631
2011/09/17,1769470
2011/09/18,1767597
2011/09/19,1765974
2011/09/20,1764568
2011/09/21,1763349
2011/09/22,1762292
