Date,top100cap14roc
2010/07/17,-0.339
2010/07/18,-1.251
2010/07/19,-1.873
2010/07/20,-2.037
2010/07/21,-2.282
2010/07/22,-2.26
2010/07/23,-2.562
2010/07/24,-2.782
2010/07/25,-2.871
2010/07/26,1.702
2010/07/27,2.993
2010/07/28,3.452
2010/07/29,2.952
2010/07/30,2.783
2010/07/31,2.14
2010/08/01,2.014
2010/08/02,2.134
2010/08/03,2.646
2010/08/04,2.111
2010/08/05,2.439
2010/08/06,2.684
2010/08/07,2.525
2010/08/08,2.524
2010/08/09,0.068
2010/08/10,-0.39
2010/08/11,0.341
2010/08/12,-0.21
2010/08/13,0.152
2010/08/14,0.142
2010/08/15,-0.002
2010/08/16,0.781
2010/08/17,1.108
2010/08/18,1.361
2010/08/19,1.098
2010/08/20,1.402
2010/08/21,1.352
2010/08/22,1.499
2010/08/23,0.748
2010/08/24,1.156
2010/08/25,0.15
2010/08/26,0.643
2010/08/27,0.517
2010/08/28,0.452
2010/08/29,0.259
2010/08/30,-0.475
2010/08/31,-0.64
2010/09/01,-0.636
2010/09/02,-0.609
2010/09/03,-0.817
2010/09/04,-0.618
2010/09/05,-0.405
2010/09/06,-0.458
2010/09/07,-0.748
2010/09/08,-0.711
2010/09/09,-0.822
2010/09/10,-1.094
2010/09/11,-0.945
2010/09/12,-0.372
2010/09/13,-0.75
2010/09/14,-1.385
2010/09/15,-1.457
2010/09/16,-1.027
2010/09/17,1.227
2010/09/18,1.339
2010/09/19,1.582
2010/09/20,1.902
2010/09/21,1.915
2010/09/22,1.918
2010/09/23,2.831
2010/09/24,3.104
2010/09/25,3.738
2010/09/26,3.783
2010/09/27,5.797
2010/09/28,10.477
2010/09/29,10.665
2010/09/30,9.942
2010/10/01,7.404
2010/10/02,9.259
2010/10/03,8.699
2010/10/04,7.442
2010/10/05,7.831
2010/10/06,7.881
2010/10/07,8.999
2010/10/08,9.485
2010/10/09,9.876
2010/10/10,10.34
2010/10/11,8.514
2010/10/12,4.204
2010/10/13,4.715
2010/10/14,5.594
2010/10/15,5.42
2010/10/16,4.06
2010/10/17,4.157
2010/10/18,5.782
2010/10/19,4.842
2010/10/20,5.263
2010/10/21,3.312
2010/10/22,2.735
2010/10/23,1.935
2010/10/24,1.143
2010/10/25,1.503
2010/10/26,2.051
2010/10/27,1.904
2010/10/28,1.091
2010/10/29,0.991
2010/10/30,0.257
2010/10/31,0.435
2010/11/01,-0.176
2010/11/02,0.581
2010/11/03,0.184
2010/11/04,0.234
2010/11/05,0.301
2010/11/06,0.517
2010/11/07,0.299
2010/11/08,2.543
2010/11/09,1.846
2010/11/10,0.984
2010/11/11,0.987
2010/11/12,1.297
2010/11/13,1.032
2010/11/14,1.051
2010/11/15,0.905
2010/11/16,0.676
2010/11/17,1.135
2010/11/18,0.933
2010/11/19,0.659
2010/11/20,0.818
2010/11/21,1.049
2010/11/22,-1.217
2010/11/23,-0.793
2010/11/24,0.102
2010/11/25,0.532
2010/11/26,0.635
2010/11/27,0.937
2010/11/28,0.627
2010/11/29,0.654
2010/11/30,1.236
2010/12/01,1.597
2010/12/02,2.621
2010/12/03,3.513
2010/12/04,3.27
2010/12/05,3.427
2010/12/06,2.724
2010/12/07,2.255
2010/12/08,1.894
2010/12/09,1.435
2010/12/10,1.57
2010/12/11,1.719
2010/12/12,1.559
2010/12/13,2.64
2010/12/14,2.01
2010/12/15,1.192
2010/12/16,0.23
2010/12/17,-0.559
2010/12/18,-0.859
2010/12/19,-1.466
2010/12/20,-0.594
2010/12/21,-1.218
2010/12/22,-1.064
2010/12/23,-0.937
2010/12/24,-1.203
2010/12/25,-1.174
2010/12/26,-1.144
2010/12/27,-1.63
2010/12/28,-1.67
2010/12/29,-2.15
2010/12/30,-2.217
2010/12/31,-2.579
2011/01/01,-2.589
2011/01/02,-2.243
2011/01/03,-2.392
2011/01/04,-1.686
2011/01/05,-1.69
2011/01/06,-1.784
2011/01/07,-1.803
2011/01/08,-1.89
2011/01/09,-1.696
2011/01/10,-2.557
2011/01/11,-2.015
2011/01/12,-1.494
2011/01/13,-1.01
2011/01/14,-0.517
2011/01/15,-0.519
2011/01/16,-0.042
2011/01/17,0.043
2011/01/18,-0.118
2011/01/19,-0.624
2011/01/20,-0.4
2011/01/21,-0.259
2011/01/22,-0.307
2011/01/23,0.332
2011/01/24,0.632
2011/01/25,0.134
2011/01/26,-0.177
2011/01/27,8.884
2011/01/28,8.684
2011/01/29,8.755
2011/01/30,8.265
2011/01/31,7.939
2011/02/01,8.598
2011/02/02,8.454
2011/02/03,8.614
2011/02/04,8.411
2011/02/05,8.578
2011/02/06,7.389
2011/02/07,8.111
2011/02/08,7.884
2011/02/09,8.716
2011/02/10,-0.748
2011/02/11,-0.926
2011/02/12,-1.026
2011/02/13,-1.002
2011/02/14,-0.978
2011/02/15,-1.268
2011/02/16,-0.989
2011/02/17,-1.3
2011/02/18,-1.411
2011/02/19,-1.6
2011/02/20,-0.906
2011/02/21,-1.604
2011/02/22,-1.699
2011/02/23,-2.088
2011/02/24,-2.147
2011/02/25,-1.997
2011/02/26,-1.892
2011/02/27,-0.273
2011/02/28,-0.766
2011/03/01,-0.189
2011/03/02,-7.682
2011/03/03,-7.861
2011/03/04,-7.96
2011/03/05,-7.773
2011/03/06,-7.982
2011/03/07,-7.907
2011/03/08,-7.632
2011/03/09,-7.668
2011/03/10,-7.916
2011/03/11,-8.337
2011/03/12,-8.655
2011/03/13,-10.208
2011/03/14,-9.325
2011/03/15,-10.067
2011/03/16,-2.396
2011/03/17,-1.822
2011/03/18,-1.256
2011/03/19,-1.458
2011/03/20,-1.64
2011/03/21,-1.35
2011/03/22,-1.573
2011/03/23,-1.27
2011/03/24,-1.029
2011/03/25,-0.629
2011/03/26,-0.178
2011/03/27,-0.374
2011/03/28,-0.804
2011/03/29,-0.656
2011/03/30,-1.223
2011/03/31,-1.684
2011/04/01,-1.971
2011/04/02,-2.54
2011/04/03,-2.567
2011/04/04,-3.023
2011/04/05,-2.746
2011/04/06,-2.898
2011/04/07,-2.659
2011/04/08,-2.601
2011/04/09,-3.105
2011/04/10,-2.836
2011/04/11,-2.674
2011/04/12,-3.028
2011/04/13,-2.78
2011/04/14,-0.947
2011/04/15,-0.993
2011/04/16,-0.487
2011/04/17,-1.368
2011/04/18,-1.437
2011/04/19,3.04
2011/04/20,2.793
2011/04/21,1.754
2011/04/22,1.669
2011/04/23,0.971
2011/04/24,0.648
2011/04/25,0.575
2011/04/26,0.85
2011/04/27,1.012
2011/04/28,-1.222
2011/04/29,-2.303
2011/04/30,1.935
2011/05/01,2.926
2011/05/02,3.128
2011/05/03,-0.93
2011/05/04,-0.117
2011/05/05,0.747
2011/05/06,0.023
2011/05/07,1.263
2011/05/08,1.192
2011/05/09,1.117
2011/05/10,1.204
2011/05/11,2.321
2011/05/12,3.465
2011/05/13,5.968
2011/05/14,1.78
2011/05/15,3.172
2011/05/16,3.614
2011/05/17,3.089
2011/05/18,2.949
2011/05/19,2.706
2011/05/20,3.202
2011/05/21,5.976
2011/05/22,6.299
2011/05/23,5.286
2011/05/24,5.042
2011/05/25,3.628
2011/05/26,2.888
2011/05/27,2.177
2011/05/28,2.044
2011/05/29,0.887
2011/05/30,0.686
2011/05/31,0.753
2011/06/01,0.339
2011/06/02,1.04
2011/06/03,1.799
2011/06/04,-1.175
2011/06/05,-0.777
2011/06/06,-0.633
2011/06/07,-0.87
2011/06/08,-3.019
2011/06/09,-3.123
2011/06/10,-4.326
2011/06/11,-3.78
2011/06/12,2.613
2011/06/13,3.055
2011/06/14,0.754
2011/06/15,0.248
2011/06/16,-0.851
2011/06/17,-1.879
2011/06/18,-1.949
2011/06/19,0.244
2011/06/20,0.964
2011/06/21,1.245
2011/06/22,3.508
2011/06/23,5.997
2011/06/24,6.437
2011/06/25,4.942
2011/06/26,-2.228
2011/06/27,-1.81
2011/06/28,-0.387
2011/06/29,-0.848
