Date,size30sma
2010/07/17,467.325
2010/07/18,484.416
2010/07/19,496.286
2010/07/20,521.899
2010/07/21,529.539
2010/07/22,535.686
2010/07/23,541.559
2010/07/24,580.36
2010/07/25,677.372
2010/07/26,701.142
2010/07/27,716.068
2010/07/28,818.569
2010/07/29,885.59
2010/07/30,865.993
2010/07/31,869.786
2010/08/01,861.534
2010/08/02,864.721
2010/08/03,876.421
2010/08/04,880.623
2010/08/05,901.66
2010/08/06,912.839
2010/08/07,922.687
2010/08/08,929.981
2010/08/09,970.749
2010/08/10,969.818
2010/08/11,955.965
2010/08/12,953.946
2010/08/13,886.956
2010/08/14,874.287
2010/08/15,867.358
2010/08/16,877.999
2010/08/17,872.307
2010/08/18,911.256
2010/08/19,896.521
2010/08/20,895.599
2010/08/21,894.483
2010/08/22,892.629
2010/08/23,858.015
2010/08/24,778.364
2010/08/25,758.9
2010/08/26,752.309
2010/08/27,653.987
2010/08/28,592.525
2010/08/29,585.673
2010/08/30,592.365
2010/08/31,610.526
2010/09/01,625.766
2010/09/02,618.536
2010/09/03,619.14
2010/09/04,601.857
2010/09/05,594.824
2010/09/06,590.321
2010/09/07,588.274
2010/09/08,554.828
2010/09/09,562.792
2010/09/10,564.937
2010/09/11,566.467
2010/09/12,561.903
2010/09/13,571.39
2010/09/14,577.869
2010/09/15,568.462
2010/09/16,564.331
2010/09/17,521.698
2010/09/18,515.997
2010/09/19,513.125
2010/09/20,518.224
2010/09/21,554.321
2010/09/22,579.51
2010/09/23,579.427
2010/09/24,586.019
2010/09/25,593.176
2010/09/26,596.864
2010/09/27,608.538
2010/09/28,635.481
2010/09/29,686.435
2010/09/30,678.972
2010/10/01,685.989
2010/10/02,726.285
2010/10/03,740.661
2010/10/04,757.434
2010/10/05,772.598
2010/10/06,779.425
2010/10/07,786.116
2010/10/08,796.236
2010/10/09,802.576
2010/10/10,804.889
2010/10/11,809.918
2010/10/12,809.862
2010/10/13,812.958
2010/10/14,811.975
2010/10/15,804.11
2010/10/16,804.691
2010/10/17,796.723
2010/10/18,806.125
2010/10/19,827.954
2010/10/20,833.829
2010/10/21,814.377
2010/10/22,815.001
2010/10/23,817.298
2010/10/24,823.13
2010/10/25,819.121
2010/10/26,820.794
2010/10/27,819.183
2010/10/28,802.722
2010/10/29,753.712
2010/10/30,744.473
2010/10/31,725.674
2010/11/01,684.488
2010/11/02,668.184
2010/11/03,655.146
2010/11/04,638.9
2010/11/05,638.733
2010/11/06,634.07
2010/11/07,622.863
2010/11/08,620.851
2010/11/09,618.048
2010/11/10,614.463
2010/11/11,608.184
2010/11/12,594.788
2010/11/13,590.684
2010/11/14,591.658
2010/11/15,865.58
2010/11/16,1214
2010/11/17,1207
