Date,confirmationtime7roc
2010/07/17,14.451
2010/07/18,4.07
2010/07/19,278.736
2010/07/20,282.32
2010/07/21,179.227
2010/07/22,254.545
2010/07/23,160.309
2010/07/24,-8.466
2010/07/25,-25.541
2010/07/26,-28.395
2010/07/27,9.036
2010/07/28,30.189
2010/07/29,-2.222
2010/07/30,6.593
2010/07/31,-6.897
2010/08/01,-3.347
2010/08/02,0.413
2010/08/03,-26.872
2010/08/04,-34.568
2010/08/05,-17.431
2010/08/06,23.81
2010/08/07,30.968
2010/08/08,20.101
2010/08/09,27.368
2010/08/10,18.848
2010/08/11,4.292
2010/08/12,0.461
2010/08/13,-31.628
2010/08/14,-44.84
2010/08/15,-3.865
2010/08/16,29.252
2010/08/17,48.062
2010/08/18,75.188
2010/08/19,60.741
2010/08/20,11.399
2010/08/21,62.428
2010/08/22,-2.358
2010/08/23,-30.986
2010/08/24,-40
2010/08/25,-38.426
2010/08/26,-35.714
2010/08/27,12.865
2010/08/28,1.765
2010/08/29,30.864
2010/08/30,42.953
2010/08/31,16.848
2010/09/01,37.58
2010/09/02,34.615
2010/09/03,4.268
2010/09/04,-6.077
2010/09/05,-1.818
2010/09/06,-5.696
2010/09/07,15
2010/09/08,-4.848
2010/09/09,15.556
2010/09/10,-7.345
2010/09/11,13.125
2010/09/12,-6.78
2010/09/13,-7.602
2010/09/14,-21.182
2010/09/15,-2.367
2010/09/16,-38.356
2010/09/17,-14.904
2010/09/18,-32.489
2010/09/19,-15.311
2010/09/20,-15.764
2010/09/21,18.023
2010/09/22,-2.874
2010/09/23,-6.41
2010/09/24,-8.772
2010/09/25,14.493
2010/09/26,1.951
2010/09/27,-11.354
2010/09/28,-18.868
2010/09/29,6.098
2010/09/30,60.274
2010/10/01,48.052
2010/10/02,107
2010/10/03,68.033
2010/10/04,49.673
2010/10/05,68.254
2010/10/06,-4.094
2010/10/07,-8.75
2010/10/08,0
2010/10/09,-36.709
2010/10/10,-31.461
2010/10/11,-3.774
2010/10/12,-18.71
2010/10/13,-2.841
