Date,activeaddresses3std
2010/07/17,1031
2010/07/18,806.213
2010/07/19,139.87
2010/07/20,57.743
2010/07/21,133.889
2010/07/22,256.262
2010/07/23,178.336
2010/07/24,322.061
2010/07/25,1274
2010/07/26,997.449
2010/07/27,1129
2010/07/28,492.429
2010/07/29,199.749
2010/07/30,120.41
2010/07/31,88.187
2010/08/01,123.032
2010/08/02,140.124
2010/08/03,330.504
2010/08/04,290.803
2010/08/05,200.907
2010/08/06,147.805
2010/08/07,250.477
2010/08/08,101.526
2010/08/09,223.34
2010/08/10,180.143
2010/08/11,154.336
2010/08/12,110.204
2010/08/13,219.113
2010/08/14,260.543
2010/08/15,351.368
2010/08/16,285.294
2010/08/17,299.966
2010/08/18,243.332
2010/08/19,230.879
2010/08/20,216.058
2010/08/21,155.412
2010/08/22,104.665
2010/08/23,102.15
2010/08/24,55.96
2010/08/25,136.375
2010/08/26,135.807
2010/08/27,145.202
2010/08/28,134.247
2010/08/29,117.602
2010/08/30,126.874
2010/08/31,283.395
2010/09/01,174.695
2010/09/02,159.502
2010/09/03,84.48
2010/09/04,75.171
2010/09/05,79.202
2010/09/06,79.939
2010/09/07,123.032
2010/09/08,121.077
2010/09/09,121.922
2010/09/10,27.536
2010/09/11,91.782
2010/09/12,228.86
2010/09/13,265.462
2010/09/14,47.954
2010/09/15,51.88
2010/09/16,20.806
2010/09/17,311.223
2010/09/18,371.623
2010/09/19,379.91
2010/09/20,118.348
2010/09/21,507.528
2010/09/22,423.743
2010/09/23,162.369
2010/09/24,223.595
2010/09/25,220.166
2010/09/26,182.555
2010/09/27,539.653
2010/09/28,884.431
2010/09/29,442.69
2010/09/30,866.749
2010/10/01,462.112
2010/10/02,174.272
2010/10/03,144.188
2010/10/04,130.476
2010/10/05,134.554
2010/10/06,122.956
2010/10/07,49.071
2010/10/08,140.194
2010/10/09,136.844
2010/10/10,158.041
2010/10/11,116.149
2010/10/12,19.067
2010/10/13,271.334
2010/10/14,269.821
2010/10/15,303.387
2010/10/16,309.92
2010/10/17,287.445
2010/10/18,177.616
2010/10/19,550.104
2010/10/20,376.441
2010/10/21,338.455
2010/10/22,189.415
2010/10/23,140.687
2010/10/24,122.322
2010/10/25,86.785
2010/10/26,101.153
2010/10/27,304.939
2010/10/28,205.032
2010/10/29,220.123
2010/10/30,277.402
2010/10/31,230.426
2010/11/01,73.145
2010/11/02,121
2010/11/03,121.666
2010/11/04,127.795
2010/11/05,232.086
2010/11/06,220.329
2010/11/07,196.618
2010/11/08,878.287
2010/11/09,851.105
2010/11/10,868.802
2010/11/11,45.792
2010/11/12,165.395
2010/11/13,127.607
2010/11/14,375.256
2010/11/15,3457
2010/11/16,2933
2010/11/17,3137
2010/11/18,2557
2010/11/19,37.035
2010/11/20,139.258
2010/11/21,124.39
2010/11/22,140.209
2010/11/23,113.247
2010/11/24,304.066
2010/11/25,264.923
2010/11/26,248.177
2010/11/27,319.687
2010/11/28,419.079
2010/11/29,159.41
2010/11/30,158.501
2010/12/01,259.601
2010/12/02,287.346
2010/12/03,253.819
2010/12/04,124.283
2010/12/05,161.735
2010/12/06,34.654
2010/12/07,404.307
2010/12/08,334.761
2010/12/09,263.307
2010/12/10,226.582
2010/12/11,354.766
2010/12/12,478.468
2010/12/13,522.786
2010/12/14,483.549
2010/12/15,534.376
2010/12/16,158.527
2010/12/17,236.104
2010/12/18,125.67
2010/12/19,251.226
2010/12/20,496.941
2010/12/21,351.197
2010/12/22,309.857
2010/12/23,158.529
2010/12/24,293.359
2010/12/25,190.762
2010/12/26,193.515
2010/12/27,91.758
2010/12/28,104.665
2010/12/29,126.842
2010/12/30,83.058
2010/12/31,157.641
2011/01/01,175.735
2011/01/02,157.94
2011/01/03,315.613
2011/01/04,315.199
2011/01/05,386.441
2011/01/06,402.202
2011/01/07,322.55
2011/01/08,261.58
2011/01/09,179.755
2011/01/10,73.973
2011/01/11,140.952
2011/01/12,237.601
2011/01/13,360.09
2011/01/14,373.42
2011/01/15,228.251
2011/01/16,152.406
2011/01/17,154.655
2011/01/18,155.446
2011/01/19,163.4
2011/01/20,108.472
2011/01/21,449.442
2011/01/22,621.766
2011/01/23,233.423
2011/01/24,215.629
2011/01/25,528.652
2011/01/26,524.27
2011/01/27,173.377
2011/01/28,86.085
2011/01/29,383.501
2011/01/30,1279
2011/01/31,993.021
2011/02/01,1091
2011/02/02,605.738
2011/02/03,539.198
2011/02/04,220.692
2011/02/05,237.005
2011/02/06,117.636
2011/02/07,122.162
2011/02/08,29.978
2011/02/09,637.308
2011/02/10,1773
2011/02/11,1844
2011/02/12,859.256
2011/02/13,968.663
2011/02/14,786.793
2011/02/15,743.8
2011/02/16,936.01
2011/02/17,447.218
2011/02/18,543.827
2011/02/19,627.557
2011/02/20,588.649
2011/02/21,335.607
2011/02/22,524.049
2011/02/23,470.195
2011/02/24,107.905
2011/02/25,318.614
2011/02/26,214.838
2011/02/27,185.014
2011/02/28,547.535
2011/03/01,1825
2011/03/02,1805
2011/03/03,1265
2011/03/04,1360
2011/03/05,1392
2011/03/06,295.072
2011/03/07,245.389
2011/03/08,481.67
2011/03/09,444.061
2011/03/10,779.771
2011/03/11,396.751
2011/03/12,262.257
2011/03/13,277.13
2011/03/14,316.364
2011/03/15,379.524
2011/03/16,331.76
2011/03/17,108.824
2011/03/18,107.136
2011/03/19,108.086
2011/03/20,1241
2011/03/21,1306
2011/03/22,669.951
2011/03/23,2541
2011/03/24,2618
2011/03/25,2444
2011/03/26,547.352
2011/03/27,595.727
2011/03/28,507.41
2011/03/29,595.817
2011/03/30,1375
2011/03/31,809.149
2011/04/01,720.524
2011/04/02,818.142
2011/04/03,316.03
2011/04/04,1121
2011/04/05,830.435
2011/04/06,618.407
2011/04/07,720.97
2011/04/08,362.544
2011/04/09,198.993
2011/04/10,115.578
2011/04/11,474.991
2011/04/12,679.738
2011/04/13,500.847
2011/04/14,1409
2011/04/15,1529
2011/04/16,1514
2011/04/17,1070
2011/04/18,1052
2011/04/19,1642
2011/04/20,843.22
2011/04/21,1887
2011/04/22,1180
2011/04/23,761.305
2011/04/24,565.082
2011/04/25,346.906
2011/04/26,1255
2011/04/27,1976
2011/04/28,1232
2011/04/29,1040
2011/04/30,1635
2011/05/01,1152
2011/05/02,1815
2011/05/03,1388
2011/05/04,337.229
2011/05/05,874.827
2011/05/06,601.521
2011/05/07,349.053
2011/05/08,716.989
