Date,size7var
2010/07/17,590724
2010/07/18,556544
2010/07/19,560176
2010/07/20,515951
2010/07/21,21528
2010/07/22,26164
2010/07/23,30454
2010/07/24,105107
2010/07/25,790947
2010/07/26,777475
2010/07/27,802386
2010/07/28,1320491
2010/07/29,1213763
2010/07/30,1180497
2010/07/31,1417040
2010/08/01,1160769
2010/08/02,1249035
2010/08/03,1240910
2010/08/04,461413
2010/08/05,34594
2010/08/06,37673
2010/08/07,33966
2010/08/08,29232
2010/08/09,113649
2010/08/10,127986
2010/08/11,127369
2010/08/12,133120
2010/08/13,135138
2010/08/14,140990
2010/08/15,148794
2010/08/16,50636
2010/08/17,48305
2010/08/18,269267
2010/08/19,254461
2010/08/20,263837
2010/08/21,259483
2010/08/22,251474
2010/08/23,258319
2010/08/24,257073
2010/08/25,16477
2010/08/26,15950
2010/08/27,16452
2010/08/28,16982
2010/08/29,18726
2010/08/30,19988
2010/08/31,33161
2010/09/01,37525
2010/09/02,36546
2010/09/03,34937
2010/09/04,43191
2010/09/05,36769
2010/09/06,39541
2010/09/07,21614
2010/09/08,3605
2010/09/09,7835
2010/09/10,7836
2010/09/11,5434
2010/09/12,8102
2010/09/13,11834
2010/09/14,8524
2010/09/15,9606
2010/09/16,10347
2010/09/17,10095
2010/09/18,12796
2010/09/19,14690
2010/09/20,11928
2010/09/21,119789
2010/09/22,149835
2010/09/23,138036
2010/09/24,143904
2010/09/25,120601
2010/09/26,113068
2010/09/27,105934
2010/09/28,60729
2010/09/29,269256
2010/09/30,274512
2010/10/01,247592
2010/10/02,288278
2010/10/03,238130
2010/10/04,242591
2010/10/05,252121
2010/10/06,118055
2010/10/07,125708
2010/10/08,127080
2010/10/09,12825
2010/10/10,17286
2010/10/11,18045
2010/10/12,9854
2010/10/13,11915
2010/10/14,15630
2010/10/15,17543
2010/10/16,11160
2010/10/17,14315
2010/10/18,15744
2010/10/19,50506
2010/10/20,50456
2010/10/21,54834
2010/10/22,72326
2010/10/23,57687
2010/10/24,32188
2010/10/25,37843
2010/10/26,38915
2010/10/27,39108
2010/10/28,39656
2010/10/29,10175
2010/10/30,15634
2010/10/31,17127
2010/11/01,18070
2010/11/02,23474
2010/11/03,11018
2010/11/04,7281
2010/11/05,6073
2010/11/06,5427
2010/11/07,5476
2010/11/08,16550
2010/11/09,13953
2010/11/10,13440
2010/11/11,13527
2010/11/12,13399
2010/11/13,15171
2010/11/14,15042
2010/11/15,8382814
2010/11/16,18229123
2010/11/17,18262480
2010/11/18,17695361
2010/11/19,30667912
2010/11/20,47168551
2010/11/21,44404544
2010/11/22,55946059
2010/11/23,63212722
2010/11/24,56115278
2010/11/25,48049363
2010/11/26,49290890
2010/11/27,30879288
2010/11/28,10096951
2010/11/29,10057155
2010/11/30,10122676
2010/12/01,9199908
2010/12/02,176560
2010/12/03,4433
2010/12/04,6666
2010/12/05,11795
2010/12/06,14735
2010/12/07,16369
2010/12/08,8618
2010/12/09,7856
2010/12/10,8292
2010/12/11,22427
2010/12/12,32388
2010/12/13,135555
2010/12/14,131115
2010/12/15,112627
2010/12/16,95219
2010/12/17,77528
2010/12/18,81728
2010/12/19,81885
2010/12/20,69721
2010/12/21,71713
2010/12/22,72241
2010/12/23,65293
2010/12/24,64747
2010/12/25,57635
2010/12/26,55674
2010/12/27,9016
2010/12/28,5665
2010/12/29,4210
2010/12/30,3751
2010/12/31,4842
2011/01/01,4694
2011/01/02,3721
2011/01/03,258376
2011/01/04,287556
2011/01/05,403053
2011/01/06,362753
2011/01/07,288445
2011/01/08,250550
2011/01/09,126524
2011/01/10,107238
2011/01/11,104334
2011/01/12,84651
2011/01/13,47011
2011/01/14,20012
2011/01/15,22066
2011/01/16,40531
2011/01/17,80532
2011/01/18,51882
2011/01/19,51994
2011/01/20,57032
2011/01/21,72874
2011/01/22,326060
2011/01/23,327840
2011/01/24,265142
2011/01/25,284500
2011/01/26,285348
2011/01/27,224583
2011/01/28,224741
2011/01/29,187189
2011/01/30,2474072
2011/01/31,2453398
2011/02/01,2248692
2011/02/02,2178828
2011/02/03,2303559
2011/02/04,2480799
2011/02/05,2673318
2011/02/06,303317
2011/02/07,147142
2011/02/08,28833
2011/02/09,33299
2011/02/10,555128
2011/02/11,960162
2011/02/12,945689
2011/02/13,868692
2011/02/14,712869
2011/02/15,401561
2011/02/16,230448
2011/02/17,204866
2011/02/18,130372
2011/02/19,130559
2011/02/20,120976
2011/02/21,41090
2011/02/22,49933
2011/02/23,28771
2011/02/24,30263
2011/02/25,25756
2011/02/26,90759
2011/02/27,91492
2011/02/28,185396
2011/03/01,1954742
2011/03/02,1889616
2011/03/03,2072445
2011/03/04,1980760
2011/03/05,1663919
2011/03/06,1896251
2011/03/07,2012613
2011/03/08,758940
2011/03/09,771039
2011/03/10,722830
2011/03/11,867372
2011/03/12,1361253
2011/03/13,1387479
2011/03/14,1530417
2011/03/15,2132266
2011/03/16,1426969
2011/03/17,1019625
2011/03/18,489676
2011/03/19,497582
2011/03/20,1513847
2011/03/21,2617705
2011/03/22,3170488
2011/03/23,3219860
2011/03/24,4139011
2011/03/25,5518134
2011/03/26,5525969
2011/03/27,4502832
2011/03/28,2395945
2011/03/29,2468889
2011/03/30,1713888
2011/03/31,2116763
2011/04/01,2492742
2011/04/02,1588434
2011/04/03,1150528
2011/04/04,529174
2011/04/05,142720
2011/04/06,186607
2011/04/07,189682
2011/04/08,156744
2011/04/09,114973
2011/04/10,72894
2011/04/11,90967
2011/04/12,314033
2011/04/13,334465
2011/04/14,694189
2011/04/15,1217223
2011/04/16,1047527
2011/04/17,763732
2011/04/18,968710
2011/04/19,1517388
2011/04/20,1860399
2011/04/21,2513033
2011/04/22,3127758
2011/04/23,3222981
2011/04/24,2829092
2011/04/25,2682392
2011/04/26,2065220
2011/04/27,3736424
2011/04/28,3468315
2011/04/29,2662282
2011/04/30,2998400
2011/05/01,2781355
2011/05/02,2905287
2011/05/03,3098118
2011/05/04,2203233
2011/05/05,2240730
2011/05/06,2359689
2011/05/07,1328895
2011/05/08,146416
2011/05/09,134957
2011/05/10,562286
2011/05/11,588571
2011/05/12,1025818
2011/05/13,1719454
2011/05/14,1600618
2011/05/15,879763
2011/05/16,439220
2011/05/17,491441
2011/05/18,370947
2011/05/19,1844212
2011/05/20,1856947
2011/05/21,1731226
2011/05/22,1633320
2011/05/23,1600117
2011/05/24,1502108
2011/05/25,1445213
2011/05/26,454419
2011/05/27,1293597
2011/05/28,3104264
2011/05/29,2947382
2011/05/30,4697035
2011/05/31,7470965
2011/06/01,5866539
2011/06/02,4910621
2011/06/03,7923698
2011/06/04,7208020
2011/06/05,3152660
2011/06/06,2752144
2011/06/07,4878185
2011/06/08,23028379
