Date,transactions7wma
2010/07/17,1331
2010/07/18,1044
2010/07/19,780.643
2010/07/20,578.179
2010/07/21,349.821
2010/07/22,301.929
2010/07/23,270.357
2010/07/24,377.179
2010/07/25,688.964
2010/07/26,610.75
2010/07/27,546.179
2010/07/28,870.071
2010/07/29,1113
2010/07/30,917.286
2010/07/31,711.607
2010/08/01,536.071
2010/08/02,420.679
2010/08/03,373.964
2010/08/04,265.25
2010/08/05,238.786
2010/08/06,240.714
2010/08/07,216.679
2010/08/08,210.214
2010/08/09,211.857
2010/08/10,189.464
2010/08/11,184.286
2010/08/12,178.714
2010/08/13,209
2010/08/14,199.107
2010/08/15,176.714
2010/08/16,206.821
2010/08/17,205.107
2010/08/18,215.714
2010/08/19,210.5
2010/08/20,214.75
2010/08/21,206.286
2010/08/22,193.5
2010/08/23,179.571
2010/08/24,173
2010/08/25,163.571
2010/08/26,159.786
2010/08/27,148.393
2010/08/28,152.321
2010/08/29,138.5
2010/08/30,147.179
2010/08/31,174.25
2010/09/01,189.5
2010/09/02,187.607
2010/09/03,182.964
2010/09/04,161.679
2010/09/05,156.357
2010/09/06,142.821
2010/09/07,131.929
2010/09/08,138.857
2010/09/09,151.286
2010/09/10,161.357
2010/09/11,160.929
2010/09/12,172.893
2010/09/13,198.607
2010/09/14,208.143
2010/09/15,224.143
2010/09/16,226.536
2010/09/17,211.357
2010/09/18,199.5
2010/09/19,183.036
2010/09/20,197.571
2010/09/21,306.214
2010/09/22,365.214
2010/09/23,396.214
2010/09/24,383
2010/09/25,378.5
2010/09/26,335.679
2010/09/27,335.857
2010/09/28,308.286
2010/09/29,426.536
2010/09/30,385.643
2010/10/01,404.714
2010/10/02,410.929
2010/10/03,377.929
2010/10/04,342.536
2010/10/05,309.179
2010/10/06,274.786
2010/10/07,246.929
2010/10/08,227.714
2010/10/09,224.893
2010/10/10,213.214
2010/10/11,203.536
2010/10/12,199.893
2010/10/13,195.714
2010/10/14,186.75
2010/10/15,175.679
2010/10/16,174.679
2010/10/17,176.821
2010/10/18,214.643
2010/10/19,331.714
2010/10/20,377.214
2010/10/21,392.643
2010/10/22,421.286
2010/10/23,412.821
2010/10/24,399.929
2010/10/25,346.321
2010/10/26,314.607
2010/10/27,316.357
2010/10/28,299.464
2010/10/29,280.357
2010/10/30,251.036
2010/10/31,216.214
2010/11/01,200.714
2010/11/02,170.393
2010/11/03,157.786
2010/11/04,148.25
2010/11/05,163.714
2010/11/06,168.179
2010/11/07,181.071
2010/11/08,198.536
2010/11/09,201.643
2010/11/10,202.321
2010/11/11,197.179
2010/11/12,176.036
2010/11/13,159.429
2010/11/14,154.821
2010/11/15,1280
