Date,difficulty90std
2010/07/17,37.921
2010/07/18,50.966
2010/07/19,61.052
2010/07/20,69.48
2010/07/21,76.832
2010/07/22,83.367
2010/07/23,89.267
2010/07/24,94.649
2010/07/25,99.598
2010/07/26,104.175
2010/07/27,112.437
2010/07/28,120.283
2010/07/29,127.439
2010/07/30,134.014
2010/07/31,140.09
2010/08/01,145.73
2010/08/02,150.992
2010/08/03,155.914
2010/08/04,160.521
2010/08/05,165.598
2010/08/06,176.098
2010/08/07,185.7
2010/08/08,194.537
2010/08/09,202.71
2010/08/10,210.295
2010/08/11,217.355
2010/08/12,223.939
2010/08/13,230.088
2010/08/14,235.836
2010/08/15,243.093
2010/08/16,257.253
2010/08/17,270.211
2010/08/18,282.13
2010/08/19,293.145
2010/08/20,303.355
2010/08/21,312.837
2010/08/22,321.657
2010/08/23,329.867
2010/08/24,337.513
2010/08/25,344.631
2010/08/26,351.467
2010/08/27,363.158
2010/08/28,374.054
2010/08/29,384.168
2010/08/30,393.561
2010/08/31,402.283
2010/09/01,410.377
2010/09/02,417.88
2010/09/03,424.823
2010/09/04,431.232
2010/09/05,437.132
2010/09/06,442.543
2010/09/07,447.482
2010/09/08,454.915
2010/09/09,462.435
2010/09/10,469.343
2010/09/11,475.649
2010/09/12,481.376
2010/09/13,486.545
2010/09/14,491.173
2010/09/15,495.276
2010/09/16,498.867
2010/09/17,501.957
2010/09/18,504.554
2010/09/19,514.016
2010/09/20,523.746
2010/09/21,532.548
2010/09/22,540.493
2010/09/23,547.625
2010/09/24,553.947
2010/09/25,559.485
2010/09/26,564.263
2010/09/27,568.3
2010/09/28,574.059
2010/09/29,597.211
2010/09/30,618.152
2010/10/01,637.099
2010/10/02,654.226
2010/10/03,669.672
2010/10/04,683.67
2010/10/05,696.21
2010/10/06,707.358
2010/10/07,717.179
2010/10/08,725.726
2010/10/09,733.045
2010/10/10,739.172
2010/10/11,744.547
2010/10/12,751.026
2010/10/13,756.954
2010/10/14,762.284
2010/10/15,770.257
2010/10/16,777.238
2010/10/17,783.255
2010/10/18,788.331
2010/10/19,792.482
2010/10/20,795.723
2010/10/21,827.334
2010/10/22,868.235
2010/10/23,905.184
2010/10/24,938.648
2010/10/25,970.669
2010/10/26,1000
2010/10/27,1027
2010/10/28,1051
2010/10/29,1073
2010/10/30,1095
2010/10/31,1173
2010/11/01,1244
2010/11/02,1307
2010/11/03,1365
2010/11/04,1420
2010/11/05,1470
2010/11/06,1517
2010/11/07,1559
2010/11/08,1598
2010/11/09,1667
2010/11/10,1792
2010/11/11,1903
2010/11/12,2004
2010/11/13,2097
2010/11/14,2185
2010/11/15,2266
2010/11/16,2340
2010/11/17,2409
2010/11/18,2494
2010/11/19,2708
2010/11/20,2900
2010/11/21,3073
2010/11/22,3231
2010/11/23,3376
