Date,sentinusd7emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,2293
2010/07/24,2355
2010/07/25,2389
2010/07/26,2944
2010/07/27,2671
2010/07/28,3006
2010/07/29,2562
2010/07/30,2255
2010/07/31,1948
2010/08/01,5583
2010/08/02,5161
2010/08/03,4478
2010/08/04,3860
2010/08/05,3502
2010/08/06,2915
2010/08/07,2565
2010/08/08,2078
2010/08/09,2823
2010/08/10,2702
2010/08/11,2896
2010/08/12,2443
2010/08/13,2406
2010/08/14,2071
2010/08/15,1833
2010/08/16,2462
2010/08/17,2694
2010/08/18,2665
2010/08/19,2342
2010/08/20,2245
2010/08/21,2322
2010/08/22,2076
2010/08/23,1848
2010/08/24,1728
2010/08/25,1557
2010/08/26,1397
2010/08/27,1511
2010/08/28,1401
2010/08/29,1189
2010/08/30,1116
2010/08/31,1459
2010/09/01,1543
2010/09/02,1698
2010/09/03,1728
2010/09/04,1760
2010/09/05,3448
2010/09/06,3760
2010/09/07,3100
2010/09/08,2596
2010/09/09,2469
2010/09/10,2069
2010/09/11,1712
2010/09/12,1571
2010/09/13,2997
2010/09/14,2717
2010/09/15,2651
2010/09/16,2524
2010/09/17,3021
2010/09/18,2920
2010/09/19,2980
2010/09/20,2880
2010/09/21,2596
2010/09/22,2642
2010/09/23,3950
2010/09/24,3263
2010/09/25,2913
2010/09/26,2533
2010/09/27,2418
2010/09/28,3078
2010/09/29,3761
2010/09/30,3464
2010/10/01,3500
2010/10/02,8233
2010/10/03,7335
2010/10/04,14014
2010/10/05,13484
2010/10/06,12001
2010/10/07,11074
2010/10/08,11251
2010/10/09,12541
2010/10/10,12207
2010/10/11,10431
2010/10/12,9666
2010/10/13,10063
2010/10/14,12140
2010/10/15,12858
2010/10/16,14623
2010/10/17,13734
2010/10/18,15886
2010/10/19,18456
2010/10/20,18808
2010/10/21,18862
2010/10/22,17552
2010/10/23,14315
2010/10/24,13658
2010/10/25,14407
2010/10/26,17227
2010/10/27,21464
2010/10/28,24485
2010/10/29,22344
2010/10/30,19584
2010/10/31,17823
