Date,transactionvalueUSD
2011/05/02,121.637
2011/05/03,211.643
2011/05/04,343.856
2011/05/05,154.451
2011/05/06,289.59
2011/05/07,202.51
2011/05/08,686.358
2011/05/09,166.506
2011/05/10,866.511
2011/05/11,322.252
2011/05/12,364.636
2011/05/13,808.747
2011/05/14,3101
2011/05/15,578.231
2011/05/16,480.441
2011/05/17,365.025
2011/05/18,228.173
2011/05/19,263.062
2011/05/20,446.433
2011/05/21,785.14
2011/05/22,1067
2011/05/23,551.964
2011/05/24,440.17
2011/05/25,484.642
2011/05/26,505.188
2011/05/27,950.378
2011/05/28,378.074
2011/05/29,467.276
2011/05/30,434.997
2011/05/31,405.166
2011/06/01,380.192
2011/06/02,500.788
2011/06/03,902.489
2011/06/04,891.803
2011/06/05,1149
2011/06/06,1503
2011/06/07,1232
2011/06/08,1787
2011/06/09,1864
2011/06/10,2162
2011/06/11,2613
2011/06/12,2447
2011/06/13,2163
2011/06/14,2121
2011/06/15,6503
2011/06/16,12545
2011/06/17,2267
2011/06/18,1788
2011/06/19,6833
2011/06/20,2017
2011/06/21,5800
2011/06/22,1951
2011/06/23,2648
2011/06/24,7432
2011/06/25,18798
2011/06/26,6877
2011/06/27,2641
2011/06/28,10789
2011/06/29,4692
2011/06/30,2559
2011/07/01,1646
2011/07/02,1663
2011/07/03,1051
2011/07/04,2067
2011/07/05,608.928
2011/07/06,749.165
2011/07/07,747.59
2011/07/08,519.796
2011/07/09,3793
2011/07/10,4230
2011/07/11,1392
2011/07/12,1849
2011/07/13,2171
2011/07/14,3087
2011/07/15,1038
2011/07/16,1935
2011/07/17,902.338
2011/07/18,4899
2011/07/19,4067
2011/07/20,845.009
2011/07/21,2231
2011/07/22,2356
2011/07/23,1115
2011/07/24,911.642
2011/07/25,2118
2011/07/26,1967
2011/07/27,2206
2011/07/28,5721
2011/07/29,1272
2011/07/30,706.627
2011/07/31,986.422
2011/08/01,872.598
2011/08/02,566.886
2011/08/03,561.865
2011/08/04,384.479
2011/08/05,688.194
2011/08/06,452.152
2011/08/07,392.033
