Date,hashrate30mom
2010/07/17,2654553920
2010/07/18,1426284695
2010/07/19,1417004506
2010/07/20,1500527963
2010/07/21,1571638242
2010/07/22,1572258964
2010/07/23,1570321739
2010/07/24,1498917856
2010/07/25,1752205885
2010/07/26,2072064116
2010/07/27,2272165101
2010/07/28,1789652019
2010/07/29,1937775875
2010/07/30,2021077048
2010/07/31,2070071431
2010/08/01,2487007981
2010/08/02,2799818952
2010/08/03,2720338210
2010/08/04,2577027198
2010/08/05,2933488311
2010/08/06,3015209338
2010/08/07,2428732818
2010/08/08,2917850916
2010/08/09,3226283805
2010/08/10,3103636029
2010/08/11,3280202639
2010/08/12,2529433500
2010/08/13,2576011854
2010/08/14,2823731788
2010/08/15,3921429265
2010/08/16,947679408
2010/08/17,1992254533
2010/08/18,1774866206
2010/08/19,1815064344
2010/08/20,2400254483
2010/08/21,2947373447
2010/08/22,3255035234
2010/08/23,3745424779
2010/08/24,3519866411
2010/08/25,3417668444
2010/08/26,3025838220
2010/08/27,3889357301
2010/08/28,3441949450
2010/08/29,2850601320
2010/08/30,2441403626
2010/08/31,2633208425
2010/09/01,2367107959
2010/09/02,1955300985
2010/09/03,2209875693
2010/09/04,2224959074
2010/09/05,2152015013
2010/09/06,2487319279
2010/09/07,1653393928
2010/09/08,2045689922
2010/09/09,2105176784
2010/09/10,1894433812
2010/09/11,2082578945
2010/09/12,2223091592
2010/09/13,2035148177
2010/09/14,773154663
2010/09/15,2726355585
2010/09/16,3334074860
2010/09/17,4441410279
2010/09/18,4468507336
2010/09/19,5814302672
2010/09/20,4831458380
2010/09/21,3666033355
2010/09/22,2414170389
2010/09/23,3697564865
2010/09/24,5080360056
2010/09/25,4645349895
2010/09/26,3376653267
2010/09/27,4571949988
2010/09/28,5752377083
2010/09/29,7874825877
2010/09/30,4327110787
2010/10/01,5005808597
2010/10/02,3387461233
2010/10/03,2304388302
2010/10/04,3764128042
2010/10/05,3597489373
2010/10/06,4563841017
2010/10/07,6263224083
2010/10/08,5046313710
2010/10/09,4802945363
2010/10/10,5306442200
2010/10/11,5130811930
2010/10/12,4744734495
2010/10/13,5156598443
2010/10/14,6262541068
2010/10/15,6781545517
2010/10/16,7891916525
2010/10/17,11414185011
2010/10/18,9946717592
2010/10/19,6384110686
2010/10/20,7946946596
2010/10/21,14919744873
2010/10/22,9547867937
2010/10/23,9067641606
2010/10/24,8503311363
2010/10/25,12348402519
2010/10/26,15029030519
2010/10/27,14564740327
2010/10/28,11843112521
2010/10/29,11927066386
2010/10/30,16047376228
2010/10/31,22821006891
2010/11/01,18832407654
2010/11/02,19916017246
2010/11/03,19873115408
2010/11/04,20942853060
2010/11/05,22696398021
2010/11/06,21234710466
2010/11/07,26308955267
2010/11/08,28783601997
2010/11/09,36111159470
2010/11/10,32478228758
2010/11/11,39965388123
2010/11/12,31454034628
2010/11/13,31052307318
2010/11/14,41453338367
2010/11/15,35341510218
2010/11/16,24165822878
2010/11/17,34218481139
2010/11/18,47323045527
2010/11/19,51380111306
2010/11/20,18747555902
2010/11/21,28530295011
2010/11/22,34135998986
2010/11/23,32159602830
2010/11/24,33916284036
2010/11/25,30201209843
2010/11/26,42751958813
2010/11/27,43214115684
2010/11/28,33060875951
2010/11/29,40337608834
2010/11/30,43752776262
2010/12/01,45819744243
2010/12/02,51234819565
2010/12/03,47520918886
2010/12/04,55850818876
2010/12/05,60837704895
2010/12/06,64597312986
2010/12/07,55684996579
2010/12/08,57467410897
2010/12/09,54736723387
2010/12/10,60583795609
2010/12/11,48206668117
2010/12/12,64686667832
2010/12/13,54122601624
2010/12/14,39894309465
2010/12/15,59651908500
2010/12/16,70153873763
2010/12/17,54807588507
2010/12/18,34559932264
2010/12/19,34462039695
2010/12/20,66213645408
2010/12/21,66167300838
2010/12/22,76297434861
2010/12/23,52905707165
2010/12/24,50660507523
2010/12/25,58724226433
2010/12/26,41128912088
2010/12/27,46217724110
2010/12/28,67913128097
2010/12/29,55605429363
2010/12/30,40327739760
2010/12/31,47037792744
2011/01/01,46576022095
2011/01/02,52535065365
2011/01/03,50429941644
2011/01/04,24828191865
2011/01/05,22592844973
2011/01/06,34144811271
2011/01/07,22068312893
2011/01/08,41310083176
2011/01/09,22689598626
2011/01/10,39775597412
2011/01/11,24403899659
2011/01/12,38443064586
2011/01/13,49286179148
2011/01/14,35371709545
2011/01/15,37531557734
2011/01/16,49123880174
2011/01/17,61202136974
2011/01/18,44358823295
2011/01/19,38194365609
2011/01/20,45965739184
2011/01/21,45052209723
2011/01/22,42094035398
2011/01/23,52626401343
2011/01/24,46894694115
2011/01/25,42483979466
2011/01/26,55330016793
2011/01/27,50247204448
2011/01/28,52140632793
2011/01/29,50022451764
2011/01/30,58654515992
2011/01/31,42004917161
2011/02/01,65726417369
2011/02/02,40177995417
2011/02/03,52945595243
2011/02/04,75059932947
2011/02/05,82690007361
2011/02/06,76470941245
2011/02/07,63391872296
2011/02/08,109241331392
2011/02/09,92130502524
2011/02/10,110229996939
2011/02/11,105594349874
2011/02/12,107561137994
2011/02/13,108947933871
2011/02/14,104536799689
2011/02/15,112709942701
2011/02/16,128448289974
2011/02/17,170547405459
2011/02/18,222940608747
2011/02/19,173985899993
2011/02/20,160580613797
2011/02/21,203584864170
2011/02/22,215853503036
2011/02/23,245615510816
2011/02/24,256639263167
2011/02/25,234297709219
2011/02/26,274689898107
2011/02/27,454783537426
2011/02/28,326085262628
2011/03/01,214096283689
2011/03/02,262723541937
2011/03/03,275965912948
2011/03/04,380730710017
2011/03/05,507972669822
2011/03/06,579904766731
2011/03/07,491556679502
2011/03/08,350068594470
2011/03/09,320010024610
2011/03/10,270151372868
2011/03/11,239108884518
2011/03/12,252655404127
2011/03/13,254359419210
2011/03/14,174322382829
2011/03/15,154789689786
2011/03/16,251291699285
2011/03/17,223098814905
2011/03/18,242266296951
2011/03/19,114941179759
2011/03/20,105427889792
2011/03/21,218984668410
2011/03/22,180417567291
2011/03/23,174237871597
2011/03/24,236166907249
2011/03/25,121265126599
2011/03/26,119242880894
2011/03/27,108697554164
2011/03/28,74815294392
2011/03/29,-60710694942
2011/03/30,39309263893
2011/03/31,247483341313
2011/04/01,205176180723
2011/04/02,149092105043
2011/04/03,37051552713
2011/04/04,-53751124666
2011/04/05,-116093277859
2011/04/06,-23943786336
2011/04/07,73194744837
2011/04/08,105776102630
2011/04/09,162454902947
2011/04/10,204061005500
2011/04/11,166906803299
2011/04/12,183834308533
2011/04/13,353580992997
2011/04/14,297145152995
2011/04/15,93849853846
2011/04/16,158352831698
2011/04/17,173400509312
2011/04/18,283738766896
2011/04/19,183495775828
2011/04/20,143287565994
2011/04/21,198362620569
2011/04/22,223390088119
2011/04/23,174174867894
2011/04/24,249754633964
2011/04/25,271398809017
2011/04/26,407024146968
2011/04/27,354633987334
2011/04/28,180908785099
2011/04/29,351599194258
2011/04/30,386035055829
2011/05/01,368656361670
2011/05/02,428838523029
2011/05/03,482068789285
2011/05/04,436647856201
2011/05/05,489296889615
2011/05/06,485702868448
2011/05/07,577658511502
2011/05/08,509400743316
2011/05/09,696492963016
2011/05/10,991726479259
2011/05/11,800084455505
2011/05/12,702942779740
2011/05/13,698709808174
2011/05/14,1115280221741
2011/05/15,1214949344110
2011/05/16,1156269179785
2011/05/17,1283174009593
2011/05/18,1503863845335
2011/05/19,1916368415518
2011/05/20,1836403110390
2011/05/21,1874829073932
2011/05/22,2262946428039
2011/05/23,2374464154932
2011/05/24,2753303687146
2011/05/25,2882386759660
2011/05/26,3395743074880
2011/05/27,4055582672002
2011/05/28,2818883533110
2011/05/29,2667331669751
2011/05/30,2513815854196
2011/05/31,2328870833169
2011/06/01,2577299243466
2011/06/02,3106515373450
2011/06/03,3253036046964
2011/06/04,3401328524170
2011/06/05,3428242308254
2011/06/06,4534641385753
2011/06/07,4046372638604
2011/06/08,3732903372655
2011/06/09,4204123833335
2011/06/10,4816524224099
2011/06/11,5052465793752
2011/06/12,5403832665195
2011/06/13,4709821265146
2011/06/14,4833639449645
2011/06/15,7614863197192
2011/06/16,7875968210327
2011/06/17,5866647788763
2011/06/18,5717775244452
2011/06/19,6778712586131
2011/06/20,7442550590703
2011/06/21,7408970716041
2011/06/22,8288559418021
2011/06/23,7092169558216
2011/06/24,9534638634495
2011/06/25,6825039757599
2011/06/26,5474969987012
2011/06/27,7193029130191
2011/06/28,7215849442790
2011/06/29,8148824594018
2011/06/30,8992655719112
2011/07/01,9181861262271
2011/07/02,7781471217943
2011/07/03,7151405699527
2011/07/04,6661796317077
2011/07/05,6184842295521
2011/07/06,4931582897940
2011/07/07,6033063606579
2011/07/08,5929972825099
2011/07/09,6620512269561
2011/07/10,4989589033794
2011/07/11,5306454212560
2011/07/12,4422481598859
2011/07/13,6593866288038
2011/07/14,6132454987939
2011/07/15,2795398747221
2011/07/16,3099276932149
2011/07/17,4218546982782
2011/07/18,4471801001352
2011/07/19,3803450062453
2011/07/20,1719697648074
2011/07/21,2456488837777
2011/07/22,1130778817912
2011/07/23,1937366509217
2011/07/24,243042503735
2011/07/25,2708804485741
2011/07/26,3543800081348
2011/07/27,4629865587803
2011/07/28,3359817029600
2011/07/29,1676008554844
2011/07/30,536695407326
2011/07/31,1267484315410
2011/08/01,3877908499589
2011/08/02,3093154860097
2011/08/03,3345722388310
2011/08/04,2713678193508
2011/08/05,1817452986697
2011/08/06,1185966927190
2011/08/07,761836242501
2011/08/08,-275241189204
2011/08/09,1703253175554
2011/08/10,3242393844158
2011/08/11,1726930624049
2011/08/12,-670342201289
2011/08/13,79605532171
2011/08/14,-625108870398
2011/08/15,69597978816
2011/08/16,-431099530925
2011/08/17,-195981238584
2011/08/18,187735366252
2011/08/19,637594082509
2011/08/20,-238349983421
2011/08/21,833953952064
2011/08/22,3101237653746
2011/08/23,1570320785872
2011/08/24,-989698260799
2011/08/25,-2019488321362
2011/08/26,-2202534173345
2011/08/27,-2438994622797
2011/08/28,-2751698472662
2011/08/29,-1500843562891
2011/08/30,-1124895282226
2011/08/31,-2218091488988
2011/09/01,-2409938442148
2011/09/02,-1541585622056
2011/09/03,-398280152010
