Date,activeaddresses14var
2010/07/17,3056865
2010/07/18,3004325
2010/07/19,2936683
2010/07/20,2850805
2010/07/21,2791935
2010/07/22,2745836
2010/07/23,2697640
2010/07/24,2620749
2010/07/25,2542072
2010/07/26,2308801
2010/07/27,2339933
2010/07/28,236898
2010/07/29,185056
2010/07/30,151263
2010/07/31,162783
2010/08/01,166761
2010/08/02,168723
2010/08/03,169797
2010/08/04,170455
2010/08/05,166522
2010/08/06,166915
2010/08/07,172439
2010/08/08,38774
2010/08/09,17342
2010/08/10,16785
2010/08/11,16917
2010/08/12,16168
2010/08/13,17959
2010/08/14,15934
2010/08/15,20217
2010/08/16,20736
2010/08/17,15833
2010/08/18,15774
2010/08/19,15177
2010/08/20,15245
2010/08/21,15043
2010/08/22,15032
2010/08/23,13292
2010/08/24,13268
2010/08/25,13538
2010/08/26,13650
2010/08/27,9793
2010/08/28,9978
2010/08/29,10833
2010/08/30,8025
2010/08/31,9602
2010/09/01,7979
2010/09/02,7313
2010/09/03,7078
2010/09/04,7843
2010/09/05,7778
2010/09/06,7100
2010/09/07,7683
2010/09/08,7638
2010/09/09,6505
2010/09/10,6485
2010/09/11,7027
2010/09/12,8037
2010/09/13,10083
2010/09/14,8608
2010/09/15,9294
2010/09/16,10426
2010/09/17,22660
2010/09/18,21127
2010/09/19,20976
2010/09/20,20598
2010/09/21,38240
2010/09/22,44430
2010/09/23,47522
2010/09/24,43888
2010/09/25,34696
2010/09/26,36418
2010/09/27,50033
2010/09/28,95029
2010/09/29,94777
2010/09/30,96719
2010/10/01,97132
2010/10/02,88576
2010/10/03,87828
2010/10/04,84442
2010/10/05,83366
2010/10/06,85800
2010/10/07,88089
2010/10/08,88034
2010/10/09,88932
2010/10/10,88932
2010/10/11,79433
2010/10/12,21201
2010/10/13,8615
2010/10/14,8667
2010/10/15,8841
2010/10/16,11944
2010/10/17,11820
2010/10/18,14498
2010/10/19,44332
2010/10/20,53834
2010/10/21,53265
2010/10/22,54230
2010/10/23,53425
2010/10/24,49096
2010/10/25,45796
2010/10/26,41441
2010/10/27,44504
2010/10/28,38624
2010/10/29,29580
2010/10/30,35661
2010/10/31,42685
2010/11/01,49895
2010/11/02,41316
2010/11/03,35714
2010/11/04,34500
2010/11/05,31688
2010/11/06,32743
2010/11/07,31860
2010/11/08,79349
2010/11/09,79974
2010/11/10,71230
2010/11/11,66824
2010/11/12,69156
2010/11/13,69816
2010/11/14,72205
2010/11/15,974952
2010/11/16,1323332
2010/11/17,1315317
2010/11/18,1313299
2010/11/19,1325507
2010/11/20,1312393
2010/11/21,1307891
2010/11/22,1315810
2010/11/23,1315007
2010/11/24,1300422
2010/11/25,1282653
2010/11/26,1243746
2010/11/27,1225394
2010/11/28,1237299
2010/11/29,463720
2010/11/30,24042
2010/12/01,29356
2010/12/02,26625
2010/12/03,23806
2010/12/04,24540
2010/12/05,25612
2010/12/06,22967
2010/12/07,25210
2010/12/08,24786
2010/12/09,24842
2010/12/10,19979
2010/12/11,23570
2010/12/12,29082
2010/12/13,70313
2010/12/14,70851
2010/12/15,70406
2010/12/16,68630
2010/12/17,70264
2010/12/18,66925
2010/12/19,61209
2010/12/20,67874
2010/12/21,67434
2010/12/22,66997
2010/12/23,62881
2010/12/24,51987
2010/12/25,51959
2010/12/26,51706
2010/12/27,26230
2010/12/28,25753
2010/12/29,25856
2010/12/30,25313
2010/12/31,22275
2011/01/01,19163
2011/01/02,19184
2011/01/03,15948
2011/01/04,15922
2011/01/05,29893
2011/01/06,29770
2011/01/07,26170
2011/01/08,33593
2011/01/09,35370
2011/01/10,39390
2011/01/11,44461
2011/01/12,39590
2011/01/13,49162
2011/01/14,41345
2011/01/15,35538
2011/01/16,28369
2011/01/17,28652
2011/01/18,20164
2011/01/19,20240
2011/01/20,14457
2011/01/21,27725
2011/01/22,58869
2011/01/23,65073
2011/01/24,76369
2011/01/25,78509
2011/01/26,68277
2011/01/27,68165
2011/01/28,68056
2011/01/29,74182
2011/01/30,216690
2011/01/31,207992
2011/02/01,190783
2011/02/02,193967
2011/02/03,208785
2011/02/04,218779
2011/02/05,217837
2011/02/06,228999
2011/02/07,232454
2011/02/08,233237
2011/02/09,238923
2011/02/10,444136
2011/02/11,816684
2011/02/12,912184
2011/02/13,922326
2011/02/14,1169153
2011/02/15,1229843
2011/02/16,1176709
2011/02/17,1100685
2011/02/18,1036504
2011/02/19,902183
2011/02/20,717703
2011/02/21,502528
2011/02/22,271212
2011/02/23,150535
2011/02/24,152528
2011/02/25,103003
2011/02/26,102488
2011/02/27,101074
2011/02/28,82122
2011/03/01,292762
2011/03/02,270290
2011/03/03,380533
2011/03/04,391580
2011/03/05,346045
2011/03/06,336533
2011/03/07,330048
2011/03/08,331055
2011/03/09,339293
2011/03/10,382319
2011/03/11,404177
2011/03/12,414930
2011/03/13,448789
2011/03/14,459546
2011/03/15,252053
2011/03/16,247661
2011/03/17,69580
2011/03/18,71151
2011/03/19,60682
2011/03/20,163201
2011/03/21,286886
2011/03/22,286539
2011/03/23,1092763
2011/03/24,1086587
2011/03/25,1060449
2011/03/26,1097125
2011/03/27,1053975
2011/03/28,1043759
2011/03/29,984431
2011/03/30,918195
2011/03/31,823747
2011/04/01,790623
2011/04/02,768479
2011/04/03,814177
2011/04/04,813110
2011/04/05,792405
2011/04/06,344461
2011/04/07,381992
2011/04/08,398008
2011/04/09,370499
2011/04/10,340276
2011/04/11,191883
2011/04/12,161213
2011/04/13,206755
2011/04/14,493432
2011/04/15,451954
2011/04/16,506308
2011/04/17,479007
2011/04/18,580102
2011/04/19,845791
2011/04/20,863938
2011/04/21,785047
2011/04/22,723848
2011/04/23,637653
2011/04/24,517486
2011/04/25,469631
2011/04/26,531938
2011/04/27,900778
2011/04/28,930643
2011/04/29,957147
2011/04/30,1433070
2011/05/01,1495746
2011/05/02,1486521
2011/05/03,1474357
2011/05/04,1466151
2011/05/05,1243838
2011/05/06,970870
2011/05/07,852623
2011/05/08,584245
2011/05/09,428367
2011/05/10,395376
2011/05/11,373316
2011/05/12,344321
2011/05/13,746086
2011/05/14,907499
2011/05/15,985477
2011/05/16,2141805
2011/05/17,2414048
2011/05/18,3743564
2011/05/19,4373171
2011/05/20,4531502
2011/05/21,4400762
2011/05/22,3797059
2011/05/23,3757217
2011/05/24,3678281
2011/05/25,3758049
2011/05/26,3320973
2011/05/27,3038817
2011/05/28,2498787
2011/05/29,1607340
2011/05/30,1635137
2011/05/31,1659491
2011/06/01,1819151
2011/06/02,2426829
2011/06/03,4033311
2011/06/04,6091236
2011/06/05,6451513
2011/06/06,8948599
2011/06/07,9770013
2011/06/08,19224110
2011/06/09,25562266
2011/06/10,25492142
2011/06/11,24245104
2011/06/12,23526999
2011/06/13,21335686
2011/06/14,22301277
2011/06/15,18877377
2011/06/16,16405137
2011/06/17,13667477
2011/06/18,11727841
2011/06/19,8086591
2011/06/20,6331509
2011/06/21,2597639
2011/06/22,2556923
2011/06/23,2856392
2011/06/24,2594950
2011/06/25,3115364
2011/06/26,3585748
2011/06/27,4648272
2011/06/28,3775280
2011/06/29,3821338
2011/06/30,3486649
2011/07/01,4941927
2011/07/02,7667751
2011/07/03,8509494
2011/07/04,8863410
2011/07/05,9226539
2011/07/06,9254275
2011/07/07,9639515
2011/07/08,9685767
2011/07/09,9632926
2011/07/10,9986449
2011/07/11,8567298
2011/07/12,8925314
2011/07/13,9068777
2011/07/14,9419946
2011/07/15,8062856
2011/07/16,4605445
2011/07/17,4079461
2011/07/18,4389819
2011/07/19,4085390
2011/07/20,3944759
2011/07/21,3476702
2011/07/22,3502370
2011/07/23,3894872
2011/07/24,3389194
2011/07/25,3585732
2011/07/26,3386086
2011/07/27,3281353
2011/07/28,2238865
2011/07/29,2675103
2011/07/30,4250436
2011/07/31,4242549
2011/08/01,3250591
2011/08/02,3512370
2011/08/03,4949364
2011/08/04,5684025
2011/08/05,5548300
2011/08/06,5889554
2011/08/07,6196220
2011/08/08,4973895
2011/08/09,4936812
2011/08/10,5099244
2011/08/11,4440621
2011/08/12,5432300
2011/08/13,5544326
2011/08/14,4754046
2011/08/15,4089307
2011/08/16,3980418
2011/08/17,3720022
2011/08/18,3566186
2011/08/19,3703972
2011/08/20,3713701
2011/08/21,3985490
2011/08/22,4319529
2011/08/23,3991996
2011/08/24,4006103
2011/08/25,3705822
2011/08/26,2360097
2011/08/27,1962444
2011/08/28,2674432
2011/08/29,2790070
2011/08/30,3836186
2011/08/31,4999310
2011/09/01,6084294
2011/09/02,7285056
2011/09/03,9461416
2011/09/04,9082427
2011/09/05,6593555
2011/09/06,5527579
2011/09/07,4788371
2011/09/08,3318897
2011/09/09,2319950
2011/09/10,1622079
2011/09/11,1696755
2011/09/12,1428207
2011/09/13,1638418
2011/09/14,1851911
2011/09/15,1900876
2011/09/16,2121799
2011/09/17,2588638
2011/09/18,2644643
2011/09/19,2248157
2011/09/20,4233606
2011/09/21,4441583
2011/09/22,4566612
2011/09/23,5165945
2011/09/24,5781047
2011/09/25,6115959
2011/09/26,6165641
2011/09/27,6009017
2011/09/28,6440463
2011/09/29,7545448
2011/09/30,7996127
2011/10/01,8063909
2011/10/02,9382898
2011/10/03,9901222
2011/10/04,8010578
2011/10/05,8003744
2011/10/06,7794787
2011/10/07,6290868
2011/10/08,5051518
2011/10/09,3521483
2011/10/10,2421542
2011/10/11,482467
2011/10/12,473588
2011/10/13,639085
2011/10/14,758058
2011/10/15,753285
2011/10/16,724723
2011/10/17,753514
2011/10/18,799116
2011/10/19,811054
2011/10/20,926240
2011/10/21,912879
2011/10/22,938705
2011/10/23,933092
2011/10/24,1002730
2011/10/25,953464
2011/10/26,915450
2011/10/27,949194
2011/10/28,693262
2011/10/29,675710
2011/10/30,747331
2011/10/31,557521
2011/11/01,566870
2011/11/02,599190
2011/11/03,482628
2011/11/04,1129229
2011/11/05,1106969
2011/11/06,1232632
2011/11/07,1138972
2011/11/08,1197523
2011/11/09,1341157
2011/11/10,1289508
2011/11/11,1342247
2011/11/12,1393586
2011/11/13,1211196
2011/11/14,1132799
2011/11/15,1165571
2011/11/16,1164350
2011/11/17,1252104
2011/11/18,792528
2011/11/19,1343762
2011/11/20,1366794
2011/11/21,1831102
2011/11/22,1807177
2011/11/23,1578889
2011/11/24,1325234
2011/11/25,1330138
2011/11/26,1511669
2011/11/27,1545348
2011/11/28,1310988
2011/11/29,1389128
2011/11/30,2224021
2011/12/01,2546995
2011/12/02,2663447
2011/12/03,2413745
2011/12/04,2376392
2011/12/05,2074202
2011/12/06,2495837
2011/12/07,2382806
2011/12/08,2194104
2011/12/09,2175757
