Date,transactionvalue7momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-0.083
2010/07/25,-4.869
2010/07/26,2.202
2010/07/27,0.403
2010/07/28,-2.524
2010/07/29,-5.813
2010/07/30,1.273
2010/07/31,0.634
2010/08/01,43.933
2010/08/02,-0.086
2010/08/03,-0.595
2010/08/04,2.512
2010/08/05,4.056
2010/08/06,-0.893
2010/08/07,2.07
2010/08/08,-43.717
2010/08/09,2.252
2010/08/10,3.126
2010/08/11,3.889
2010/08/12,-1.954
2010/08/13,1.234
2010/08/14,-3.072
2010/08/15,1.968
2010/08/16,-2.208
2010/08/17,3.778
2010/08/18,-1.617
2010/08/19,1.461
2010/08/20,0.171
2010/08/21,4.985
2010/08/22,0.102
2010/08/23,-6.673
2010/08/24,-7.036
2010/08/25,-3.983
2010/08/26,-1.731
2010/08/27,1.674
2010/08/28,-4.292
2010/08/29,-1.524
2010/08/30,-0.428
2010/08/31,2.035
2010/09/01,1.866
2010/09/02,4.238
2010/09/03,-0.594
2010/09/04,3.608
2010/09/05,25.235
2010/09/06,14.177
2010/09/07,-1.685
2010/09/08,-1.524
2010/09/09,-0.287
2010/09/10,-3.285
2010/09/11,-4.671
2010/09/12,-24.337
2010/09/13,-0.216
2010/09/14,0.464
2010/09/15,2.502
2010/09/16,-1.556
2010/09/17,10.086
2010/09/18,4.456
2010/09/19,5.874
2010/09/20,-11.136
2010/09/21,-2.278
2010/09/22,-1.571
2010/09/23,7.135
2010/09/24,-10.104
2010/09/25,-3.063
2010/09/26,-5.416
2010/09/27,-2.111
2010/09/28,8.151
2010/09/29,1.841
2010/09/30,-4.975
2010/10/01,3.781
2010/10/02,41.274
2010/10/03,8.822
2010/10/04,80.23
2010/10/05,21.759
2010/10/06,12.581
2010/10/07,17.339
2010/10/08,26.273
2010/10/09,-3.841
2010/10/10,18.609
2010/10/11,-68.751
2010/10/12,-11.112
2010/10/13,12.362
2010/10/14,25.665
2010/10/15,13.317
2010/10/16,4.237
2010/10/17,-6.702
2010/10/18,23.669
