Date,transactions90wma
2010/07/17,257.572
2010/07/18,259.578
2010/07/19,263.864
2010/07/20,269.37
2010/07/21,271.332
2010/07/22,272.473
2010/07/23,273.483
2010/07/24,285.174
2010/07/25,316.199
2010/07/26,316.781
2010/07/27,318.112
2010/07/28,353.061
2010/07/29,385.274
2010/07/30,383.146
2010/07/31,379.869
2010/08/01,377.302
2010/08/02,375.392
2010/08/03,379.278
2010/08/04,378.122
2010/08/05,379.146
2010/08/06,378.234
2010/08/07,375.212
2010/08/08,373.798
2010/08/09,373.266
2010/08/10,370.814
2010/08/11,368.993
2010/08/12,367.05
2010/08/13,367.84
2010/08/14,365.31
2010/08/15,361.758
2010/08/16,362.54
2010/08/17,360.689
2010/08/18,360.011
2010/08/19,358.096
2010/08/20,357.027
2010/08/21,354.569
2010/08/22,351.764
2010/08/23,348.981
2010/08/24,346.346
2010/08/25,343.357
2010/08/26,340.548
2010/08/27,336.944
2010/08/28,334.334
2010/08/29,330.136
2010/08/30,327.728
2010/08/31,326.98
2010/09/01,325.434
2010/09/02,322.579
2010/09/03,319.475
2010/09/04,314.982
2010/09/05,311.644
2010/09/06,307.711
2010/09/07,303.809
2010/09/08,301.032
2010/09/09,298.556
2010/09/10,295.922
2010/09/11,292.426
2010/09/12,290.165
2010/09/13,289.262
2010/09/14,287.348
2010/09/15,286.272
2010/09/16,284.223
2010/09/17,280.68
2010/09/18,277.314
2010/09/19,273.566
2010/09/20,272.354
2010/09/21,279.359
2010/09/22,283.171
2010/09/23,285.164
2010/09/24,283.815
2010/09/25,283.554
2010/09/26,280.369
2010/09/27,281.09
2010/09/28,279.655
2010/09/29,289.866
2010/09/30,286.886
2010/10/01,288.508
2010/10/02,289.406
2010/10/03,287.011
2010/10/04,284.549
2010/10/05,281.838
2010/10/06,278.884
2010/10/07,274.659
2010/10/08,271.044
2010/10/09,268.136
2010/10/10,263.936
2010/10/11,260.048
2010/10/12,256.615
2010/10/13,254.293
2010/10/14,251.525
2010/10/15,248.641
2010/10/16,246.481
2010/10/17,244.425
2010/10/18,245.553
2010/10/19,254.129
2010/10/20,257.791
2010/10/21,259.574
2010/10/22,263.123
2010/10/23,264.404
2010/10/24,266.101
2010/10/25,264.691
2010/10/26,264.832
2010/10/27,267.057
2010/10/28,267.674
2010/10/29,267.755
2010/10/30,266.26
2010/10/31,263.742
2010/11/01,262.242
2010/11/02,259.396
2010/11/03,257.604
2010/11/04,255.494
2010/11/05,255.204
2010/11/06,253.855
2010/11/07,253.258
2010/11/08,253.326
2010/11/09,252.316
2010/11/10,251.347
2010/11/11,249.978
2010/11/12,247.343
2010/11/13,244.783
2010/11/14,243.098
2010/11/15,340.593
2010/11/16,530.113
2010/11/17,525.87
2010/11/18,544.682
2010/11/19,744.457
2010/11/20,944.88
2010/11/21,1149
2010/11/22,1138
2010/11/23,1127
2010/11/24,1194
2010/11/25,1283
2010/11/26,1290
2010/11/27,1278
2010/11/28,1266
2010/11/29,1253
2010/11/30,1241
2010/12/01,1230
2010/12/02,1218
2010/12/03,1204
2010/12/04,1191
2010/12/05,1177
2010/12/06,1164
2010/12/07,1153
2010/12/08,1141
2010/12/09,1129
2010/12/10,1116
2010/12/11,1106
2010/12/12,1098
2010/12/13,1091
2010/12/14,1083
2010/12/15,1074
2010/12/16,1064
2010/12/17,1052
2010/12/18,1041
2010/12/19,1030
2010/12/20,1029
2010/12/21,1019
2010/12/22,1012
2010/12/23,1001
2010/12/24,991.187
2010/12/25,982.752
2010/12/26,973.657
2010/12/27,962.81
2010/12/28,954.844
2010/12/29,943.792
2010/12/30,934.378
2010/12/31,924.285
2011/01/01,916.061
2011/01/02,905.937
2011/01/03,908.482
2011/01/04,907.905
2011/01/05,914.169
2011/01/06,906.943
2011/01/07,906.291
2011/01/08,914.501
2011/01/09,917.92
2011/01/10,923.102
2011/01/11,928.931
2011/01/12,930.23
2011/01/13,933.149
2011/01/14,935.907
2011/01/15,932.381
2011/01/16,927.649
2011/01/17,920.438
2011/01/18,913.848
2011/01/19,908.763
2011/01/20,903.364
2011/01/21,903.477
2011/01/22,909.256
2011/01/23,907.208
2011/01/24,909.823
2011/01/25,903.482
2011/01/26,899.071
2011/01/27,891.359
2011/01/28,888.859
2011/01/29,891.956
2011/01/30,922.267
2011/01/31,925.367
2011/02/01,919.975
2011/02/02,911.975
2011/02/03,901.433
2011/02/04,893.671
2011/02/05,883.415
2011/02/06,874.787
2011/02/07,865.093
2011/02/08,855.037
2011/02/09,852.708
2011/02/10,868.038
2011/02/11,890
2011/02/12,901.506
2011/02/13,910.61
2011/02/14,924.546
2011/02/15,944.369
2011/02/16,960.651
2011/02/17,980.319
2011/02/18,997.964
2011/02/19,1008
2011/02/20,1028
2011/02/21,1047
2011/02/22,1071
2011/02/23,1096
2011/02/24,1120
2011/02/25,1141
2011/02/26,1159
2011/02/27,1184
2011/02/28,1199
2011/03/01,1235
2011/03/02,1255
2011/03/03,1300
2011/03/04,1317
2011/03/05,1334
2011/03/06,1350
2011/03/07,1364
2011/03/08,1391
2011/03/09,1404
2011/03/10,1413
2011/03/11,1428
2011/03/12,1465
2011/03/13,1496
2011/03/14,1526
2011/03/15,1560
2011/03/16,1600
2011/03/17,1643
2011/03/18,1664
2011/03/19,1703
2011/03/20,1760
2011/03/21,1855
2011/03/22,1870
2011/03/23,1935
2011/03/24,1947
2011/03/25,1953
2011/03/26,1990
2011/03/27,2007
2011/03/28,2033
2011/03/29,2053
2011/03/30,2053
2011/03/31,2058
2011/04/01,2052
2011/04/02,2051
2011/04/03,2049
2011/04/04,2059
2011/04/05,2064
2011/04/06,2064
2011/04/07,2059
2011/04/08,2056
2011/04/09,2053
2011/04/10,2049
2011/04/11,2049
2011/04/12,2053
2011/04/13,2062
2011/04/14,2083
2011/04/15,2084
2011/04/16,2088
2011/04/17,2094
2011/04/18,2117
2011/04/19,2151
2011/04/20,2172
2011/04/21,2169
2011/04/22,2169
2011/04/23,2173
2011/04/24,2177
2011/04/25,2186
2011/04/26,2215
2011/04/27,2267
2011/04/28,2285
2011/04/29,2313
2011/04/30,2361
2011/05/01,2398
2011/05/02,2414
2011/05/03,2427
2011/05/04,2436
2011/05/05,2459
2011/05/06,2478
2011/05/07,2509
2011/05/08,2517
2011/05/09,2538
2011/05/10,2552
2011/05/11,2564
2011/05/12,2582
2011/05/13,2614
2011/05/14,2652
2011/05/15,2677
2011/05/16,2713
2011/05/17,2751
2011/05/18,2812
2011/05/19,2855
2011/05/20,2899
2011/05/21,2946
2011/05/22,2998
2011/05/23,3059
2011/05/24,3122
2011/05/25,3192
2011/05/26,3277
2011/05/27,3317
2011/05/28,3360
2011/05/29,3397
2011/05/30,3446
2011/05/31,3510
2011/06/01,3583
2011/06/02,3668
2011/06/03,3781
2011/06/04,3899
2011/06/05,4011
2011/06/06,4146
2011/06/07,4265
2011/06/08,4443
2011/06/09,4627
2011/06/10,4787
2011/06/11,4937
2011/06/12,5120
2011/06/13,5274
2011/06/14,5489
2011/06/15,5667
2011/06/16,5848
2011/06/17,5994
2011/06/18,6144
2011/06/19,6290
2011/06/20,6429
2011/06/21,6531
2011/06/22,6673
2011/06/23,6788
2011/06/24,6912
2011/06/25,7010
2011/06/26,7112
2011/06/27,7251
2011/06/28,7365
2011/06/29,7460
2011/06/30,7546
2011/07/01,7651
2011/07/02,7697
2011/07/03,7749
2011/07/04,7827
2011/07/05,7890
2011/07/06,7985
2011/07/07,8049
2011/07/08,8095
2011/07/09,8126
2011/07/10,8168
2011/07/11,8254
2011/07/12,8286
2011/07/13,8339
2011/07/14,8381
2011/07/15,8404
2011/07/16,8446
2011/07/17,8475
2011/07/18,8516
2011/07/19,8561
2011/07/20,8597
2011/07/21,8616
2011/07/22,8652
2011/07/23,8651
2011/07/24,8667
2011/07/25,8709
2011/07/26,8724
2011/07/27,8731
2011/07/28,8739
2011/07/29,8729
2011/07/30,8694
2011/07/31,8699
2011/08/01,8705
2011/08/02,8724
2011/08/03,8718
2011/08/04,8723
2011/08/05,8707
2011/08/06,8678
2011/08/07,8646
2011/08/08,8625
2011/08/09,8645
2011/08/10,8645
2011/08/11,8627
2011/08/12,8599
2011/08/13,8576
2011/08/14,8553
2011/08/15,8549
2011/08/16,8572
2011/08/17,8552
2011/08/18,8524
2011/08/19,8500
2011/08/20,8466
2011/08/21,8441
2011/08/22,8419
2011/08/23,8385
2011/08/24,8353
2011/08/25,8319
2011/08/26,8287
2011/08/27,8232
2011/08/28,8160
2011/08/29,8142
2011/08/30,8117
2011/08/31,8081
2011/09/01,8043
2011/09/02,8000
2011/09/03,7935
2011/09/04,7899
2011/09/05,7859
2011/09/06,7837
2011/09/07,7799
2011/09/08,7750
2011/09/09,7721
2011/09/10,7663
2011/09/11,7617
2011/09/12,7574
2011/09/13,7532
2011/09/14,7484
2011/09/15,7444
2011/09/16,7399
2011/09/17,7339
2011/09/18,7292
2011/09/19,7261
2011/09/20,7264
2011/09/21,7257
2011/09/22,7216
2011/09/23,7182
2011/09/24,7135
2011/09/25,7088
2011/09/26,7042
2011/09/27,7007
2011/09/28,6970
2011/09/29,6926
2011/09/30,6889
2011/10/01,6841
2011/10/02,6787
2011/10/03,6766
2011/10/04,6731
2011/10/05,6695
2011/10/06,6664
2011/10/07,6628
2011/10/08,6587
2011/10/09,6548
2011/10/10,6519
2011/10/11,6493
2011/10/12,6467
2011/10/13,6421
2011/10/14,6400
2011/10/15,6367
2011/10/16,6323
2011/10/17,6297
2011/10/18,6252
2011/10/19,6214
2011/10/20,6166
2011/10/21,6131
2011/10/22,6095
2011/10/23,6070
2011/10/24,6053
2011/10/25,6022
2011/10/26,5992
2011/10/27,5950
2011/10/28,5918
2011/10/29,5897
2011/10/30,5863
2011/10/31,5834
2011/11/01,5818
2011/11/02,5807
2011/11/03,5804
2011/11/04,5806
2011/11/05,5795
2011/11/06,5765
2011/11/07,5746
2011/11/08,5738
2011/11/09,5740
2011/11/10,5745
2011/11/11,5719
2011/11/12,5694
2011/11/13,5675
2011/11/14,5668
2011/11/15,5666
2011/11/16,5664
2011/11/17,5638
2011/11/18,5618
2011/11/19,5588
2011/11/20,5568
2011/11/21,5541
2011/11/22,5529
2011/11/23,5521
2011/11/24,5501
2011/11/25,5492
2011/11/26,5466
2011/11/27,5448
2011/11/28,5450
2011/11/29,5462
2011/11/30,5484
2011/12/01,5494
2011/12/02,5504
2011/12/03,5500
2011/12/04,5490
2011/12/05,5499
2011/12/06,5547
2011/12/07,5554
2011/12/08,5554
2011/12/09,5550
2011/12/10,5548
2011/12/11,5537
2011/12/12,5518
2011/12/13,5511
2011/12/14,5510
2011/12/15,5492
2011/12/16,5480
2011/12/17,5465
2011/12/18,5442
2011/12/19,5445
2011/12/20,5460
2011/12/21,5459
2011/12/22,5464
2011/12/23,5466
2011/12/24,5445
2011/12/25,5437
2011/12/26,5438
2011/12/27,5429
2011/12/28,5416
2011/12/29,5409
2011/12/30,5397
2011/12/31,5388
2012/01/01,5375
2012/01/02,5372
2012/01/03,5377
2012/01/04,5381
2012/01/05,5413
2012/01/06,5437
2012/01/07,5443
2012/01/08,5461
2012/01/09,5473
2012/01/10,5497
2012/01/11,5531
2012/01/12,5555
2012/01/13,5582
2012/01/14,5608
2012/01/15,5622
2012/01/16,5651
2012/01/17,5674
2012/01/18,5695
2012/01/19,5721
2012/01/20,5744
2012/01/21,5757
2012/01/22,5748
2012/01/23,5755
2012/01/24,5788
2012/01/25,5836
2012/01/26,5853
2012/01/27,5864
2012/01/28,5866
2012/01/29,5878
2012/01/30,5883
2012/01/31,5906
2012/02/01,5920
2012/02/02,5948
2012/02/03,5973
2012/02/04,6002
2012/02/05,6021
2012/02/06,6025
2012/02/07,6049
2012/02/08,6072
2012/02/09,6106
2012/02/10,6160
2012/02/11,6197
2012/02/12,6218
2012/02/13,6261
2012/02/14,6336
2012/02/15,6407
2012/02/16,6481
2012/02/17,6493
2012/02/18,6499
2012/02/19,6492
2012/02/20,6494
2012/02/21,6498
2012/02/22,6517
2012/02/23,6554
2012/02/24,6567
2012/02/25,6566
2012/02/26,6553
2012/02/27,6561
2012/02/28,6569
2012/02/29,6576
2012/03/01,6585
2012/03/02,6613
2012/03/03,6587
2012/03/04,6591
2012/03/05,6604
2012/03/06,6603
2012/03/07,6608
2012/03/08,6613
2012/03/09,6615
2012/03/10,6591
2012/03/11,6565
2012/03/12,6558
2012/03/13,6578
2012/03/14,6588
2012/03/15,6584
2012/03/16,6594
2012/03/17,6601
2012/03/18,6590
2012/03/19,6592
2012/03/20,6598
2012/03/21,6608
2012/03/22,6608
2012/03/23,6599
2012/03/24,6593
2012/03/25,6584
2012/03/26,6584
2012/03/27,6584
2012/03/28,6597
2012/03/29,6616
2012/03/30,6618
2012/03/31,6606
2012/04/01,6580
2012/04/02,6575
2012/04/03,6597
2012/04/04,6606
2012/04/05,6612
2012/04/06,6611
2012/04/07,6595
2012/04/08,6576
2012/04/09,6573
2012/04/10,6610
2012/04/11,6634
2012/04/12,6667
2012/04/13,6672
2012/04/14,6698
2012/04/15,6711
2012/04/16,6749
2012/04/17,6770
2012/04/18,6807
2012/04/19,6829
2012/04/20,6859
2012/04/21,6865
2012/04/22,6852
2012/04/23,6855
2012/04/24,6871
2012/04/25,6884
2012/04/26,6953
2012/04/27,6957
2012/04/28,6966
2012/04/29,6981
2012/04/30,7032
2012/05/01,7100
2012/05/02,7163
2012/05/03,7314
2012/05/04,7464
2012/05/05,7589
2012/05/06,7672
2012/05/07,7909
2012/05/08,8132
2012/05/09,8342
2012/05/10,8430
2012/05/11,8677
2012/05/12,8906
2012/05/13,9053
2012/05/14,9497
2012/05/15,9803
2012/05/16,10014
2012/05/17,10198
2012/05/18,10545
2012/05/19,11127
2012/05/20,11616
2012/05/21,12102
2012/05/22,12403
2012/05/23,12787
2012/05/24,13148
2012/05/25,13558
2012/05/26,13835
2012/05/27,14178
2012/05/28,14591
2012/05/29,14998
2012/05/30,15306
2012/05/31,15509
2012/06/01,15841
2012/06/02,15854
2012/06/03,16323
2012/06/04,17057
2012/06/05,17746
2012/06/06,17802
2012/06/07,18235
2012/06/08,18456
2012/06/09,18874
2012/06/10,19454
2012/06/11,19846
2012/06/12,19917
2012/06/13,20833
2012/06/14,21850
2012/06/15,22700
2012/06/16,23281
2012/06/17,23867
2012/06/18,24337
2012/06/19,24732
2012/06/20,25038
2012/06/21,25217
2012/06/22,25321
2012/06/23,25393
2012/06/24,25463
2012/06/25,25668
2012/06/26,25901
2012/06/27,26142
2012/06/28,26282
2012/06/29,26337
2012/06/30,26383
2012/07/01,26351
2012/07/02,26444
2012/07/03,26479
2012/07/04,26521
2012/07/05,26526
2012/07/06,26577
2012/07/07,26660
2012/07/08,26633
2012/07/09,26698
2012/07/10,26978
