Date,mining_profitability14roc
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,92.897
2010/08/01,-32.041
2010/08/02,-48.394
2010/08/03,-45.712
2010/08/04,-42.635
2010/08/05,-38.265
2010/08/06,-55.334
2010/08/07,-45.981
2010/08/08,-40.565
2010/08/09,-37.294
2010/08/10,-0.059
2010/08/11,-18.79
2010/08/12,-30.726
2010/08/13,-34.748
2010/08/14,-25.507
2010/08/15,-56.724
2010/08/16,-48.873
2010/08/17,-47.443
2010/08/18,-47.802
2010/08/19,-36.365
2010/08/20,8.325
2010/08/21,-31.139
2010/08/22,-26.758
2010/08/23,-29.057
2010/08/24,-35.107
2010/08/25,-36.195
2010/08/26,-35.693
2010/08/27,-47.446
2010/08/28,-55.308
2010/08/29,-12.484
2010/08/30,-19.274
2010/08/31,-12.65
2010/09/01,-33.586
2010/09/02,-24.069
2010/09/03,-34.775
2010/09/04,-14.982
2010/09/05,-31.531
2010/09/06,-25.212
2010/09/07,-20.288
2010/09/08,-26.509
2010/09/09,-38.734
2010/09/10,1.789
2010/09/11,-15.024
2010/09/12,-13.894
2010/09/13,-16.958
2010/09/14,-10.954
2010/09/15,-12.141
2010/09/16,-1.318
2010/09/17,-20.448
2010/09/18,-13.918
2010/09/19,-32.039
2010/09/20,-31.03
2010/09/21,-38.959
2010/09/22,-25.008
2010/09/23,4.975
2010/09/24,-31.26
2010/09/25,-24.39
2010/09/26,-22.547
2010/09/27,-17.365
2010/09/28,-36.52
2010/09/29,-49.845
2010/09/30,-52.437
2010/10/01,-42.623
2010/10/02,-58.354
2010/10/03,-20.763
2010/10/04,-22.792
2010/10/05,-30.952
2010/10/06,-20.511
2010/10/07,-40.88
2010/10/08,-14.986
2010/10/09,7.209
2010/10/10,11.554
2010/10/11,-5.309
2010/10/12,10.527
2010/10/13,88.477
2010/10/14,76.074
2010/10/15,48.877
2010/10/16,134.852
2010/10/17,39.405
