Date,sentinusd3stdUSD
2011/05/26,766047
2011/05/27,1319762
2011/05/28,2231985
2011/05/29,2421840
2011/05/30,363775
2011/05/31,192920
2011/06/01,143430
2011/06/02,1039619
2011/06/03,4405474
2011/06/04,3925689
2011/06/05,1963782
2011/06/06,5652053
2011/06/07,4039445
2011/06/08,8303999
2011/06/09,10271412
2011/06/10,2653993
2011/06/11,4853371
2011/06/12,5066983
2011/06/13,5091192
2011/06/14,5575328
2011/06/15,51871304
2011/06/16,106745257
2011/06/17,110118384
2011/06/18,129008856
2011/06/19,52253187
2011/06/20,53517483
2011/06/21,45837859
2011/06/22,31798985
2011/06/23,29762484
2011/06/24,53094881
2011/06/25,128210445
2011/06/26,101662871
2011/06/27,128522307
2011/06/28,69241304
2011/06/29,73450709
2011/06/30,77461675
2011/07/01,25098236
2011/07/02,9355602
2011/07/03,7064242
2011/07/04,9074520
2011/07/05,12299855
2011/07/06,12581798
2011/07/07,1984826
2011/07/08,2892442
2011/07/09,22839398
2011/07/10,26994384
2011/07/11,17606726
2011/07/12,19473530
2011/07/13,4817150
2011/07/14,9735236
2011/07/15,15354281
2011/07/16,15201686
2011/07/17,8741966
2011/07/18,30817500
2011/07/19,31677350
2011/07/20,31743810
2011/07/21,24706205
2011/07/22,11753233
2011/07/23,11035053
2011/07/24,12543602
2011/07/25,11524198
2011/07/26,10587519
2011/07/27,3016450
2011/07/28,27726588
2011/07/29,31820285
2011/07/30,37546188
2011/07/31,4157512
2011/08/01,3078226
2011/08/02,2519071
2011/08/03,2397489
2011/08/04,1494033
2011/08/05,1543162
2011/08/06,1815983
2011/08/07,2112493
2011/08/08,4986946
2011/08/09,16355717
2011/08/10,11901935
2011/08/11,14282410
2011/08/12,7095087
2011/08/13,1552168
2011/08/14,1520560
2011/08/15,1411317
2011/08/16,887047
2011/08/17,358960
2011/08/18,679173
2011/08/19,2273086
2011/08/20,2987743
2011/08/21,3372547
2011/08/22,370356
2011/08/23,1814509
2011/08/24,2510877
2011/08/25,1856202
2011/08/26,2987401
2011/08/27,18447986
2011/08/28,19469915
2011/08/29,19620562
2011/08/30,473167
2011/08/31,119454
2011/09/01,509158
2011/09/02,485763
2011/09/03,657608
2011/09/04,11728908
2011/09/05,13684972
2011/09/06,6833102
2011/09/07,15509790
2011/09/08,18195404
2011/09/09,1841469
2011/09/10,1160249
2011/09/11,3480914
2011/09/12,3362178
2011/09/13,2705278
2011/09/14,1771192
2011/09/15,467479
2011/09/16,1536293
2011/09/17,1545570
2011/09/18,1587287
2011/09/19,252143
2011/09/20,456185
2011/09/21,437362
2011/09/22,491594
2011/09/23,504886
2011/09/24,516685
2011/09/25,501721
2011/09/26,256058
2011/09/27,561099
2011/09/28,533343
2011/09/29,427930
2011/09/30,229401
2011/10/01,588307
2011/10/02,581411
2011/10/03,447585
2011/10/04,427137
2011/10/05,80494
2011/10/06,491487
2011/10/07,697989
2011/10/08,1134867
2011/10/09,486323
2011/10/10,99619
2011/10/11,87136
2011/10/12,35294
2011/10/13,69269
2011/10/14,160564
2011/10/15,317611
2011/10/16,443248
2011/10/17,493317
2011/10/18,551058
2011/10/19,664984
2011/10/20,140934
2011/10/21,652088
2011/10/22,801133
2011/10/23,316099
2011/10/24,633694
2011/10/25,711773
2011/10/26,155119
2011/10/27,389949
2011/10/28,249866
2011/10/29,64045
2011/10/30,683583
2011/10/31,635498
2011/11/01,809489
2011/11/02,411986
2011/11/03,491377
2011/11/04,138792
2011/11/05,308461
2011/11/06,475257
2011/11/07,168779
2011/11/08,2494619
2011/11/09,2257315
2011/11/10,2020351
2011/11/11,1857168
2011/11/12,197243
2011/11/13,126998
2011/11/14,150337
2011/11/15,149246
2011/11/16,3860265
2011/11/17,5815899
2011/11/18,4884257
2011/11/19,2604972
2011/11/20,6399114
2011/11/21,4811974
2011/11/22,4436260
2011/11/23,4297323
2011/11/24,4381893
2011/11/25,904474
2011/11/26,1069955
2011/11/27,1476633
2011/11/28,5591695
2011/11/29,5523084
2011/11/30,7973903
2011/12/01,10270439
2011/12/02,10878598
2011/12/03,8681958
2011/12/04,7385750
2011/12/05,1839348
2011/12/06,11311587
2011/12/07,9996912
2011/12/08,5471052
2011/12/09,9163443
2011/12/10,8762988
2011/12/11,2791668
2011/12/12,834374
2011/12/13,1364089
2011/12/14,1165093
2011/12/15,282944
2011/12/16,362405
2011/12/17,347530
2011/12/18,455929
2011/12/19,477397
2011/12/20,748618
2011/12/21,533193
2011/12/22,456608
2011/12/23,967242
2011/12/24,531255
