Date,activeaddresses7ema
2010/07/17,1962
2010/07/18,1701
2010/07/19,1519
2010/07/20,1365
2010/07/21,1226
2010/07/22,1070
2010/07/23,965.126
2010/07/24,964.844
2010/07/25,1257
2010/07/26,1252
2010/07/27,1132
2010/07/28,1017
2010/07/29,894.974
2010/07/30,816.98
2010/07/31,731.485
2010/08/01,703.614
2010/08/02,684.46
2010/08/03,756.845
2010/08/04,750.384
2010/08/05,767.538
2010/08/06,735.154
2010/08/07,679.865
2010/08/08,655.899
2010/08/09,686.424
2010/08/10,662.318
2010/08/11,671.989
2010/08/12,648.741
2010/08/13,698.306
2010/08/14,664.48
2010/08/15,604.61
2010/08/16,646.457
2010/08/17,608.343
2010/08/18,637.757
2010/08/19,595.818
2010/08/20,610.863
2010/08/21,590.148
2010/08/22,589.111
2010/08/23,605.083
2010/08/24,611.812
2010/08/25,583.609
2010/08/26,600.707
2010/08/27,574.78
2010/08/28,562.835
2010/08/29,519.626
2010/08/30,520.22
2010/08/31,573.665
2010/09/01,580.999
2010/09/02,571.499
2010/09/03,553.624
2010/09/04,527.968
2010/09/05,532.976
2010/09/06,527.482
2010/09/07,496.362
2010/09/08,508.521
2010/09/09,509.891
2010/09/10,517.668
2010/09/11,496.501
2010/09/12,550.126
2010/09/13,592.094
2010/09/14,610.071
2010/09/15,623.053
2010/09/16,638.54
2010/09/17,729.655
2010/09/18,687.741
2010/09/19,679.306
2010/09/20,685.729
2010/09/21,818.297
2010/09/22,873.473
2010/09/23,917.355
2010/09/24,889.766
2010/09/25,873.574
2010/09/26,810.931
2010/09/27,925.448
2010/09/28,1119
2010/09/29,1139
2010/09/30,1013
2010/10/01,971.853
2010/10/02,923.89
2010/10/03,860.917
2010/10/04,852.688
2010/10/05,815.516
2010/10/06,784.637
2010/10/07,750.228
2010/10/08,765.921
2010/10/09,761.941
2010/10/10,727.205
2010/10/11,703.154
2010/10/12,688.866
2010/10/13,748.149
2010/10/14,719.612
2010/10/15,684.959
2010/10/16,746.969
2010/10/17,748.227
2010/10/18,797.92
2010/10/19,950.44
2010/10/20,1009
2010/10/21,1005
2010/10/22,996.701
2010/10/23,956.276
2010/10/24,929.957
2010/10/25,885.468
2010/10/26,880.601
2010/10/27,939.701
2010/10/28,954.275
2010/10/29,927.707
2010/10/30,860.53
2010/10/31,788.397
2010/11/01,740.548
2010/11/02,669.911
2010/11/03,645.933
2010/11/04,636.2
2010/11/05,685.9
2010/11/06,663.425
2010/11/07,670.069
2010/11/08,895.302
2010/11/09,833.476
2010/11/10,787.857
2010/11/11,741.143
2010/11/12,669.857
2010/11/13,647.143
2010/11/14,710.607
2010/11/15,1632
2010/11/16,2065
2010/11/17,1718
2010/11/18,1446
2010/11/19,1245
2010/11/20,1130
2010/11/21,1037
2010/11/22,933.582
2010/11/23,865.186
2010/11/24,889.64
2010/11/25,895.23
2010/11/26,970.672
2010/11/27,933.504
2010/11/28,876.628
2010/11/29,882.471
2010/11/30,861.103
2010/12/01,923.078
2010/12/02,895.308
2010/12/03,891.731
2010/12/04,851.048
2010/12/05,812.036
2010/12/06,792.527
2010/12/07,879.895
2010/12/08,885.672
2010/12/09,873.004
2010/12/10,813.753
2010/12/11,877.815
2010/12/12,956.861
2010/12/13,1137
2010/12/14,1137
2010/12/15,1124
2010/12/16,1080
2010/12/17,1009
2010/12/18,971.307
2010/12/19,1000
2010/12/20,1116
2010/12/21,1109
2010/12/22,1134
2010/12/23,1105
2010/12/24,1042
2010/12/25,1050
2010/12/26,1045
2010/12/27,1068
2010/12/28,1059
2010/12/29,1042
2010/12/30,1054
2010/12/31,1015
2011/01/01,1030
2011/01/02,1036
2011/01/03,1126
2011/01/04,1114
2011/01/05,1221
2011/01/06,1206
2011/01/07,1218
2011/01/08,1282
2011/01/09,1307
2011/01/10,1339
2011/01/11,1393
2011/01/12,1360
2011/01/13,1444
2011/01/14,1485
2011/01/15,1469
2011/01/16,1486
2011/01/17,1451
2011/01/18,1443
2011/01/19,1468
2011/01/20,1464
2011/01/21,1591
2011/01/22,1742
2011/01/23,1789
2011/01/24,1857
2011/01/25,1754
2011/01/26,1712
2011/01/27,1697
2011/01/28,1695
2011/01/29,1791
2011/01/30,2143
2011/01/31,2164
2011/02/01,2102
2011/02/02,1949
2011/02/03,1778
2011/02/04,1711
2011/02/05,1664
2011/02/06,1597
2011/02/07,1547
2011/02/08,1517
2011/02/09,1660
2011/02/10,2132
2011/02/11,2677
2011/02/12,2832
2011/02/13,2941
2011/02/14,3235
2011/02/15,3279
2011/02/16,3204
2011/02/17,3276
2011/02/18,3359
2011/02/19,3242
2011/02/20,3226
2011/02/21,3242
2011/02/22,3377
2011/02/23,3482
2011/02/24,3531
2011/02/25,3502
2011/02/26,3522
2011/02/27,3550
2011/02/28,3419
2011/03/01,3863
2011/03/02,3829
2011/03/03,4095
2011/03/04,3892
2011/03/05,3821
2011/03/06,3695
2011/03/07,3624
2011/03/08,3684
