Date,mediantransactionvalue3smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0.347
2010/07/20,1.966
2010/07/21,3.124
2010/07/22,3.332
2010/07/23,1.902
2010/07/24,0.771
2010/07/25,0.573
2010/07/26,1.184
2010/07/27,1.101
2010/07/28,0.949
2010/07/29,0.067
2010/07/30,0.297
2010/07/31,0.743
2010/08/01,1.759
2010/08/02,2.485
2010/08/03,2.331
2010/08/04,2.308
2010/08/05,2.28
2010/08/06,2.073
2010/08/07,1.557
2010/08/08,0.615
2010/08/09,1.72
2010/08/10,2.391
2010/08/11,3.398
2010/08/12,3.358
2010/08/13,3.3
2010/08/14,3.346
2010/08/15,3.298
2010/08/16,3.741
2010/08/17,3.766
2010/08/18,3.813
2010/08/19,3.401
2010/08/20,3.373
2010/08/21,3.322
2010/08/22,3.292
2010/08/23,3.282
2010/08/24,3.265
2010/08/25,3.267
2010/08/26,2.282
2010/08/27,2.274
2010/08/28,1.396
2010/08/29,1.407
2010/08/30,0.414
2010/08/31,1.233
2010/09/01,1.346
2010/09/02,2.303
2010/09/03,3.323
2010/09/04,5.149
2010/09/05,5.144
2010/09/06,4.125
2010/09/07,3.092
2010/09/08,2.094
2010/09/09,2.076
2010/09/10,1.157
2010/09/11,1.202
2010/09/12,0.21
2010/09/13,0.356
2010/09/14,1.308
2010/09/15,1.996
2010/09/16,2.78
2010/09/17,2.745
2010/09/18,3.031
2010/09/19,3.67
2010/09/20,2.92
2010/09/21,1.972
2010/09/22,0.312
2010/09/23,0.416
2010/09/24,0.764
2010/09/25,0.77
2010/09/26,0.497
2010/09/27,0.143
2010/09/28,0.939
2010/09/29,3.008
2010/09/30,3.363
2010/10/01,2.806
2010/10/02,0.698
2010/10/03,2.033
2010/10/04,7.581
2010/10/05,12.484
2010/10/06,11.784
2010/10/07,10.218
2010/10/08,9.468
2010/10/09,12.486
2010/10/10,11.456
2010/10/11,9.356
2010/10/12,6.674
2010/10/13,5.108
2010/10/14,33.988
2010/10/15,53.378
2010/10/16,91.249
2010/10/17,68.774
2010/10/18,53.148
2010/10/19,14.948
2010/10/20,8.107
2010/10/21,4.673
