Date,confirmationtime7std
2010/07/17,5.263
2010/07/18,5.409
2010/07/19,5.846
2010/07/20,5.637
2010/07/21,4.967
2010/07/22,3.723
2010/07/23,0.997
2010/07/24,0.958
2010/07/25,1.35
2010/07/26,1.581
2010/07/27,1.84
2010/07/28,2.18
2010/07/29,2.155
2010/07/30,2.164
2010/07/31,2.197
2010/08/01,2.272
2010/08/02,2.262
2010/08/03,2.175
2010/08/04,1.697
2010/08/05,1.357
2010/08/06,2.551
2010/08/07,3.092
2010/08/08,2.957
2010/08/09,2.742
2010/08/10,2.566
2010/08/11,2.469
2010/08/12,2.461
2010/08/13,1.876
2010/08/14,1.607
2010/08/15,1.566
2010/08/16,2.675
2010/08/17,3.983
2010/08/18,4.403
2010/08/19,4.502
2010/08/20,4.332
2010/08/21,3.184
2010/08/22,3.255
2010/08/23,3.654
2010/08/24,3.368
2010/08/25,2.724
2010/08/26,1.132
2010/08/27,1.467
2010/08/28,1.532
2010/08/29,1.853
2010/08/30,2.233
2010/08/31,1.998
2010/09/01,1.709
2010/09/02,1.141
2010/09/03,1.098
2010/09/04,1.251
2010/09/05,1.249
2010/09/06,1.069
2010/09/07,0.814
2010/09/08,0.774
2010/09/09,1.527
2010/09/10,1.641
2010/09/11,1.448
2010/09/12,1.577
2010/09/13,1.615
2010/09/14,2.026
2010/09/15,2.023
2010/09/16,1.574
2010/09/17,1.728
2010/09/18,1.788
2010/09/19,1.702
2010/09/20,1.389
2010/09/21,1.683
2010/09/22,1.579
2010/09/23,1.694
2010/09/24,1.783
2010/09/25,1.614
2010/09/26,1.604
2010/09/27,1.721
2010/09/28,1.344
2010/09/29,1.663
2010/09/30,2.517
2010/10/01,2.641
2010/10/02,5.136
2010/10/03,5.212
2010/10/04,4.482
2010/10/05,3.649
2010/10/06,3.765
2010/10/07,3.916
2010/10/08,3.916
2010/10/09,2.394
2010/10/10,1.985
2010/10/11,1.985
2010/10/12,0.869
2010/10/13,0.957
2010/10/14,1.591
2010/10/15,1.481
2010/10/16,2.34
2010/10/17,2.937
2010/10/18,2.847
2010/10/19,2.3
2010/10/20,1.94
2010/10/21,2.179
2010/10/22,2.847
2010/10/23,3.006
2010/10/24,2.761
2010/10/25,2.568
2010/10/26,2.454
2010/10/27,2.037
2010/10/28,2.105
2010/10/29,1.307
2010/10/30,0.954
2010/10/31,1.42
2010/11/01,1.75
2010/11/02,1.829
2010/11/03,1.826
2010/11/04,1.748
2010/11/05,1.716
2010/11/06,1.295
2010/11/07,1.553
2010/11/08,1.829
2010/11/09,1.415
2010/11/10,1.241
2010/11/11,1.114
2010/11/12,1.876
2010/11/13,1.881
2010/11/14,1.966
2010/11/15,1.647
2010/11/16,1.659
2010/11/17,1.831
2010/11/18,2.013
2010/11/19,2.633
2010/11/20,4.685
2010/11/21,4.667
2010/11/22,4.582
2010/11/23,4.594
2010/11/24,3.926
2010/11/25,2.856
2010/11/26,3.254
2010/11/27,2.144
2010/11/28,1.711
2010/11/29,1.969
2010/11/30,1.03
2010/12/01,0.967
2010/12/02,0.932
2010/12/03,0.922
2010/12/04,1.24
2010/12/05,1.249
2010/12/06,1.458
2010/12/07,1.563
2010/12/08,1.428
2010/12/09,1.087
2010/12/10,2.581
2010/12/11,2.772
2010/12/12,2.828
2010/12/13,3.237
2010/12/14,2.863
2010/12/15,2.408
2010/12/16,1.826
2010/12/17,1.587
2010/12/18,1.592
2010/12/19,1.686
2010/12/20,1.132
2010/12/21,1.322
2010/12/22,1.228
2010/12/23,1.58
2010/12/24,1.734
2010/12/25,1.742
2010/12/26,1.691
2010/12/27,1.717
2010/12/28,1.192
2010/12/29,1.24
2010/12/30,1.123
2010/12/31,0.928
2011/01/01,1.11
2011/01/02,0.588
2011/01/03,0.779
2011/01/04,1.375
2011/01/05,1.418
2011/01/06,1.63
2011/01/07,1.642
2011/01/08,1.459
2011/01/09,1.276
2011/01/10,1.308
2011/01/11,1.16
2011/01/12,1.141
2011/01/13,0.785
2011/01/14,0.838
2011/01/15,1
2011/01/16,0.969
2011/01/17,0.931
2011/01/18,1.644
2011/01/19,1.643
2011/01/20,1.619
2011/01/21,1.567
2011/01/22,1.502
2011/01/23,1.49
2011/01/24,1.57
2011/01/25,1.017
2011/01/26,1.039
2011/01/27,1.026
2011/01/28,1.095
2011/01/29,1.12
2011/01/30,1.182
2011/01/31,0.848
2011/02/01,0.79
2011/02/02,0.474
2011/02/03,0.474
2011/02/04,1.145
2011/02/05,1.21
2011/02/06,1.113
2011/02/07,1.447
2011/02/08,1.408
2011/02/09,1.252
2011/02/10,0.926
2011/02/11,0.88
2011/02/12,0.919
2011/02/13,0.901
2011/02/14,0.833
2011/02/15,0.841
2011/02/16,1.133
2011/02/17,1.174
2011/02/18,0.972
2011/02/19,1.787
2011/02/20,1.787
2011/02/21,1.795
2011/02/22,1.733
2011/02/23,1.824
2011/02/24,1.703
2011/02/25,1.773
2011/02/26,1.456
2011/02/27,1.395
2011/02/28,2.62
