Date,transactions90var
2010/07/17,369414
2010/07/18,369360
2010/07/19,369608
2010/07/20,370098
2010/07/21,370002
2010/07/22,369871
2010/07/23,369682
2010/07/24,372596
2010/07/25,394245
2010/07/26,394017
2010/07/27,393794
2010/07/28,421192
2010/07/29,444296
2010/07/30,443895
2010/07/31,443623
2010/08/01,443270
2010/08/02,442899
2010/08/03,442694
2010/08/04,442180
2010/08/05,441636
2010/08/06,441086
2010/08/07,440779
2010/08/08,440247
2010/08/09,439613
2010/08/10,439169
2010/08/11,438691
2010/08/12,438170
2010/08/13,437518
2010/08/14,436979
2010/08/15,436657
2010/08/16,436148
2010/08/17,435635
2010/08/18,434996
2010/08/19,434549
2010/08/20,433889
2010/08/21,433656
2010/08/22,433300
2010/08/23,432844
2010/08/24,432465
2010/08/25,432180
2010/08/26,431763
2010/08/27,431463
2010/08/28,430996
2010/08/29,430776
2010/08/30,430259
2010/08/31,429605
2010/09/01,429166
2010/09/02,428675
2010/09/03,428193
2010/09/04,427988
2010/09/05,427572
2010/09/06,427309
2010/09/07,426977
2010/09/08,426495
2010/09/09,426084
2010/09/10,425680
2010/09/11,425336
2010/09/12,424968
2010/09/13,424439
2010/09/14,423780
2010/09/15,423096
2010/09/16,422383
2010/09/17,421975
2010/09/18,421411
2010/09/19,421154
2010/09/20,420510
2010/09/21,420908
2010/09/22,420500
2010/09/23,419763
2010/09/24,418849
2010/09/25,417965
2010/09/26,417434
2010/09/27,416763
2010/09/28,416093
2010/09/29,417594
2010/09/30,416921
2010/10/01,416081
2010/10/02,415070
2010/10/03,414257
2010/10/04,413203
2010/10/05,412325
2010/10/06,411533
2010/10/07,410920
2010/10/08,409997
2010/10/09,409740
2010/10/10,392107
2010/10/11,390383
2010/10/12,86574
2010/10/13,84776
2010/10/14,83246
2010/10/15,83412
2010/10/16,83506
2010/10/17,83540
2010/10/18,83368
2010/10/19,85034
2010/10/20,85294
2010/10/21,85313
2010/10/22,83649
2010/10/23,64475
2010/10/24,64516
2010/10/25,64560
2010/10/26,38558
2010/10/27,15629
2010/10/28,15533
2010/10/29,15286
2010/10/30,15185
2010/10/31,15247
2010/11/01,14937
2010/11/02,15101
2010/11/03,15135
2010/11/04,15229
2010/11/05,15075
2010/11/06,15094
2010/11/07,15102
2010/11/08,15015
2010/11/09,15000
2010/11/10,14977
2010/11/11,14974
2010/11/12,15056
2010/11/13,15023
2010/11/14,15032
2010/11/15,231173
2010/11/16,1048103
2010/11/17,1048111
2010/11/18,1055873
2010/11/19,1962652
2010/11/20,2874318
2010/11/21,3822040
2010/11/22,3821849
2010/11/23,3821231
2010/11/24,3919545
2010/11/25,4094912
2010/11/26,4091474
2010/11/27,4089129
2010/11/28,4087805
2010/11/29,4087956
2010/11/30,4087583
2010/12/01,4085562
2010/12/02,4083990
2010/12/03,4082460
2010/12/04,4081836
2010/12/05,4080731
2010/12/06,4079260
2010/12/07,4077236
2010/12/08,4075983
2010/12/09,4074912
2010/12/10,4073758
2010/12/11,4071684
2010/12/12,4069561
2010/12/13,4066597
2010/12/14,4064318
2010/12/15,4061768
2010/12/16,4059103
2010/12/17,4057277
2010/12/18,4054708
2010/12/19,4053468
2010/12/20,4053043
2010/12/21,4053594
2010/12/22,4052899
2010/12/23,4051720
2010/12/24,4051081
2010/12/25,4047945
2010/12/26,4047300
2010/12/27,4046338
2010/12/28,4047764
2010/12/29,4046135
2010/12/30,4046192
2010/12/31,4046273
2011/01/01,4043860
2011/01/02,4042207
2011/01/03,4038140
2011/01/04,4033717
2011/01/05,4029197
2011/01/06,4025354
2011/01/07,4020729
2011/01/08,4016574
2011/01/09,4010965
2011/01/10,4005755
2011/01/11,4000381
2011/01/12,3993679
2011/01/13,3986761
2011/01/14,3980206
2011/01/15,3973712
2011/01/16,3969620
2011/01/17,3969755
2011/01/18,3967651
2011/01/19,3964048
2011/01/20,3961520
2011/01/21,3956848
2011/01/22,3952861
2011/01/23,3945835
2011/01/24,3939900
2011/01/25,3935871
2011/01/26,3929884
2011/01/27,3924331
2011/01/28,3916135
2011/01/29,3906873
2011/01/30,3918716
2011/01/31,3908287
2011/02/01,3899134
2011/02/02,3890301
2011/02/03,3884122
2011/02/04,3875707
2011/02/05,3868908
2011/02/06,3861896
2011/02/07,3854250
2011/02/08,3846697
2011/02/09,3836385
2011/02/10,3829553
2011/02/11,3827886
2011/02/12,3818788
2011/02/13,3686436
2011/02/14,3020405
2011/02/15,3019857
2011/02/16,3025748
2011/02/17,2251606
2011/02/18,1434525
2011/02/19,538202
2011/02/20,541368
2011/02/21,544932
2011/02/22,466622
2011/02/23,308929
2011/02/24,320430
2011/02/25,326983
2011/02/26,330091
2011/02/27,339533
2011/02/28,339459
2011/03/01,366154
2011/03/02,369699
2011/03/03,409050
2011/03/04,408049
2011/03/05,406713
2011/03/06,405081
2011/03/07,404158
2011/03/08,412721
2011/03/09,408849
2011/03/10,402411
2011/03/11,400643
2011/03/12,426746
2011/03/13,444479
2011/03/14,458867
2011/03/15,478224
2011/03/16,505721
2011/03/17,537460
2011/03/18,537207
2011/03/19,560932
2011/03/20,631094
2011/03/21,826180
2011/03/22,821386
2011/03/23,903797
2011/03/24,892600
2011/03/25,881194
2011/03/26,897846
2011/03/27,887719
2011/03/28,889307
2011/03/29,881000
2011/03/30,864596
2011/03/31,847549
2011/04/01,832594
2011/04/02,814309
2011/04/03,808619
2011/04/04,802399
2011/04/05,799461
2011/04/06,784247
2011/04/07,776153
2011/04/08,773879
2011/04/09,768994
2011/04/10,765360
2011/04/11,761826
2011/04/12,755527
2011/04/13,751946
2011/04/14,756014
2011/04/15,744982
2011/04/16,732790
2011/04/17,717909
2011/04/18,714462
2011/04/19,727437
2011/04/20,721662
2011/04/21,712318
2011/04/22,707287
2011/04/23,695947
2011/04/24,688723
2011/04/25,673873
2011/04/26,676704
2011/04/27,719203
2011/04/28,712329
2011/04/29,720989
2011/04/30,772702
2011/05/01,793718
2011/05/02,781096
2011/05/03,761765
2011/05/04,736353
2011/05/05,724338
2011/05/06,703652
2011/05/07,698777
2011/05/08,671338
2011/05/09,650980
2011/05/10,635788
2011/05/11,635829
2011/05/12,642587
2011/05/13,660935
2011/05/14,687611
2011/05/15,696477
2011/05/16,723509
2011/05/17,751473
2011/05/18,833539
2011/05/19,869261
2011/05/20,897662
2011/05/21,938712
2011/05/22,992286
2011/05/23,1071223
2011/05/24,1154318
2011/05/25,1257415
2011/05/26,1410334
2011/05/27,1430892
2011/05/28,1464598
2011/05/29,1473472
2011/05/30,1526383
2011/05/31,1605149
2011/06/01,1726456
2011/06/02,1871461
2011/06/03,2136684
2011/06/04,2430885
2011/06/05,2688883
2011/06/06,3085934
2011/06/07,3370245
2011/06/08,4048697
2011/06/09,4769484
2011/06/10,5346418
2011/06/11,5838889
2011/06/12,6570744
2011/06/13,7088587
2011/06/14,8128524
2011/06/15,8835014
2011/06/16,9526869
2011/06/17,9991139
2011/06/18,10498555
2011/06/19,10969978
2011/06/20,11329745
2011/06/21,11567596
2011/06/22,11926924
2011/06/23,12115749
2011/06/24,12429252
2011/06/25,12554633
2011/06/26,12722093
2011/06/27,13072134
2011/06/28,13202746
2011/06/29,13263534
2011/06/30,13230995
2011/07/01,13292103
2011/07/02,13147822
2011/07/03,13055215
2011/07/04,13013883
2011/07/05,12897372
2011/07/06,12867740
2011/07/07,12725000
2011/07/08,12529488
2011/07/09,12297632
2011/07/10,12097512
2011/07/11,12031545
2011/07/12,11839957
2011/07/13,11731598
2011/07/14,11511140
2011/07/15,11267690
2011/07/16,11053519
2011/07/17,10891790
2011/07/18,10790527
2011/07/19,10637816
2011/07/20,10348968
2011/07/21,10048700
2011/07/22,9785564
2011/07/23,9483914
2011/07/24,9213167
2011/07/25,9057382
