Date,size7std
2010/07/17,1537
2010/07/18,1492
2010/07/19,1497
2010/07/20,1437
2010/07/21,293.45
2010/07/22,323.508
2010/07/23,349.02
2010/07/24,648.403
2010/07/25,1779
2010/07/26,1763
2010/07/27,1792
2010/07/28,2298
2010/07/29,2203
2010/07/30,2173
2010/07/31,2381
2010/08/01,2155
2010/08/02,2235
2010/08/03,2228
2010/08/04,1359
2010/08/05,371.989
2010/08/06,388.19
2010/08/07,368.598
2010/08/08,341.949
2010/08/09,674.237
2010/08/10,715.504
2010/08/11,713.776
2010/08/12,729.711
2010/08/13,735.224
2010/08/14,750.972
2010/08/15,771.477
2010/08/16,450.051
2010/08/17,439.568
2010/08/18,1038
2010/08/19,1009
2010/08/20,1027
2010/08/21,1019
2010/08/22,1003
2010/08/23,1017
2010/08/24,1014
2010/08/25,256.724
2010/08/26,252.589
2010/08/27,256.532
2010/08/28,260.632
2010/08/29,273.689
2010/08/30,282.755
2010/08/31,364.205
2010/09/01,387.425
2010/09/02,382.343
2010/09/03,373.828
2010/09/04,415.651
2010/09/05,383.505
2010/09/06,397.698
2010/09/07,294.031
2010/09/08,120.082
2010/09/09,177.035
2010/09/10,177.045
2010/09/11,147.434
2010/09/12,180.019
2010/09/13,217.572
2010/09/14,184.646
2010/09/15,196.021
2010/09/16,203.439
2010/09/17,200.95
2010/09/18,226.241
2010/09/19,242.403
2010/09/20,218.43
2010/09/21,692.212
2010/09/22,774.17
2010/09/23,743.065
2010/09/24,758.693
2010/09/25,694.554
2010/09/26,672.51
2010/09/27,650.951
2010/09/28,492.866
2010/09/29,1038
2010/09/30,1048
2010/10/01,995.173
2010/10/02,1074
2010/10/03,975.972
2010/10/04,985.07
2010/10/05,1004
2010/10/06,687.183
2010/10/07,709.107
2010/10/08,712.965
2010/10/09,226.494
2010/10/10,262.953
2010/10/11,268.664
2010/10/12,198.539
2010/10/13,218.307
2010/10/14,250.037
2010/10/15,264.899
2010/10/16,211.278
2010/10/17,239.292
2010/10/18,250.952
2010/10/19,449.47
2010/10/20,449.25
2010/10/21,468.331
2010/10/22,537.871
2010/10/23,480.364
2010/10/24,358.821
2010/10/25,389.066
2010/10/26,394.539
2010/10/27,395.514
2010/10/28,398.277
2010/10/29,201.747
2010/10/30,250.071
2010/10/31,261.737
2010/11/01,268.85
2010/11/02,306.428
2010/11/03,209.929
2010/11/04,170.657
2010/11/05,155.855
2010/11/06,147.337
2010/11/07,147.995
2010/11/08,257.292
2010/11/09,236.248
2010/11/10,231.863
2010/11/11,232.608
2010/11/12,231.508
2010/11/13,246.341
2010/11/14,245.291
2010/11/15,5791
2010/11/16,8539
2010/11/17,8547
2010/11/18,8413
2010/11/19,11076
2010/11/20,13736
2010/11/21,13327
2010/11/22,14959
2010/11/23,15901
2010/11/24,14982
2010/11/25,13864
2010/11/26,14041
2010/11/27,11114
2010/11/28,6355
2010/11/29,6343
2010/11/30,6363
2010/12/01,6066
2010/12/02,840.38
2010/12/03,133.169
2010/12/04,163.293
2010/12/05,217.205
2010/12/06,242.773
2010/12/07,255.882
2010/12/08,185.663
2010/12/09,177.268
2010/12/10,182.124
2010/12/11,299.51
2010/12/12,359.931
2010/12/13,736.357
2010/12/14,724.195
2010/12/15,671.198
2010/12/16,617.15
2010/12/17,556.878
2010/12/18,571.762
2010/12/19,572.311
2010/12/20,528.094
2010/12/21,535.585
2010/12/22,537.555
2010/12/23,511.052
2010/12/24,508.908
2010/12/25,480.144
2010/12/26,471.906
2010/12/27,189.909
2010/12/28,150.526
2010/12/29,129.766
2010/12/30,122.493
2010/12/31,139.173
2011/01/01,137.031
2011/01/02,121.997
2011/01/03,1017
2011/01/04,1072
2011/01/05,1270
2011/01/06,1205
2011/01/07,1074
2011/01/08,1001
2011/01/09,711.405
2011/01/10,654.944
2011/01/11,646.014
2011/01/12,581.896
2011/01/13,433.639
2011/01/14,282.928
2011/01/15,297.089
2011/01/16,402.647
2011/01/17,567.562
2011/01/18,455.554
2011/01/19,456.046
2011/01/20,477.629
2011/01/21,539.903
2011/01/22,1142
2011/01/23,1145
2011/01/24,1030
2011/01/25,1067
2011/01/26,1068
2011/01/27,947.804
2011/01/28,948.138
2011/01/29,865.308
2011/01/30,3146
2011/01/31,3133
2011/02/01,2999
2011/02/02,2952
2011/02/03,3035
2011/02/04,3150
2011/02/05,3270
2011/02/06,1101
2011/02/07,767.182
2011/02/08,339.608
2011/02/09,364.961
2011/02/10,1490
2011/02/11,1960
2011/02/12,1945
2011/02/13,1864
2011/02/14,1689
2011/02/15,1267
2011/02/16,960.1
2011/02/17,905.242
2011/02/18,722.141
2011/02/19,722.66
2011/02/20,695.631
2011/02/21,405.415
2011/02/22,446.913
2011/02/23,339.239
2011/02/24,347.924
2011/02/25,320.972
2011/02/26,602.524
2011/02/27,604.952
2011/02/28,861.152
2011/03/01,2796
2011/03/02,2749
2011/03/03,2879
2011/03/04,2815
2011/03/05,2580
2011/03/06,2754
2011/03/07,2837
2011/03/08,1742
2011/03/09,1756
2011/03/10,1700
2011/03/11,1863
2011/03/12,2333
2011/03/13,2356
2011/03/14,2474
2011/03/15,2920
2011/03/16,2389
2011/03/17,2020
2011/03/18,1400
2011/03/19,1411
2011/03/20,2461
2011/03/21,3236
2011/03/22,3561
2011/03/23,3589
2011/03/24,4069
2011/03/25,4698
2011/03/26,4701
2011/03/27,4244
2011/03/28,3096
2011/03/29,3143
2011/03/30,2618
2011/03/31,2910
2011/04/01,3158
2011/04/02,2521
2011/04/03,2145
2011/04/04,1455
2011/04/05,755.566
2011/04/06,863.961
2011/04/07,871.051
2011/04/08,791.817
2011/04/09,678.155
2011/04/10,539.977
2011/04/11,603.215
2011/04/12,1121
2011/04/13,1157
2011/04/14,1666
2011/04/15,2207
2011/04/16,2047
2011/04/17,1748
2011/04/18,1968
2011/04/19,2464
2011/04/20,2728
2011/04/21,3171
2011/04/22,3537
2011/04/23,3591
2011/04/24,3364
2011/04/25,3276
2011/04/26,2874
2011/04/27,3866
2011/04/28,3725
2011/04/29,3263
2011/04/30,3463
2011/05/01,3335
2011/05/02,3409
2011/05/03,3520
2011/05/04,2969
2011/05/05,2994
2011/05/06,3072
2011/05/07,2306
2011/05/08,765.288
2011/05/09,734.731
2011/05/10,1500
2011/05/11,1534
2011/05/12,2026
2011/05/13,2623
2011/05/14,2530
2011/05/15,1876
