Date,activeaddresses7mom
2010/07/17,402
2010/07/18,330
2010/07/19,-2579
2010/07/20,-1092
2010/07/21,-5954
2010/07/22,-1420
2010/07/23,-1058
2010/07/24,160
2010/07/25,1215
2010/07/26,266
2010/07/27,-135
2010/07/28,-135
2010/07/29,-71
2010/07/30,-69
2010/07/31,-489
2010/08/01,-1512
2010/08/02,-611
2010/08/03,203
2010/08/04,57
2010/08/05,291
2010/08/06,55
2010/08/07,39
2010/08/08,-36
2010/08/09,151
2010/08/10,-384
2010/08/11,-30
2010/08/12,-240
2010/08/13,209
2010/08/14,49
2010/08/15,-159
2010/08/16,-6
2010/08/17,-96
2010/08/18,25
2010/08/19,-109
2010/08/20,-191
2010/08/21,-35
2010/08/22,161
2010/08/23,-119
2010/08/24,138
2010/08/25,-227
2010/08/26,182
2010/08/27,-159
2010/08/28,-1
2010/08/29,-196
2010/08/30,-131
2010/08/31,102
2010/09/01,104
2010/09/02,-109
2010/09/03,3
2010/09/04,-76
2010/09/05,158
2010/09/06,-11
2010/09/07,-331
2010/09/08,-58
2010/09/09,-29
2010/09/10,41
2010/09/11,-18
2010/09/12,163
2010/09/13,207
2010/09/14,261
2010/09/15,117
2010/09/16,171
2010/09/17,462
2010/09/18,129
2010/09/19,-57
2010/09/20,-13
2010/09/21,552
2010/09/22,377
2010/09/23,364
2010/09/24,-196
2010/09/25,263
2010/09/26,-31
2010/09/27,564
2010/09/28,483
2010/09/29,159
2010/09/30,-411
2010/10/01,40
2010/10/02,-45
2010/10/03,49
2010/10/04,-441
2010/10/05,-995
2010/10/06,-506
2010/10/07,9
2010/10/08,-34
2010/10/09,-30
2010/10/10,-49
2010/10/11,-197
2010/10/12,-58
2010/10/13,234
2010/10/14,-13
2010/10/15,-232
2010/10/16,183
2010/10/17,129
2010/10/18,316
2010/10/19,762
2010/10/20,257
2010/10/21,360
2010/10/22,391
2010/10/23,-98
2010/10/24,99
2010/10/25,-195
2010/10/26,-542
2010/10/27,-66
2010/10/28,4
2010/10/29,-124
2010/10/30,-176
2010/10/31,-279
2010/11/01,-155
2010/11/02,-408
2010/11/03,-543
2010/11/04,-391
2010/11/05,-13
2010/11/06,-63
2010/11/07,118
2010/11/08,974
2010/11/09,190
2010/11/10,77
2010/11/11,-6
2010/11/12,-379
2010/11/13,-17
2010/11/14,211
2010/11/15,2825
2010/11/16,2717
2010/11/17,24
2010/11/18,31
2010/11/19,185
2010/11/20,205
2010/11/21,-143
2010/11/22,-3772
2010/11/23,-2705
2010/11/24,288
2010/11/25,280
2010/11/26,556
2010/11/27,38
2010/11/28,-52
2010/11/29,276
2010/11/30,137
2010/12/01,146
2010/12/02,-100
2010/12/03,-316
2010/12/04,-93
2010/12/05,-11
2010/12/06,-166
2010/12/07,345
2010/12/08,-206
2010/12/09,23
2010/12/10,-245
2010/12/11,341
2010/12/12,499
2010/12/13,942
2010/12/14,-5
2010/12/15,182
2010/12/16,114
2010/12/17,160
2010/12/18,-212
2010/12/19,-106
2010/12/20,-215
2010/12/21,-48
2010/12/22,125
2010/12/23,69
2010/12/24,55
2010/12/25,218
2010/12/26,-60
2010/12/27,-321
2010/12/28,-59
2010/12/29,-220
2010/12/30,73
2010/12/31,47
2011/01/01,1
2011/01/02,23
2011/01/03,258
2011/01/04,48
2011/01/05,550
2011/01/06,70
2011/01/07,356
2011/01/08,396
2011/01/09,332
2011/01/10,39
2011/01/11,474
2011/01/12,-277
2011/01/13,535
2011/01/14,353
2011/01/15,-51
2011/01/16,153
2011/01/17,-89
2011/01/18,-136
2011/01/19,282
2011/01/20,-243
2011/01/21,362
2011/01/22,774
2011/01/23,396
2011/01/24,710
2011/01/25,29
2011/01/26,41
2011/01/27,200
2011/01/28,-279
2011/01/29,-119
2011/01/30,1266
2011/01/31,171
2011/02/01,471
2011/02/02,-96
2011/02/03,-387
2011/02/04,-181
2011/02/05,-552
2011/02/06,-1805
2011/02/07,-831
2011/02/08,-489
2011/02/09,598
2011/02/10,2283
2011/02/11,2801
2011/02/12,1775
2011/02/13,1873
2011/02/14,2719
2011/02/15,1983
2011/02/16,894
2011/02/17,-57
2011/02/18,-702
2011/02/19,-408
2011/02/20,-89
2011/02/21,-826
2011/02/22,371
2011/02/23,816
2011/02/24,184
2011/02/25,-192
2011/02/26,689
2011/02/27,456
2011/02/28,-263
2011/03/01,1413
2011/03/02,-70
2011/03/03,1218
2011/03/04,-135
2011/03/05,29
2011/03/06,-317
2011/03/07,381
2011/03/08,-1327
2011/03/09,-344
2011/03/10,-1982
2011/03/11,-233
2011/03/12,-378
2011/03/13,-423
2011/03/14,-509
2011/03/15,-568
2011/03/16,-218
2011/03/17,313
2011/03/18,46
2011/03/19,-56
2011/03/20,1556
2011/03/21,1752
2011/03/22,563
2011/03/23,3698
2011/03/24,1163
2011/03/25,1076
2011/03/26,1652
2011/03/27,323
2011/03/28,684
2011/03/29,791
2011/03/30,-3202
2011/03/31,-229
2011/04/01,-891
2011/04/02,-1524
2011/04/03,-1146
2011/04/04,-715
2011/04/05,-347
2011/04/06,205
2011/04/07,-736
2011/04/08,370
2011/04/09,311
2011/04/10,-113
2011/04/11,-561
2011/04/12,24
2011/04/13,805
2011/04/14,2543
2011/04/15,498
2011/04/16,1754
2011/04/17,836
2011/04/18,1480
2011/04/19,2018
2011/04/20,715
2011/04/21,-1919
2011/04/22,101
2011/04/23,-433
2011/04/24,308
2011/04/25,-466
2011/04/26,-201
2011/04/27,2102
2011/04/28,2174
2011/04/29,2499
2011/04/30,3221
2011/05/01,2833
2011/05/02,913
2011/05/03,-97
2011/05/04,-1117
2011/05/05,875
2011/05/06,105
2011/05/07,-879
2011/05/08,-1090
2011/05/09,1578
2011/05/10,1115
2011/05/11,713
2011/05/12,133
2011/05/13,2599
2011/05/14,1697
2011/05/15,1917
2011/05/16,4206
2011/05/17,3332
2011/05/18,5854
2011/05/19,4769
2011/05/20,2149
2011/05/21,1797
2011/05/22,2517
2011/05/23,321
2011/05/24,2688
2011/05/25,1623
2011/05/26,2478
2011/05/27,-787
2011/05/28,868
2011/05/29,362
2011/05/30,658
2011/05/31,861
2011/06/01,-581
2011/06/02,1043
2011/06/03,7002
2011/06/04,7778
2011/06/05,6665
2011/06/06,8212
2011/06/07,4918
2011/06/08,13325
2011/06/09,10759
2011/06/10,6329
2011/06/11,4352
2011/06/12,9153
2011/06/13,4847
2011/06/14,10814
2011/06/15,235
2011/06/16,2589
2011/06/17,1910
2011/06/18,2345
2011/06/19,752
2011/06/20,152
2011/06/21,-4782
2011/06/22,-777
2011/06/23,-4498
2011/06/24,-842
2011/06/25,-3487
2011/06/26,-4227
2011/06/27,4176
2011/06/28,1184
2011/06/29,-2431
2011/06/30,-910
2011/07/01,5002
2011/07/02,9602
2011/07/03,-1293
2011/07/04,-6579
2011/07/05,-2882
2011/07/06,2586
2011/07/07,-518
2011/07/08,-5588
2011/07/09,-9468
2011/07/10,6462
2011/07/11,2292
2011/07/12,-254
2011/07/13,256
2011/07/14,5902
2011/07/15,-193
2011/07/16,1291
2011/07/17,-4034
2011/07/18,2032
2011/07/19,1856
2011/07/20,-1289
2011/07/21,-3408
2011/07/22,21
2011/07/23,-2146
2011/07/24,-1447
