Date,activeaddresses3var
2010/07/17,265838
2010/07/18,162495
2010/07/19,4891
2010/07/20,833.556
2010/07/21,4482
2010/07/22,16418
2010/07/23,7951
2010/07/24,25931
2010/07/25,405774
2010/07/26,248726
2010/07/27,318850
2010/07/28,60622
2010/07/29,9975
2010/07/30,3625
2010/07/31,1944
2010/08/01,3784
2010/08/02,4909
2010/08/03,27308
2010/08/04,21142
2010/08/05,10091
2010/08/06,5462
2010/08/07,15685
2010/08/08,2577
2010/08/09,12470
2010/08/10,8113
2010/08/11,5955
2010/08/12,3036
2010/08/13,12003
2010/08/14,16971
2010/08/15,30865
2010/08/16,20348
2010/08/17,22495
2010/08/18,14803
2010/08/19,13326
2010/08/20,11670
2010/08/21,6038
2010/08/22,2739
2010/08/23,2609
2010/08/24,782.889
2010/08/25,4650
2010/08/26,4611
2010/08/27,5271
2010/08/28,4506
2010/08/29,3458
2010/08/30,4024
2010/08/31,20078
2010/09/01,7630
2010/09/02,6360
2010/09/03,1784
2010/09/04,1413
2010/09/05,1568
2010/09/06,1598
2010/09/07,3784
2010/09/08,3665
2010/09/09,3716
2010/09/10,189.556
2010/09/11,2106
2010/09/12,13094
2010/09/13,17618
2010/09/14,574.889
2010/09/15,672.889
2010/09/16,108.222
2010/09/17,24215
2010/09/18,34526
2010/09/19,36083
2010/09/20,3502
2010/09/21,64396
2010/09/22,44890
2010/09/23,6591
2010/09/24,12499
2010/09/25,12118
2010/09/26,8332
2010/09/27,72806
2010/09/28,195555
2010/09/29,48994
2010/09/30,187814
2010/10/01,53387
2010/10/02,7593
2010/10/03,5198
2010/10/04,4256
2010/10/05,4526
2010/10/06,3780
2010/10/07,602
2010/10/08,4914
2010/10/09,4682
2010/10/10,6244
2010/10/11,3373
2010/10/12,90.889
2010/10/13,18406
2010/10/14,18201
2010/10/15,23011
2010/10/16,24013
2010/10/17,20656
2010/10/18,7887
2010/10/19,75654
2010/10/20,35427
2010/10/21,28638
2010/10/22,8970
2010/10/23,4948
2010/10/24,3741
2010/10/25,1883
2010/10/26,2558
2010/10/27,23247
2010/10/28,10510
2010/10/29,12114
2010/10/30,19238
2010/10/31,13274
2010/11/01,1338
2010/11/02,3660
2010/11/03,3701
2010/11/04,4083
2010/11/05,13466
2010/11/06,12136
2010/11/07,9665
2010/11/08,192847
2010/11/09,181095
2010/11/10,188704
2010/11/11,524.222
2010/11/12,6839
2010/11/13,4071
2010/11/14,35204
2010/11/15,2987578
2010/11/16,2149920
2010/11/17,2460545
2010/11/18,1634138
2010/11/19,342.889
2010/11/20,4848
2010/11/21,3868
2010/11/22,4915
2010/11/23,3206
2010/11/24,23114
2010/11/25,17546
2010/11/26,15398
2010/11/27,25550
2010/11/28,43907
2010/11/29,6353
2010/11/30,6281
2010/12/01,16848
2010/12/02,20642
2010/12/03,16106
2010/12/04,3862
2010/12/05,6540
2010/12/06,300.222
2010/12/07,40866
2010/12/08,28016
2010/12/09,17333
2010/12/10,12835
2010/12/11,31465
2010/12/12,57233
2010/12/13,68326
2010/12/14,58455
2010/12/15,71390
2010/12/16,6283
2010/12/17,13936
2010/12/18,3948
2010/12/19,15779
2010/12/20,61738
2010/12/21,30835
2010/12/22,24003
2010/12/23,6283
2010/12/24,21515
2010/12/25,9098
2010/12/26,9362
2010/12/27,2105
2010/12/28,2739
2010/12/29,4022
2010/12/30,1725
2010/12/31,6213
2011/01/01,7721
2011/01/02,6236
2011/01/03,24903
2011/01/04,24838
2011/01/05,37334
2011/01/06,40442
2011/01/07,26010
2011/01/08,17106
2011/01/09,8078
2011/01/10,1368
2011/01/11,4967
2011/01/12,14114
2011/01/13,32416
2011/01/14,34861
2011/01/15,13025
2011/01/16,5807
2011/01/17,5980
2011/01/18,6041
2011/01/19,6675
2011/01/20,2942
2011/01/21,50500
2011/01/22,96648
2011/01/23,13622
2011/01/24,11624
2011/01/25,69868
2011/01/26,68715
2011/01/27,7515
2011/01/28,1853
2011/01/29,36768
2011/01/30,408942
2011/01/31,246523
2011/02/01,297828
2011/02/02,91730
2011/02/03,72684
2011/02/04,12176
2011/02/05,14043
2011/02/06,3460
2011/02/07,3731
2011/02/08,224.667
2011/02/09,101540
2011/02/10,786036
2011/02/11,850103
2011/02/12,184580
2011/02/13,234577
2011/02/14,154761
2011/02/15,138310
2011/02/16,219029
2011/02/17,50001
2011/02/18,73937
2011/02/19,98457
2011/02/20,86627
2011/02/21,28158
2011/02/22,68657
2011/02/23,55271
2011/02/24,2911
2011/02/25,25379
2011/02/26,11539
2011/02/27,8558
2011/02/28,74949
2011/03/01,832700
2011/03/02,814524
2011/03/03,399857
2011/03/04,462348
2011/03/05,484296
2011/03/06,21767
2011/03/07,15054
2011/03/08,58002
2011/03/09,49298
2011/03/10,152011
2011/03/11,39353
2011/03/12,17195
2011/03/13,19200
2011/03/14,25022
2011/03/15,36010
2011/03/16,27516
2011/03/17,2961
2011/03/18,2870
2011/03/19,2921
2011/03/20,384809
2011/03/21,426702
2011/03/22,112209
2011/03/23,1614339
2011/03/24,1713251
2011/03/25,1492860
2011/03/26,74899
2011/03/27,88723
2011/03/28,64366
2011/03/29,88750
2011/03/30,472316
2011/03/31,163681
2011/04/01,129789
2011/04/02,167339
2011/04/03,24969
2011/04/04,314244
2011/04/05,172406
2011/04/06,95607
2011/04/07,129950
2011/04/08,32860
2011/04/09,9900
2011/04/10,3340
2011/04/11,56404
2011/04/12,115511
2011/04/13,62712
2011/04/14,496433
2011/04/15,584314
2011/04/16,573162
2011/04/17,286054
2011/04/18,276458
2011/04/19,674150
2011/04/20,177755
2011/04/21,890414
2011/04/22,348147
2011/04/23,144896
2011/04/24,79830
2011/04/25,30086
2011/04/26,393924
2011/04/27,976058
2011/04/28,379363
2011/04/29,270563
2011/04/30,668097
2011/05/01,331671
2011/05/02,823644
2011/05/03,481842
2011/05/04,28431
2011/05/05,191331
2011/05/06,90457
2011/05/07,30460
2011/05/08,128518
2011/05/09,245609
2011/05/10,233606
2011/05/11,44089
2011/05/12,3470
2011/05/13,1172886
2011/05/14,912486
2011/05/15,216166
2011/05/16,2242300
2011/05/17,2033955
2011/05/18,994518
2011/05/19,1011316
2011/05/20,315201
2011/05/21,260785
2011/05/22,141798
2011/05/23,369868
2011/05/24,922713
2011/05/25,1021298
2011/05/26,396690
2011/05/27,3053330
2011/05/28,2460488
2011/05/29,114195
2011/05/30,427128
2011/05/31,1357448
2011/06/01,355467
2011/06/02,504378
2011/06/03,2481846
2011/06/04,2560381
2011/06/05,555108
2011/06/06,1602710
2011/06/07,1647202
2011/06/08,12647478
2011/06/09,13793372
2011/06/10,1734332
2011/06/11,1220433
2011/06/12,2100035
2011/06/13,1792565
2011/06/14,2760520
2011/06/15,2639662
2011/06/16,843596
2011/06/17,1320268
2011/06/18,1721133
2011/06/19,628941
2011/06/20,667505
2011/06/21,1318017
2011/06/22,522429
2011/06/23,1028331
2011/06/24,983931
2011/06/25,1157643
2011/06/26,1145101
2011/06/27,11194290
2011/06/28,7351815
2011/06/29,5861742
2011/06/30,1286570
2011/07/01,8997785
2011/07/02,14069414
2011/07/03,18581504
2011/07/04,19622798
2011/07/05,321739
2011/07/06,2719507
2011/07/07,3229286
2011/07/08,2657951
2011/07/09,705085
2011/07/10,6165793
2011/07/11,5895425
2011/07/12,5346966
2011/07/13,2966047
2011/07/14,5941754
2011/07/15,3305432
2011/07/16,4726289
2011/07/17,65347
2011/07/18,2815350
2011/07/19,2137185
2011/07/20,1538726
2011/07/21,162425
2011/07/22,357376
