Date,sentinusd14wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,2420
2010/07/31,2232
2010/08/01,4107
2010/08/02,4171
2010/08/03,4041
2010/08/04,3853
2010/08/05,3723
2010/08/06,3425
2010/08/07,3174
2010/08/08,2814
2010/08/09,3064
2010/08/10,2947
2010/08/11,2977
2010/08/12,2693
2010/08/13,2572
2010/08/14,2277
2010/08/15,1990
2010/08/16,2280
2010/08/17,2437
2010/08/18,2477
2010/08/19,2351
2010/08/20,2312
2010/08/21,2345
2010/08/22,2207
2010/08/23,2039
2010/08/24,1935
2010/08/25,1797
2010/08/26,1665
2010/08/27,1659
2010/08/28,1554
2010/08/29,1380
2010/08/30,1256
2010/08/31,1378
2010/09/01,1416
2010/09/02,1510
2010/09/03,1551
2010/09/04,1599
2010/09/05,2540
2010/09/06,2904
2010/09/07,2758
2010/09/08,2609
2010/09/09,2594
2010/09/10,2405
2010/09/11,2196
2010/09/12,2057
2010/09/13,2730
2010/09/14,2623
2010/09/15,2598
2010/09/16,2526
2010/09/17,2770
2010/09/18,2735
2010/09/19,2766
2010/09/20,2770
2010/09/21,2682
2010/09/22,2728
2010/09/23,3436
2010/09/24,3199
2010/09/25,3047
2010/09/26,2821
2010/09/27,2684
2010/09/28,2994
2010/09/29,3373
2010/09/30,3290
2010/10/01,3340
2010/10/02,5909
2010/10/03,5916
2010/10/04,9832
2010/10/05,10493
2010/10/06,10478
2010/10/07,10517
2010/10/08,11017
2010/10/09,12034
2010/10/10,12217
2010/10/11,11494
2010/10/12,11045
2010/10/13,11091
2010/10/14,12033
2010/10/15,12378
2010/10/16,13269
2010/10/17,13003
2010/10/18,14179
2010/10/19,15976
2010/10/20,16798
2010/10/21,17390
2010/10/22,17160
2010/10/23,15710
2010/10/24,15316
2010/10/25,15581
2010/10/26,16939
2010/10/27,19255
2010/10/28,21269
2010/10/29,20788
2010/10/30,19683
2010/10/31,18826
2010/11/01,17374
