Date,sentinusd14smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,2437
2010/07/31,2425
2010/08/01,3416
2010/08/02,3405
2010/08/03,3412
2010/08/04,3403
2010/08/05,3393
2010/08/06,3393
2010/08/07,3319
2010/08/08,3185
2010/08/09,3217
2010/08/10,3252
2010/08/11,3214
2010/08/12,3204
2010/08/13,3272
2010/08/14,3275
2010/08/15,2177
2010/08/16,2210
2010/08/17,2278
2010/08/18,2319
2010/08/19,2244
2010/08/20,2301
2010/08/21,2375
2010/08/22,2427
2010/08/23,2148
2010/08/24,2079
2010/08/25,1905
2010/08/26,1893
2010/08/27,1862
2010/08/28,1862
2010/08/29,1822
2010/08/30,1575
2010/08/31,1511
2010/09/01,1455
2010/09/02,1511
2010/09/03,1502
2010/09/04,1452
2010/09/05,1964
2010/09/06,2217
2010/09/07,2199
2010/09/08,2202
2010/09/09,2285
2010/09/10,2215
2010/09/11,2184
2010/09/12,2227
2010/09/13,2682
2010/09/14,2639
2010/09/15,2686
2010/09/16,2684
2010/09/17,2877
2010/09/18,2931
2010/09/19,2549
2010/09/20,2398
2010/09/21,2442
2010/09/22,2564
2010/09/23,2977
2010/09/24,3001
2010/09/25,3088
2010/09/26,3105
2010/09/27,2734
2010/09/28,2961
2010/09/29,3201
2010/09/30,3231
2010/10/01,3167
2010/10/02,4582
2010/10/03,4688
2010/10/04,6936
2010/10/05,7661
2010/10/06,8002
2010/10/07,8031
2010/10/08,8787
2010/10/09,9827
2010/10/10,10527
2010/10/11,10744
2010/10/12,10909
2010/10/13,11298
2010/10/14,12426
2010/10/15,13241
2010/10/16,13061
2010/10/17,13520
2010/10/18,12684
2010/10/19,13703
2010/10/20,14583
2010/10/21,15349
2010/10/22,15481
2010/10/23,14637
2010/10/24,14672
2010/10/25,15497
2010/10/26,16805
2010/10/27,18442
2010/10/28,19527
2010/10/29,19591
2010/10/30,18976
2010/10/31,19081
2010/11/01,18071
