Date,top100cap3wma
2010/07/17,25.693
2010/07/18,25.749
2010/07/19,25.728
2010/07/20,25.66
2010/07/21,25.634
2010/07/22,25.615
2010/07/23,25.562
2010/07/24,25.534
2010/07/25,25.513
2010/07/26,25.911
2010/07/27,26.202
2010/07/28,26.35
2010/07/29,26.363
2010/07/30,26.364
2010/07/31,26.333
2010/08/01,26.311
2010/08/02,26.267
2010/08/03,26.268
2010/08/04,26.221
2010/08/05,26.22
2010/08/06,26.203
2010/08/07,26.188
2010/08/08,26.164
2010/08/09,26.241
2010/08/10,26.264
2010/08/11,26.363
2010/08/12,26.348
2010/08/13,26.38
2010/08/14,26.356
2010/08/15,26.33
2010/08/16,26.375
2010/08/17,26.481
2010/08/18,26.531
2010/08/19,26.532
2010/08/20,26.542
2010/08/21,26.536
2010/08/22,26.539
2010/08/23,26.53
2010/08/24,26.547
2010/08/25,26.517
2010/08/26,26.497
2010/08/27,26.512
2010/08/28,26.489
2010/08/29,26.427
2010/08/30,26.355
2010/08/31,26.366
2010/09/01,26.369
2010/09/02,26.366
2010/09/03,26.351
2010/09/04,26.354
2010/09/05,26.394
2010/09/06,26.406
2010/09/07,26.389
2010/09/08,26.337
2010/09/09,26.292
2010/09/10,26.263
2010/09/11,26.231
2010/09/12,26.246
2010/09/13,26.182
2010/09/14,26.101
2010/09/15,26.022
2010/09/16,26.042
2010/09/17,26.359
2010/09/18,26.593
2010/09/19,26.775
2010/09/20,26.855
2010/09/21,26.878
2010/09/22,26.841
2010/09/23,26.916
2010/09/24,27.002
2010/09/25,27.116
2010/09/26,27.205
2010/09/27,27.434
2010/09/28,28.135
2010/09/29,28.569
2010/09/30,28.717
2010/10/01,28.672
2010/10/02,28.921
2010/10/03,29.097
2010/10/04,29.047
2010/10/05,28.987
2010/10/06,28.932
2010/10/07,29.186
2010/10/08,29.448
2010/10/09,29.719
2010/10/10,29.937
2010/10/11,29.997
2010/10/12,29.993
2010/10/13,30.042
2010/10/14,30.172
2010/10/15,30.209
2010/10/16,30.298
2010/10/17,30.357
2010/10/18,30.485
2010/10/19,30.448
2010/10/20,30.439
2010/10/21,30.415
2010/10/22,30.431
2010/10/23,30.441
2010/10/24,30.437
2010/10/25,30.433
2010/10/26,30.508
2010/10/27,30.608
2010/10/28,30.631
2010/10/29,30.564
2010/10/30,30.492
2010/10/31,30.499
2010/11/01,30.515
2010/11/02,30.54
2010/11/03,30.517
2010/11/04,30.499
2010/11/05,30.51
2010/11/06,30.562
2010/11/07,30.55
2010/11/08,30.877
2010/11/09,31.064
2010/11/10,31.077
2010/11/11,30.977
2010/11/12,30.913
2010/11/13,30.831
2010/11/14,30.83
2010/11/15,30.812
2010/11/16,30.789
2010/11/17,30.805
2010/11/18,30.79
2010/11/19,30.763
2010/11/20,30.802
2010/11/21,30.828
2010/11/22,30.835
2010/11/23,30.867
2010/11/24,30.947
2010/11/25,31.029
2010/11/26,31.071
2010/11/27,31.068
2010/11/28,31.056
2010/11/29,31.025
2010/11/30,31.079
2010/12/01,31.211
2010/12/02,31.421
2010/12/03,31.654
2010/12/04,31.801
2010/12/05,31.872
2010/12/06,31.776
2010/12/07,31.671
2010/12/08,31.613
2010/12/09,31.564
2010/12/10,31.562
2010/12/11,31.572
2010/12/12,31.557
2010/12/13,31.685
2010/12/14,31.745
2010/12/15,31.743
2010/12/16,31.686
2010/12/17,31.652
2010/12/18,31.617
2010/12/19,31.518
2010/12/20,31.48
2010/12/21,31.338
2010/12/22,31.285
2010/12/23,31.24
2010/12/24,31.217
2010/12/25,31.211
2010/12/26,31.19
2010/12/27,31.244
2010/12/28,31.247
2010/12/29,31.139
2010/12/30,31.02
2010/12/31,30.896
2011/01/01,30.819
2011/01/02,30.757
2011/01/03,30.732
2011/01/04,30.707
2011/01/05,30.72
2011/01/06,30.697
2011/01/07,30.662
2011/01/08,30.635
2011/01/09,30.635
2011/01/10,30.569
2011/01/11,30.577
2011/01/12,30.564
2011/01/13,30.604
2011/01/14,30.635
2011/01/15,30.634
2011/01/16,30.67
2011/01/17,30.708
2011/01/18,30.691
2011/01/19,30.614
2011/01/20,30.566
2011/01/21,30.55
2011/01/22,30.541
2011/01/23,30.641
2011/01/24,30.683
2011/01/25,30.679
2011/01/26,30.583
2011/01/27,31.954
2011/01/28,32.865
2011/01/29,33.315
2011/01/30,33.277
2011/01/31,33.221
2011/02/01,33.245
2011/02/02,33.19
2011/02/03,33.182
2011/02/04,33.142
2011/02/05,33.146
2011/02/06,33.078
2011/02/07,33.122
2011/02/08,33.096
2011/02/09,33.133
2011/02/10,33.118
2011/02/11,33.07
2011/02/12,33
2011/02/13,32.945
2011/02/14,32.89
2011/02/15,32.87
2011/02/16,32.832
2011/02/17,32.786
2011/02/18,32.71
2011/02/19,32.653
2011/02/20,32.674
2011/02/21,32.668
2011/02/22,32.588
2011/02/23,32.511
2011/02/24,32.438
2011/02/25,32.388
2011/02/26,32.35
2011/02/27,32.582
2011/02/28,32.631
2011/03/01,32.74
2011/03/02,31.509
2011/03/03,30.649
2011/03/04,30.132
2011/03/05,30.09
2011/03/06,30.09
2011/03/07,30.084
2011/03/08,30.052
2011/03/09,30.009
2011/03/10,29.913
2011/03/11,29.77
2011/03/12,29.624
2011/03/13,29.524
2011/03/14,29.527
2011/03/15,29.517
2011/03/16,29.539
2011/03/17,29.582
2011/03/18,29.639
2011/03/19,29.653
2011/03/20,29.634
2011/03/21,29.643
2011/03/22,29.598
2011/03/23,29.593
2011/03/24,29.554
2011/03/25,29.511
2011/03/26,29.484
2011/03/27,29.42
2011/03/28,29.363
2011/03/29,29.323
2011/03/30,29.254
2011/03/31,29.18
2011/04/01,29.12
2011/04/02,28.998
2011/04/03,28.905
2011/04/04,28.816
2011/04/05,28.767
2011/04/06,28.745
2011/04/07,28.74
2011/04/08,28.723
2011/04/09,28.64
2011/04/10,28.571
2011/04/11,28.541
2011/04/12,28.479
2011/04/13,28.422
2011/04/14,28.623
2011/04/15,28.749
2011/04/16,28.786
2011/04/17,28.613
2011/04/18,28.454
2011/04/19,29
2011/04/20,29.368
2011/04/21,29.405
2011/04/22,29.264
2011/04/23,29.023
2011/04/24,28.836
