Date,sentbyaddress7rsi
2010/07/17,44.593
2010/07/18,44.834
2010/07/19,45.876
2010/07/20,46.596
2010/07/21,44.901
2010/07/22,44.625
2010/07/23,44.545
2010/07/24,48.252
2010/07/25,62.312
2010/07/26,45.074
2010/07/27,45.215
2010/07/28,44.302
2010/07/29,44.713
2010/07/30,43.556
2010/07/31,43.03
2010/08/01,44.795
2010/08/02,44.912
2010/08/03,52.572
2010/08/04,48.614
2010/08/05,51.199
2010/08/06,45.308
2010/08/07,41.373
2010/08/08,47.468
2010/08/09,49.826
2010/08/10,43.856
2010/08/11,47.113
2010/08/12,46.662
2010/08/13,56.225
2010/08/14,46.59
2010/08/15,40.576
2010/08/16,52.851
2010/08/17,46.385
2010/08/18,50.085
2010/08/19,45.393
2010/08/20,50.66
2010/08/21,47.302
2010/08/22,46.756
2010/08/23,49.152
2010/08/24,47.72
2010/08/25,47.941
2010/08/26,45.261
2010/08/27,38.825
2010/08/28,47.16
2010/08/29,39.569
2010/08/30,49.691
2010/08/31,57.545
2010/09/01,54.471
2010/09/02,41.892
2010/09/03,49.132
2010/09/04,41.305
2010/09/05,48.399
2010/09/06,44.24
2010/09/07,42.466
2010/09/08,51.662
2010/09/09,52.675
2010/09/10,52.492
2010/09/11,46.457
2010/09/12,61.474
2010/09/13,70.263
2010/09/14,57.658
2010/09/15,62.443
2010/09/16,51.592
2010/09/17,45.53
2010/09/18,48.574
2010/09/19,44.456
2010/09/20,63.899
2010/09/21,83.776
2010/09/22,71.578
2010/09/23,61.033
2010/09/24,51.197
2010/09/25,53.372
2010/09/26,41.785
2010/09/27,57.725
2010/09/28,45.516
2010/09/29,64.661
2010/09/30,44.546
2010/10/01,52.152
2010/10/02,50.354
2010/10/03,46.538
2010/10/04,46.582
2010/10/05,46.492
2010/10/06,45.513
2010/10/07,40.863
2010/10/08,44.26
2010/10/09,47.979
2010/10/10,44.784
2010/10/11,42.963
2010/10/12,45.546
2010/10/13,46.948
2010/10/14,44.71
2010/10/15,42.806
2010/10/16,54.527
2010/10/17,57.467
2010/10/18,71.993
2010/10/19,86.867
2010/10/20,63.966
2010/10/21,51.988
2010/10/22,55.396
2010/10/23,50.028
2010/10/24,50.514
2010/10/25,40.974
2010/10/26,51.31
2010/10/27,55.614
2010/10/28,48.773
2010/10/29,42.81
2010/10/30,38.535
2010/10/31,32.739
2010/11/01,37.778
2010/11/02,33.543
2010/11/03,41.229
2010/11/04,39.984
2010/11/05,50.457
2010/11/06,47.334
2010/11/07,50.307
2010/11/08,55.283
2010/11/09,45.162
2010/11/10,47.201
2010/11/11,43.74
2010/11/12,33.698
2010/11/13,42.658
2010/11/14,50.786
2010/11/15,95.233
2010/11/16,72.38
2010/11/17,44.107
2010/11/18,43.786
2010/11/19,43.294
2010/11/20,46.521
2010/11/21,45.541
2010/11/22,43.482
2010/11/23,43.468
2010/11/24,47.074
2010/11/25,48.54
2010/11/26,54.255
2010/11/27,45.284
2010/11/28,45.443
2010/11/29,45.162
2010/11/30,46.187
2010/12/01,49.635
2010/12/02,45.453
2010/12/03,42.929
2010/12/04,45.511
2010/12/05,45.267
2010/12/06,47.811
2010/12/07,56.867
2010/12/08,52.052
2010/12/09,48.51
2010/12/10,42.318
2010/12/11,59.955
2010/12/12,61.863
2010/12/13,62.869
2010/12/14,64.479
2010/12/15,62.014
2010/12/16,46.395
2010/12/17,39.898
2010/12/18,46.962
2010/12/19,49.807
2010/12/20,72.446
2010/12/21,53.959
2010/12/22,55.796
2010/12/23,50.063
2010/12/24,45.183
2010/12/25,57.319
2010/12/26,53.415
2010/12/27,44.564
2010/12/28,54.361
2010/12/29,44.831
2010/12/30,50.612
2010/12/31,47.552
2011/01/01,56.962
2011/01/02,48.014
2011/01/03,61.772
2011/01/04,54.837
2011/01/05,63.108
2011/01/06,48.831
2011/01/07,55.981
2011/01/08,65.311
2011/01/09,58.221
2011/01/10,60.419
2011/01/11,62.364
2011/01/12,50.339
2011/01/13,55.763
2011/01/14,53.153
2011/01/15,56.855
2011/01/16,58.198
2011/01/17,49.922
2011/01/18,52.116
2011/01/19,59.473
2011/01/20,57.473
2011/01/21,72.343
2011/01/22,78.265
2011/01/23,56.847
2011/01/24,67.03
2011/01/25,43.93
2011/01/26,47.875
2011/01/27,43.657
2011/01/28,55.127
2011/01/29,63.615
2011/01/30,81.332
2011/01/31,52.785
2011/02/01,46.015
2011/02/02,43.004
2011/02/03,40.978
2011/02/04,45.122
2011/02/05,42.779
2011/02/06,44.214
2011/02/07,43.92
2011/02/08,43.673
2011/02/09,61.176
2011/02/10,76.939
2011/02/11,80.031
2011/02/12,64.809
2011/02/13,60.98
2011/02/14,64.466
2011/02/15,67.217
2011/02/16,58.452
2011/02/17,65.147
2011/02/18,61.379
2011/02/19,44.988
2011/02/20,54.532
2011/02/21,56.276
2011/02/22,62.152
2011/02/23,64.191
2011/02/24,58.498
2011/02/25,53.297
2011/02/26,47.777
2011/02/27,57.892
2011/02/28,41.722
2011/03/01,67.987
2011/03/02,49.041
2011/03/03,64.14
2011/03/04,47.075
2011/03/05,48.36
2011/03/06,47.685
2011/03/07,47.226
2011/03/08,57.41
2011/03/09,48.459
2011/03/10,44.27
2011/03/11,45.235
2011/03/12,48.146
2011/03/13,44.016
2011/03/14,38.529
2011/03/15,52.938
2011/03/16,47.614
2011/03/17,51.86
2011/03/18,47.577
2011/03/19,52.248
2011/03/20,71.175
2011/03/21,64.96
2011/03/22,52.435
2011/03/23,73.1
2011/03/24,49.95
2011/03/25,48.866
2011/03/26,56.106
2011/03/27,55.996
2011/03/28,57.034
2011/03/29,53.748
2011/03/30,42.009
2011/03/31,49.262
2011/04/01,39.428
2011/04/02,42.936
2011/04/03,44.392
2011/04/04,54.959
2011/04/05,51.146
2011/04/06,46.09
2011/04/07,40.899
2011/04/08,44.035
2011/04/09,44.603
2011/04/10,42.971
2011/04/11,50.937
2011/04/12,55.221
2011/04/13,61.746
2011/04/14,80.17
2011/04/15,46.99
2011/04/16,48.388
