Date,confirmationtime3roc
2010/07/17,234.104
2010/07/18,262.791
2010/07/19,190.23
2010/07/20,-4.42
2010/07/21,-16.908
2010/07/22,-1.136
2010/07/23,-6.701
2010/07/24,9.524
2010/07/25,-23.81
2010/07/26,-20.165
2010/07/27,13.855
2010/07/28,45.283
2010/07/29,35
2010/07/30,-8.791
2010/07/31,-21.675
2010/08/01,-24.686
2010/08/02,-24.793
2010/08/03,-10.573
2010/08/04,-1.646
2010/08/05,11.009
2010/08/06,54.422
2010/08/07,56.774
2010/08/08,9.548
2010/08/09,-22.632
2010/08/10,-18.848
2010/08/11,-14.592
2010/08/12,-12.442
2010/08/13,-11.163
2010/08/14,-17.082
2010/08/15,4.831
2010/08/16,46.259
2010/08/17,117.829
2010/08/18,55.639
2010/08/19,8.889
2010/08/20,-33.161
2010/08/21,-23.121
2010/08/22,-36.321
2010/08/23,-9.39
2010/08/24,-19.535
2010/08/25,-1.852
2010/08/26,1.429
2010/08/27,25.731
2010/08/28,27.059
2010/08/29,29.63
2010/08/30,14.765
2010/08/31,-7.609
2010/09/01,3.185
2010/09/02,-4.487
2010/09/03,12.195
2010/09/04,-13.26
2010/09/05,-5.455
2010/09/06,3.797
2010/09/07,13.125
2010/09/08,0
2010/09/09,17.037
2010/09/10,-9.605
2010/09/11,3.125
2010/09/12,-23.729
2010/09/13,3.509
2010/09/14,-21.182
2010/09/15,4.734
2010/09/16,-21.918
2010/09/17,-2.404
2010/09/18,-28.692
2010/09/19,4.785
2010/09/20,2.463
2010/09/21,37.791
2010/09/22,20.115
2010/09/23,-13.248
2010/09/24,-24.561
2010/09/25,-15.942
2010/09/26,14.146
2010/09/27,-0.437
2010/09/28,-2.358
2010/09/29,25
2010/09/30,56.849
2010/10/01,37.662
2010/10/02,64
2010/10/03,19.672
2010/10/04,0.654
2010/10/05,-20.635
2010/10/06,-28.655
2010/10/07,-4.375
2010/10/08,-18.182
2010/10/09,8.228
2010/10/10,-10.112
2010/10/11,-3.145
2010/10/12,1.935
2010/10/13,1.136
2010/10/14,-22.439
2010/10/15,-12.429
2010/10/16,-31.783
2010/10/17,-24.074
2010/10/18,-28.916
2010/10/19,0.781
2010/10/20,2.273
2010/10/21,33.871
2010/10/22,66.234
2010/10/23,50.857
2010/10/24,-9.268
2010/10/25,-24.138
2010/10/26,-27.386
2010/10/27,-3.756
2010/10/28,-7.306
2010/10/29,8.072
2010/10/30,-15.476
2010/10/31,22.346
2010/11/01,25.989
2010/11/02,43.182
2010/11/03,-5.789
2010/11/04,-11.94
2010/11/05,-19.635
2010/11/06,-12.844
2010/11/07,-16.598
2010/11/08,-20.364
2010/11/09,0.461
2010/11/10,18.719
2010/11/11,25.571
2010/11/12,28.402
2010/11/13,-8.969
2010/11/14,-14.453
2010/11/15,-15.5
2010/11/16,13.198
2010/11/17,3.644
2010/11/18,-22.179
2010/11/19,31.333
2010/11/20,112.931
2010/11/21,83.571
2010/11/22,-7.975
2010/11/23,-17.143
2010/11/24,-20.904
2010/11/25,-9.945
2010/11/26,-27.835
2010/11/27,-1.667
2010/11/28,5.233
2010/11/29,-7.177
2010/11/30,-10.891
2010/12/01,-8.511
2010/12/02,11.17
2010/12/03,6.878
2010/12/04,-17.904
2010/12/05,-21.339
2010/12/06,-21.577
2010/12/07,-4.184
2010/12/08,0.42
2010/12/09,8.072
2010/12/10,62.585
2010/12/11,36
2010/12/12,30.409
2010/12/13,4.255
2010/12/14,2.339
2010/12/15,-12.755
2010/12/16,-18.497
2010/12/17,3.012
2010/12/18,21.739
2010/12/19,-5.978
2010/12/20,4.403
2010/12/21,-17.436
2010/12/22,16.456
2010/12/23,9.655
2010/12/24,31.757
2010/12/25,-5.952
2010/12/26,0
2010/12/27,-10.843
2010/12/28,-0.592
2010/12/29,-12.121
2010/12/30,-1.775
2010/12/31,4.321
2011/01/01,-8.84
2011/01/02,-3.429
2011/01/03,3.846
2011/01/04,28.369
2011/01/05,13.636
2011/01/06,10.638
2011/01/07,-14.024
2011/01/08,-9.412
2011/01/09,-13.497
2011/01/10,1.235
2011/01/11,-1.163
2011/01/12,-2.395
2011/01/13,-13.83
2011/01/14,-4.972
2011/01/15,6.369
2011/01/16,8.046
2011/01/17,0
2011/01/18,11.348
2011/01/19,2.959
2011/01/20,-2.688
2011/01/21,-18.966
2011/01/22,2.424
2011/01/23,9.412
2011/01/24,-7.447
2011/01/25,5.769
2011/01/26,-5.556
2011/01/27,17.5
2011/01/28,-1.266
2011/01/29,11.801
2011/01/30,2.564
2011/01/31,-7.059
2011/02/01,-1.829
2011/02/02,-1.266
2011/02/03,6.25
2011/02/04,-15.464
2011/02/05,-11.732
2011/02/06,-9.605
2011/02/07,-4.433
2011/02/08,6.548
2011/02/09,-7.812
2011/02/10,9.14
2011/02/11,-9.677
2011/02/12,-2.041
2011/02/13,-6.061
2011/02/14,-5.102
2011/02/15,-12.889
2011/02/16,-14.655
2011/02/17,-15.152
2011/02/18,6.132
2011/02/19,44.099
2011/02/20,16.667
2011/02/21,9.278
2011/02/22,-23.697
2011/02/23,-18.519
2011/02/24,-6.28
2011/02/25,-6.222
2011/02/26,-11.957
2011/02/27,-15.164
2011/02/28,50
2011/03/01,112.308
2011/03/02,45.238
2011/03/03,-19.355
2011/03/04,-41.176
2011/03/05,-39.35
2011/03/06,-32.117
2011/03/07,4.739
2011/03/08,48.128
2011/03/09,71.25
2011/03/10,91.818
2011/03/11,43.846
2011/03/12,14.286
2011/03/13,-5.983
2011/03/14,16.071
2011/03/15,25
2011/03/16,-13.971
2011/03/17,-20.567
2011/03/18,-6.667
2011/03/19,18.261
2011/03/20,2.92
2011/03/21,-18.919
2011/03/22,-3.361
2011/03/23,-12.739
2011/03/24,-2.632
2011/03/25,-31.214
2011/03/26,13.768
2011/03/27,6.294
2011/03/28,2.976
2011/03/29,-15.337
2011/03/30,-8.333
2011/03/31,-16.418
2011/04/01,-7.386
2011/04/02,-13.333
2011/04/03,14.857
2011/04/04,-1.124
2011/04/05,-7.216
2011/04/06,18.243
2011/04/07,21.088
2011/04/08,16.867
2011/04/09,-5.128
2011/04/10,-15.029
2011/04/11,1.84
2011/04/12,-4.294
2011/04/13,-10.825
2011/04/14,1.875
2011/04/15,19.853
2011/04/16,12.139
2011/04/17,-11.111
2011/04/18,-8.108
2011/04/19,12.338
2011/04/20,25
2011/04/21,0.68
2011/04/22,-12.5
2011/04/23,-16.279
2011/04/24,-9.259
2011/04/25,-8.333
2011/04/26,-11.795
2011/04/27,-11.475
2011/04/28,17.073
2011/04/29,-2.5
2011/04/30,-3.175
2011/05/01,-8.38
2011/05/02,1.523
2011/05/03,-3.571
2011/05/04,-9.137
2011/05/05,-10.046
2011/05/06,-10.092
2011/05/07,-7.944
2011/05/08,0
2011/05/09,-8.787
2011/05/10,16.94
2011/05/11,14.66
2011/05/12,41.42
2011/05/13,-11.594
2011/05/14,-21.074
2011/05/15,-23.182
2011/05/16,-16.194
2011/05/17,-5.837
2011/05/18,-23.611
2011/05/19,44.444
2011/05/20,16.818
2011/05/21,30.909
2011/05/22,-32.143
2011/05/23,-23.077
2011/05/24,-26.421
2011/05/25,-17.915
2011/05/26,-3.378
2011/05/27,79.042
2011/05/28,98.065
2011/05/29,64.444
2011/05/30,8.442
2011/05/31,3.333
2011/06/01,-4.255
2011/06/02,-18.947
2011/06/03,-25.743
2011/06/04,-16.071
2011/06/05,-8.654
2011/06/06,-13.305
2011/06/07,31.765
2011/06/08,12.432
2011/06/09,4.955
2011/06/10,-23.767
2011/06/11,-26.587
2011/06/12,-4.721
2011/06/13,-1.762
2011/06/14,2.024
2011/06/15,-16.487
2011/06/16,26.111
2011/06/17,32.796
2011/06/18,41.624
2011/06/19,-19.283
2011/06/20,-20.513
2011/06/21,-22.134
2011/06/22,-14.231
2011/06/23,-2.5
2011/06/24,17.13
2011/06/25,81.818
2011/06/26,61.074
2011/06/27,27.811
2011/06/28,-10.625
2011/06/29,-13.372
2011/06/30,-11.518
2011/07/01,-7.514
2011/07/02,1.775
2011/07/03,15.758
2011/07/04,1.765
2011/07/05,21.583
2011/07/06,5.096
2011/07/07,29.771
2011/07/08,-15.758
2011/07/09,5.369
2011/07/10,-4.38
2011/07/11,5.096
2011/07/12,5.674
2011/07/13,-28.272
2011/07/14,9.028
2011/07/15,-12.963
2011/07/16,21.656
2011/07/17,-15.294
2011/07/18,-4.706
2011/07/19,10.563
2011/07/20,14.094
2011/07/21,11.842
2011/07/22,-5.96
2011/07/23,2.055
2011/07/24,-8.434
2011/07/25,-8.485
2011/07/26,-17.045
2011/07/27,-4.598
2011/07/28,6.452
2011/07/29,7.317
2011/07/30,14.474
2011/07/31,-11.429
2011/08/01,-0.606
2011/08/02,-1.299
2011/08/03,11.465
2011/08/04,27.907
2011/08/05,10
2011/08/06,28.689
2011/08/07,2.381
2011/08/08,2.941
2011/08/09,-16.438
2011/08/10,-17.105
2011/08/11,-0.73
2011/08/12,11.45
2011/08/13,16.923
2011/08/14,3.788
2011/08/15,1.55
2011/08/16,-11.565
2011/08/17,-2.941
2011/08/18,-10.417
2011/08/19,12.214
2011/08/20,-10.526
2011/08/21,-10
2011/08/22,-22.485
2011/08/23,-1.935
2011/08/24,19.403
2011/08/25,25.185
2011/08/26,5.442
2011/08/27,9.836
2011/08/28,16.379
2011/08/29,6.522
2011/08/30,-16.438
2011/08/31,-25.161
2011/09/01,6.977
2011/09/02,-6.41
2011/09/03,6.897
2011/09/04,-3.731
2011/09/05,0
2011/09/06,-3.974
2011/09/07,-1.471
2011/09/08,20.93
2011/09/09,-1.948
2011/09/10,2.256
2011/09/11,3.2
2011/09/12,15.789
2011/09/13,-6.338
2011/09/14,-14.384
2011/09/15,-14.744
2011/09/16,19.328
2011/09/17,8.955
2011/09/18,-1.266
2011/09/19,-6.299
2011/09/20,-4.286
2011/09/21,8.219
2011/09/22,-14.189
2011/09/23,5.263
2011/09/24,13.178
2011/09/25,8.029
2011/09/26,-0.746
2011/09/27,-3.008
2011/09/28,-6.803
2011/09/29,7.2
2011/09/30,9.016
2011/10/01,2.797
2011/10/02,3.306
2011/10/03,-15.862
2011/10/04,27.679
2011/10/05,-16.552
2011/10/06,13.281
2011/10/07,-18.841
2011/10/08,21.849
2011/10/09,0.787
2011/10/10,12.195
2011/10/11,27.957
2011/10/12,5.833
2011/10/13,26.804
2011/10/14,-33.094
2011/10/15,-10.448
2011/10/16,-18.487
2011/10/17,17.797
2011/10/18,11.667
2011/10/19,-10.526
2011/10/20,2.609
2011/10/21,-0.826
2011/10/22,35.714
2011/10/23,6.481
2011/10/24,-4.724
2011/10/25,-24.031
2011/10/26,-7.692
2011/10/27,27
2011/10/28,22.857
2011/10/29,3.54
2011/10/30,-9.91
2011/10/31,-19.847
2011/11/01,-24.667
2011/11/02,-27.922
2011/11/03,4.8
2011/11/04,2.041
2011/11/05,5.479
2011/11/06,-13.194
2011/11/07,11.364
2011/11/08,-2.013
2011/11/09,-10.559
2011/11/10,-6.383
2011/11/11,25.21
2011/11/12,12.587
2011/11/13,-2.083
2011/11/14,-16.783
2011/11/15,-13.333
2011/11/16,6.667
2011/11/17,2.878
2011/11/18,24.06
2011/11/19,9.756
2011/11/20,-2.797
2011/11/21,12.712
2011/11/22,-12.143
2011/11/23,6.716
2011/11/24,4.425
2011/11/25,3.704
2011/11/26,11.667
2011/11/27,-0.877
2011/11/28,6.299
2011/11/29,-13.043
2011/11/30,-29.63
2011/12/01,-30.22
2011/12/02,-5.479
2011/12/03,6.579
2011/12/04,33.824
2011/12/05,-7.595
2011/12/06,-11.111
2011/12/07,-1.449
2011/12/08,-3.659
2011/12/09,16.327
2011/12/10,-4.167
2011/12/11,7.895
2011/12/12,15.748
2011/12/13,9.091
2011/12/14,-0.654
2011/12/15,13.393
2011/12/16,11.864
2011/12/17,2
2011/12/18,-22.222
2011/12/19,-25.786
2011/12/20,11.94
2011/12/21,-3.356
2011/12/22,7.432
2011/12/23,-5.634
2011/12/24,2.759
2011/12/25,-14.943
2011/12/26,-19.774
2011/12/27,0
2011/12/28,12.258
2011/12/29,28.261
2011/12/30,2.113
2011/12/31,2.649
2012/01/01,-9.804
2012/01/02,-5.96
2012/01/03,-5.031
2012/01/04,2.685
2012/01/05,2.721
2012/01/06,-7.018
2012/01/07,-19.022
2012/01/08,-9.816
2012/01/09,4.268
