Date,transactionvalue3wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,6.4
2010/07/20,5.565
2010/07/21,4.883
2010/07/22,5.422
2010/07/23,4.34
2010/07/24,3.445
2010/07/25,2.104
2010/07/26,5.864
2010/07/27,5.689
2010/07/28,4.122
2010/07/29,1.741
2010/07/30,2.619
2010/07/31,3.218
2010/08/01,24.494
2010/08/02,20.571
2010/08/03,12.685
2010/08/04,5.165
2010/08/05,4.507
2010/08/06,3.943
2010/08/07,4.631
2010/08/08,3.177
2010/08/09,7.47
2010/08/10,7.712
2010/08/11,8.527
2010/08/12,5.348
2010/08/13,4.557
2010/08/14,3.181
2010/08/15,3.342
2010/08/16,6.509
2010/08/17,9.193
2010/08/18,8.609
2010/08/19,6.169
2010/08/20,4.86
2010/08/21,5.974
2010/08/22,5.084
2010/08/23,4.038
2010/08/24,3.468
2010/08/25,3.16
2010/08/26,2.802
2010/08/27,4.456
2010/08/28,4.097
2010/08/29,3.17
2010/08/30,2.6
2010/08/31,4.088
2010/09/01,4.701
2010/09/02,5.882
2010/09/03,5.882
2010/09/04,6.41
2010/09/05,16.891
2010/09/06,18.701
2010/09/07,12.177
2010/09/08,5.739
2010/09/09,4.95
2010/09/10,3.89
2010/09/11,2.931
2010/09/12,2.618
2010/09/13,9.703
2010/09/14,8.281
2010/09/15,7.109
2010/09/16,5.083
2010/09/17,8.832
2010/09/18,8.262
2010/09/19,8.721
2010/09/20,6.835
2010/09/21,4.409
2010/09/22,3.709
2010/09/23,7.748
2010/09/24,5.896
2010/09/25,4.552
2010/09/26,3.309
2010/09/27,3.464
2010/09/28,6.878
2010/09/29,6.994
2010/09/30,7.233
2010/10/01,6.436
2010/10/02,25.62
2010/10/03,22.108
2010/10/04,53.399
2010/10/05,45.971
2010/10/06,33.909
2010/10/07,23.722
2010/10/08,27.448
2010/10/09,35.347
2010/10/10,34.511
2010/10/11,24.586
2010/10/12,20.6
2010/10/13,24.928
2010/10/14,38.823
2010/10/15,44.722
2010/10/16,46.182
2010/10/17,34.791
2010/10/18,34.893
2010/10/19,31.057
2010/10/20,29.802
2010/10/21,31.237
