Date,sentinusd7momUSD
2011/05/13,2334116
2011/05/14,12902983
2011/05/15,190589
2011/05/16,1503873
2011/05/17,-1100940
2011/05/18,277541
2011/05/19,1265
2011/05/20,-1146141
2011/05/21,-9790341
2011/05/22,3457018
2011/05/23,1081461
2011/05/24,952162
2011/05/25,1759730
2011/05/26,2292941
2011/05/27,2470558
2011/05/28,-2002469
2011/05/29,-3415712
2011/05/30,-849933
2011/05/31,-125258
2011/06/01,-547498
2011/06/02,53674
2011/06/03,2994982
2011/06/04,5961890
2011/06/05,7582021
2011/06/06,12262135
2011/06/07,8631847
2011/06/08,18621570
2011/06/09,19112768
2011/06/10,16750917
2011/06/11,20604943
2011/06/12,20637140
2011/06/13,9746944
2011/06/14,18936679
2011/06/15,60866746
2011/06/16,137211559
2011/06/17,1249133
2011/06/18,-7807339
2011/06/19,47946846
2011/06/20,-1685743
2011/06/21,26261594
2011/06/22,-59500143
2011/06/23,-132309409
2011/06/24,55565909
2011/06/25,161550760
2011/06/26,-9718165
2011/06/27,8374270
2011/06/28,59363622
2011/06/29,24450543
2011/06/30,-2939459
2011/07/01,-63730018
2011/07/02,-168874405
2011/07/03,-59875185
2011/07/04,-11169841
2011/07/05,-110191132
2011/07/06,-39044528
2011/07/07,-17786110
2011/07/08,-13009684
2011/07/09,16449988
2011/07/10,26694382
2011/07/11,-5223032
2011/07/12,9588348
2011/07/13,12053138
2011/07/14,20046589
2011/07/15,3865142
2011/07/16,-12602193
2011/07/17,-27928809
2011/07/18,29350797
2011/07/19,22306184
2011/07/20,-12445069
2011/07/21,-8698174
2011/07/22,12868274
2011/07/23,-8911433
2011/07/24,-69668
2011/07/25,-23893363
2011/07/26,-20891257
2011/07/27,10149476
2011/07/28,28229531
2011/07/29,-11861654
2011/07/30,-3880781
2011/07/31,498925
2011/08/01,-12932121
2011/08/02,-11464097
2011/08/03,-13291987
2011/08/04,-43249246
2011/08/05,-4239520
2011/08/06,-1296714
2011/08/07,-5358785
2011/08/08,983186
2011/08/09,17063794
2011/08/10,7028051
2011/08/11,1534627
2011/08/12,-1862000
2011/08/13,-110170
2011/08/14,2062513
2011/08/15,-4499871
2011/08/16,-18112547
2011/08/17,-7846839
2011/08/18,-367813
2011/08/19,3040510
2011/08/20,-394993
2011/08/21,-1938687
2011/08/22,-600718
2011/08/23,853349
2011/08/24,2570022
2011/08/25,-527533
2011/08/26,-3767536
2011/08/27,20100467
2011/08/28,-1134520
2011/08/29,-894402
2011/08/30,-2702361
2011/08/31,-3854473
2011/09/01,-1133512
2011/09/02,-337828
2011/09/03,-20769332
2011/09/04,12846571
2011/09/05,15672383
2011/09/06,20681278
2011/09/07,2177123
2011/09/08,-31445
2011/09/09,176151
2011/09/10,-618136
2011/09/11,-9074296
2011/09/12,-14082717
2011/09/13,-20703664
2011/09/14,-2734478
2011/09/15,-1144601
2011/09/16,912237
2011/09/17,364162
2011/09/18,-3946702
2011/09/19,-1985432
2011/09/20,-75184
2011/09/21,594330
2011/09/22,156436
2011/09/23,-1372460
2011/09/24,-422386
2011/09/25,107251
2011/09/26,-325976
2011/09/27,65402
2011/09/28,-584007
2011/09/29,-114507
2011/09/30,-439567
2011/10/01,859849
2011/10/02,36225
2011/10/03,597981
2011/10/04,-5154
2011/10/05,269602
2011/10/06,965057
2011/10/07,275478
2011/10/08,-950288
2011/10/09,-385019
2011/10/10,-744783
2011/10/11,-754712
2011/10/12,-693203
2011/10/13,-1304312
2011/10/14,-607322
2011/10/15,318020
2011/10/16,-260333
2011/10/17,194498
2011/10/18,-474586
2011/10/19,-567517
2011/10/20,-553308
2011/10/21,295876
2011/10/22,146026
2011/10/23,819438
2011/10/24,-437151
2011/10/25,154271
2011/10/26,465059
2011/10/27,790833
2011/10/28,15033
2011/10/29,-151886
2011/10/30,-1057738
2011/10/31,213060
2011/11/01,706616
2011/11/02,107737
2011/11/03,-350529
2011/11/04,-167227
2011/11/05,-604196
2011/11/06,-52753
2011/11/07,-464558
2011/11/08,1663103
2011/11/09,1647749
2011/11/10,-79463
2011/11/11,-340153
2011/11/12,-65246
2011/11/13,79881
2011/11/14,135866
2011/11/15,-2559435
2011/11/16,2024215
2011/11/17,6855601
2011/11/18,10044404
2011/11/19,7787736
2011/11/20,2548481
2011/11/21,2783971
2011/11/22,7381335
2011/11/23,-1397969
2011/11/24,-4373299
2011/11/25,-8356935
2011/11/26,-4745401
2011/11/27,1046586
2011/11/28,6299490
2011/11/29,2177299
2011/11/30,15077589
2011/12/01,2771821
2011/12/02,14228503
2011/12/03,6348556
2011/12/04,3826399
2011/12/05,-1674926
2011/12/06,9876809
2011/12/07,-1903105
2011/12/08,7250269
2011/12/09,-10989973
2011/12/10,-6961976
2011/12/11,-5568507
