Date,confirmationtime7rsi
2010/07/17,63.725
2010/07/18,63.899
2010/07/19,63.196
2010/07/20,60.608
2010/07/21,52.741
2010/07/22,60.142
2010/07/23,54.027
2010/07/24,55.395
2010/07/25,44.493
2010/07/26,42.333
2010/07/27,61.702
2010/07/28,63.68
2010/07/29,54.583
2010/07/30,53.836
2010/07/31,46.873
2010/08/01,39.159
2010/08/02,38.64
2010/08/03,43.256
2010/08/04,39.567
2010/08/05,47.986
2010/08/06,70.498
2010/08/07,65.275
2010/08/08,48.309
2010/08/09,50.799
2010/08/10,50.47
2010/08/11,40.112
2010/08/12,44.563
2010/08/13,45.207
2010/08/14,33.607
2010/08/15,50.769
2010/08/16,66.451
2010/08/17,71.542
2010/08/18,68.561
2010/08/19,67.004
2010/08/20,43.814
2010/08/21,49.321
2010/08/22,40.999
2010/08/23,40.832
2010/08/24,40.452
2010/08/25,40.236
2010/08/26,42.433
2010/08/27,57.424
2010/08/28,57.83
2010/08/29,61.45
2010/08/30,67.487
2010/08/31,47.092
2010/09/01,57.947
2010/09/02,58.382
2010/09/03,53.441
2010/09/04,45.257
2010/09/05,53.096
2010/09/06,56.72
2010/09/07,55.253
2010/09/08,51.529
2010/09/09,68.911
2010/09/10,44.574
2010/09/11,51.411
2010/09/12,44.943
2010/09/13,47.488
2010/09/14,37.966
2010/09/15,50.432
2010/09/16,38.218
2010/09/17,41.188
2010/09/18,36.237
2010/09/19,43.81
2010/09/20,45.692
2010/09/21,56.393
2010/09/22,55.434
2010/09/23,38.561
2010/09/24,40.182
2010/09/25,46.676
2010/09/26,47.382
2010/09/27,40.583
2010/09/28,46.695
2010/09/29,63.817
2010/09/30,69.949
2010/10/01,63.963
2010/10/02,81.835
2010/10/03,63.069
2010/10/04,50.601
2010/10/05,58.645
2010/10/06,45.699
2010/10/07,48.264
2010/10/08,49.935
2010/10/09,48.696
2010/10/10,43.278
2010/10/11,49.47
2010/10/12,50.979
2010/10/13,43.748
2010/10/14,37.302
2010/10/15,46.184
2010/10/16,33.47
2010/10/17,32.457
2010/10/18,36.519
2010/10/19,35.64
2010/10/20,34.593
2010/10/21,55.202
2010/10/22,64.405
2010/10/23,55.18
2010/10/24,46.79
2010/10/25,47.327
2010/10/26,39.761
2010/10/27,46.737
2010/10/28,45.294
2010/10/29,44.278
2010/10/30,38.013
2010/10/31,59.158
2010/11/01,59.782
2010/11/02,60.144
2010/11/03,52.908
2010/11/04,48.249
2010/11/05,42.108
2010/11/06,42.545
2010/11/07,35.931
2010/11/08,29.633
2010/11/09,49.283
2010/11/10,54.165
2010/11/11,48.053
2010/11/12,65.234
2010/11/13,46.29
2010/11/14,40.724
2010/11/15,53.157
2010/11/16,53.942
2010/11/17,42.685
2010/11/18,41.149
2010/11/19,66.171
2010/11/20,74.927
2010/11/21,60.997
2010/11/22,53.136
2010/11/23,59.261
2010/11/24,48.341
2010/11/25,47.488
2010/11/26,44.754
2010/11/27,48.5
2010/11/28,50.998
2010/11/29,41.616
2010/11/30,43.567
2010/12/01,48.069
2010/12/02,48.069
2010/12/03,47.674
2010/12/04,36.255
2010/12/05,34.357
2010/12/06,33.963
2010/12/07,34.835
2010/12/08,35.34
2010/12/09,43.539
2010/12/10,74.493
2010/12/11,57.29
2010/12/12,58.658
2010/12/13,69.326
2010/12/14,53.284
2010/12/15,45.862
2010/12/16,52.832
2010/12/17,55.248
2010/12/18,57.211
2010/12/19,47.192
2010/12/20,56.887
2010/12/21,44.063
2010/12/22,56.025
2010/12/23,60.662
2010/12/24,58.877
2010/12/25,49.168
2010/12/26,58.533
2010/12/27,48.834
2010/12/28,47.703
2010/12/29,49.532
2010/12/30,47.591
2010/12/31,51.54
2011/01/01,42.15
2011/01/02,45.534
2011/01/03,56.454
2011/01/04,64.573
2011/01/05,54.219
2011/01/06,61.434
2011/01/07,47.059
2011/01/08,44.435
2011/01/09,48.377
2011/01/10,49.01
2011/01/11,43.161
2011/01/12,46.757
2011/01/13,36.426
2011/01/14,41.096
2011/01/15,56.426
2011/01/16,46.11
2011/01/17,42.846
2011/01/18,63.881
2011/01/19,48.325
2011/01/20,42.737
2011/01/21,47.585
2011/01/22,51.625
2011/01/23,49.113
2011/01/24,41.646
2011/01/25,56.571
2011/01/26,45.853
2011/01/27,54.097
2011/01/28,55.007
2011/01/29,53.173
2011/01/30,56.058
2011/01/31,47.083
2011/02/01,50.827
2011/02/02,54.839
2011/02/03,53.112
2011/02/04,35.203
2011/02/05,43.905
2011/02/06,45.161
2011/02/07,34.756
2011/02/08,52.763
2011/02/09,42.777
2011/02/10,45.495
2011/02/11,45.495
2011/02/12,41.152
2011/02/13,40.308
2011/02/14,41.702
2011/02/15,30.944
2011/02/16,29.155
2011/02/17,29.814
2011/02/18,42.733
2011/02/19,68.656
2011/02/20,48.684
2011/02/21,50.201
2011/02/22,44.133
2011/02/23,36.416
2011/02/24,48.47
2011/02/25,43.299
2011/02/26,34.241
2011/02/27,42.378
2011/02/28,67.632
2011/03/01,73.121
2011/03/02,54.747
2011/03/03,49.904
2011/03/04,43.298
2011/03/05,37.137
2011/03/06,37.584
2011/03/07,49.218
2011/03/08,54.715
2011/03/09,61.86
2011/03/10,75.854
2011/03/11,62.651
2011/03/12,58.022
2011/03/13,65.6
2011/03/14,67.462
2011/03/15,67.462
2011/03/16,51.725
2011/03/17,49.496
2011/03/18,59.249
2011/03/19,61.763
2011/03/20,48.348
2011/03/21,44.015
2011/03/22,57.502
2011/03/23,42.684
2011/03/24,44.405
2011/03/25,39.172
2011/03/26,51.431
2011/03/27,49.423
2011/03/28,41.633
2011/03/29,43.457
2011/03/30,46.404
2011/03/31,35.236
2011/04/01,43.103
2011/04/02,42.038
2011/04/03,44.064
2011/04/04,43
2011/04/05,37.868
2011/04/06,58.06
2011/04/07,58.511
2011/04/08,48.25
2011/04/09,53.018
2011/04/10,45.109
2011/04/11,50.007
2011/04/12,50.007
2011/04/13,37.438
2011/04/14,52.878
2011/04/15,63.469
2011/04/16,46.197
2011/04/17,44.191
2011/04/18,56.078
2011/04/19,53.182
2011/04/20,57.562
2011/04/21,55.653
2011/04/22,42.612
2011/04/23,44.404
2011/04/24,49.409
2011/04/25,38.533
2011/04/26,37.728
2011/04/27,43.506
2011/04/28,53.07
2011/04/29,39.533
2011/04/30,43.955
2011/05/01,48.425
2011/05/02,41.721
2011/05/03,42.195
2011/05/04,41.798
2011/05/05,34.38
2011/05/06,34.933
2011/05/07,37.453
2011/05/08,35.46
2011/05/09,29.009
2011/05/10,58.512
2011/05/11,53.845
2011/05/12,63.86
2011/05/13,45.502
2011/05/14,37.428
2011/05/15,44.254
2011/05/16,38.381
2011/05/17,36.585
2011/05/18,31.948
2011/05/19,62.99
2011/05/20,48.763
2011/05/21,48.763
2011/05/22,42.916
2011/05/23,38.513
2011/05/24,37.082
2011/05/25,36.184
2011/05/26,38.595
2011/05/27,68.519
2011/05/28,71.407
2011/05/29,59.168
2011/05/30,66.235
2011/05/31,67.449
2011/06/01,50.855
2011/06/02,50.255
2011/06/03,46.672
2011/06/04,41.326
2011/06/05,46.386
2011/06/06,40.295
2011/06/07,59.449
2011/06/08,53.45
2011/06/09,43.726
2011/06/10,43.519
2011/06/11,38.136
2011/06/12,43.27
2011/06/13,45.132
2011/06/14,40.281
