Date,confirmationtime3wma
2010/07/17,5.497
2010/07/18,7.436
2010/07/19,8.316
2010/07/20,8.132
2010/07/21,7.51
2010/07/22,7.736
2010/07/23,7.598
2010/07/24,7.647
2010/07/25,6.894
2010/07/26,6.311
2010/07/27,7.352
2010/07/28,8.408
2010/07/29,8.465
2010/07/30,8.132
2010/07/31,7.517
2010/08/01,6.696
2010/08/02,6.166
2010/08/03,6.159
2010/08/04,6.069
2010/08/05,6.335
2010/08/06,8.087
2010/08/07,9.011
2010/08/08,8.348
2010/08/09,7.75
2010/08/10,7.502
2010/08/11,6.866
2010/08/12,6.635
2010/08/13,6.591
2010/08/14,5.901
2010/08/15,6.303
2010/08/16,8.071
2010/08/17,10.006
2010/08/18,10.767
2010/08/19,10.803
2010/08/20,9.091
2010/08/21,8.427
2010/08/22,7.414
2010/08/23,7.032
2010/08/24,6.734
2010/08/25,6.693
2010/08/26,6.767
2010/08/27,7.607
2010/08/28,8.185
2010/08/29,8.671
2010/08/30,9.207
2010/08/31,8.616
2010/09/01,8.805
2010/09/02,8.977
2010/09/03,8.996
2010/09/04,8.443
2010/09/05,8.479
2010/09/06,8.792
2010/09/07,8.993
2010/09/08,8.883
2010/09/09,9.742
2010/09/10,9.078
2010/09/11,8.99
2010/09/12,8.424
2010/09/13,8.422
2010/09/14,7.71
2010/09/15,8.028
2010/09/16,7.31
2010/09/17,7.073
2010/09/18,6.442
2010/09/19,6.624
2010/09/20,6.856
2010/09/21,7.699
2010/09/22,8.111
2010/09/23,7.231
2010/09/24,6.588
2010/09/25,6.609
2010/09/26,6.884
2010/09/27,6.645
2010/09/28,6.663
2010/09/29,7.702
2010/09/30,8.99
2010/10/01,9.426
2010/10/02,11.961
2010/10/03,12.26
2010/10/04,11.04
2010/10/05,10.819
2010/10/06,9.589
2010/10/07,9.212
2010/10/08,9.079
2010/10/09,9.174
2010/10/10,8.641
2010/10/11,8.744
2010/10/12,9.012
2010/10/13,8.697
2010/10/14,7.788
2010/10/15,7.773
2010/10/16,6.673
2010/10/17,5.883
2010/10/18,5.6
2010/10/19,5.629
2010/10/20,5.566
2010/10/21,6.627
2010/10/22,8.165
2010/10/23,8.521
2010/10/24,7.813
2010/10/25,7.26
2010/10/26,6.523
2010/10/27,6.554
2010/10/28,6.537
2010/10/29,6.547
2010/10/30,6.105
2010/10/31,7.003
2010/11/01,7.702
2010/11/02,8.144
2010/11/03,7.873
2010/11/04,7.472
2010/11/05,6.939
2010/11/06,6.689
2010/11/07,6.285
2010/11/08,5.711
2010/11/09,6.059
2010/11/10,6.632
2010/11/11,6.758
2010/11/12,7.634
2010/11/13,7.165
2010/11/14,6.385
2010/11/15,6.551
2010/11/16,6.992
2010/11/17,6.552
2010/11/18,5.963
2010/11/19,7.639
2010/11/20,10.341
2010/11/21,10.881
2010/11/22,9.915
2010/11/23,9.802
2010/11/24,8.969
2010/11/25,8.404
2010/11/26,7.719
2010/11/27,7.8
2010/11/28,8.09
2010/11/29,7.569
2010/11/30,7.256
2010/12/01,7.354
2010/12/02,7.571
2010/12/03,7.639
2010/12/04,6.96
2010/12/05,6.378
2010/12/06,6.044
2010/12/07,6.008
2010/12/08,6.029
2010/12/09,6.25
2010/12/10,8.059
2010/12/11,8.456
2010/12/12,8.586
