Date,mining_profitability30roc
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,-17.67
2010/08/17,-69.338
2010/08/18,-71.343
2010/08/19,-69.556
2010/08/20,-66.431
2010/08/21,-63.362
2010/08/22,-56.312
2010/08/23,-60.91
2010/08/24,-59.897
2010/08/25,-56.638
2010/08/26,-37.489
2010/08/27,-61.036
2010/08/28,-64.405
2010/08/29,-62.444
2010/08/30,-65.545
2010/08/31,-60.589
2010/09/01,-63.12
2010/09/02,-57.419
2010/09/03,-61.831
2010/09/04,-49.545
2010/09/05,-33.031
2010/09/06,-45.881
2010/09/07,-46.216
2010/09/08,-49.18
2010/09/09,-61.679
2010/09/10,-51.163
2010/09/11,-56.337
2010/09/12,-50.441
2010/09/13,-61.591
2010/09/14,-18.908
2010/09/15,-36.624
2010/09/16,-20.049
2010/09/17,-41.83
2010/09/18,-31.747
2010/09/19,-57.985
2010/09/20,-45.795
2010/09/21,-55.176
2010/09/22,-46.28
2010/09/23,-38.01
2010/09/24,-47.386
2010/09/25,-48.663
2010/09/26,-26.96
2010/09/27,-28.983
2010/09/28,-41.18
2010/09/29,-60.625
2010/09/30,-56.465
2010/10/01,-49.744
2010/10/02,-62.566
2010/10/03,-48.959
2010/10/04,-50.774
2010/10/05,-54.796
2010/10/06,-42.904
2010/10/07,-54.024
2010/10/08,-39.136
2010/10/09,-10.166
2010/10/10,-19.953
2010/10/11,-20.863
2010/10/12,-24.497
2010/10/13,-10.632
2010/10/14,-13.917
2010/10/15,-14.842
2010/10/16,-10.91
2010/10/17,-10.557
2010/10/18,-20.262
2010/10/19,18.858
2010/10/20,13.375
2010/10/21,-35.615
