Date,hashrate7roc
2010/07/17,1132
2010/07/18,607.079
2010/07/19,224.366
2010/07/20,21.276
2010/07/21,28.384
2010/07/22,24.084
2010/07/23,-8.301
2010/07/24,-40.01
2010/07/25,22.714
2010/07/26,43.343
2010/07/27,47.933
2010/07/28,13.159
2010/07/29,22.849
2010/07/30,27.57
2010/07/31,36.048
2010/08/01,40.055
2010/08/02,34.141
2010/08/03,19.704
2010/08/04,40.588
2010/08/05,49.96
2010/08/06,46.124
2010/08/07,15.132
2010/08/08,17.088
2010/08/09,15.716
2010/08/10,14.409
2010/08/11,37.077
2010/08/12,23.557
2010/08/13,22.488
2010/08/14,60.969
2010/08/15,85.188
2010/08/16,7.87
2010/08/17,6.717
2010/08/18,-11.502
2010/08/19,-10.989
2010/08/20,5.239
2010/08/21,10.83
2010/08/22,-14.185
2010/08/23,45.317
2010/08/24,53.026
2010/08/25,69.605
2010/08/26,57.795
2010/08/27,41.61
2010/08/28,19.005
2010/08/29,1.382
2010/08/30,-13.008
2010/08/31,-2.259
2010/09/01,-5.165
2010/09/02,-10.864
2010/09/03,-15.205
2010/09/04,-3.074
2010/09/05,6.175
2010/09/06,8.258
2010/09/07,-9.865
2010/09/08,2.754
2010/09/09,11.696
2010/09/10,14.16
2010/09/11,11.138
2010/09/12,14.772
2010/09/13,22.333
2010/09/14,37.322
2010/09/15,17.323
2010/09/16,26.749
2010/09/17,37.409
2010/09/18,32.849
2010/09/19,61.817
2010/09/20,52.155
2010/09/21,31.543
2010/09/22,21.32
2010/09/23,32.615
2010/09/24,38.031
2010/09/25,27.435
2010/09/26,-7.263
2010/09/27,6.587
2010/09/28,24.951
2010/09/29,60.793
2010/09/30,5.556
2010/10/01,-3.413
2010/10/02,-18.323
2010/10/03,-21.269
2010/10/04,-9.675
2010/10/05,-17.083
2010/10/06,-23.227
2010/10/07,14.668
2010/10/08,1.814
2010/10/09,24.055
2010/10/10,51.036
2010/10/11,21.514
2010/10/12,21.654
2010/10/13,17.918
2010/10/14,16.151
2010/10/15,25.49
2010/10/16,44.383
2010/10/17,75.027
2010/10/18,61.063
2010/10/19,49.933
2010/10/20,53.041
2010/10/21,83.628
2010/10/22,31.3
2010/10/23,23.15
2010/10/24,0.225
2010/10/25,25.604
2010/10/26,48.542
2010/10/27,41.549
2010/10/28,-3.912
2010/10/29,41.077
2010/10/30,41.152
2010/10/31,72.571
2010/11/01,20.644
2010/11/02,12.072
2010/11/03,17.55
2010/11/04,32.056
2010/11/05,32.018
2010/11/06,25.702
2010/11/07,11.079
2010/11/08,44.073
2010/11/09,73.231
2010/11/10,50.233
2010/11/11,70.121
2010/11/12,32.416
2010/11/13,35.941
2010/11/14,48.387
2010/11/15,28.448
2010/11/16,-7.909
2010/11/17,19.543
2010/11/18,25.159
2010/11/19,60.609
2010/11/20,-3.592
2010/11/21,-16.059
2010/11/22,4.419
2010/11/23,18.541
2010/11/24,8.204
2010/11/25,-14.453
2010/11/26,-2.014
2010/11/27,55.656
2010/11/28,25.416
2010/11/29,26.158
2010/11/30,49.713
2010/12/01,29.341
2010/12/02,44.007
2010/12/03,13.495
2010/12/04,30.209
2010/12/05,61.88
2010/12/06,46.745
2010/12/07,20.289
2010/12/08,32.35
