Date,confirmationtime7wma
2010/07/17,4.126
2010/07/18,5.209
2010/07/19,6.256
2010/07/20,7.006
2010/07/21,7.296
2010/07/22,7.732
2010/07/23,7.77
2010/07/24,7.693
2010/07/25,7.295
2010/07/26,6.896
2010/07/27,7.268
2010/07/28,7.71
2010/07/29,7.814
2010/07/30,7.901
2010/07/31,7.767
2010/08/01,7.384
2010/08/02,6.99
2010/08/03,6.693
2010/08/04,6.375
2010/08/05,6.339
2010/08/06,7.15
2010/08/07,7.768
2010/08/08,7.793
2010/08/09,7.861
2010/08/10,7.861
2010/08/11,7.479
2010/08/12,7.201
2010/08/13,6.938
2010/08/14,6.392
2010/08/15,6.453
2010/08/16,7.233
2010/08/17,8.276
2010/08/18,9.106
2010/08/19,9.73
2010/08/20,9.409
2010/08/21,9.275
2010/08/22,8.645
2010/08/23,8.013
2010/08/24,7.473
2010/08/25,7.085
2010/08/26,6.893
2010/08/27,7.229
2010/08/28,7.542
2010/08/29,7.955
2010/08/30,8.487
2010/08/31,8.455
2010/09/01,8.72
2010/09/02,8.909
2010/09/03,8.902
2010/09/04,8.675
2010/09/05,8.66
2010/09/06,8.747
2010/09/07,8.826
2010/09/08,8.794
2010/09/09,9.263
2010/09/10,9.048
2010/09/11,9.072
2010/09/12,8.842
2010/09/13,8.706
2010/09/14,8.262
2010/09/15,8.243
2010/09/16,7.745
2010/09/17,7.479
2010/09/18,7.046
2010/09/19,6.92
2010/09/20,6.89
2010/09/21,7.227
2010/09/22,7.494
2010/09/23,7.24
2010/09/24,7.041
2010/09/25,7.023
2010/09/26,6.992
2010/09/27,6.771
2010/09/28,6.706
2010/09/29,7.193
2010/09/30,7.934
2010/10/01,8.413
2010/10/02,10.047
2010/10/03,10.766
2010/10/04,10.716
2010/10/05,11.059
2010/10/06,10.484
2010/10/07,10.067
2010/10/08,9.768
2010/10/09,9.411
2010/10/10,8.986
2010/10/11,8.935
2010/10/12,8.955
2010/10/13,8.775
2010/10/14,8.314
2010/10/15,8.201
2010/10/16,7.493
2010/10/17,6.849
2010/10/18,6.416
2010/10/19,6.061
2010/10/20,5.794
2010/10/21,6.196
2010/10/22,6.974
2010/10/23,7.429
2010/10/24,7.488
2010/10/25,7.504
2010/10/26,7.193
2010/10/27,7.067
2010/10/28,6.847
2010/10/29,6.64
2010/10/30,6.35
2010/10/31,6.733
2010/11/01,7.101
2010/11/02,7.445
2010/11/03,7.558
2010/11/04,7.539
2010/11/05,7.352
2010/11/06,7.167
2010/11/07,6.794
2010/11/08,6.31
2010/11/09,6.279
2010/11/10,6.417
2010/11/11,6.444
2010/11/12,6.978
2010/11/13,6.926
2010/11/14,6.672
2010/11/15,6.824
2010/11/16,6.933
2010/11/17,6.648
2010/11/18,6.352
2010/11/19,7.09
2010/11/20,8.492
2010/11/21,9.15
2010/11/22,9.279
2010/11/23,9.712
2010/11/24,9.501
2010/11/25,9.163
2010/11/26,8.607
2010/11/27,8.274
2010/11/28,8.191
2010/11/29,7.806
2010/11/30,7.551
2010/12/01,7.54
2010/12/02,7.547
2010/12/03,7.554
2010/12/04,7.222
2010/12/05,6.884
2010/12/06,6.619
2010/12/07,6.398
2010/12/08,6.223
2010/12/09,6.207
2010/12/10,7.069
2010/12/11,7.461
2010/12/12,7.832
2010/12/13,8.566
2010/12/14,8.7
2010/12/15,8.48
2010/12/16,8.458
2010/12/17,8.457
2010/12/18,8.563
2010/12/19,8.365
2010/12/20,8.495
2010/12/21,8.248
2010/12/22,8.471
2010/12/23,8.835
2010/12/24,9.092
2010/12/25,9.021
2010/12/26,9.303
2010/12/27,9.196
2010/12/28,9.064
2010/12/29,8.943
2010/12/30,8.785
2010/12/31,8.769
2011/01/01,8.549
2011/01/02,8.42
2011/01/03,8.602
2011/01/04,9.01
2011/01/05,9.142
2011/01/06,9.467
2011/01/07,9.373
2011/01/08,9.206
2011/01/09,9.112
2011/01/10,9.009
2011/01/11,8.79
2011/01/12,8.699
2011/01/13,8.393
2011/01/14,8.252
2011/01/15,8.445
2011/01/16,8.389
2011/01/17,8.272
2011/01/18,8.754
2011/01/19,8.746
2011/01/20,8.548
2011/01/21,8.48
2011/01/22,8.513
2011/01/23,8.498
2011/01/24,8.274
2011/01/25,8.452
2011/01/26,8.359
2011/01/27,8.533
2011/01/28,8.692
2011/01/29,8.778
2011/01/30,8.928
2011/01/31,8.86
2011/02/01,8.841
2011/02/02,8.922
2011/02/03,8.934
2011/02/04,8.552
2011/02/05,8.386
2011/02/06,8.275
2011/02/07,7.943
2011/02/08,8.029
2011/02/09,7.854
2011/02/10,7.798
2011/02/11,7.787
2011/02/12,7.665
2011/02/13,7.55
2011/02/14,7.484
2011/02/15,7.173
2011/02/16,6.891
2011/02/17,6.661
2011/02/18,6.626
2011/02/19,7.162
2011/02/20,7.223
2011/02/21,7.321
2011/02/22,7.268
2011/02/23,6.974
2011/02/24,6.949
2011/02/25,6.758
2011/02/26,6.286
2011/02/27,6.118
2011/02/28,6.923
2011/03/01,8.02
2011/03/02,8.338
2011/03/03,8.355
2011/03/04,8.037
2011/03/05,7.386
2011/03/06,6.75
2011/03/07,6.529
2011/03/08,6.626
2011/03/09,7.168
2011/03/10,8.718
2011/03/11,9.574
2011/03/12,10.069
2011/03/13,10.887
2011/03/14,11.591
2011/03/15,12.08
2011/03/16,11.817
2011/03/17,11.404
2011/03/18,11.54
2011/03/19,11.774
2011/03/20,11.425
2011/03/21,10.945
2011/03/22,11.169
2011/03/23,10.689
2011/03/24,10.334
2011/03/25,9.718
2011/03/26,9.761
2011/03/27,9.788
2011/03/28,9.456
2011/03/29,9.23
2011/03/30,9.221
2011/03/31,8.693
2011/04/01,8.501
2011/04/02,8.27
2011/04/03,8.182
2011/04/04,8.126
2011/04/05,7.919
2011/04/06,8.341
2011/04/07,8.76
2011/04/08,8.806
2011/04/09,8.973
2011/04/10,8.869
2011/04/11,8.889
2011/04/12,8.883
2011/04/13,8.474
2011/04/14,8.541
2011/04/15,9.034
2011/04/16,8.892
2011/04/17,8.702
2011/04/18,8.956
2011/04/19,9.083
2011/04/20,9.354
2011/04/21,9.481
2011/04/22,9.177
2011/04/23,9.007
2011/04/24,8.964
2011/04/25,8.541
2011/04/26,8.17
2011/04/27,7.99
2011/04/28,8.114
2011/04/29,7.879
2011/04/30,7.784
2011/05/01,7.822
2011/05/02,7.707
2011/05/03,7.608
2011/05/04,7.5
2011/05/05,7.23
2011/05/06,7.045
2011/05/07,6.913
2011/05/08,6.774
2011/05/09,6.55
2011/05/10,6.832
2011/05/11,7.014
2011/05/12,7.433
2011/05/13,7.391
2011/05/14,7.085
2011/05/15,6.956
2011/05/16,6.649
2011/05/17,6.292
2011/05/18,5.866
2011/05/19,6.385
2011/05/20,6.439
2011/05/21,6.508
2011/05/22,6.347
2011/05/23,6.047
2011/05/24,5.72
2011/05/25,5.39
2011/05/26,5.114
2011/05/27,5.905
2011/05/28,6.789
2011/05/29,7.252
2011/05/30,7.971
2011/05/31,8.598
2011/06/01,8.57
2011/06/02,8.415
2011/06/03,8.051
2011/06/04,7.565
2011/06/05,7.304
2011/06/06,6.897
2011/06/07,7.175
2011/06/08,7.322
2011/06/09,7.141
2011/06/10,6.991
2011/06/11,6.679
2011/06/12,6.509
2011/06/13,6.407
2011/06/14,6.17
2011/06/15,5.86
2011/06/16,6.354
2011/06/17,6.729
2011/06/18,6.951
2011/06/19,6.902
2011/06/20,6.767
2011/06/21,6.524
2011/06/22,6.248
2011/06/23,6.073
2011/06/24,6.136
2011/06/25,7.089
2011/06/26,7.841
2011/06/27,8.193
2011/06/28,8.581
2011/06/29,8.693
2011/06/30,8.496
2011/07/01,8.44
2011/07/02,8.374
2011/07/03,8.415
2011/07/04,8.426
2011/07/05,8.91
2011/07/06,9.049
2011/07/07,9.615
2011/07/08,9.49
2011/07/09,9.586
2011/07/10,9.853
2011/07/11,9.721
2011/07/12,9.824
2011/07/13,9.264
2011/07/14,9.378
2011/07/15,9.249
2011/07/16,9.185
2011/07/17,8.964
2011/07/18,8.815
2011/07/19,9.109
2011/07/20,9.287
2011/07/21,9.34
2011/07/22,9.429
2011/07/23,9.576
2011/07/24,9.401
2011/07/25,9.232
2011/07/26,8.917
2011/07/27,8.696
2011/07/28,8.778
2011/07/29,8.74
2011/07/30,8.901
2011/07/31,8.765
2011/08/01,8.77
2011/08/02,8.93
2011/08/03,9.005
2011/08/04,9.545
2011/08/05,9.798
2011/08/06,10.378
2011/08/07,10.78
2011/08/08,10.858
2011/08/09,10.689
2011/08/10,10.403
2011/08/11,10.367
2011/08/12,10.473
2011/08/13,10.576
2011/08/14,10.663
2011/08/15,10.832
2011/08/16,10.638
2011/08/17,10.645
2011/08/18,10.465
2011/08/19,10.552
2011/08/20,10.259
2011/08/21,9.904
2011/08/22,9.498
2011/08/23,9.379
2011/08/24,9.642
2011/08/25,9.879
2011/08/26,9.875
2011/08/27,10.415
2011/08/28,11.025
2011/08/29,11.018
2011/08/30,10.8
2011/08/31,10.418
2011/09/01,10.556
2011/09/02,10.194
2011/09/03,10.027
2011/09/04,10.13
2011/09/05,9.914
2011/09/06,9.818
2011/09/07,9.996
2011/09/08,10.272
2011/09/09,10.094
2011/09/10,10.281
2011/09/11,10.61
2011/09/12,10.737
2011/09/13,10.637
2011/09/14,10.445
2011/09/15,10.12
2011/09/16,10.583
2011/09/17,10.608
2011/09/18,10.229
2011/09/19,10.491
2011/09/20,10.472
2011/09/21,10.342
2011/09/22,10.179
2011/09/23,10.272
2011/09/24,10.495
2011/09/25,10.54
2011/09/26,10.593
2011/09/27,10.688
2011/09/28,10.506
2011/09/29,10.758
2011/09/30,11.016
2011/10/01,10.806
2011/10/02,11.093
2011/10/03,10.838
2011/10/04,11.343
