Date,transactionfees3trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-33.491
2010/07/25,15.691
2010/07/26,165.923
2010/07/27,51.739
2010/07/28,7.646
2010/07/29,-8.396
2010/07/30,-3.65
2010/07/31,12.337
2010/08/01,10.973
2010/08/02,0.387
2010/08/03,-13.49
2010/08/04,-22.302
2010/08/05,-27.931
2010/08/06,-31.744
2010/08/07,305.895
2010/08/08,36.034
2010/08/09,61.14
2010/08/10,9.159
2010/08/11,-11.601
2010/08/12,-21.888
2010/08/13,-27.914
2010/08/14,-31.843
2010/08/15,-34.598
2010/08/16,-17.657
2010/08/17,-17.872
2010/08/18,65.02
2010/08/19,13.774
2010/08/20,-9.262
2010/08/21,-20.548
2010/08/22,-27.058
2010/08/23,-31.252
2010/08/24,58.808
2010/08/25,14.222
2010/08/26,-8.77
2010/08/27,-20.214
2010/08/28,-26.829
2010/08/29,14.783
2010/08/30,33.828
2010/08/31,11.644
2010/09/01,-4.844
2010/09/02,-17.052
2010/09/03,-24.581
2010/09/04,-29.463
2010/09/05,-31.039
2010/09/06,-33.059
2010/09/07,-34.961
2010/09/08,-36.605
2010/09/09,40.819
2010/09/10,10.742
2010/09/11,-9.709
2010/09/12,51.659
2010/09/13,9.675
2010/09/14,-8.32
2010/09/15,-19.374
2010/09/16,-26.112
2010/09/17,-30.522
2010/09/18,132.63
2010/09/19,25.494
2010/09/20,-5.482
2010/09/21,-18.812
2010/09/22,-26.089
2010/09/23,-30.642
2010/09/24,-33.751
2010/09/25,-36.005
2010/09/26,-37.713
2010/09/27,-11.734
2010/09/28,2965
2010/09/29,48.015
2010/09/30,-0.395
2010/10/01,-0.194
2010/10/02,-12.325
2010/10/03,-20.819
2010/10/04,-26.714
2010/10/05,-30.797
2010/10/06,-33.73
2010/10/07,-35.917
2010/10/08,-37.602
2010/10/09,-38.935
2010/10/10,-40.015
2010/10/11,-40.902
2010/10/12,-41.648
2010/10/13,3171
2010/10/14,48.362
2010/10/15,-0.294
2010/10/16,-16.771
2010/10/17,-25.05
