Date,size90std
2010/07/17,737.757
2010/07/18,742.381
2010/07/19,746.478
2010/07/20,756.599
2010/07/21,756.295
2010/07/22,755.827
2010/07/23,755.52
2010/07/24,786.738
2010/07/25,973.153
2010/07/26,977.228
2010/07/27,977.527
2010/07/28,1149
2010/07/29,1213
2010/07/30,1211
2010/07/31,1209
2010/08/01,1209
2010/08/02,1208
2010/08/03,1209
2010/08/04,1208
2010/08/05,1209
2010/08/06,1209
2010/08/07,1207
2010/08/08,1206
2010/08/09,1220
2010/08/10,1219
2010/08/11,1218
2010/08/12,1203
2010/08/13,1156
2010/08/14,1154
2010/08/15,1153
2010/08/16,1155
2010/08/17,1154
2010/08/18,1187
2010/08/19,1186
2010/08/20,1185
2010/08/21,1184
2010/08/22,1182
2010/08/23,1180
2010/08/24,1179
2010/08/25,1178
2010/08/26,1176
2010/08/27,1175
2010/08/28,1173
2010/08/29,1172
2010/08/30,1170
2010/08/31,1169
2010/09/01,1168
2010/09/02,1166
2010/09/03,1164
2010/09/04,1163
2010/09/05,1162
2010/09/06,1161
2010/09/07,1160
2010/09/08,1157
2010/09/09,1155
2010/09/10,1153
2010/09/11,1152
2010/09/12,1150
2010/09/13,1148
2010/09/14,1147
2010/09/15,1144
2010/09/16,1141
2010/09/17,1140
2010/09/18,1138
2010/09/19,1137
2010/09/20,1134
2010/09/21,1145
2010/09/22,1147
2010/09/23,1143
2010/09/24,1139
2010/09/25,1135
2010/09/26,1132
2010/09/27,1131
2010/09/28,1131
2010/09/29,1166
2010/09/30,1166
2010/10/01,1163
2010/10/02,1180
2010/10/03,1176
2010/10/04,1171
2010/10/05,1168
2010/10/06,1164
2010/10/07,1159
2010/10/08,1154
2010/10/09,1152
2010/10/10,1153
2010/10/11,1151
2010/10/12,1072
2010/10/13,1072
2010/10/14,1072
2010/10/15,1074
2010/10/16,1075
2010/10/17,1077
2010/10/18,1076
2010/10/19,1078
2010/10/20,1077
2010/10/21,1075
2010/10/22,1069
2010/10/23,941.124
2010/10/24,940.237
2010/10/25,940.698
2010/10/26,759.426
2010/10/27,671.56
2010/10/28,670.974
2010/10/29,668.277
2010/10/30,667.39
2010/10/31,665.52
2010/11/01,666.425
2010/11/02,667.188
2010/11/03,668.001
2010/11/04,669.872
2010/11/05,669.542
2010/11/06,669.551
2010/11/07,648.49
2010/11/08,646.444
