Date,hashrate90rsi
2010/07/17,92.303
2010/07/18,65.978
2010/07/19,65.928
2010/07/20,66.638
2010/07/21,67.28
2010/07/22,66.997
2010/07/23,67.08
2010/07/24,66.274
2010/07/25,68.113
2010/07/26,70.252
2010/07/27,71.494
2010/07/28,65.05
2010/07/29,65.993
2010/07/30,66.585
2010/07/31,67.053
2010/08/01,69.374
2010/08/02,70.958
2010/08/03,70.041
2010/08/04,68.176
2010/08/05,70.148
2010/08/06,70.413
2010/08/07,64.434
2010/08/08,66.933
2010/08/09,68.332
2010/08/10,67.193
2010/08/11,68.969
2010/08/12,69.444
2010/08/13,69.582
2010/08/14,70.619
2010/08/15,75.443
2010/08/16,62.068
2010/08/17,61.133
2010/08/18,59.992
2010/08/19,60.43
2010/08/20,62.572
2010/08/21,64.126
2010/08/22,65.01
2010/08/23,66.174
2010/08/24,66.218
2010/08/25,66.767
2010/08/26,65.812
2010/08/27,66.797
2010/08/28,65.31
2010/08/29,62.979
2010/08/30,61.492
2010/08/31,63.075
2010/09/01,63.19
2010/09/02,61.094
2010/09/03,61.336
2010/09/04,62.411
2010/09/05,62.344
2010/09/06,61.273
2010/09/07,59.994
2010/09/08,61.831
2010/09/09,61.557
2010/09/10,62.112
2010/09/11,62.866
2010/09/12,63.285
2010/09/13,63.501
2010/09/14,64.272
2010/09/15,63.795
2010/09/16,64.774
2010/09/17,66.65
2010/09/18,66.963
2010/09/19,70.568
2010/09/20,68.857
2010/09/21,65.841
2010/09/22,63.159
2010/09/23,65.438
2010/09/24,67.903
2010/09/25,66.042
2010/09/26,63.553
2010/09/27,64.907
2010/09/28,65.888
2010/09/29,68.24
2010/09/30,61.206
2010/10/01,62.174
2010/10/02,57.919
2010/10/03,56.094
2010/10/04,58.59
2010/10/05,58.264
2010/10/06,59.159
2010/10/07,60.815
2010/10/08,59.926
2010/10/09,59.38
2010/10/10,60.235
2010/10/11,60.393
2010/10/12,60.023
2010/10/13,60.61
2010/10/14,62.214
2010/10/15,62.645
2010/10/16,64.223
2010/10/17,68.119
2010/10/18,65.959
2010/10/19,63.553
2010/10/20,64.491
2010/10/21,68.955
2010/10/22,61.111
2010/10/23,61.696
2010/10/24,62.415
2010/10/25,64.516
2010/10/26,65.602
2010/10/27,65.854
2010/10/28,63.614
2010/10/29,64.729
2010/10/30,65.399
2010/10/31,69.189
2010/11/01,63.472
2010/11/02,63.518
2010/11/03,64.42
2010/11/04,64.846
2010/11/05,65.989
2010/11/06,65.922
2010/11/07,67.901
2010/11/08,68.768
2010/11/09,71.653
2010/11/10,68.861
2010/11/11,71.221
2010/11/12,65.682
2010/11/13,66.028
2010/11/14,69.29
2010/11/15,66.556
2010/11/16,62.844
2010/11/17,65.367
2010/11/18,68.25
2010/11/19,69.401
2010/11/20,58.411
2010/11/21,59.296
2010/11/22,60.802
2010/11/23,60.469
2010/11/24,61.589
2010/11/25,60.917
2010/11/26,63.634
2010/11/27,63.095
2010/11/28,60.381
2010/11/29,62.065
2010/11/30,64.06
2010/12/01,62.826
2010/12/02,63.79
2010/12/03,63.223
2010/12/04,64.773
2010/12/05,65.946
2010/12/06,66.504
2010/12/07,65.231
2010/12/08,65.832
2010/12/09,66.62
2010/12/10,66.96
2010/12/11,65.496
2010/12/12,66.718
2010/12/13,64.135
2010/12/14,63.245
2010/12/15,65.399
2010/12/16,65.896
2010/12/17,64.246
2010/12/18,62.174
2010/12/19,62.88
2010/12/20,63.591
2010/12/21,64.062
2010/12/22,66.129
2010/12/23,60.921
2010/12/24,61.268
2010/12/25,62.033
2010/12/26,61.116
2010/12/27,61.553
2010/12/28,63.154
2010/12/29,62.398
2010/12/30,61.556
2010/12/31,61.875
2011/01/01,62.469
2011/01/02,62.941
2011/01/03,63.745
2011/01/04,60.365
2011/01/05,60.534
2011/01/06,61.363
2011/01/07,59.928
2011/01/08,62.6
2011/01/09,59.924
2011/01/10,61.161
2011/01/11,60.081
2011/01/12,60.542
2011/01/13,61.285
2011/01/14,61.411
2011/01/15,61.99
2011/01/16,62.472
2011/01/17,62.796
2011/01/18,60.946
2011/01/19,60.805
2011/01/20,61.906
2011/01/21,63.344
2011/01/22,59.387
2011/01/23,60.597
2011/01/24,60.634
2011/01/25,59.404
2011/01/26,60.859
2011/01/27,61.569
2011/01/28,61.304
2011/01/29,60.435
2011/01/30,61.4
2011/01/31,59.886
2011/02/01,62.147
2011/02/02,59.883
2011/02/03,59.246
2011/02/04,61.079
2011/02/05,62.163
2011/02/06,60.515
2011/02/07,61.345
2011/02/08,63.35
2011/02/09,62.78
2011/02/10,63.506
2011/02/11,63.492
2011/02/12,64.093
2011/02/13,64.261
2011/02/14,64.355
2011/02/15,65.18
2011/02/16,66.324
2011/02/17,68.01
2011/02/18,70.541
2011/02/19,66.643
2011/02/20,66.753
2011/02/21,67.517
2011/02/22,68.699
2011/02/23,70.003
2011/02/24,70.087
2011/02/25,69.501
2011/02/26,71.465
2011/02/27,76.95
2011/02/28,67.057
2011/03/01,61.137
2011/03/02,62.373
2011/03/03,63.667
2011/03/04,66.145
2011/03/05,69.148
2011/03/06,71.174
2011/03/07,67.713
2011/03/08,61.319
2011/03/09,60.629
2011/03/10,59.885
2011/03/11,58.588
2011/03/12,59.199
2011/03/13,59.238
2011/03/14,56.793
2011/03/15,56.233
2011/03/16,58.63
2011/03/17,58.136
2011/03/18,59.026
2011/03/19,55.979
2011/03/20,56.951
2011/03/21,58.623
2011/03/22,57.542
2011/03/23,57.748
2011/03/24,59.575
2011/03/25,57.155
2011/03/26,57.154
2011/03/27,56.694
2011/03/28,57.008
2011/03/29,57.894
2011/03/30,56.915
2011/03/31,59.055
2011/04/01,58.91
2011/04/02,58.495
2011/04/03,57.792
2011/04/04,58.403
2011/04/05,59.043
2011/04/06,59.398
2011/04/07,57.802
2011/04/08,58.074
2011/04/09,58.772
2011/04/10,58.875
2011/04/11,58.536
2011/04/12,58.893
2011/04/13,60.723
2011/04/14,58.766
2011/04/15,56.138
2011/04/16,57.05
2011/04/17,58.003
2011/04/18,58.237
2011/04/19,56.836
2011/04/20,57.47
2011/04/21,57.799
2011/04/22,58.399
2011/04/23,59.05
2011/04/24,58.828
2011/04/25,59.196
2011/04/26,61.131
2011/04/27,60.22
2011/04/28,57.211
2011/04/29,59.335
2011/04/30,61.366
2011/05/01,60.875
2011/05/02,61.495
2011/05/03,61.868
2011/05/04,61.553
2011/05/05,62.699
2011/05/06,62.895
2011/05/07,63.326
2011/05/08,62.136
2011/05/09,64.885
2011/05/10,68.042
2011/05/11,64.088
2011/05/12,62.669
2011/05/13,63.651
2011/05/14,66.842
2011/05/15,66.745
2011/05/16,66.584
2011/05/17,68.099
2011/05/18,69.892
2011/05/19,72.276
2011/05/20,71.56
2011/05/21,71.923
2011/05/22,74.371
2011/05/23,75.147
2011/05/24,76.894
2011/05/25,77.545
2011/05/26,79.942
2011/05/27,81.868
2011/05/28,67.468
2011/05/29,67.328
2011/05/30,67.226
2011/05/31,65.426
2011/06/01,66.701
2011/06/02,68.9
2011/06/03,69.385
2011/06/04,70.218
2011/06/05,70.364
2011/06/06,73.882
2011/06/07,69.888
2011/06/08,69.26
2011/06/09,71.483
2011/06/10,72.545
2011/06/11,72.938
2011/06/12,74.004
2011/06/13,71.756
2011/06/14,72.046
2011/06/15,77.509
2011/06/16,78.195
2011/06/17,69.563
2011/06/18,69.951
2011/06/19,71.754
2011/06/20,72.919
2011/06/21,73.515
2011/06/22,74.988
2011/06/23,71.747
2011/06/24,75.154
2011/06/25,68.467
2011/06/26,66.375
2011/06/27,66.868
2011/06/28,66.877
2011/06/29,68.133
2011/06/30,68.955
2011/07/01,69.557
2011/07/02,67.251
2011/07/03,65.946
2011/07/04,65.288
2011/07/05,64.187
2011/07/06,63.902
2011/07/07,64.682
2011/07/08,64.197
2011/07/09,66.139
2011/07/10,63.239
2011/07/11,63.861
2011/07/12,62.869
2011/07/13,65.146
2011/07/14,64.393
2011/07/15,63.178
2011/07/16,64.082
2011/07/17,62.711
2011/07/18,63.267
2011/07/19,63.682
2011/07/20,60.954
2011/07/21,62.303
2011/07/22,61.735
2011/07/23,61.697
2011/07/24,62.749
2011/07/25,63.191
2011/07/26,63.313
2011/07/27,64.883
2011/07/28,62.504
2011/07/29,61.135
2011/07/30,60.255
2011/07/31,61.604
2011/08/01,63.43
2011/08/02,61.29
2011/08/03,61.285
2011/08/04,59.575
2011/08/05,58.025
2011/08/06,57.916
2011/08/07,56.991
2011/08/08,57.464
2011/08/09,58.289
2011/08/10,60.36
2011/08/11,57.557
2011/08/12,56.77
2011/08/13,57.187
2011/08/14,55.495
2011/08/15,56.956
