Date,sentinusd30wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,2645
2010/08/16,2749
2010/08/17,2784
2010/08/18,2766
2010/08/19,2672
2010/08/20,2619
2010/08/21,2604
2010/08/22,2511
2010/08/23,2406
2010/08/24,2318
2010/08/25,2211
2010/08/26,2103
2010/08/27,2058
2010/08/28,1967
2010/08/29,1843
2010/08/30,1743
2010/08/31,1745
2010/09/01,1733
2010/09/02,1750
2010/09/03,1744
2010/09/04,1742
2010/09/05,2170
2010/09/06,2336
2010/09/07,2265
2010/09/08,2190
2010/09/09,2189
2010/09/10,2109
2010/09/11,2021
2010/09/12,1966
2010/09/13,2308
2010/09/14,2290
2010/09/15,2306
2010/09/16,2307
2010/09/17,2463
2010/09/18,2493
2010/09/19,2555
2010/09/20,2578
2010/09/21,2546
2010/09/22,2580
2010/09/23,2939
2010/09/24,2854
2010/09/25,2811
2010/09/26,2736
2010/09/27,2706
2010/09/28,2866
2010/09/29,3065
2010/09/30,3045
2010/10/01,3091
2010/10/02,4347
2010/10/03,4413
2010/10/04,6369
2010/10/05,6827
2010/10/06,6998
2010/10/07,7210
2010/10/08,7632
2010/10/09,8330
2010/10/10,8660
2010/10/11,8575
2010/10/12,8627
2010/10/13,8916
2010/10/14,9655
2010/10/15,10142
2010/10/16,10919
2010/10/17,11086
2010/10/18,11967
2010/10/19,13052
2010/10/20,13681
2010/10/21,14219
2010/10/22,14371
2010/10/23,13918
2010/10/24,13929
2010/10/25,14238
2010/10/26,15097
2010/10/27,16453
2010/10/28,17698
2010/10/29,17745
2010/10/30,17473
2010/10/31,17261
2010/11/01,16750
2010/11/02,16519
