Date,difficulty14wma
2010/07/17,55.173
2010/07/18,73.922
2010/07/19,91.128
2010/07/20,106.789
2010/07/21,120.941
2010/07/22,133.589
2010/07/23,144.731
2010/07/24,154.368
2010/07/25,162.5
2010/07/26,169.127
2010/07/27,181.95
2010/07/28,193.484
2010/07/29,203.125
2010/07/30,210.872
2010/07/31,216.887
2010/08/01,222.306
2010/08/02,227.127
2010/08/03,231.352
2010/08/04,234.98
2010/08/05,239.992
2010/08/06,256.677
2010/08/07,271.738
2010/08/08,285.174
2010/08/09,296.985
2010/08/10,307.171
2010/08/11,316.282
2010/08/12,324.365
2010/08/13,331.42
2010/08/14,337.447
2010/08/15,347.484
2010/08/16,372.377
2010/08/17,394.721
2010/08/18,414.517
2010/08/19,431.765
2010/08/20,446.607
2010/08/21,459.928
2010/08/22,471.729
2010/08/23,482.01
2010/08/24,490.771
2010/08/25,498.012
2010/08/26,504.37
2010/08/27,523.407
2010/08/28,539.861
2010/08/29,553.731
2010/08/30,565.378
2010/08/31,575.963
2010/09/01,585.484
2010/09/02,593.942
2010/09/03,601.338
2010/09/04,607.67
2010/09/05,612.939
2010/09/06,617.146
2010/09/07,620.289
2010/09/08,632.133
2010/09/09,644.386
2010/09/10,654.769
2010/09/11,664.3
2010/09/12,672.979
2010/09/13,680.805
2010/09/14,687.779
2010/09/15,693.9
2010/09/16,699.17
2010/09/17,703.586
2010/09/18,707.151
2010/09/19,733.92
2010/09/20,761.388
2010/09/21,786.051
2010/09/22,807.91
2010/09/23,827.662
2010/09/24,845.462
2010/09/25,861.311
2010/09/26,875.207
2010/09/27,887.152
2010/09/28,905.212
2010/09/29,966.122
2010/09/30,1021
2010/10/01,1071
2010/10/02,1114
2010/10/03,1152
2010/10/04,1186
2010/10/05,1216
2010/10/06,1242
2010/10/07,1264
2010/10/08,1283
2010/10/09,1297
2010/10/10,1308
2010/10/11,1315
2010/10/12,1325
2010/10/13,1332
2010/10/14,1339
2010/10/15,1345
2010/10/16,1351
2010/10/17,1356
2010/10/18,1361
2010/10/19,1365
2010/10/20,1369
2010/10/21,1450
2010/10/22,1549
2010/10/23,1641
2010/10/24,1725
2010/10/25,1801
2010/10/26,1869
2010/10/27,1929
2010/10/28,1982
2010/10/29,2028
2010/10/30,2072
2010/10/31,2228
2010/11/01,2368
2010/11/02,2492
2010/11/03,2600
2010/11/04,2691
2010/11/05,2771
2010/11/06,2843
2010/11/07,2905
2010/11/08,2959
2010/11/09,3081
2010/11/10,3303
2010/11/11,3503
2010/11/12,3680
2010/11/13,3835
2010/11/14,3967
2010/11/15,4085
2010/11/16,4190
2010/11/17,4281
2010/11/18,4408
2010/11/19,4779
2010/11/20,5113
2010/11/21,5412
2010/11/22,5674
2010/11/23,5901
2010/11/24,6097
2010/11/25,6271
2010/11/26,6423
2010/11/27,6552
2010/11/28,6659
2010/11/29,6745
2010/11/30,6848
2010/12/01,7047
2010/12/02,7213
2010/12/03,7348
2010/12/04,7472
2010/12/05,7585
2010/12/06,7686
2010/12/07,7775
2010/12/08,7853
2010/12/09,7939
2010/12/10,8549
2010/12/11,9108
2010/12/12,9615
2010/12/13,10071
2010/12/14,10476
2010/12/15,10832
2010/12/16,11149
2010/12/17,11426
2010/12/18,11663
2010/12/19,11860
2010/12/20,12018
2010/12/21,12183
2010/12/22,12555
2010/12/23,12867
2010/12/24,13118
2010/12/25,13349
2010/12/26,13558
2010/12/27,13746
2010/12/28,13913
2010/12/29,14058
2010/12/30,14182
2010/12/31,14285
2011/01/01,14367
2011/01/02,14427
2011/01/03,14656
2011/01/04,14904
2011/01/05,15116
2011/01/06,15311
2011/01/07,15488
2011/01/08,15648
2011/01/09,15791
2011/01/10,15916
2011/01/11,16024
2011/01/12,16115
2011/01/13,16188
2011/01/14,16244
2011/01/15,16402
2011/01/16,16699
2011/01/17,16958
2011/01/18,17192
2011/01/19,17407
2011/01/20,17601
2011/01/21,17776
2011/01/22,17929
2011/01/23,18063
2011/01/24,18176
2011/01/25,18269
2011/01/26,18342
2011/01/27,18674
2011/01/28,19163
2011/01/29,19597
2011/01/30,19985
2011/01/31,20340
2011/02/01,20660
2011/02/02,20947
2011/02/03,21199
2011/02/04,21417
2011/02/05,21602
2011/02/06,21752
2011/02/07,21868
2011/02/08,22349
2011/02/09,22900
2011/02/10,23379
2011/02/11,23806
2011/02/12,24195
2011/02/13,24546
2011/02/14,24859
2011/02/15,25134
2011/02/16,25372
2011/02/17,25571
2011/02/18,26811
2011/02/19,28252
2011/02/20,29556
2011/02/21,30722
2011/02/22,31751
2011/02/23,32670
2011/02/24,33490
2011/02/25,34210
2011/02/26,34830
2011/02/27,36469
2011/02/28,39361
2011/03/01,41971
2011/03/02,44299
2011/03/03,46346
2011/03/04,48110
2011/03/05,49670
2011/03/06,51048
2011/03/07,52243
2011/03/08,53256
2011/03/09,55032
2011/03/10,58360
2011/03/11,61310
2011/03/12,63882
2011/03/13,66075
2011/03/14,67970
2011/03/15,69668
2011/03/16,71171
2011/03/17,72477
2011/03/18,73587
2011/03/19,74500
2011/03/20,75218
2011/03/21,75739
2011/03/22,76064
2011/03/23,76193
2011/03/24,76193
2011/03/25,75314
2011/03/26,74415
2011/03/27,73584
2011/03/28,72823
2011/03/29,72129
2011/03/30,71505
2011/03/31,70949
2011/04/01,70462
2011/04/02,70044
2011/04/03,69695
2011/04/04,69414
2011/04/05,69330
2011/04/06,70960
2011/04/07,72531
2011/04/08,74044
2011/04/09,75435
2011/04/10,76699
2011/04/11,77836
2011/04/12,78845
2011/04/13,79727
2011/04/14,80482
2011/04/15,81109
2011/04/16,81609
2011/04/17,81982
2011/04/18,83174
2011/04/19,84558
2011/04/20,85729
2011/04/21,86804
2011/04/22,87784
2011/04/23,88669
2011/04/24,89459
2011/04/25,90153
2011/04/26,90753
2011/04/27,91257
2011/04/28,91665
2011/04/29,91979
2011/04/30,94238
2011/05/01,96525
2011/05/02,98551
2011/05/03,100385
2011/05/04,102054
2011/05/05,103558
2011/05/06,104897
2011/05/07,106071
2011/05/08,107080
2011/05/09,108697
2011/05/10,115687
2011/05/11,122057
2011/05/12,127808
2011/05/13,132939
2011/05/14,137450
2011/05/15,141488
2011/05/16,145070
2011/05/17,148198
2011/05/18,151554
2011/05/19,165283
2011/05/20,177732
2011/05/21,188900
2011/05/22,198788
2011/05/23,207396
2011/05/24,214778
2011/05/25,221335
2011/05/26,231534
2011/05/27,261555
2011/05/28,288934
2011/05/29,313671
2011/05/30,335765
2011/05/31,355216
2011/06/01,372025
2011/06/02,386241
2011/06/03,398639
2011/06/04,409221
2011/06/05,417986
2011/06/06,431525
2011/06/07,453838
2011/06/08,473073
2011/06/09,489230
2011/06/10,502629
2011/06/11,514767
2011/06/12,525644
2011/06/13,535260
2011/06/14,543616
2011/06/15,566842
2011/06/16,612815
2011/06/17,654577
2011/06/18,692129
2011/06/19,725471
2011/06/20,754603
2011/06/21,779995
2011/06/22,802438
2011/06/23,821931
2011/06/24,863897
2011/06/25,942641
2011/06/26,1013652
2011/06/27,1076931
2011/06/28,1132477
2011/06/29,1180290
2011/06/30,1221523
2011/07/01,1257973
2011/07/02,1289640
2011/07/03,1316523
2011/07/04,1338624
2011/07/05,1355941
2011/07/06,1372065
2011/07/07,1404071
2011/07/08,1429542
2011/07/09,1450296
2011/07/10,1469298
2011/07/11,1486550
2011/07/12,1502051
2011/07/13,1515801
2011/07/14,1527800
2011/07/15,1538048
2011/07/16,1546546
2011/07/17,1553293
2011/07/18,1558289
2011/07/19,1564295
2011/07/20,1582641
2011/07/21,1598275
2011/07/22,1612691
2011/07/23,1625890
2011/07/24,1637871
2011/07/25,1648633
2011/07/26,1658178
2011/07/27,1666506
2011/07/28,1673615
2011/07/29,1679507
2011/07/30,1684181
2011/07/31,1687637
2011/08/01,1705387
2011/08/02,1731685
2011/08/03,1755078
2011/08/04,1776586
2011/08/05,1796209
2011/08/06,1813948
2011/08/07,1829802
2011/08/08,1843772
2011/08/09,1855856
2011/08/10,1866056
2011/08/11,1874372
2011/08/12,1880803
2011/08/13,1885349
2011/08/14,1888010
2011/08/15,1888615
2011/08/16,1877549
2011/08/17,1867275
2011/08/18,1857791
2011/08/19,1849099
2011/08/20,1841199
2011/08/21,1834089
2011/08/22,1827771
2011/08/23,1822244
2011/08/24,1817509
2011/08/25,1813565
2011/08/26,1810412
2011/08/27,1808050
2011/08/28,1806480
2011/08/29,1805701
2011/08/30,1802691
2011/08/31,1799183
2011/09/01,1795940
2011/09/02,1792964
2011/09/03,1790253
2011/09/04,1787808
2011/09/05,1785630
2011/09/06,1783717
2011/09/07,1782070
2011/09/08,1780689
2011/09/09,1779574
2011/09/10,1778725
2011/09/11,1778142
2011/09/12,1777825
2011/09/13,1776096
2011/09/14,1773236
2011/09/15,1770589
2011/09/16,1768154
2011/09/17,1765933
2011/09/18,1763924
2011/09/19,1762129
2011/09/20,1760546
2011/09/21,1759176
2011/09/22,1758018
2011/09/23,1757074
2011/09/24,1756343
2011/09/25,1755824
2011/09/26,1755518
2011/09/27,1755160
2011/09/28,1746367
2011/09/29,1738203
2011/09/30,1730669
2011/10/01,1723764
2011/10/02,1717489
2011/10/03,1711843
2011/10/04,1706826
2011/10/05,1702439
2011/10/06,1698681
2011/10/07,1695553
2011/10/08,1693054
2011/10/09,1691185
2011/10/10,1689945
2011/10/11,1689334
2011/10/12,1689334
2011/10/13,1689334
2011/10/14,1661334
2011/10/15,1633849
2011/10/16,1608470
2011/10/17,1585197
2011/10/18,1564030
2011/10/19,1544969
