Date,sentbyaddress30var
2010/07/17,1300667
2010/07/18,1295623
2010/07/19,1290163
2010/07/20,1284254
2010/07/21,1280403
2010/07/22,1276231
2010/07/23,1272255
2010/07/24,1265533
2010/07/25,1297122
2010/07/26,1290281
2010/07/27,1283743
2010/07/28,1278026
2010/07/29,1273531
2010/07/30,1271651
2010/07/31,1270998
2010/08/01,1266733
2010/08/02,1263604
2010/08/03,1253344
2010/08/04,1245628
2010/08/05,1235000
2010/08/06,1228756
2010/08/07,1226605
2010/08/08,1220956
2010/08/09,1212714
2010/08/10,1214776
2010/08/11,1112232
2010/08/12,1099775
2010/08/13,100527
2010/08/14,84333
2010/08/15,72973
2010/08/16,72833
2010/08/17,73404
2010/08/18,73182
2010/08/19,72633
2010/08/20,72716
2010/08/21,73041
2010/08/22,73396
2010/08/23,71941
2010/08/24,6896
2010/08/25,6879
2010/08/26,6879
2010/08/27,7270
2010/08/28,7351
2010/08/29,7670
2010/08/30,7425
2010/08/31,7418
2010/09/01,7393
2010/09/02,5813
2010/09/03,5403
2010/09/04,4366
2010/09/05,4380
2010/09/06,4298
2010/09/07,4451
2010/09/08,4030
2010/09/09,4011
2010/09/10,3971
2010/09/11,4002
2010/09/12,2630
2010/09/13,3227
2010/09/14,3059
2010/09/15,2914
2010/09/16,2960
2010/09/17,2833
2010/09/18,2821
2010/09/19,2702
2010/09/20,3293
2010/09/21,13841
2010/09/22,19974
2010/09/23,22891
2010/09/24,23655
2010/09/25,24598
2010/09/26,23990
2010/09/27,25884
2010/09/28,25011
2010/09/29,32808
2010/09/30,32828
2010/10/01,33777
2010/10/02,33158
2010/10/03,32569
2010/10/04,31070
2010/10/05,30172
2010/10/06,28792
2010/10/07,27607
2010/10/08,26893
2010/10/09,26041
2010/10/10,25332
2010/10/11,24366
2010/10/12,24211
2010/10/13,24383
2010/10/14,24383
2010/10/15,24701
2010/10/16,24242
2010/10/17,23292
2010/10/18,23195
2010/10/19,33769
2010/10/20,36739
2010/10/21,32701
2010/10/22,31667
2010/10/23,31331
2010/10/24,31642
2010/10/25,31755
2010/10/26,31320
2010/10/27,31736
2010/10/28,31422
2010/10/29,26754
2010/10/30,26432
2010/10/31,27851
2010/11/01,28656
2010/11/02,30374
2010/11/03,31052
2010/11/04,31886
2010/11/05,31850
2010/11/06,31344
2010/11/07,31077
2010/11/08,30951
2010/11/09,30973
2010/11/10,30683
2010/11/11,30817
2010/11/12,32309
2010/11/13,32809
2010/11/14,32597
2010/11/15,454717
2010/11/16,636400
2010/11/17,638367
2010/11/18,634891
2010/11/19,637117
2010/11/20,637185
2010/11/21,637637
2010/11/22,640201
2010/11/23,642655
2010/11/24,641918
2010/11/25,641932
2010/11/26,643574
2010/11/27,644440
2010/11/28,644584
2010/11/29,643897
2010/11/30,640646
2010/12/01,637811
2010/12/02,634015
2010/12/03,632962
2010/12/04,630752
2010/12/05,630605
2010/12/06,629374
2010/12/07,627525
2010/12/08,626648
2010/12/09,624677
2010/12/10,624322
2010/12/11,621053
2010/12/12,614804
2010/12/13,609877
2010/12/14,606257
2010/12/15,213103
2010/12/16,18505
2010/12/17,18232
2010/12/18,17592
2010/12/19,16301
2010/12/20,23115
2010/12/21,24062
2010/12/22,23753
2010/12/23,22180
2010/12/24,22015
2010/12/25,23494
2010/12/26,22205
2010/12/27,21464
2010/12/28,21539
2010/12/29,20588
2010/12/30,20048
2010/12/31,19935
2011/01/01,19776
2011/01/02,17581
2011/01/03,18488
2011/01/04,17304
2011/01/05,19239
2011/01/06,19132
2011/01/07,19735
2011/01/08,24883
2011/01/09,24051
2011/01/10,27684
2011/01/11,32233
2011/01/12,33047
2011/01/13,35338
2011/01/14,36730
2011/01/15,37223
2011/01/16,35649
2011/01/17,33589
2011/01/18,31987
2011/01/19,33636
2011/01/20,34619
2011/01/21,41896
2011/01/22,53674
2011/01/23,53402
2011/01/24,63757
2011/01/25,61832
2011/01/26,56975
2011/01/27,54756
2011/01/28,50812
2011/01/29,55356
2011/01/30,139857
2011/01/31,143069
2011/02/01,133809
2011/02/02,132127
2011/02/03,129743
2011/02/04,128845
2011/02/05,123437
2011/02/06,121415
2011/02/07,122655
2011/02/08,123043
2011/02/09,126394
2011/02/10,186312
2011/02/11,270100
2011/02/12,304449
2011/02/13,324642
2011/02/14,355579
2011/02/15,394252
2011/02/16,406748
2011/02/17,437532
2011/02/18,458665
2011/02/19,450280
2011/02/20,461926
2011/02/21,478566
2011/02/22,501459
2011/02/23,533931
2011/02/24,532274
2011/02/25,523425
2011/02/26,497851
2011/02/27,495923
2011/02/28,488226
2011/03/01,547410
2011/03/02,545412
2011/03/03,613314
2011/03/04,566351
2011/03/05,505364
2011/03/06,453032
2011/03/07,385364
2011/03/08,335118
2011/03/09,258788
2011/03/10,178523
2011/03/11,143087
2011/03/12,143403
2011/03/13,143448
2011/03/14,155391
2011/03/15,152147
2011/03/16,153376
2011/03/17,153294
2011/03/18,153136
2011/03/19,152607
2011/03/20,204720
2011/03/21,219430
2011/03/22,219335
2011/03/23,400304
2011/03/24,404634
2011/03/25,406361
2011/03/26,437356
2011/03/27,462726
2011/03/28,485483
2011/03/29,501160
2011/03/30,479978
2011/03/31,471003
2011/04/01,473941
2011/04/02,447262
2011/04/03,441119
2011/04/04,444029
2011/04/05,438787
2011/04/06,430612
2011/04/07,435448
2011/04/08,433806
2011/04/09,420862
2011/04/10,411639
2011/04/11,403561
2011/04/12,385193
2011/04/13,347890
2011/04/14,452264
2011/04/15,431273
2011/04/16,418520
2011/04/17,395073
2011/04/18,410289
