Date,activeaddresses90sma
2010/07/17,489.533
2010/07/18,493.656
2010/07/19,499.722
2010/07/20,505.622
2010/07/21,512.022
2010/07/22,515.978
2010/07/23,520.056
2010/07/24,526.944
2010/07/25,547.544
2010/07/26,558.267
2010/07/27,563.244
2010/07/28,568.322
2010/07/29,571.889
2010/07/30,575.433
2010/07/31,578.422
2010/08/01,582.211
2010/08/02,585.567
2010/08/03,593.1
2010/08/04,596.322
2010/08/05,602.822
2010/08/06,604.956
2010/08/07,607.822
2010/08/08,611.011
2010/08/09,617.878
2010/08/10,621.522
2010/08/11,626.456
2010/08/12,630.122
2010/08/13,637.756
2010/08/14,642.133
2010/08/15,643.622
2010/08/16,648.833
2010/08/17,650.856
2010/08/18,655.733
2010/08/19,657.256
2010/08/20,660.711
2010/08/21,661.589
2010/08/22,664.456
2010/08/23,667.878
2010/08/24,670.422
2010/08/25,671.722
2010/08/26,674.967
2010/08/27,676.489
2010/08/28,679.333
2010/08/29,680.544
2010/08/30,683.278
2010/08/31,688.578
2010/09/01,690.811
2010/09/02,694.222
2010/09/03,696.878
2010/09/04,698.889
2010/09/05,699.644
2010/09/06,701.544
2010/09/07,702.111
2010/09/08,704.978
2010/09/09,706.756
2010/09/10,709.511
2010/09/11,710.522
2010/09/12,713.733
2010/09/13,717.656
2010/09/14,721.767
2010/09/15,725.989
2010/09/16,730.556
2010/09/17,737.489
2010/09/18,740.311
2010/09/19,743.733
2010/09/20,747.522
2010/09/21,757.144
2010/09/22,764.6
2010/09/23,773.489
2010/09/24,779.689
2010/09/25,785.344
2010/09/26,789.056
2010/09/27,798.7
2010/09/28,812.578
2010/09/29,821.389
2010/09/30,824.333
2010/10/01,829.767
2010/10/02,833.578
2010/10/03,836.789
2010/10/04,843.033
2010/10/05,846.6
2010/10/06,850.8
2010/10/07,854.122
2010/10/08,858.689
2010/10/09,860.5
2010/10/10,827.967
2010/10/11,812.778
2010/10/12,744.811
2010/10/13,732.667
2010/10/14,720.711
2010/10/15,718.233
2010/10/16,718.411
2010/10/17,715.967
2010/10/18,716.422
2010/10/19,723.078
2010/10/20,729.567
2010/10/21,733.367
2010/10/22,733.456
2010/10/23,719.044
2010/10/24,714.744
2010/10/25,714.533
2010/10/26,716.667
2010/10/27,723.211
2010/10/28,727.822
2010/10/29,731.967
2010/10/30,732.4
2010/10/31,731.789
2010/11/01,727.6
2010/11/02,724.567
2010/11/03,721.844
2010/11/04,721.5
2010/11/05,725.067
2010/11/06,725.2
2010/11/07,724.222
2010/11/08,735.122
2010/11/09,734.533
2010/11/10,735.333
2010/11/11,732.6
2010/11/12,731.411
2010/11/13,733.122
2010/11/14,734.556
2010/11/15,777.911
2010/11/16,807.233
2010/11/17,809.511
2010/11/18,809.244
2010/11/19,810.5
2010/11/20,812.7
2010/11/21,813.867
2010/11/22,813.778
2010/11/23,815.567
2010/11/24,819.022
2010/11/25,823.633
2010/11/26,831.078
2010/11/27,835.878
2010/11/28,837.922
2010/11/29,839.767
2010/11/30,841.922
2010/12/01,848.211
2010/12/02,851.678
2010/12/03,856.456
2010/12/04,858.467
2010/12/05,860.511
2010/12/06,864.189
2010/12/07,870.822
2010/12/08,875.144
2010/12/09,878.411
2010/12/10,880.667
2010/12/11,884.656
2010/12/12,889.944
2010/12/13,901.189
2010/12/14,906.467
2010/12/15,910.911
2010/12/16,910.311
2010/12/17,912.911
2010/12/18,915.178
2010/12/19,919.433
2010/12/20,922.156
2010/12/21,922.711
2010/12/22,924.5
2010/12/23,926.844
2010/12/24,927.133
2010/12/25,932.167
2010/12/26,929.489
2010/12/27,923.278
2010/12/28,921.411
2010/12/29,925.322
2010/12/30,928.033
2010/12/31,929.344
2011/01/01,933.844
2011/01/02,936.322
2011/01/03,944.033
2011/01/04,948.322
2011/01/05,958.244
2011/01/06,962.111
2011/01/07,967.711
2011/01/08,977.156
2011/01/09,985.511
2011/01/10,994.3
2011/01/11,1001
2011/01/12,1008
2011/01/13,1021
2011/01/14,1028
2011/01/15,1036
2011/01/16,1042
2011/01/17,1041
2011/01/18,1044
2011/01/19,1050
2011/01/20,1056
2011/01/21,1068
2011/01/22,1083
2011/01/23,1096
2011/01/24,1109
2011/01/25,1113
2011/01/26,1120
2011/01/27,1129
2011/01/28,1140
2011/01/29,1157
2011/01/30,1186
2011/01/31,1205
2011/02/01,1220
2011/02/02,1230
2011/02/03,1235
2011/02/04,1245
2011/02/05,1254
2011/02/06,1252
2011/02/07,1261
2011/02/08,1269
2011/02/09,1286
2011/02/10,1320
2011/02/11,1362
2011/02/12,1388
2011/02/13,1376
2011/02/14,1384
2011/02/15,1414
2011/02/16,1440
2011/02/17,1472
2011/02/18,1504
2011/02/19,1527
2011/02/20,1556
2011/02/21,1585
2011/02/22,1616
2011/02/23,1648
2011/02/24,1676
2011/02/25,1705
2011/02/26,1737
2011/02/27,1767
2011/02/28,1792
2011/03/01,1837
2011/03/02,1869
2011/03/03,1914
2011/03/04,1942
2011/03/05,1975
2011/03/06,2004
2011/03/07,2029
2011/03/08,2062
2011/03/09,2090
2011/03/10,2115
2011/03/11,2137
2011/03/12,2160
2011/03/13,2173
2011/03/14,2193
2011/03/15,2218
2011/03/16,2242
2011/03/17,2269
2011/03/18,2294
2011/03/19,2317
2011/03/20,2350
2011/03/21,2390
2011/03/22,2420
2011/03/23,2484
2011/03/24,2524
2011/03/25,2558
2011/03/26,2600
2011/03/27,2641
2011/03/28,2689
2011/03/29,2729
2011/03/30,2758
2011/03/31,2794
2011/04/01,2819
2011/04/02,2844
2011/04/03,2868
2011/04/04,2908
2011/04/05,2938
2011/04/06,2968
2011/04/07,2993
2011/04/08,3017
2011/04/09,3042
2011/04/10,3065
2011/04/11,3092
2011/04/12,3127
2011/04/13,3160
2011/04/14,3208
2011/04/15,3238
2011/04/16,3281
2011/04/17,3314
2011/04/18,3360
2011/04/19,3413
2011/04/20,3457
2011/04/21,3480
2011/04/22,3503
2011/04/23,3536
2011/04/24,3565
2011/04/25,3606
2011/04/26,3656
2011/04/27,3721
2011/04/28,3772
2011/04/29,3823
2011/04/30,3879
2011/05/01,3937
2011/05/02,3982
2011/05/03,4033
2011/05/04,4090
2011/05/05,4152
2011/05/06,4211
2011/05/07,4276
2011/05/08,4332
2011/05/09,4400
2011/05/10,4456
2011/05/11,4496
2011/05/12,4528
2011/05/13,4597
2011/05/14,4660
2011/05/15,4707
2011/05/16,4800
2011/05/17,4883
2011/05/18,4988
2011/05/19,5081
2011/05/20,5178
2011/05/21,5262
2011/05/22,5346
2011/05/23,5438
2011/05/24,5543
2011/05/25,5664
2011/05/26,5787
2011/05/27,5867
2011/05/28,5956
2011/05/29,6047
2011/05/30,6131
2011/05/31,6245
2011/06/01,6346
2011/06/02,6482
2011/06/03,6640
2011/06/04,6819
2011/06/05,6980
2011/06/06,7170
2011/06/07,7343
2011/06/08,7614
2011/06/09,7872
2011/06/10,8104
2011/06/11,8336
2011/06/12,8604
2011/06/13,8854
2011/06/14,9150
2011/06/15,9420
2011/06/16,9706
2011/06/17,9961
2011/06/18,10201
2011/06/19,10458
2011/06/20,10704
2011/06/21,10905
2011/06/22,11154
2011/06/23,11378
2011/06/24,11605
2011/06/25,11803
2011/06/26,12005
2011/06/27,12289
2011/06/28,12539
2011/06/29,12763
2011/06/30,12987
2011/07/01,13286
2011/07/02,13604
2011/07/03,13800
2011/07/04,14014
2011/07/05,14230
2011/07/06,14491
2011/07/07,14705
2011/07/08,14938
2011/07/09,15152
2011/07/10,15426
2011/07/11,15665
2011/07/12,15869
2011/07/13,16105
2011/07/14,16379
2011/07/15,16591
2011/07/16,16810
2011/07/17,17023
2011/07/18,17262
2011/07/19,17479
2011/07/20,17722
2011/07/21,17957
2011/07/22,18174
2011/07/23,18366
2011/07/24,18567
2011/07/25,18798
2011/07/26,18980
2011/07/27,19172
2011/07/28,19385
2011/07/29,19541
2011/07/30,19677
2011/07/31,19879
2011/08/01,20076
2011/08/02,20246
2011/08/03,20372
2011/08/04,20506
2011/08/05,20664
2011/08/06,20818
2011/08/07,20957
2011/08/08,21151
2011/08/09,21335
2011/08/10,21474
2011/08/11,21572
2011/08/12,21663
2011/08/13,21783
2011/08/14,21891
2011/08/15,21988
2011/08/16,22078
2011/08/17,22171
2011/08/18,22272
2011/08/19,22399
2011/08/20,22513
2011/08/21,22632
2011/08/22,22766
2011/08/23,22856
2011/08/24,22941
2011/08/25,23078
2011/08/26,23188
2011/08/27,23295
2011/08/28,23359
2011/08/29,23412
2011/08/30,23452
2011/08/31,23469
2011/09/01,23459
2011/09/02,23422
2011/09/03,23385
2011/09/04,23347
2011/09/05,23339
2011/09/06,23244
2011/09/07,23139
2011/09/08,23046
2011/09/09,22989
2011/09/10,22866
2011/09/11,22750
2011/09/12,22604
2011/09/13,22463
2011/09/14,22307
2011/09/15,22189
2011/09/16,22061
2011/09/17,21898
2011/09/18,21769
2011/09/19,21670
2011/09/20,21616
2011/09/21,21545
2011/09/22,21459
2011/09/23,21430
2011/09/24,21385
2011/09/25,21263
2011/09/26,21170
2011/09/27,21107
2011/09/28,20999
2011/09/29,20806
2011/09/30,20597
2011/10/01,20495
2011/10/02,20364
2011/10/03,20259
2011/10/04,20114
2011/10/05,20010
2011/10/06,19897
2011/10/07,19797
2011/10/08,19617
2011/10/09,19466
2011/10/10,19358
2011/10/11,19209
2011/10/12,19039
2011/10/13,18897
2011/10/14,18792
2011/10/15,18664
2011/10/16,18487
2011/10/17,18368
2011/10/18,18217
2011/10/19,18074
2011/10/20,17926
2011/10/21,17816
2011/10/22,17693
2011/10/23,17540
2011/10/24,17430
2011/10/25,17315
2011/10/26,17166
2011/10/27,17046
2011/10/28,16968
2011/10/29,16842
2011/10/30,16705
2011/10/31,16598
2011/11/01,16535
2011/11/02,16470
2011/11/03,16377
2011/11/04,16328
2011/11/05,16255
2011/11/06,16109
2011/11/07,15987
2011/11/08,15920
2011/11/09,15876
2011/11/10,15846
2011/11/11,15768
2011/11/12,15664
2011/11/13,15590
2011/11/14,15509
2011/11/15,15441
2011/11/16,15357
2011/11/17,15245
2011/11/18,15149
2011/11/19,15008
2011/11/20,14855
2011/11/21,14715
2011/11/22,14597
2011/11/23,14468
2011/11/24,14351
2011/11/25,14249
2011/11/26,14158
2011/11/27,14067
2011/11/28,14013
2011/11/29,13983
2011/11/30,13966
2011/12/01,13943
2011/12/02,13930
2011/12/03,13878
2011/12/04,13807
2011/12/05,13744
2011/12/06,13727
2011/12/07,13694
2011/12/08,13644
2011/12/09,13598
2011/12/10,13559
2011/12/11,13509
2011/12/12,13470
2011/12/13,13439
2011/12/14,13400
2011/12/15,13350
2011/12/16,13322
2011/12/17,13276
2011/12/18,13207
2011/12/19,13105
2011/12/20,13058
2011/12/21,12995
2011/12/22,12907
2011/12/23,12825
2011/12/24,12725
2011/12/25,12659
2011/12/26,12587
2011/12/27,12565
2011/12/28,12542
2011/12/29,12519
2011/12/30,12491
2011/12/31,12481
2012/01/01,12454
2012/01/02,12433
2012/01/03,12427
2012/01/04,12405
2012/01/05,12424
2012/01/06,12450
2012/01/07,12463
2012/01/08,12478
2012/01/09,12490
2012/01/10,12518
2012/01/11,12577
2012/01/12,12570
2012/01/13,12585
2012/01/14,12613
2012/01/15,12607
2012/01/16,12635
2012/01/17,12654
2012/01/18,12695
2012/01/19,12728
2012/01/20,12752
2012/01/21,12755
2012/01/22,12727
2012/01/23,12728
2012/01/24,12756
2012/01/25,12813
2012/01/26,12832
2012/01/27,12849
2012/01/28,12868
2012/01/29,12894
2012/01/30,12902
2012/01/31,12930
2012/02/01,12951
2012/02/02,12954
2012/02/03,12988
2012/02/04,13041
2012/02/05,13066
2012/02/06,13068
2012/02/07,13072
2012/02/08,13074
2012/02/09,13107
2012/02/10,13153
2012/02/11,13184
2012/02/12,13189
2012/02/13,13212
2012/02/14,13270
2012/02/15,13332
2012/02/16,13402
2012/02/17,13448
2012/02/18,13482
2012/02/19,13516
2012/02/20,13547
2012/02/21,13583
2012/02/22,13642
2012/02/23,13708
2012/02/24,13777
2012/02/25,13826
2012/02/26,13834
2012/02/27,13840
2012/02/28,13850
2012/02/29,13865
2012/03/01,13897
2012/03/02,13950
2012/03/03,13958
2012/03/04,13978
2012/03/05,13988
2012/03/06,14015
2012/03/07,14028
2012/03/08,14072
2012/03/09,14114
2012/03/10,14123
2012/03/11,14137
2012/03/12,14163
2012/03/13,14217
2012/03/14,14286
2012/03/15,14336
2012/03/16,14403
2012/03/17,14472
2012/03/18,14485
2012/03/19,14505
2012/03/20,14551
2012/03/21,14597
2012/03/22,14637
2012/03/23,14682
2012/03/24,14706
2012/03/25,14730
2012/03/26,14775
2012/03/27,14827
2012/03/28,14882
2012/03/29,14954
2012/03/30,15000
2012/03/31,15029
2012/04/01,15038
2012/04/02,15058
2012/04/03,15128
2012/04/04,15142
2012/04/05,15159
2012/04/06,15191
2012/04/07,15187
2012/04/08,15177
2012/04/09,15167
2012/04/10,15172
2012/04/11,15223
2012/04/12,15271
2012/04/13,15284
2012/04/14,15326
2012/04/15,15342
2012/04/16,15395
2012/04/17,15438
2012/04/18,15485
2012/04/19,15525
2012/04/20,15590
2012/04/21,15644
2012/04/22,15661
2012/04/23,15681
2012/04/24,15689
2012/04/25,15722
2012/04/26,15775
2012/04/27,15821
2012/04/28,15839
2012/04/29,15866
2012/04/30,15905
2012/05/01,15961
2012/05/02,16007
2012/05/03,16066
2012/05/04,16136
2012/05/05,16193
2012/05/06,16285
2012/05/07,16407
2012/05/08,16509
2012/05/09,16617
2012/05/10,16662
2012/05/11,16783
2012/05/12,16878
2012/05/13,16927
2012/05/14,17083
2012/05/15,17187
2012/05/16,17264
2012/05/17,17357
2012/05/18,17486
2012/05/19,17690
2012/05/20,17859
2012/05/21,18033
2012/05/22,18158
2012/05/23,18292
2012/05/24,18420
2012/05/25,18586
2012/05/26,18723
2012/05/27,18850
2012/05/28,18997
2012/05/29,19206
2012/05/30,19344
2012/05/31,19464
2012/06/01,19647
2012/06/02,19709
2012/06/03,19868
2012/06/04,20160
2012/06/05,20446
2012/06/06,20540
2012/06/07,20757
2012/06/08,20928
2012/06/09,21138
2012/06/10,21354
2012/06/11,21530
2012/06/12,21611
2012/06/13,21962
2012/06/14,22333
2012/06/15,22700
2012/06/16,22983
2012/06/17,23248
2012/06/18,23488
2012/06/19,23703
2012/06/20,23887
2012/06/21,24058
2012/06/22,24228
2012/06/23,24405
2012/06/24,24546
2012/06/25,24751
2012/06/26,24971
2012/06/27,25216
2012/06/28,25413
2012/06/29,25624
2012/06/30,25838
2012/07/01,26024
2012/07/02,26222
2012/07/03,26422
2012/07/04,26591
2012/07/05,26720
2012/07/06,26888
2012/07/07,27077
2012/07/08,27218
2012/07/09,27383
2012/07/10,27589
2012/07/11,27773
2012/07/12,27978
2012/07/13,28134
2012/07/14,28285
2012/07/15,28411
2012/07/16,28613
2012/07/17,28846
2012/07/18,29029
2012/07/19,29217
2012/07/20,29438
2012/07/21,29670
2012/07/22,29916
2012/07/23,30191
2012/07/24,30424
2012/07/25,30562
2012/07/26,30713
2012/07/27,30894
2012/07/28,31146
2012/07/29,31333
2012/07/30,31513
2012/07/31,31942
2012/08/01,32151
2012/08/02,32367
2012/08/03,32549
2012/08/04,32701
2012/08/05,32836
2012/08/06,33043
2012/08/07,33202
2012/08/08,33553
2012/08/09,33711
2012/08/10,33887
2012/08/11,34084
2012/08/12,34158
2012/08/13,34396
2012/08/14,34588
2012/08/15,34898
2012/08/16,35293
2012/08/17,35572
2012/08/18,35817
2012/08/19,36126
2012/08/20,36347
2012/08/21,36622
2012/08/22,36861
2012/08/23,37012
2012/08/24,37227
2012/08/25,37342
2012/08/26,37399
2012/08/27,37445
2012/08/28,37571
2012/08/29,37693
2012/08/30,37749
2012/08/31,38070
2012/09/01,38232
2012/09/02,38158
2012/09/03,38070
2012/09/04,38313
2012/09/05,38381
2012/09/06,38587
2012/09/07,38727
2012/09/08,38726
2012/09/09,38810
2012/09/10,38964
2012/09/11,38947
2012/09/12,38776
2012/09/13,38620
2012/09/14,38608
2012/09/15,38505
2012/09/16,38438
2012/09/17,38410
2012/09/18,38482
2012/09/19,38629
2012/09/20,38829
2012/09/21,38929
2012/09/22,38915
2012/09/23,38856
2012/09/24,38828
2012/09/25,38874
2012/09/26,39047
2012/09/27,39146
2012/09/28,39347
2012/09/29,39422
2012/09/30,39401
2012/10/01,39437
2012/10/02,39677
2012/10/03,39923
2012/10/04,40173
2012/10/05,40324
2012/10/06,40446
2012/10/07,40570
2012/10/08,40688
2012/10/09,40876
2012/10/10,41022
2012/10/11,41131
2012/10/12,41295
2012/10/13,41395
2012/10/14,41415
2012/10/15,41482
2012/10/16,41579
2012/10/17,41674
2012/10/18,41840
2012/10/19,41947
2012/10/20,41994
2012/10/21,41958
2012/10/22,41992
2012/10/23,42102
2012/10/24,42225
2012/10/25,42306
2012/10/26,42297
2012/10/27,42227
2012/10/28,42132
2012/10/29,41876
2012/10/30,41806
2012/10/31,41696
2012/11/01,41644
2012/11/02,41614
2012/11/03,41557
2012/11/04,41427
2012/11/05,41409
2012/11/06,41289
2012/11/07,41324
2012/11/08,41314
2012/11/09,41295
2012/11/10,41247
2012/11/11,41042
2012/11/12,40916
2012/11/13,40719
2012/11/14,40453
2012/11/15,40337
2012/11/16,40300
2012/11/17,40242
2012/11/18,40193
2012/11/19,40059
2012/11/20,39995
2012/11/21,40000
2012/11/22,39959
2012/11/23,39943
2012/11/24,39970
2012/11/25,39946
2012/11/26,39962
2012/11/27,39953
2012/11/28,40061
2012/11/29,39978
2012/11/30,39891
2012/12/01,39889
2012/12/02,39831
2012/12/03,39654
2012/12/04,39664
2012/12/05,39638
2012/12/06,39603
2012/12/07,39683
2012/12/08,39663
2012/12/09,39680
2012/12/10,39576
2012/12/11,39608
2012/12/12,39693
2012/12/13,39780
2012/12/14,39910
2012/12/15,39943
2012/12/16,39973
2012/12/17,39998
2012/12/18,40056
2012/12/19,40017
2012/12/20,40021
2012/12/21,40230
2012/12/22,40524
2012/12/23,40597
2012/12/24,40560
2012/12/25,40361
2012/12/26,40317
2012/12/27,40167
2012/12/28,40211
2012/12/29,40270
2012/12/30,40357
2012/12/31,40152
2013/01/01,40016
2013/01/02,39919
2013/01/03,39994
2013/01/04,40087
2013/01/05,40198
2013/01/06,40138
2013/01/07,40158
2013/01/08,40254
2013/01/09,40420
2013/01/10,40604
2013/01/11,40844
2013/01/12,40979
2013/01/13,41082
2013/01/14,41096
2013/01/15,41238
2013/01/16,41320
2013/01/17,41472
2013/01/18,41626
2013/01/19,41743
2013/01/20,41795
2013/01/21,41844
2013/01/22,41974
2013/01/23,42060
2013/01/24,42314
2013/01/25,42534
2013/01/26,42834
2013/01/27,42989
2013/01/28,43209
2013/01/29,43470
2013/01/30,43612
2013/01/31,43775
2013/02/01,44127
2013/02/02,44415
2013/02/03,44637
2013/02/04,44817
2013/02/05,44999
2013/02/06,45177
2013/02/07,45417
2013/02/08,45700
2013/02/09,45991
2013/02/10,46280
2013/02/11,46498
2013/02/12,46655
2013/02/13,46731
2013/02/14,46766
2013/02/15,46735
2013/02/16,46782
2013/02/17,46817
2013/02/18,46856
2013/02/19,46914
2013/02/20,47019
2013/02/21,47190
2013/02/22,47381
2013/02/23,47549
2013/02/24,47668
2013/02/25,47869
2013/02/26,48035
2013/02/27,48181
2013/02/28,48433
2013/03/01,48748
2013/03/02,48986
2013/03/03,49163
2013/03/04,49286
2013/03/05,49430
2013/03/06,49742
2013/03/07,50025
2013/03/08,50228
2013/03/09,50397
2013/03/10,50631
2013/03/11,50815
2013/03/12,51004
2013/03/13,51191
2013/03/14,51407
2013/03/15,51728
2013/03/16,51897
2013/03/17,52019
2013/03/18,52138
2013/03/19,52415
2013/03/20,52674
2013/03/21,52937
2013/03/22,53157
2013/03/23,53458
2013/03/24,53780
2013/03/25,54179
2013/03/26,54566
2013/03/27,54969
2013/03/28,55547
2013/03/29,56028
2013/03/30,56386
2013/03/31,56714
2013/04/01,57136
2013/04/02,57678
2013/04/03,58298
2013/04/04,58982
2013/04/05,59500
2013/04/06,59954
2013/04/07,60321
2013/04/08,60965
2013/04/09,61586
2013/04/10,62389
2013/04/11,63095
2013/04/12,63675
