Date,transactions90sma
2010/07/17,156.711
2010/07/18,158.978
2010/07/19,162.489
2010/07/20,166.722
2010/07/21,169.122
2010/07/22,171.022
2010/07/23,173.056
2010/07/24,180.367
2010/07/25,197.533
2010/07/26,199.433
2010/07/27,201.8
2010/07/28,221.344
2010/07/29,239.8
2010/07/30,241.089
2010/07/31,241.833
2010/08/01,242.9
2010/08/02,244.178
2010/08/03,248.578
2010/08/04,250.444
2010/08/05,253.456
2010/08/06,255.5
2010/08/07,256.367
2010/08/08,258.178
2010/08/09,260.567
2010/08/10,261.867
2010/08/11,263.422
2010/08/12,265.033
2010/08/13,268.133
2010/08/14,269.611
2010/08/15,270.422
2010/08/16,273.211
2010/08/17,274.833
2010/08/18,277.167
2010/08/19,278.622
2010/08/20,280.833
2010/08/21,281.622
2010/08/22,282.644
2010/08/23,283.889
2010/08/24,285
2010/08/25,285.822
2010/08/26,286.978
2010/08/27,287.733
2010/08/28,289.044
2010/08/29,289.556
2010/08/30,291.022
2010/08/31,293.356
2010/09/01,294.911
2010/09/02,296.211
2010/09/03,297.433
2010/09/04,297.889
2010/09/05,298.933
2010/09/06,299.567
2010/09/07,300.344
2010/09/08,301.644
2010/09/09,302.867
2010/09/10,304.033
2010/09/11,304.9
2010/09/12,306.078
2010/09/13,308.078
2010/09/14,309.978
2010/09/15,312.233
2010/09/16,314.189
2010/09/17,315.178
2010/09/18,316.5
2010/09/19,317.144
2010/09/20,319.267
2010/09/21,325.578
2010/09/22,330.333
2010/09/23,334.344
2010/09/24,336.911
2010/09/25,339.9
2010/09/26,341.2
2010/09/27,344.3
2010/09/28,346.389
2010/09/29,354.589
2010/09/30,356.2
2010/10/01,360.156
2010/10/02,363.967
2010/10/03,365.989
2010/10/04,368.378
2010/10/05,370.411
2010/10/06,372.233
2010/10/07,373.467
2010/10/08,375.322
2010/10/09,376.089
2010/10/10,359.911
2010/10/11,353.2
2010/10/12,293.678
2010/10/13,287.922
2010/10/14,282.211
2010/10/15,281.278
2010/10/16,280.556
2010/10/17,278.7
2010/10/18,277.778
2010/10/19,282.356
2010/10/20,284.889
2010/10/21,286.544
2010/10/22,283.689
2010/10/23,269.8
2010/10/24,271.167
2010/10/25,270.578
2010/10/26,253.744
2010/10/27,238.944
2010/10/28,240.322
2010/10/29,242.011
2010/10/30,242.556
2010/10/31,242.244
2010/11/01,239.5
2010/11/02,238.544
2010/11/03,236.989
2010/11/04,236.2
2010/11/05,237.367
2010/11/06,237.189
2010/11/07,236.922
2010/11/08,237.933
2010/11/09,238.078
2010/11/10,238.289
2010/11/11,236.9
2010/11/12,236.5
2010/11/13,236.633
2010/11/14,235.011
2010/11/15,284.811
2010/11/16,381.078
2010/11/17,381.056
2010/11/18,392.244
2010/11/19,495.722
2010/11/20,600.844
2010/11/21,709.156
2010/11/22,709.333
2010/11/23,709.911
2010/11/24,749.922
2010/11/25,801.911
2010/11/26,812.478
2010/11/27,814.333
2010/11/28,815.467
2010/11/29,815.333
2010/11/30,815.656
2010/12/01,817.422
2010/12/02,818.722
2010/12/03,819.856
2010/12/04,820.333
2010/12/05,821.167
2010/12/06,822.3
2010/12/07,824.078
2010/12/08,825.144
2010/12/09,826.033
2010/12/10,826.933
2010/12/11,828.856
2010/12/12,831.156
2010/12/13,834.311
2010/12/14,836.767
2010/12/15,839.289
2010/12/16,841.567
2010/12/17,843.056
2010/12/18,845.189
2010/12/19,846.356
2010/12/20,847.856
2010/12/21,847.133
2010/12/22,848.033
2010/12/23,849.156
2010/12/24,849.8
2010/12/25,852.811
2010/12/26,853.533
2010/12/27,854.433
2010/12/28,850.889
2010/12/29,852.322
2010/12/30,852.256
2010/12/31,852.167
2011/01/01,854.644
2011/01/02,856.2
2011/01/03,864.278
2011/01/04,870.967
2011/01/05,881.811
2011/01/06,885.633
2011/01/07,892.444
2011/01/08,904.456
2011/01/09,914.2
2011/01/10,924.789
2011/01/11,935.922
2011/01/12,945.178
2011/01/13,955.478
2011/01/14,965.456
2011/01/15,972.322
2011/01/16,977.067
2011/01/17,976.856
2011/01/18,979.389
2011/01/19,983.633
2011/01/20,986.856
2011/01/21,994.078
2011/01/22,1004
2011/01/23,1012
2011/01/24,1022
2011/01/25,1026
2011/01/26,1032
2011/01/27,1037
2011/01/28,1045
2011/01/29,1057
2011/01/30,1082
2011/01/31,1094
2011/02/01,1102
2011/02/02,1109
2011/02/03,1113
