Date,activeaddresses14std
2010/07/17,3497
2010/07/18,3467
2010/07/19,3427
2010/07/20,3377
2010/07/21,3342
2010/07/22,3314
2010/07/23,3285
2010/07/24,3238
2010/07/25,3189
2010/07/26,3039
2010/07/27,3059
2010/07/28,973.444
2010/07/29,860.362
2010/07/30,777.85
2010/07/31,806.927
2010/08/01,816.726
2010/08/02,821.518
2010/08/03,824.129
2010/08/04,825.725
2010/08/05,816.143
2010/08/06,817.106
2010/08/07,830.516
2010/08/08,393.824
2010/08/09,263.379
2010/08/10,259.116
2010/08/11,260.127
2010/08/12,254.306
2010/08/13,268.025
2010/08/14,252.463
2010/08/15,284.376
2010/08/16,288.001
2010/08/17,251.66
2010/08/18,251.187
2010/08/19,246.392
2010/08/20,246.94
2010/08/21,245.301
2010/08/22,245.213
2010/08/23,230.582
2010/08/24,230.37
2010/08/25,232.702
2010/08/26,233.664
2010/08/27,197.914
2010/08/28,199.78
2010/08/29,208.165
2010/08/30,179.159
2010/08/31,195.976
2010/09/01,178.656
2010/09/02,171.034
2010/09/03,168.256
2010/09/04,177.124
2010/09/05,176.387
2010/09/06,168.523
2010/09/07,175.305
2010/09/08,174.796
2010/09/09,161.305
2010/09/10,161.06
2010/09/11,167.654
2010/09/12,179.304
2010/09/13,200.833
2010/09/14,185.556
2010/09/15,192.815
2010/09/16,204.216
2010/09/17,301.063
2010/09/18,290.7
2010/09/19,289.664
2010/09/20,287.042
2010/09/21,391.099
2010/09/22,421.567
2010/09/23,435.992
2010/09/24,418.988
2010/09/25,372.536
2010/09/26,381.671
2010/09/27,447.361
2010/09/28,616.535
2010/09/29,615.719
2010/09/30,621.995
2010/10/01,623.319
2010/10/02,595.236
2010/10/03,592.715
2010/10/04,581.178
2010/10/05,577.463
2010/10/06,585.833
2010/10/07,593.596
2010/10/08,593.412
2010/10/09,596.429
2010/10/10,596.429
2010/10/11,563.679
2010/10/12,291.214
2010/10/13,185.629
2010/10/14,186.196
2010/10/15,188.052
2010/10/16,218.576
