Date,difficulty3ema
2010/07/17,116.71
2010/07/18,149.127
2010/07/19,165.335
2010/07/20,173.439
2010/07/21,177.491
2010/07/22,179.517
2010/07/23,180.53
2010/07/24,181.037
2010/07/25,181.29
2010/07/26,181.417
2010/07/27,210.361
2010/07/28,227.287
2010/07/29,235.75
2010/07/30,239.982
2010/07/31,242.097
2010/08/01,243.155
2010/08/02,243.684
2010/08/03,243.949
2010/08/04,244.081
2010/08/05,251.575
2010/08/06,301.868
2010/08/07,327.015
2010/08/08,339.588
2010/08/09,345.875
2010/08/10,349.018
2010/08/11,350.59
2010/08/12,351.375
2010/08/13,351.768
2010/08/14,351.965
2010/08/15,370.954
2010/08/16,441.364
2010/08/17,476.569
2010/08/18,494.171
2010/08/19,502.972
2010/08/20,507.373
2010/08/21,509.573
2010/08/22,510.673
2010/08/23,511.223
2010/08/24,511.498
2010/08/25,511.636
2010/08/26,514.096
2010/08/27,568.742
2010/08/28,596.064
2010/08/29,609.726
2010/08/30,616.556
2010/08/31,619.972
2010/09/01,621.679
2010/09/02,622.533
2010/09/03,622.96
2010/09/04,623.174
2010/09/05,623.28
2010/09/06,623.334
2010/09/07,623.36
2010/09/08,659.986
2010/09/09,686.436
2010/09/10,699.66
2010/09/11,706.273
2010/09/12,709.579
2010/09/13,711.232
2010/09/14,712.058
2010/09/15,712.472
2010/09/16,712.678
2010/09/17,712.782
2010/09/18,712.833
2010/09/19,803.074
2010/09/20,860.453
2010/09/21,889.142
2010/09/22,903.486
2010/09/23,910.658
2010/09/24,914.245
2010/09/25,916.038
2010/09/26,916.934
2010/09/27,917.382
2010/09/28,947.859
2010/09/29,1133
2010/09/30,1226
2010/10/01,1272
2010/10/02,1295
2010/10/03,1307
2010/10/04,1313
2010/10/05,1316
2010/10/06,1317
2010/10/07,1318
2010/10/08,1318
2010/10/09,1318
2010/10/10,1319
2010/10/11,1319
2010/10/12,1341
2010/10/13,1359
2010/10/14,1369
2010/10/15,1373
2010/10/16,1376
2010/10/17,1377
2010/10/18,1377
2010/10/19,1378
2010/10/20,1378
2010/10/21,1670
2010/10/22,1910
2010/10/23,2029
2010/10/24,2089
2010/10/25,2119
2010/10/26,2134
2010/10/27,2142
2010/10/28,2145
2010/10/29,2147
2010/10/30,2167
2010/10/31,2629
2010/11/01,2861
2010/11/02,2976
2010/11/03,3034
2010/11/04,3063
2010/11/05,3077
2010/11/06,3085
2010/11/07,3088
2010/11/08,3090
2010/11/09,3380
2010/11/10,3958
2010/11/11,4247
2010/11/12,4392
2010/11/13,4464
2010/11/14,4500
2010/11/15,4518
2010/11/16,4527
2010/11/17,4532
2010/11/18,4725
2010/11/19,5796
2010/11/20,6331
2010/11/21,6599
2010/11/22,6733
2010/11/23,6800
2010/11/24,6833
2010/11/25,6850
2010/11/26,6859
2010/11/27,6863
2010/11/28,6865
2010/11/29,6866
2010/11/30,7016
2010/12/01,7547
2010/12/02,7813
2010/12/03,7945
2010/12/04,8012
2010/12/05,8045
2010/12/06,8062
2010/12/07,8070
2010/12/08,8074
2010/12/09,8151
2010/12/10,10201
2010/12/11,11227
2010/12/12,11739
2010/12/13,11996
2010/12/14,12124
2010/12/15,12188
2010/12/16,12220
2010/12/17,12236
2010/12/18,12244
2010/12/19,12248
2010/12/20,12250
2010/12/21,12428
2010/12/22,13456
2010/12/23,13970
2010/12/24,14227
2010/12/25,14356
2010/12/26,14420
2010/12/27,14452
2010/12/28,14468
2010/12/29,14476
2010/12/30,14480
2010/12/31,14482
2011/01/01,14483
2011/01/02,14484
2011/01/03,15197
2011/01/04,15752
2011/01/05,16030
2011/01/06,16169
2011/01/07,16238
2011/01/08,16273
2011/01/09,16290
2011/01/10,16299
2011/01/11,16303
2011/01/12,16305
2011/01/13,16306
2011/01/14,16307
2011/01/15,16755
2011/01/16,17596
2011/01/17,18017
2011/01/18,18227
2011/01/19,18332
2011/01/20,18385
2011/01/21,18411
2011/01/22,18424
2011/01/23,18431
2011/01/24,18434
2011/01/25,18436
2011/01/26,18437
2011/01/27,19487
2011/01/28,20750
2011/01/29,21381
2011/01/30,21697
2011/01/31,21855
2011/02/01,21933
2011/02/02,21973
2011/02/03,21993
2011/02/04,22003
2011/02/05,22007
2011/02/06,22010
2011/02/07,22011
2011/02/08,23506
2011/02/09,24752
2011/02/10,25375
2011/02/11,25686
2011/02/12,25842
2011/02/13,25920
2011/02/14,25959
2011/02/15,25978
2011/02/16,25988
2011/02/17,25993
2011/02/18,30042
2011/02/19,33251
2011/02/20,34855
2011/02/21,35658
2011/02/22,36059
2011/02/23,36259
2011/02/24,36360
2011/02/25,36410
2011/02/26,36435
2011/02/27,40642
2011/02/28,48116
2011/03/01,51853
2011/03/02,53721
2011/03/03,54655
2011/03/04,55122
2011/03/05,55356
2011/03/06,55473
2011/03/07,55531
2011/03/08,55560
2011/03/09,59116
2011/03/10,67654
2011/03/11,71923
2011/03/12,74058
2011/03/13,75125
2011/03/14,75659
2011/03/15,75926
2011/03/16,76059
2011/03/17,76126
2011/03/18,76159
2011/03/19,76176
2011/03/20,76184
2011/03/21,76188
2011/03/22,76191
2011/03/23,76192
2011/03/24,76192
2011/03/25,72898
2011/03/26,70938
2011/03/27,69958
2011/03/28,69468
2011/03/29,69223
2011/03/30,69100
2011/03/31,69039
2011/04/01,69008
2011/04/02,68993
2011/04/03,68985
2011/04/04,68982
2011/04/05,69462
2011/04/06,75904
2011/04/07,79125
2011/04/08,80735
2011/04/09,81540
2011/04/10,81943
2011/04/11,82144
2011/04/12,82245
2011/04/13,82295
2011/04/14,82320
2011/04/15,82333
2011/04/16,82339
2011/04/17,82342
2011/04/18,85892
2011/04/19,89120
2011/04/20,90734
2011/04/21,91541
2011/04/22,91944
2011/04/23,92146
2011/04/24,92247
2011/04/25,92297
2011/04/26,92322
2011/04/27,92335
2011/04/28,92341
2011/04/29,92344
2011/04/30,99999
2011/05/01,104835
2011/05/02,107252
2011/05/03,108461
2011/05/04,109066
2011/05/05,109368
2011/05/06,109519
2011/05/07,109595
2011/05/08,109632
2011/05/09,112548
2011/05/10,134982
2011/05/11,146199
2011/05/12,151808
2011/05/13,154612
2011/05/14,156014
2011/05/15,156715
2011/05/16,157066
2011/05/17,157241
2011/05/18,159888
2011/05/19,202000
2011/05/20,223056
2011/05/21,233584
2011/05/22,238848
2011/05/23,241480
2011/05/24,242796
2011/05/25,243454
2011/05/26,260540
2011/05/27,347708
2011/05/28,391293
2011/05/29,413085
2011/05/30,423981
2011/05/31,429429
2011/06/01,432153
2011/06/02,433515
2011/06/03,434196
2011/06/04,434537
2011/06/05,434707
2011/06/06,459509
2011/06/07,513389
2011/06/08,540329
2011/06/09,553799
2011/06/10,560534
2011/06/11,563902
2011/06/12,565586
2011/06/13,566428
2011/06/14,566849
2011/06/15,627553
2011/06/16,752254
2011/06/17,814604
2011/06/18,845779
2011/06/19,861367
2011/06/20,869161
2011/06/21,873058
2011/06/22,875006
2011/06/23,875980
2011/06/24,971800
2011/06/25,1175496
2011/06/26,1277344
2011/06/27,1328268
2011/06/28,1353730
2011/06/29,1366461
2011/06/30,1372827
2011/07/01,1376010
2011/07/02,1377601
2011/07/03,1378397
2011/07/04,1378794
2011/07/05,1378993
2011/07/06,1392559
2011/07/07,1477793
2011/07/08,1520411
2011/07/09,1541719
2011/07/10,1552374
2011/07/11,1557701
2011/07/12,1560364
2011/07/13,1561696
2011/07/14,1562362
2011/07/15,1562695
2011/07/16,1562862
2011/07/17,1562945
2011/07/18,1562986
2011/07/19,1573363
2011/07/20,1632129
2011/07/21,1661513
2011/07/22,1676204
2011/07/23,1683550
2011/07/24,1687223
2011/07/25,1689059
2011/07/26,1689978
2011/07/27,1690437
2011/07/28,1690666
2011/07/29,1690781
2011/07/30,1690838
2011/07/31,1690867
2011/08/01,1749049
2011/08/02,1818918
2011/08/03,1853852
