Date,size14rsi
2010/07/17,50.79
2010/07/18,51.82
2010/07/19,51.727
2010/07/20,53.933
2010/07/21,49.245
2010/07/22,48.723
2010/07/23,48.237
2010/07/24,58.258
2010/07/25,69.191
2010/07/26,50.52
2010/07/27,48.991
2010/07/28,62.582
2010/07/29,56.644
2010/07/30,47.508
2010/07/31,46.848
2010/08/01,46.666
2010/08/02,46.697
2010/08/03,48.995
2010/08/04,47.1
2010/08/05,49.831
2010/08/06,48.775
2010/08/07,48.031
2010/08/08,47.282
2010/08/09,54.371
2010/08/10,47.186
2010/08/11,47.33
2010/08/12,47.085
2010/08/13,49.93
2010/08/14,47.42
2010/08/15,46.773
2010/08/16,51.944
2010/08/17,48.974
2010/08/18,58.132
2010/08/19,48.41
2010/08/20,48.236
2010/08/21,47.858
2010/08/22,47.385
2010/08/23,47.515
2010/08/24,50.465
2010/08/25,47.024
2010/08/26,48.35
2010/08/27,47.587
2010/08/28,48.902
2010/08/29,47.042
2010/08/30,49.778
2010/08/31,52.883
2010/09/01,51.951
2010/09/02,48.73
2010/09/03,47.611
2010/09/04,46.497
2010/09/05,48.319
2010/09/06,47.803
2010/09/07,47.288
2010/09/08,48.74
2010/09/09,51.137
2010/09/10,48.691
2010/09/11,47.8
2010/09/12,51.174
2010/09/13,52.472
2010/09/14,49.182
2010/09/15,52.241
2010/09/16,48.25
2010/09/17,51.482
2010/09/18,46.577
2010/09/19,47.696
2010/09/20,51.215
2010/09/21,63.658
2010/09/22,57.913
2010/09/23,51.347
2010/09/24,48.185
2010/09/25,50.622
2010/09/26,47.795
2010/09/27,53.254
2010/09/28,56.718
2010/09/29,66.584
2010/09/30,48.844
2010/10/01,52.182
2010/10/02,58.13
2010/10/03,49.883
2010/10/04,49.66
2010/10/05,50.477
2010/10/06,47.738
2010/10/07,47.337
2010/10/08,49.464
2010/10/09,49.915
2010/10/10,46.867
2010/10/11,47.196
2010/10/12,47.761
2010/10/13,50.093
2010/10/14,46.186
2010/10/15,45.713
2010/10/16,46.308
2010/10/17,45.142
2010/10/18,49.311
2010/10/19,55.626
2010/10/20,50.923
2010/10/21,52.434
2010/10/22,56.495
2010/10/23,50.719
2010/10/24,49.005
2010/10/25,47.041
2010/10/26,46.715
2010/10/27,51.393
2010/10/28,48.365
2010/10/29,48.395
2010/10/30,44.164
2010/10/31,45.484
2010/11/01,46.324
2010/11/02,43.929
2010/11/03,45.585
2010/11/04,45.43
2010/11/05,49.974
2010/11/06,46.157
2010/11/07,46.147
2010/11/08,53.507
2010/11/09,46.992
2010/11/10,47.05
2010/11/11,46.204
2010/11/12,45.241
2010/11/13,44.719
2010/11/14,48.081
2010/11/15,90.851
2010/11/16,92.584
2010/11/17,46.673
2010/11/18,48.944
2010/11/19,69.895
2010/11/20,73.812
2010/11/21,68.217
2010/11/22,45.685
2010/11/23,45.838
2010/11/24,51.413
2010/11/25,55.578
2010/11/26,47.309
2010/11/27,46.172
2010/11/28,46.142
2010/11/29,46.116
2010/11/30,46.061
2010/12/01,46.393
2010/12/02,46.157
2010/12/03,46.141
2010/12/04,45.975
2010/12/05,45.823
2010/12/06,45.853
2010/12/07,46.419
2010/12/08,46.149
2010/12/09,46.221
2010/12/10,46.369
2010/12/11,47.13
2010/12/12,47.413
2010/12/13,49.643
2010/12/14,47.417
2010/12/15,47.052
2010/12/16,46.939
2010/12/17,47.348
2010/12/18,46.906
2010/12/19,47.65
2010/12/20,50.667
2010/12/21,47.283
2010/12/22,48.722
2010/12/23,48.197
2010/12/24,47.601
2010/12/25,47.577
2010/12/26,48.514
2010/12/27,48.264
2010/12/28,48.324
2010/12/29,47.386
2010/12/30,47.974
2010/12/31,47.176
2011/01/01,48.615
2011/01/02,47.852
2011/01/03,59.446
2011/01/04,53.287
2011/01/05,57.826
2011/01/06,50.677
2011/01/07,51.626
2011/01/08,55.72
2011/01/09,54.608
2011/01/10,55.629
2011/01/11,55.76
2011/01/12,52.13
2011/01/13,52.98
2011/01/14,53.227
2011/01/15,51.834
2011/01/16,49.412
2011/01/17,45.81
2011/01/18,51.324
2011/01/19,49.699
2011/01/20,46.845
2011/01/21,54.699
2011/01/22,62.273
2011/01/23,53.023
2011/01/24,53.784
2011/01/25,48.057
2011/01/26,48.343
2011/01/27,50.029
2011/01/28,52.156
2011/01/29,59.592
2011/01/30,75.114
2011/01/31,53.244
2011/02/01,51.091
2011/02/02,47.944
2011/02/03,46.288
2011/02/04,46.299
2011/02/05,46.525
2011/02/06,47.687
2011/02/07,45.283
2011/02/08,46.896
2011/02/09,49.391
2011/02/10,58.942
2011/02/11,59.72
2011/02/12,54.436
2011/02/13,52.434
2011/02/14,57.873
2011/02/15,52.761
2011/02/16,50.549
2011/02/17,52.451
2011/02/18,54.667
2011/02/19,53.162
2011/02/20,51.666
2011/02/21,51.703
2011/02/22,54.036
2011/02/23,51.197
2011/02/24,53.709
2011/02/25,50.46
2011/02/26,46.125
2011/02/27,51.686
2011/02/28,57.118
2011/03/01,70.488
2011/03/02,53.103
2011/03/03,57.764
2011/03/04,49.482
2011/03/05,49.088
2011/03/06,46.367
2011/03/07,49.303
2011/03/08,55.099
2011/03/09,52.819
2011/03/10,56.547
2011/03/11,55.99
2011/03/12,60.733
2011/03/13,62.967
2011/03/14,65.486
2011/03/15,67.395
2011/03/16,60.287
2011/03/17,58.841
2011/03/18,56.278
2011/03/19,62.982
2011/03/20,68.85
2011/03/21,70.086
2011/03/22,50.46
2011/03/23,58.826
2011/03/24,47.811
2011/03/25,45.834
2011/03/26,54.789
2011/03/27,51.241
2011/03/28,50.576
2011/03/29,48.825
2011/03/30,45.232
2011/03/31,44.801
2011/04/01,43.777
2011/04/02,43.883
2011/04/03,43.861
2011/04/04,47.71
2011/04/05,45.53
2011/04/06,47.644
2011/04/07,46.301
2011/04/08,46.476
2011/04/09,46.013
2011/04/10,45.419
2011/04/11,49.512
2011/04/12,53.17
2011/04/13,49.651
2011/04/14,55.614
2011/04/15,58.462
2011/04/16,54.04
2011/04/17,47.617
2011/04/18,57.459
2011/04/19,59.833
2011/04/20,62.222
2011/04/21,46.807
2011/04/22,46.139
2011/04/23,49.585
2011/04/24,50.56
2011/04/25,51.222
2011/04/26,52.978
2011/04/27,64.106
2011/04/28,53.779
2011/04/29,51.524
2011/04/30,58.331
2011/05/01,57.703
2011/05/02,47.948
2011/05/03,48.777
2011/05/04,48.391
2011/05/05,50.348
2011/05/06,48.871
2011/05/07,49.64
2011/05/08,46.513
2011/05/09,49.198
2011/05/10,54.791
2011/05/11,51.877
2011/05/12,55.709
2011/05/13,58.411
2011/05/14,52.385
2011/05/15,52.603
2011/05/16,53.452
2011/05/17,51.178
2011/05/18,53.871
2011/05/19,63.348
2011/05/20,55.681
2011/05/21,54.144
2011/05/22,51.337
2011/05/23,51.381
2011/05/24,49.586
2011/05/25,52.683
2011/05/26,56.225
2011/05/27,61.103
2011/05/28,64.761
2011/05/29,56.616
2011/05/30,64.997
2011/05/31,69.826
2011/06/01,61.438
2011/06/02,64.203
2011/06/03,70.109
2011/06/04,61.026
2011/06/05,58.598
2011/06/06,62.717
2011/06/07,66.674
2011/06/08,76.032
2011/06/09,62.053
2011/06/10,58.171
2011/06/11,52.796
2011/06/12,58.688
2011/06/13,57.22
2011/06/14,58.229
2011/06/15,53.379
2011/06/16,64.214
2011/06/17,59.074
2011/06/18,56.282
2011/06/19,53.537
2011/06/20,49.215
2011/06/21,46.269
2011/06/22,47.445
2011/06/23,47.57
2011/06/24,51.641
2011/06/25,60.406
2011/06/26,61.173
2011/06/27,64.408
2011/06/28,57.996
2011/06/29,52.954
2011/06/30,49.458
2011/07/01,55.207
2011/07/02,49.961
2011/07/03,48.65
2011/07/04,52.167
2011/07/05,57.257
2011/07/06,58.455
2011/07/07,57.083
2011/07/08,48.39
2011/07/09,49.385
2011/07/10,55.624
2011/07/11,53.868
2011/07/12,50.856
2011/07/13,45.478
2011/07/14,52.64
2011/07/15,46.607
2011/07/16,49.945
2011/07/17,47.894
2011/07/18,53.381
2011/07/19,55.503
2011/07/20,51.767
2011/07/21,50.024
2011/07/22,51.148
2011/07/23,47.915
2011/07/24,47.036
2011/07/25,52.517
2011/07/26,47.11
2011/07/27,46.425
2011/07/28,50.295
2011/07/29,44.452
2011/07/30,42.819
2011/07/31,46.237
2011/08/01,49.788
2011/08/02,52.786
2011/08/03,49.127
2011/08/04,54.774
2011/08/05,49.05
2011/08/06,53.182
2011/08/07,49.056
2011/08/08,54.095
2011/08/09,55.071
2011/08/10,49.149
2011/08/11,48.689
2011/08/12,48.32
2011/08/13,50.626
2011/08/14,52.977
2011/08/15,57.304
2011/08/16,54.267
2011/08/17,51.419
2011/08/18,46.748
2011/08/19,53.171
2011/08/20,45.538
2011/08/21,45.309
2011/08/22,46.072
2011/08/23,45.818
2011/08/24,50.091
2011/08/25,49.925
2011/08/26,49.119
2011/08/27,52.193
2011/08/28,46.512
2011/08/29,51.988
2011/08/30,47.543
2011/08/31,43.978
2011/09/01,50.919
2011/09/02,44.144
2011/09/03,42.732
2011/09/04,64.943
2011/09/05,47.453
2011/09/06,49.843
2011/09/07,49.228
2011/09/08,48.926
2011/09/09,51.771
2011/09/10,48.768
2011/09/11,50.161
2011/09/12,49.959
2011/09/13,46.186
2011/09/14,45.311
2011/09/15,45.569
2011/09/16,49.834
2011/09/17,44.948
2011/09/18,43.673
2011/09/19,52.594
2011/09/20,55.969
2011/09/21,53.328
2011/09/22,46.114
2011/09/23,48.208
2011/09/24,48.93
2011/09/25,47.175
2011/09/26,46.141
2011/09/27,48.35
2011/09/28,45.087
2011/09/29,46.639
2011/09/30,48.849
2011/10/01,44.704
2011/10/02,46.236
2011/10/03,47.254
2011/10/04,53.279
2011/10/05,46.236
2011/10/06,50.405
2011/10/07,47.556
2011/10/08,49.208
2011/10/09,47.971
2011/10/10,50.027
2011/10/11,60.53
2011/10/12,51.234
2011/10/13,51.661
2011/10/14,48.235
2011/10/15,46.537
2011/10/16,47.409
2011/10/17,53.171
2011/10/18,47.205
2011/10/19,45.881
2011/10/20,45.601
2011/10/21,45.506
2011/10/22,53.359
2011/10/23,51.948
2011/10/24,49.524
2011/10/25,46.461
2011/10/26,49.425
2011/10/27,49.775
2011/10/28,52.962
2011/10/29,53.436
2011/10/30,48.222
2011/10/31,44.399
2011/11/01,43.733
2011/11/02,43.497
2011/11/03,50.986
2011/11/04,50.198
2011/11/05,47.07
2011/11/06,41.227
2011/11/07,49.585
2011/11/08,49.536
2011/11/09,47.783
2011/11/10,52.666
2011/11/11,51.073
2011/11/12,45.123
2011/11/13,44.233
2011/11/14,50.825
2011/11/15,47.471
2011/11/16,52.53
2011/11/17,47.294
2011/11/18,48.062
2011/11/19,48.283
2011/11/20,48.557
2011/11/21,47.921
2011/11/22,48.562
2011/11/23,48.791
2011/11/24,55.712
2011/11/25,48.525
2011/11/26,49.464
2011/11/27,51.125
2011/11/28,55.466
2011/11/29,58.649
2011/11/30,55.105
2011/12/01,46.168
2011/12/02,50.87
2011/12/03,46.627
2011/12/04,47.743
2011/12/05,46.985
2011/12/06,53.981
2011/12/07,53.197
2011/12/08,47.533
2011/12/09,45.968
2011/12/10,46.945
2011/12/11,49.58
2011/12/12,52.883
2011/12/13,52.013
2011/12/14,44.971
2011/12/15,48.897
2011/12/16,54.739
2011/12/17,43.789
2011/12/18,41.988
2011/12/19,49.994
2011/12/20,61.426
2011/12/21,48.068
2011/12/22,49.429
2011/12/23,48.495
2011/12/24,44.151
2011/12/25,43.547
2011/12/26,45.009
2011/12/27,49.007
2011/12/28,46.315
2011/12/29,50.362
2011/12/30,47.453
2011/12/31,49.634
2012/01/01,51.046
2012/01/02,54.44
2012/01/03,52.694
2012/01/04,54.656
2012/01/05,62.493
2012/01/06,56.699
2012/01/07,48.358
2012/01/08,53.753
2012/01/09,53.705
2012/01/10,64.442
2012/01/11,60.91
2012/01/12,50.743
2012/01/13,52.559
2012/01/14,50.266
2012/01/15,51.429
2012/01/16,49.807
2012/01/17,49.624
2012/01/18,56.645
2012/01/19,51.384
2012/01/20,50.863
2012/01/21,47.255
2012/01/22,44.982
2012/01/23,43.142
2012/01/24,55.59
2012/01/25,56.676
2012/01/26,52.367
2012/01/27,51.35
2012/01/28,48.178
2012/01/29,46.588
2012/01/30,43.631
2012/01/31,52.671
2012/02/01,51.14
2012/02/02,52.316
2012/02/03,50.852
2012/02/04,51.378
2012/02/05,51.658
2012/02/06,47.254
2012/02/07,53.051
2012/02/08,51.261
2012/02/09,54.683
2012/02/10,60.824
2012/02/11,52.99
2012/02/12,47.627
2012/02/13,56.656
2012/02/14,62.328
2012/02/15,59.501
2012/02/16,62.018
2012/02/17,45.403
2012/02/18,43.162
2012/02/19,43.363
2012/02/20,46.583
2012/02/21,51
2012/02/22,47.302
2012/02/23,50.706
2012/02/24,50.351
2012/02/25,45.684
2012/02/26,45.518
2012/02/27,47.64
2012/02/28,47.35
2012/02/29,44.4
2012/03/01,52.267
2012/03/02,58.291
2012/03/03,48.656
2012/03/04,50.123
2012/03/05,53.316
2012/03/06,52.055
2012/03/07,47.1
2012/03/08,48.017
2012/03/09,46.515
2012/03/10,46.04
2012/03/11,47.672
2012/03/12,45.591
2012/03/13,55.24
2012/03/14,56.82
2012/03/15,55.166
2012/03/16,48.119
2012/03/17,45.462
2012/03/18,43.267
2012/03/19,50.251
2012/03/20,47.45
2012/03/21,48.333
2012/03/22,47.782
2012/03/23,51.168
2012/03/24,42.216
2012/03/25,47.126
2012/03/26,51.282
2012/03/27,49.141
2012/03/28,52.867
2012/03/29,54.892
2012/03/30,49.776
2012/03/31,44.387
2012/04/01,47.795
2012/04/02,57.299
2012/04/03,58.151
2012/04/04,52.908
2012/04/05,59.564
2012/04/06,53.846
2012/04/07,49.022
2012/04/08,45.693
2012/04/09,48.348
2012/04/10,53.854
2012/04/11,54.846
2012/04/12,57.976
2012/04/13,53.933
2012/04/14,52.76
2012/04/15,57.279
2012/04/16,54.39
2012/04/17,56.138
2012/04/18,60.177
2012/04/19,48.744
2012/04/20,53.422
2012/04/21,47.315
2012/04/22,46.349
2012/04/23,50.306
2012/04/24,50.478
2012/04/25,52.985
2012/04/26,53.046
2012/04/27,50.043
2012/04/28,46.333
2012/04/29,43.045
2012/04/30,48.877
2012/05/01,54.304
2012/05/02,57.704
2012/05/03,64.063
2012/05/04,64.176
2012/05/05,57.506
2012/05/06,58.037
2012/05/07,67.999
2012/05/08,63.679
2012/05/09,66.108
2012/05/10,58.975
2012/05/11,69.455
2012/05/12,70.47
2012/05/13,56.147
2012/05/14,72.604
2012/05/15,65.214
2012/05/16,61.553
2012/05/17,60.046
2012/05/18,62.797
2012/05/19,70.883
2012/05/20,67.989
2012/05/21,70.672
2012/05/22,60.852
2012/05/23,61.772
2012/05/24,61.976
2012/05/25,64.952
2012/05/26,50.535
