Date,transactions7rsi
2010/07/17,45.37
2010/07/18,45.47
2010/07/19,46.404
2010/07/20,46.994
2010/07/21,45.442
2010/07/22,45.055
2010/07/23,45.003
2010/07/24,52.65
2010/07/25,63.432
2010/07/26,44.996
2010/07/27,45.483
2010/07/28,62.117
2010/07/29,60.638
2010/07/30,43.049
2010/07/31,42.573
2010/08/01,43.048
2010/08/02,43.56
2010/08/03,48.203
2010/08/04,44.571
2010/08/05,46.675
2010/08/06,44.998
2010/08/07,43.004
2010/08/08,45.233
2010/08/09,46.615
2010/08/10,43.993
2010/08/11,45.261
2010/08/12,45.102
2010/08/13,51.372
2010/08/14,44.42
2010/08/15,42.385
2010/08/16,53.354
2010/08/17,47.164
2010/08/18,50.325
2010/08/19,47.097
2010/08/20,49.875
2010/08/21,45.614
2010/08/22,44.522
2010/08/23,44.728
2010/08/24,45.668
2010/08/25,44.03
2010/08/26,45.401
2010/08/27,40.86
2010/08/28,48.724
2010/08/29,39.311
2010/08/30,51.846
2010/08/31,60.731
2010/09/01,55.46
2010/09/02,47.29
2010/09/03,45.929
2010/09/04,38.015
2010/09/05,47.105
2010/09/06,43.458
2010/09/07,43.848
2010/09/08,53.567
2010/09/09,56.123
2010/09/10,54.717
2010/09/11,46.173
2010/09/12,57.725
2010/09/13,66.889
2010/09/14,56.848
2010/09/15,62.775
2010/09/16,53.734
2010/09/17,42.511
2010/09/18,44.36
2010/09/19,41.586
2010/09/20,61.794
2010/09/21,83.448
2010/09/22,67.056
2010/09/23,59.416
2010/09/24,47.448
2010/09/25,51.456
2010/09/26,42.092
2010/09/27,55.191
2010/09/28,48.411
2010/09/29,71.381
2010/09/30,45.234
2010/10/01,52.473
2010/10/02,51.384
2010/10/03,45.8
2010/10/04,45.761
2010/10/05,45.348
2010/10/06,44.875
2010/10/07,41.719
2010/10/08,44.094
2010/10/09,47.047
2010/10/10,42.572
2010/10/11,42.41
2010/10/12,44.149
2010/10/13,43.171
2010/10/14,40.173
2010/10/15,38.842
2010/10/16,45.025
2010/10/17,45.824
2010/10/18,66.266
2010/10/19,83.468
2010/10/20,60.246
2010/10/21,53.646
2010/10/22,58.843
2010/10/23,50.333
2010/10/24,50.725
2010/10/25,40.324
2010/10/26,46.699
2010/10/27,53.199
2010/10/28,45.841
2010/10/29,43.986
2010/10/30,38.46
2010/10/31,35.081
2010/11/01,41.117
2010/11/02,35.725
2010/11/03,42.217
2010/11/04,40.589
2010/11/05,51.721
2010/11/06,45.962
2010/11/07,50.604
2010/11/08,54.617
2010/11/09,47.425
2010/11/10,47.759
2010/11/11,44.769
2010/11/12,36.122
2010/11/13,36.845
2010/11/14,46.307
2010/11/15,97.408
2010/11/16,98.731
2010/11/17,44.359
2010/11/18,48.351
2010/11/19,68.847
2010/11/20,69.077
2010/11/21,69.648
2010/11/22,40.397
2010/11/23,40.46
2010/11/24,50.751
2010/11/25,53.499
2010/11/26,43.5
2010/11/27,41.404
2010/11/28,41.47
2010/11/29,41.352
2010/11/30,41.389
2010/12/01,41.824
2010/12/02,41.564
2010/12/03,41.122
2010/12/04,41.082
2010/12/05,41.149
2010/12/06,41.52
2010/12/07,43.107
2010/12/08,42.508
2010/12/09,42.2
2010/12/10,41.61
2010/12/11,45.212
2010/12/12,47.664
2010/12/13,48.578
2010/12/14,47.898
2010/12/15,46.704
2010/12/16,43.605
2010/12/17,41.35
2010/12/18,43.653
2010/12/19,45.381
2010/12/20,63.608
2010/12/21,48.003
2010/12/22,50.826
2010/12/23,45.412
2010/12/24,45.885
2010/12/25,50.499
2010/12/26,48.916
2010/12/27,44.188
2010/12/28,53.036
2010/12/29,44.131
2010/12/30,49.366
2010/12/31,47.259
2011/01/01,53.595
2011/01/02,47.075
2011/01/03,73.225
2011/01/04,64.593
2011/01/05,73.306
2011/01/06,47.466
2011/01/07,56.463
2011/01/08,65.728
2011/01/09,58.438
2011/01/10,60.662
2011/01/11,61.724
2011/01/12,53.508
2011/01/13,56.391
2011/01/14,56.505
2011/01/15,44.148
2011/01/16,42.273
2011/01/17,38.031
2011/01/18,39.857
2011/01/19,44.677
2011/01/20,44.096
2011/01/21,59.642
2011/01/22,69.848
2011/01/23,50.424
2011/01/24,58.902
2011/01/25,43.281
2011/01/26,47.067
2011/01/27,41.953
2011/01/28,52.147
2011/01/29,60.861
2011/01/30,80.526
2011/01/31,51.329
2011/02/01,45.407
2011/02/02,43.662
2011/02/03,41.822
2011/02/04,45.069
2011/02/05,42.793
2011/02/06,45.177
2011/02/07,44.012
2011/02/08,43.676
2011/02/09,56.31
2011/02/10,72.625
2011/02/11,76.643
2011/02/12,61.727
2011/02/13,59.006
2011/02/14,62.867
2011/02/15,66.596
2011/02/16,61.243
2011/02/17,64.992
2011/02/18,57.891
2011/02/19,44.28
2011/02/20,53.849
2011/02/21,54.842
2011/02/22,60.727
2011/02/23,61.702
2011/02/24,56.212
2011/02/25,53.084
2011/02/26,45.995
2011/02/27,59.756
2011/02/28,43.066
2011/03/01,67.222
2011/03/02,49.26
2011/03/03,65.81
2011/03/04,46.793
2011/03/05,46.936
2011/03/06,46.731
2011/03/07,46.031
2011/03/08,55.911
2011/03/09,45.461
2011/03/10,43.448
2011/03/11,47.891
2011/03/12,64.777
2011/03/13,60.033
2011/03/14,58.611
2011/03/15,62.116
2011/03/16,66.85
2011/03/17,69.462
2011/03/18,46.282
2011/03/19,59.569
2011/03/20,68.978
2011/03/21,80.049
2011/03/22,43.388
2011/03/23,57.803
2011/03/24,44.093
2011/03/25,43.168
2011/03/26,51.856
2011/03/27,46.546
2011/03/28,49.588
2011/03/29,48.089
2011/03/30,41.386
2011/03/31,44.181
2011/04/01,40.425
2011/04/02,42.616
2011/04/03,43.106
2011/04/04,49.719
2011/04/05,47.094
2011/04/06,44.323
2011/04/07,41.771
2011/04/08,43.227
2011/04/09,42.805
2011/04/10,42.683
2011/04/11,48.612
2011/04/12,52.303
2011/04/13,59.039
2011/04/14,69.45
2011/04/15,47.655
2011/04/16,49.823
2011/04/17,52.069
2011/04/18,66.727
2011/04/19,73.282
2011/04/20,58.372
2011/04/21,41.536
2011/04/22,44.251
2011/04/23,48.23
2011/04/24,47.736
2011/04/25,53.668
2011/04/26,66.765
2011/04/27,76.856
2011/04/28,52.091
2011/04/29,56.996
2011/04/30,65.461
2011/05/01,58.226
2011/05/02,47.775
2011/05/03,46.018
2011/05/04,44.389
2011/05/05,53.463
2011/05/06,50.854
2011/05/07,58.968
2011/05/08,44.721
2011/05/09,52.736
2011/05/10,48.497
2011/05/11,47.502
2011/05/12,52.345
2011/05/13,61.699
2011/05/14,65.448
2011/05/15,53.407
2011/05/16,60.862
2011/05/17,62.204
2011/05/18,73.266
2011/05/19,58.526
2011/05/20,59.511
2011/05/21,61.673
2011/05/22,65.328
2011/05/23,70.286
2011/05/24,71.473
2011/05/25,75.571
2011/05/26,81.399
2011/05/27,46.055
2011/05/28,48.324
2011/05/29,44.691
2011/05/30,53.432
2011/05/31,61.851
2011/06/01,66.145
2011/06/02,71.252
2011/06/03,79.216
2011/06/04,80.879
2011/06/05,76.702
2011/06/06,82.381
2011/06/07,70.588
2011/06/08,83.023
2011/06/09,83.94
2011/06/10,71.338
2011/06/11,66.216
2011/06/12,74.527
2011/06/13,61.173
2011/06/14,74.268
2011/06/15,61.093
2011/06/16,62.276
2011/06/17,51.253
2011/06/18,52.961
2011/06/19,51.99
2011/06/20,49.647
2011/06/21,37.791
2011/06/22,53.124
2011/06/23,45.33
2011/06/24,49.548
2011/06/25,41.391
2011/06/26,44.05
2011/06/27,57.712
2011/06/28,49.457
2011/06/29,44.201
2011/06/30,41.484
2011/07/01,50.555
2011/07/02,34.301
2011/07/03,37.481
2011/07/04,47.869
2011/07/05,43.698
2011/07/06,55.201
2011/07/07,45.858
2011/07/08,41.569
2011/07/09,37.614
2011/07/10,42.915
2011/07/11,58.586
2011/07/12,43.14
2011/07/13,49.673
2011/07/14,46.955
2011/07/15,42.331
2011/07/16,49.318
2011/07/17,45.595
2011/07/18,50.679
2011/07/19,52.725
2011/07/20,49.406
2011/07/21,42.704
2011/07/22,51.715
2011/07/23,38.372
2011/07/24,46.421
2011/07/25,57.007
2011/07/26,47.314
2011/07/27,44.397
2011/07/28,45.889
2011/07/29,38.955
2011/07/30,31.485
2011/07/31,50.415
2011/08/01,51.306
2011/08/02,56.725
2011/08/03,46.415
2011/08/04,52.031
2011/08/05,43.509
2011/08/06,39.505
2011/08/07,38.465
2011/08/08,45.607
2011/08/09,63.266
2011/08/10,53.908
2011/08/11,47.272
2011/08/12,43.597
2011/08/13,46.28
2011/08/14,47.169
2011/08/15,57.664
2011/08/16,67.835
2011/08/17,47.437
2011/08/18,44.838
2011/08/19,47.113
2011/08/20,42.801
2011/08/21,48.588
2011/08/22,50.329
2011/08/23,43.804
2011/08/24,45.549
2011/08/25,43.736
2011/08/26,46.991
2011/08/27,33.189
2011/08/28,26.475
2011/08/29,58.344
2011/08/30,55.006
2011/08/31,49.257
2011/09/01,48.541
2011/09/02,46.016
2011/09/03,34.746
2011/09/04,51.746
2011/09/05,49.072
2011/09/06,57.53
2011/09/07,48.9
2011/09/08,42.84
2011/09/09,52.788
2011/09/10,39.875
2011/09/11,45.14
2011/09/12,46.617
2011/09/13,45.862
2011/09/14,41.926
2011/09/15,46.319
2011/09/16,43.039
2011/09/17,33.649
2011/09/18,43.189
2011/09/19,53.83
2011/09/20,68.442
