Date,size14mom
2010/07/17,388.87
2010/07/18,372.387
2010/07/19,474.057
2010/07/20,768.914
2010/07/21,201.727
2010/07/22,227.374
2010/07/23,217.778
2010/07/24,1185
2010/07/25,2722
2010/07/26,86.934
2010/07/27,239.897
2010/07/28,577.626
2010/07/29,1579
2010/07/30,7.451
2010/07/31,-259.949
2010/08/01,-414.251
2010/08/02,-399.652
2010/08/03,-240.809
2010/08/04,-134.438
2010/08/05,355.005
2010/08/06,228.963
2010/08/07,-885.576
2010/08/08,-2696
2010/08/09,564.785
2010/08/10,-284.454
2010/08/11,-2928
2010/08/12,-1991
2010/08/13,218.075
2010/08/14,21.506
2010/08/15,-28.082
2010/08/16,612.489
2010/08/17,-149.372
2010/08/18,1516
2010/08/19,-304.256
2010/08/20,-161.288
2010/08/21,-101.552
2010/08/22,-56.639
2010/08/23,-1076
2010/08/24,360.309
2010/08/25,-81.396
2010/08/26,102.741
2010/08/27,-362.35
2010/08/28,115.255
2010/08/29,9.74
2010/08/30,-378.394
2010/08/31,301.337
2010/09/01,-1111
2010/09/02,-15.677
2010/09/03,-88.663
2010/09/04,-130.008
2010/09/05,73.583
2010/09/06,17.772
2010/09/07,-368.344
2010/09/08,145.348
2010/09/09,152.178
2010/09/10,86.209
2010/09/11,-101.765
2010/09/12,286.732
2010/09/13,105.353
2010/09/14,-378.544
2010/09/15,-126.924
2010/09/16,-56.399
2010/09/17,219.368
2010/09/18,43.193
2010/09/19,-36.455
2010/09/20,186.509
2010/09/21,1088
2010/09/22,682.976
2010/09/23,118.907
2010/09/24,51.994
2010/09/25,271.556
2010/09/26,-114.775
2010/09/27,180.836
2010/09/28,623.685
2010/09/29,1432
2010/09/30,201.384
2010/10/01,378.565
2010/10/02,1364
2010/10/03,428.775
2010/10/04,220.212
2010/10/05,-554.4
2010/10/06,-533.109
2010/10/07,-165.12
2010/10/08,251.212
2010/10/09,127.668
2010/10/10,44.947
2010/10/11,-301.088
2010/10/12,-523.263
2010/10/13,-1330
2010/10/14,-184.144
2010/10/15,-573.358
2010/10/16,-1248
2010/10/17,-450.959
2010/10/18,-177.919
2010/10/19,163.464
2010/10/20,157.987
2010/10/21,303.391
2010/10/22,398.091
2010/10/23,-2.387
2010/10/24,157.575
2010/10/25,0.405
2010/10/26,-62.916
2010/10/27,39.629
2010/10/28,159.359
2010/10/29,198.084
2010/10/30,-93.199
2010/10/31,53.628
2010/11/01,-153.412
2010/11/02,-715.194
2010/11/03,-347.212
2010/11/04,-458.187
2010/11/05,-556.861
2010/11/06,-373.895
2010/11/07,-259.976
2010/11/08,187.566
2010/11/09,-89.305
2010/11/10,-360.309
2010/11/11,-217.817
2010/11/12,-261.989
2010/11/13,-30.078
2010/11/14,19.836
2010/11/15,8205
2010/11/16,10504
2010/11/17,-16.447
2010/11/18,861.657
2010/11/19,13876
2010/11/20,18523
2010/11/21,15907
2010/11/22,-216.753
2010/11/23,206.965
2010/11/24,4952
2010/11/25,9007
2010/11/26,1446
2010/11/27,299.585
2010/11/28,154.274
2010/11/29,-8095
2010/11/30,-10308
2010/12/01,364.479
2010/12/02,-678.794
2010/12/03,-13896
2010/12/04,-18472
2010/12/05,-15946
2010/12/06,-124.829
2010/12/07,-0.431
2010/12/08,-4877
2010/12/09,-8867
2010/12/10,-1209
2010/12/11,217.585
2010/12/12,338.82
2010/12/13,1062
2010/12/14,388.85
2010/12/15,49.378
2010/12/16,188.732
2010/12/17,300.608
2010/12/18,292.17
2010/12/19,544.392
2010/12/20,1186
2010/12/21,180.084
2010/12/22,604.542
2010/12/23,467.706
2010/12/24,296.552
2010/12/25,33.405
2010/12/26,92.004
2010/12/27,-647.941
2010/12/28,79.592
2010/12/29,61.694
2010/12/30,167.504
2010/12/31,-34.927
2011/01/01,238.197
2011/01/02,-9.852
2011/01/03,793.611
2011/01/04,845.117
2011/01/05,1230
2011/01/06,423.195
2011/01/07,675.84
2011/01/08,1283
2011/01/09,998.153
2011/01/10,1183
2011/01/11,1192
2011/01/12,939.724
2011/01/13,966.902
2011/01/14,1096
2011/01/15,806.86
2011/01/16,666.228
2011/01/17,-1147
2011/01/18,68.688
2011/01/19,-763.182
2011/01/20,-120.127
2011/01/21,509.343
2011/01/22,871.787
2011/01/23,71.85
2011/01/24,23.918
2011/01/25,-650.655
2011/01/26,-233.364
2011/01/27,-152.262
2011/01/28,48.61
2011/01/29,1096
2011/01/30,4738
2011/01/31,1701
2011/02/01,733.825
2011/02/02,199.315
2011/02/03,101.456
2011/02/04,-660.785
2011/02/05,-1586
2011/02/06,-460.166
2011/02/07,-990.924
2011/02/08,-90.745
2011/02/09,255.302
2011/02/10,1811
2011/02/11,1748
2011/02/12,46.305
2011/02/13,-3684
2011/02/14,732.853
2011/02/15,381.898
2011/02/16,697.952
2011/02/17,1397
2011/02/18,1783
2011/02/19,1525
2011/02/20,1120
2011/02/21,1560
2011/02/22,1649
2011/02/23,917.099
2011/02/24,-479.187
2011/02/25,-1039
2011/02/26,-824.287
2011/02/27,199.351
2011/02/28,-17.951
2011/03/01,3812
2011/03/02,1235
2011/03/03,2131
2011/03/04,-171.855
2011/03/05,-52.618
2011/03/06,-520.317
2011/03/07,135.266
2011/03/08,1250
2011/03/09,1097
2011/03/10,1734
2011/03/11,2015
2011/03/12,3885
2011/03/13,3852
2011/03/14,3850
2011/03/15,1470
2011/03/16,3144
2011/03/17,1643
2011/03/18,3072
2011/03/19,5048
2011/03/20,7870
2011/03/21,7728
2011/03/22,1564
2011/03/23,5249
2011/03/24,247.189
2011/03/25,-499.579
2011/03/26,2029
2011/03/27,-135.821
2011/03/28,-1222
2011/03/29,-2586
2011/03/30,-2847
2011/03/31,-2758
2011/04/01,-2697
2011/04/02,-4540
2011/04/03,-6689
2011/04/04,-6109
2011/04/05,-2106
2011/04/06,-4698
2011/04/07,-1079
2011/04/08,-174.315
2011/04/09,-4129
2011/04/10,-2793
2011/04/11,-1621
2011/04/12,-40.472
2011/04/13,712.967
2011/04/14,2373
2011/04/15,3590
2011/04/16,2619
