Date,sentbyaddress7mom
2011/06/14,8799
2011/06/15,2171
2011/06/16,1648
2011/06/17,826
2011/06/18,1209
2011/06/19,-492
2011/06/20,-163
2011/06/21,-5608
2011/06/22,-1333
2011/06/23,-3795
2011/06/24,-838
2011/06/25,-2462
2011/06/26,-3341
2011/06/27,1926
2011/06/28,1380
2011/06/29,-2614
2011/06/30,-1153
2011/07/01,-1345
2011/07/02,-2931
2011/07/03,-1955
2011/07/04,-4218
2011/07/05,-2729
2011/07/06,747
2011/07/07,-1791
2011/07/08,-2153
2011/07/09,-580
2011/07/10,-986
2011/07/11,470
2011/07/12,-1942
2011/07/13,-1991
2011/07/14,618
2011/07/15,-1194
2011/07/16,1755
2011/07/17,199
2011/07/18,-1815
2011/07/19,1120
2011/07/20,-798
2011/07/21,-1740
2011/07/22,1463
2011/07/23,-1995
2011/07/24,-89
2011/07/25,637
2011/07/26,-781
2011/07/27,-1084
2011/07/28,516
2011/07/29,-2233
2011/07/30,-2237
2011/07/31,251
2011/08/01,-1856
2011/08/02,705
2011/08/03,-1030
2011/08/04,-749
2011/08/05,-273
2011/08/06,417
2011/08/07,-2489
2011/08/08,-1634
2011/08/09,364
2011/08/10,1448
2011/08/11,-386
2011/08/12,-585
2011/08/13,1842
2011/08/14,1691
2011/08/15,1549
2011/08/16,-39
2011/08/17,-1645
2011/08/18,7
2011/08/19,594
2011/08/20,-697
2011/08/21,-485
2011/08/22,-487
2011/08/23,-2949
2011/08/24,-251
2011/08/25,-951
2011/08/26,-349
2011/08/27,-1263
2011/08/28,-3053
2011/08/29,-578
2011/08/30,664
2011/08/31,120
2011/09/01,-39
2011/09/02,-477
2011/09/03,-486
2011/09/04,2636
2011/09/05,-787
2011/09/06,601
2011/09/07,-436
2011/09/08,-911
2011/09/09,459
2011/09/10,46
2011/09/11,-1189
2011/09/12,-521
2011/09/13,-2925
2011/09/14,-1650
2011/09/15,-127
2011/09/16,-2041
2011/09/17,-1199
2011/09/18,-783
2011/09/19,-350
2011/09/20,1721
2011/09/21,1506
2011/09/22,-1054
2011/09/23,-3
2011/09/24,212
2011/09/25,-1218
2011/09/26,-1720
2011/09/27,-2596
2011/09/28,-2028
2011/09/29,-806
2011/09/30,-602
2011/10/01,-603
2011/10/02,-776
2011/10/03,872
2011/10/04,-526
2011/10/05,-131
2011/10/06,751
2011/10/07,69
2011/10/08,-159
2011/10/09,495
2011/10/10,-674
2011/10/11,494
2011/10/12,-128
2011/10/13,-1766
2011/10/14,174
2011/10/15,569
2011/10/16,-735
2011/10/17,-12
2011/10/18,-1755
2011/10/19,-1283
2011/10/20,-606
2011/10/21,-1459
2011/10/22,-969
2011/10/23,990
2011/10/24,92
2011/10/25,878
2011/10/26,118
2011/10/27,79
2011/10/28,-164
2011/10/29,675
2011/10/30,-1245
2011/10/31,-1188
2011/11/01,-11
2011/11/02,688
2011/11/03,1536
2011/11/04,2501
2011/11/05,395
2011/11/06,287
2011/11/07,148
2011/11/08,690
2011/11/09,1090
2011/11/10,1106
2011/11/11,-2498
2011/11/12,-991
2011/11/13,336
2011/11/14,816
2011/11/15,194
2011/11/16,-980
2011/11/17,-2201
2011/11/18,352
2011/11/19,-1803
2011/11/20,-1468
2011/11/21,-2882
2011/11/22,-2449
2011/11/23,-1944
2011/11/24,-1303
2011/11/25,-1038
2011/11/26,-82
2011/11/27,-6
2011/11/28,1893
2011/11/29,2232
2011/11/30,2168
2011/12/01,2246
2011/12/02,1369
2011/12/03,1432
2011/12/04,679
2011/12/05,142
2011/12/06,1104
2011/12/07,-1140
2011/12/08,-1051
2011/12/09,-1073
2011/12/10,-27
2011/12/11,-343
2011/12/12,-1531
2011/12/13,-3475
2011/12/14,-491
2011/12/15,-1570
2011/12/16,-990
2011/12/17,-1258
2011/12/18,-721
2011/12/19,1395
2011/12/20,1605
2011/12/21,-241
2011/12/22,1662
2011/12/23,1180
2011/12/24,-190
2011/12/25,987
2011/12/26,-508
2011/12/27,-1407
2011/12/28,-715
2011/12/29,-620
2011/12/30,-1140
2011/12/31,322
2012/01/01,-522
2012/01/02,-440
2012/01/03,619
2012/01/04,1068
2012/01/05,2555
2012/01/06,2560
2012/01/07,1566
2012/01/08,1985
2012/01/09,1219
2012/01/10,1465
2012/01/11,2100
2012/01/12,-945
2012/01/13,113
2012/01/14,1340
2012/01/15,-334
2012/01/16,1142
2012/01/17,3
2012/01/18,-543
2012/01/19,582
2012/01/20,-140
2012/01/21,-914
2012/01/22,-1406
2012/01/23,-1031
2012/01/24,372
2012/01/25,1627
2012/01/26,-325
2012/01/27,-372
2012/01/28,-235
2012/01/29,1741
2012/01/30,169
2012/01/31,306
2012/02/01,-1445
2012/02/02,1359
2012/02/03,1578
2012/02/04,1839
2012/02/05,772
2012/02/06,27
2012/02/07,-385
2012/02/08,271
2012/02/09,-200
2012/02/10,476
2012/02/11,-293
2012/02/12,-182
2012/02/13,2103
2012/02/14,2915
2012/02/15,2343
2012/02/16,2087
2012/02/17,-1808
2012/02/18,-514
2012/02/19,-1117
2012/02/20,-1778
2012/02/21,-3370
2012/02/22,-1761
2012/02/23,-959
2012/02/24,1120
2012/02/25,-202
2012/02/26,197
2012/02/27,616
2012/02/28,1159
2012/02/29,-314
2012/03/01,-1253
2012/03/02,953
2012/03/03,-1416
2012/03/04,1625
2012/03/05,858
2012/03/06,-577
2012/03/07,-19
2012/03/08,211
2012/03/09,-1092
2012/03/10,457
2012/03/11,-1997
2012/03/12,-1150
2012/03/13,1270
2012/03/14,199
2012/03/15,-1061
2012/03/16,-75
2012/03/17,2036
2012/03/18,501
2012/03/19,236
2012/03/20,-809
2012/03/21,251
2012/03/22,841
2012/03/23,-1159
2012/03/24,-1146
2012/03/25,98
2012/03/26,61
2012/03/27,-343
2012/03/28,74
2012/03/29,810
2012/03/30,972
2012/03/31,-31
2012/04/01,-765
2012/04/02,-410
2012/04/03,1496
2012/04/04,-111
2012/04/05,-1008
2012/04/06,-19
2012/04/07,-276
2012/04/08,801
2012/04/09,202
2012/04/10,114
2012/04/11,1512
2012/04/12,2127
2012/04/13,305
2012/04/14,2618
2012/04/15,1540
2012/04/16,2991
2012/04/17,139
2012/04/18,621
2012/04/19,-647
2012/04/20,2477
2012/04/21,-916
2012/04/22,-809
2012/04/23,-1790
2012/04/24,-284
2012/04/25,-1104
2012/04/26,1549
2012/04/27,-1720
2012/04/28,-115
2012/04/29,1025
2012/04/30,2553
2012/05/01,2229
2012/05/02,2072
2012/05/03,2571
2012/05/04,4796
2012/05/05,3804
2012/05/06,2581
2012/05/07,4855
2012/05/08,3942
2012/05/09,4625
2012/05/10,-1381
2012/05/11,3348
2012/05/12,2720
2012/05/13,1762
2012/05/14,7507
2012/05/15,2942
2012/05/16,-2
2012/05/17,2100
2012/05/18,799
2012/05/19,7802
2012/05/20,7742
2012/05/21,-2567
2012/05/22,-261
2012/05/23,3653
2012/05/24,4765
2012/05/25,2491
2012/05/26,-5986
2012/05/27,-3016
2012/05/28,-1058
2012/05/29,3938
2012/05/30,-975
2012/05/31,-507
2012/06/01,-911
2012/06/02,-4703
2012/06/03,4401
2012/06/04,9297
2012/06/05,8082
2012/06/06,-3950
2012/06/07,4258
2012/06/08,-1492
2012/06/09,8918
2012/06/10,2086
2012/06/11,-7556
2012/06/12,-16515
2012/06/13,19173
2012/06/14,12704
2012/06/15,15785
2012/06/16,7217
2012/06/17,4149
2012/06/18,5479
2012/06/19,10074
2012/06/20,-12958
2012/06/21,-16369
2012/06/22,-14817
2012/06/23,-9479
2012/06/24,-9986
2012/06/25,-4786
2012/06/26,946
2012/06/27,5310
2012/06/28,2815
2012/06/29,3250
2012/06/30,2543
2012/07/01,961
2012/07/02,2302
2012/07/03,-2297
2012/07/04,-6358
2012/07/05,-4123
2012/07/06,-3463
2012/07/07,477
2012/07/08,-1678
2012/07/09,-3463
2012/07/10,3892
2012/07/11,3604
2012/07/12,4930
2012/07/13,1360
2012/07/14,-1888
2012/07/15,2700
2012/07/16,4695
2012/07/17,2099
2012/07/18,-473
2012/07/19,409
2012/07/20,5864
2012/07/21,5325
2012/07/22,7782
2012/07/23,3062
2012/07/24,-4276
2012/07/25,-2154
2012/07/26,-2390
2012/07/27,-3876
2012/07/28,1769
2012/07/29,-4583
2012/07/30,-4205
2012/07/31,16697
2012/08/01,6462
2012/08/02,7726
2012/08/03,2764
2012/08/04,-3327
2012/08/05,2183
2012/08/06,5194
2012/08/07,-12927
2012/08/08,7179
2012/08/09,-2584
2012/08/10,1255
2012/08/11,2264
2012/08/12,1502
2012/08/13,4668
2012/08/14,513
2012/08/15,-1997
2012/08/16,16790
2012/08/17,13089
2012/08/18,9316
2012/08/19,2903
2012/08/20,-5557
2012/08/21,8139
2012/08/22,810
2012/08/23,-12545
2012/08/24,-8824
2012/08/25,-10525
2012/08/26,-7059
2012/08/27,-3000
2012/08/28,-10387
2012/08/29,-5925
2012/08/30,-6137
2012/08/31,4032
2012/09/01,7187
2012/09/02,1178
2012/09/03,-3113
2012/09/04,2278
2012/09/05,2429
2012/09/06,8903
2012/09/07,-5854
2012/09/08,-8821
2012/09/09,2929
2012/09/10,2628
2012/09/11,2892
2012/09/12,-6410
2012/09/13,-10079
2012/09/14,-2421
2012/09/15,-2766
2012/09/16,-6525
