Date,confirmationtime14roc
2010/07/17,22.543
2010/07/18,-3.488
2010/07/19,2.874
2010/07/20,-6.63
2010/07/21,-24.638
2010/07/22,-14.205
2010/07/23,2.577
2010/07/24,4.762
2010/07/25,-22.511
2010/07/26,171.193
2010/07/27,316.867
2010/07/28,263.522
2010/07/29,246.667
2010/07/30,177.473
2010/07/31,-14.778
2010/08/01,-28.033
2010/08/02,-28.099
2010/08/03,-20.264
2010/08/04,-14.815
2010/08/05,-19.266
2010/08/06,31.973
2010/08/07,21.935
2010/08/08,16.08
2010/08/09,27.895
2010/08/10,-13.089
2010/08/11,-31.76
2010/08/12,-17.051
2010/08/13,-15.349
2010/08/14,-27.758
2010/08/15,15.459
2010/08/16,64.626
2010/08/17,75.969
2010/08/18,82.707
2010/08/19,61.481
2010/08/20,-23.834
2010/08/21,-10.405
2010/08/22,-6.132
2010/08/23,-10.798
2010/08/24,-11.163
2010/08/25,7.87
2010/08/26,3.333
2010/08/27,25.731
2010/08/28,65.294
2010/08/29,27.778
2010/08/30,-1.342
2010/08/31,-29.891
2010/09/01,-15.287
2010/09/02,-13.462
2010/09/03,17.683
2010/09/04,-4.42
2010/09/05,28.485
2010/09/06,34.81
2010/09/07,34.375
2010/09/08,30.909
2010/09/09,55.556
2010/09/10,-3.39
2010/09/11,6.25
2010/09/12,-8.475
2010/09/13,-12.865
2010/09/14,-9.36
2010/09/15,-7.101
2010/09/16,-28.767
2010/09/17,-21.154
2010/09/18,-23.629
2010/09/19,-21.053
2010/09/20,-22.167
2010/09/21,-6.977
2010/09/22,-5.172
2010/09/23,-42.308
2010/09/24,-22.368
2010/09/25,-22.705
2010/09/26,-13.659
2010/09/27,-25.328
2010/09/28,-4.245
2010/09/29,3.049
2010/09/30,50
2010/10/01,35.065
2010/10/02,137
2010/10/03,71.311
2010/10/04,32.68
2010/10/05,36.508
2010/10/06,1.754
2010/10/07,46.25
2010/10/08,48.052
2010/10/09,31.013
2010/10/10,15.169
2010/10/11,44.025
2010/10/12,36.774
2010/10/13,-6.818
2010/10/14,-28.78
2010/10/15,-12.994
2010/10/16,-61.24
2010/10/17,-54.815
2010/10/18,-38.554
2010/10/19,-50.781
2010/10/20,-35.227
2010/10/21,-13.978
2010/10/22,0
2010/10/23,-9.714
2010/10/24,-13.171
2010/10/25,-21.675
2010/10/26,-35.685
2010/10/27,-17.371
2010/10/28,-6.393
2010/10/29,-20.628
