Date,sentinusd3wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,3093
2010/07/20,2955
2010/07/21,2516
2010/07/22,2382
2010/07/23,1793
2010/07/24,2087
2010/07/25,2288
2010/07/26,3559
2010/07/27,2877
2010/07/28,3391
2010/07/29,2261
2010/07/30,1747
2010/07/31,1163
2010/08/01,8809
2010/08/02,7614
2010/08/03,5261
2010/08/04,2461
2010/08/05,2288
2010/08/06,1722
2010/08/07,1547
2010/08/08,1005
2010/08/09,2988
2010/08/10,2958
2010/08/11,3362
2010/08/12,2091
2010/08/13,2089
2010/08/14,1478
2010/08/15,1297
2010/08/16,2726
2010/08/17,3331
2010/08/18,3144
2010/08/19,2111
2010/08/20,1865
2010/08/21,2156
2010/08/22,1845
2010/08/23,1453
2010/08/24,1296
2010/08/25,1173
2010/08/26,1035
2010/08/27,1405
2010/08/28,1306
2010/08/29,943.045
2010/08/30,811.685
2010/08/31,1635
2010/09/01,1877
2010/09/02,2094
2010/09/03,1929
2010/09/04,1894
2010/09/05,5177
2010/09/06,5495
2010/09/07,3544
2010/09/08,1698
2010/09/09,1592
2010/09/10,1312
2010/09/11,958.795
2010/09/12,932.605
2010/09/13,4127
2010/09/14,3555
2010/09/15,3065
2010/09/16,2201
2010/09/17,3379
2010/09/18,3170
2010/09/19,3205
2010/09/20,2780
2010/09/21,2258
2010/09/22,2402
2010/09/23,5155
2010/09/24,3690
2010/09/25,2643
2010/09/26,1518
2010/09/27,1812
2010/09/28,3452
2010/09/29,4936
2010/09/30,4066
2010/10/01,3631
2010/10/02,12847
2010/10/03,10398
2010/10/04,22312
2010/10/05,18072
2010/10/06,13416
2010/10/07,8646
2010/10/08,9913
2010/10/09,13515
2010/10/10,13036
2010/10/11,9021
2010/10/12,7255
2010/10/13,8935
2010/10/14,14165
2010/10/15,15505
2010/10/16,18025
2010/10/17,14675
2010/10/18,18179
2010/10/19,22374
2010/10/20,22378
2010/10/21,20494
2010/10/22,16463
2010/10/23,10014
2010/10/24,9648
2010/10/25,12991
2010/10/26,20342
2010/10/27,28426
2010/10/28,32447
2010/10/29,24838
2010/10/30,16549
