Date,transactionvalue14rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,50.727
2010/08/01,77.483
2010/08/02,51.772
2010/08/03,48.81
2010/08/04,49.236
2010/08/05,49.317
2010/08/06,48.464
2010/08/07,49.912
2010/08/08,47.469
2010/08/09,53.882
2010/08/10,50.597
2010/08/11,51.574
2010/08/12,47.909
2010/08/13,49.064
2010/08/14,47.728
2010/08/15,48.551
2010/08/16,53.167
2010/08/17,53.755
2010/08/18,50.599
2010/08/19,48.491
2010/08/20,48.839
2010/08/21,51.368
2010/08/22,47.945
2010/08/23,47.497
2010/08/24,47.98
2010/08/25,47.214
2010/08/26,46.824
2010/08/27,51.322
2010/08/28,47.743
2010/08/29,46.584
2010/08/30,47.374
2010/08/31,51.193
2010/09/01,49.96
2010/09/02,52.627
2010/09/03,51.121
2010/09/04,52.642
2010/09/05,71.185
2010/09/06,58.624
2010/09/07,47.47
2010/09/08,46.903
2010/09/09,49.654
2010/09/10,46.436
2010/09/11,46.185
2010/09/12,47.093
2010/09/13,58.29
2010/09/14,48.392
2010/09/15,49.355
2010/09/16,48.728
2010/09/17,54.533
2010/09/18,49.795
2010/09/19,51.58
2010/09/20,48.9
2010/09/21,46.274
2010/09/22,48.027
2010/09/23,54.403
2010/09/24,46.853
2010/09/25,47.743
2010/09/26,47.735
2010/09/27,47.695
2010/09/28,53.744
2010/09/29,49.831
2010/09/30,50.788
2010/10/01,49.959
2010/10/02,71.925
2010/10/03,51.461
2010/10/04,70.997
2010/10/05,54.053
2010/10/06,50.647
2010/10/07,52.052
2010/10/08,54.003
2010/10/09,56.027
2010/10/10,53.057
2010/10/11,48.62
2010/10/12,50.307
2010/10/13,53.05
2010/10/14,57.86
2010/10/15,56.466
2010/10/16,56.26
2010/10/17,49.515
2010/10/18,53.623
2010/10/19,50.463
2010/10/20,50.322
2010/10/21,52.405
2010/10/22,48.479
2010/10/23,44.331
