Date,price3rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,58.099
2010/07/21,5.652
2010/07/22,-24.455
2010/07/23,-27.742
2010/07/24,-24.313
2010/07/25,-18.318
2010/07/26,-6.294
2010/07/27,-0.129
2010/07/28,12.223
2010/07/29,22.264
2010/07/30,14.224
2010/07/31,11.733
2010/08/01,-5.787
2010/08/02,-7.547
2010/08/03,-9.673
2010/08/04,-2.293
2010/08/05,-2.776
2010/08/06,3.583
2010/08/07,0.419
2010/08/08,0.672
2010/08/09,6.122
2010/08/10,15.192
2010/08/11,5.922
2010/08/12,4.617
2010/08/13,-5.072
2010/08/14,4.331
2010/08/15,-4.138
2010/08/16,-1.763
2010/08/17,2.264
2010/08/18,4.309
2010/08/19,4.592
2010/08/20,-2.435
2010/08/21,-4.413
2010/08/22,-2.675
2010/08/23,-0.976
2010/08/24,-1.509
2010/08/25,0.153
2010/08/26,-1.612
2010/08/27,-0.7
2010/08/28,-1.601
2010/08/29,-0.078
2010/08/30,0.442
2010/08/31,-3.865
2010/09/01,-2.953
2010/09/02,-3.99
2010/09/03,-1.821
2010/09/04,-1.017
2010/09/05,-0.281
2010/09/06,2.011
2010/09/07,-0.833
2010/09/08,-0.846
2010/09/09,-1.681
2010/09/10,0.163
2010/09/11,2.081
2010/09/12,1.137
2010/09/13,1.116
2010/09/14,-1.25
2010/09/15,-0.566
2010/09/16,-0.298
2010/09/17,-3.307
2010/09/18,-2.36
2010/09/19,-0.153
2010/09/20,3.595
2010/09/21,4.792
2010/09/22,0.72
2010/09/23,0.169
2010/09/24,-1.161
2010/09/25,-0.217
2010/09/26,-0.297
2010/09/27,-0.024
2010/09/28,-0.298
2010/09/29,-0.105
2010/09/30,-0.499
2010/10/01,0
2010/10/02,-0.508
2010/10/03,-0.914
2010/10/04,-1.106
2010/10/05,-0.389
2010/10/06,1.469
2010/10/07,6.294
2010/10/08,25.277
2010/10/09,42.225
2010/10/10,45.545
2010/10/11,20.905
2010/10/12,6.844
2010/10/13,3.958
2010/10/14,11.022
2010/10/15,8.523
2010/10/16,2.03
2010/10/17,-1.211
