Date,sentinusd7rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,58.412
2010/07/25,58.015
2010/07/26,69.062
2010/07/27,49.319
2010/07/28,59.82
2010/07/29,45.627
2010/07/30,46.192
2010/07/31,44.6
2010/08/01,81.543
2010/08/02,49.913
2010/08/03,47.419
2010/08/04,46.632
2010/08/05,47.647
2010/08/06,44.67
2010/08/07,45.783
2010/08/08,43.245
2010/08/09,57.008
2010/08/10,48.586
2010/08/11,52.052
2010/08/12,44.679
2010/08/13,48.951
2010/08/14,44.845
2010/08/15,45.087
2010/08/16,57.694
2010/08/17,53.425
2010/08/18,49.823
2010/08/19,44.584
2010/08/20,47.681
2010/08/21,50.953
2010/08/22,44.36
2010/08/23,43.42
2010/08/24,45.034
2010/08/25,42.785
2010/08/26,41.843
2010/08/27,51.132
2010/08/28,44.259
2010/08/29,40.064
2010/08/30,44.141
2010/08/31,59.184
2010/09/01,52.067
2010/09/02,55.364
2010/09/03,51.493
2010/09/04,51.919
2010/09/05,83.055
2010/09/06,57.968
2010/09/07,43.552
2010/09/08,43.436
2010/09/09,48.321
2010/09/10,43.053
2010/09/11,42.048
2010/09/12,45.34
2010/09/13,69.677
2010/09/14,47.805
2010/09/15,49.764
2010/09/16,48.609
2010/09/17,57.389
2010/09/18,49.504
2010/09/19,51.719
2010/09/20,49.038
2010/09/21,45.096
2010/09/22,50.816
2010/09/23,69.177
2010/09/24,44.045
2010/09/25,46.29
2010/09/26,44.806
2010/09/27,47.661
2010/09/28,58.63
2010/09/29,61.033
2010/09/30,47.257
2010/10/01,51.359
2010/10/02,81.626
2010/10/03,48.408
2010/10/04,71.097
2010/10/05,51.277
2010/10/06,48.204
2010/10/07,48.814
2010/10/08,51.927
2010/10/09,56.065
2010/10/10,50.376
2010/10/11,44.24
2010/10/12,47.042
2010/10/13,51.862
2010/10/14,59.707
2010/10/15,54.793
2010/10/16,60.356
2010/10/17,47.936
2010/10/18,60.129
2010/10/19,63.51
2010/10/20,54.61
2010/10/21,53.438
2010/10/22,46.069
