Date,transactionvalue7emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,4.952
2010/07/24,4.424
2010/07/25,3.66
2010/07/26,5.212
2010/07/27,4.995
2010/07/28,4.261
2010/07/29,3.361
2010/07/30,3.548
2010/07/31,3.53
2010/08/01,13.973
2010/08/02,12.925
2010/08/03,10.631
2010/08/04,9.116
2010/08/05,8.016
2010/08/06,6.816
2010/08/07,6.499
2010/08/08,5.27
2010/08/09,6.961
2010/08/10,6.939
2010/08/11,7.319
2010/08/12,6.181
2010/08/13,5.748
2010/08/14,4.929
2010/08/15,4.585
2010/08/16,5.895
2010/08/17,7.084
2010/08/18,7.024
2010/08/19,6.324
2010/08/20,5.899
2010/08/21,6.289
2010/08/22,5.63
2010/08/23,5.011
2010/08/24,4.662
2010/08/25,4.211
2010/08/26,3.782
2010/08/27,4.41
2010/08/28,4.099
2010/08/29,3.607
2010/08/30,3.386
2010/08/31,3.952
2010/09/01,4.146
2010/09/02,4.792
2010/09/03,5.02
2010/09/04,5.458
2010/09/05,10.935
2010/09/06,12.427
2010/09/07,10.311
2010/09/08,8.534
2010/09/09,8.011
2010/09/10,6.613
2010/09/11,5.485
2010/09/12,4.871
2010/09/13,7.825
2010/09/14,6.976
2010/09/15,6.658
2010/09/16,6.215
2010/09/17,7.787
2010/09/18,7.48
2010/09/19,7.836
2010/09/20,7.264
2010/09/21,5.986
2010/09/22,5.523
2010/09/23,7.148
2010/09/24,5.961
2010/09/25,5.345
2010/09/26,4.88
2010/09/27,4.52
2010/09/28,5.965
2010/09/29,5.968
2010/09/30,6.238
2010/10/01,6.223
2010/10/02,15.86
2010/10/03,14.972
2010/10/04,32.146
2010/10/05,32.125
2010/10/06,28.732
2010/10/07,27.646
2010/10/08,28.848
2010/10/09,31.868
2010/10/10,31.631
2010/10/11,27.452
2010/10/12,25.827
2010/10/13,27.099
2010/10/14,32.837
2010/10/15,36.071
2010/10/16,38.345
2010/10/17,34.812
2010/10/18,35.756
2010/10/19,33.896
2010/10/20,32.388
2010/10/21,32.906
2010/10/22,30.337
