Date,transactionvalue7wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,4.849
2010/07/24,4.322
2010/07/25,3.429
2010/07/26,4.835
2010/07/27,4.781
2010/07/28,4.141
2010/07/29,3.243
2010/07/30,3.414
2010/07/31,3.381
2010/08/01,13.782
2010/08/02,13.734
2010/08/03,12.18
2010/08/04,10.854
2010/08/05,9.474
2010/08/06,7.575
2010/08/07,6.289
2010/08/08,3.94
2010/08/09,5.764
2010/08/10,6.217
2010/08/11,6.956
2010/08/12,6.131
2010/08/13,5.798
2010/08/14,4.927
2010/08/15,4.435
2010/08/16,5.441
2010/08/17,6.732
2010/08/18,6.937
2010/08/19,6.544
2010/08/20,6.199
2010/08/21,6.557
2010/08/22,5.786
2010/08/23,4.885
2010/08/24,4.339
2010/08/25,3.855
2010/08/26,3.421
2010/08/27,4.001
2010/08/28,3.738
2010/08/29,3.369
2010/08/30,3.203
2010/08/31,3.784
2010/09/01,4.061
2010/09/02,4.773
2010/09/03,5.076
2010/09/04,5.669
2010/09/05,11.28
2010/09/06,13.374
2010/09/07,11.728
2010/09/08,9.951
2010/09/09,9.039
2010/09/10,7.131
2010/09/11,5.261
2010/09/12,3.79
2010/09/13,6.602
2010/09/14,6.358
2010/09/15,6.415
2010/09/16,6.18
2010/09/17,7.904
2010/09/18,7.781
2010/09/19,8.086
2010/09/20,7.342
2010/09/21,6.146
2010/09/22,5.527
2010/09/23,6.937
2010/09/24,5.686
2010/09/25,5.071
2010/09/26,4.562
2010/09/27,4.234
2010/09/28,5.698
2010/09/29,5.789
2010/09/30,6.082
2010/10/01,6.336
2010/10/02,16.103
2010/10/03,16.28
2010/10/04,33.982
2010/10/05,35.917
2010/10/06,33.698
2010/10/07,32.488
2010/10/08,32.675
2010/10/09,34.043
2010/10/10,33.045
2010/10/11,27.383
2010/10/12,25.684
2010/10/13,26.873
2010/10/14,32.405
2010/10/15,35.95
2010/10/16,38.868
2010/10/17,36.397
2010/10/18,37.759
2010/10/19,35.708
2010/10/20,33.28
2010/10/21,32.61
2010/10/22,29.539
