Date,hashrate3mom
2010/07/17,1433109645
2010/07/18,180006017
2010/07/19,-320187676
2010/07/20,-1135130890
2010/07/21,169031492
2010/07/22,154193748
2010/07/23,75698797
2010/07/24,-58426593
2010/07/25,202066756
2010/07/26,507527208
2010/07/27,761678037
2010/07/28,42731003
2010/07/29,-128487851
2010/07/30,-237471031
2010/07/31,315013206
2010/08/01,576444140
2010/08/02,793553559
2010/08/03,639611710
2010/08/04,70238831
2010/08/05,159095275
2010/08/06,294149855
2010/08/07,-133774671
2010/08/08,-13797036
2010/08/09,252549255
2010/08/10,715402097
2010/08/11,630329202
2010/08/12,430473878
2010/08/13,594984548
2010/08/14,439732866
2010/08/15,1910827531
2010/08/16,-195222801
2010/08/17,-651471238
2010/08/18,-2466750735
2010/08/19,-267745954
2010/08/20,577031442
2010/08/21,1326700989
2010/08/22,1515669687
2010/08/23,1286743704
2010/08/24,774559720
2010/08/25,670160417
2010/08/26,42091477
2010/08/27,412221892
2010/08/28,-104206845
2010/08/29,-412707931
2010/08/30,-1132940469
2010/08/31,-232296884
2010/09/01,310060198
2010/09/02,153509069
2010/09/03,-353093902
2010/09/04,16946390
2010/09/05,490863883
2010/09/06,143668915
2010/09/07,-585362182
2010/09/08,146224164
2010/09/09,333259602
2010/09/10,871369085
2010/09/11,467362901
2010/09/12,712899356
2010/09/13,580447231
2010/09/14,601403248
2010/09/15,308041192
2010/09/16,647455445
2010/09/17,1201504882
2010/09/18,1474405797
2010/09/19,3057259254
2010/09/20,1716749089
2010/09/21,713195706
2010/09/22,-2113388579
2010/09/23,-359333795
2010/09/24,2084487119
2010/09/25,2273270984
2010/09/26,91310294
2010/09/27,-612616913
2010/09/28,694319257
2010/09/29,3365232142
2010/09/30,-477136085
2010/10/01,-436508288
2010/10/02,-4333855575
2010/10/03,-2375816387
2010/10/04,-1224734165
2010/10/05,700892023
2010/10/06,2403121630
2010/10/07,1913733859
2010/10/08,1595048501
2010/10/09,572363947
2010/10/10,-85412798
2010/10/11,551861122
2010/10/12,654688489
2010/10/13,430603475
2010/10/14,1733132386
2010/10/15,2344852214
2010/10/16,3382773527
2010/10/17,6353148824
2010/10/18,4639577872
2010/10/19,1549453415
2010/10/20,-1750489325
2010/10/21,5686222987
2010/10/22,1050368672
2010/10/23,761361215
2010/10/24,-4331946392
2010/10/25,5073805565
2010/10/26,6052699206
2010/10/27,5448812051
2010/10/28,189029259
2010/10/29,263268009
2010/10/30,1005499816
2010/10/31,10541386082
2010/11/01,2571485693
2010/11/02,1492824630
2010/11/03,-4172625648
2010/11/04,2811337429
2010/11/05,5183502406
